openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.01016,0.01027,0.01014,0.01027,5136721.3,1753975799999,52524.016102,281,1650811.7,16854.808748,0
1753975800000,2025-07-31 15:30:00,0.01026,0.01063,0.01026,0.0105,19053389.9,1753976699999,200337.812751,1564,9000018.3,94493.475258,0
1753976700000,2025-07-31 15:45:00,0.01051,0.01059,0.01032,0.01032,7951280.0,1753977599999,83484.186101,734,4301215.5,45229.179144,0
1753977600000,2025-07-31 16:00:00,0.01033,0.01054,0.01031,0.01047,10456464.6,1753978499999,109085.526651,823,4379404.6,45748.486547,0
1753978500000,2025-07-31 16:15:00,0.01048,0.01055,0.01038,0.01043,4377285.2,1753979399999,45813.18055,362,2449467.3,25631.837829,0
1753979400000,2025-07-31 16:30:00,0.01044,0.01058,0.01042,0.01051,6300817.7,1753980299999,66214.861186,477,1746680.6,18331.196932,0
1753980300000,2025-07-31 16:45:00,0.01052,0.01055,0.01043,0.01052,4271172.4,1753981199999,44722.088677,344,2173497.6,22762.532361,0
1753981200000,2025-07-31 17:00:00,0.01052,0.01056,0.01041,0.01048,4199768.9,1753982099999,43950.220697,561,1980033.4,20724.602447,0
1753982100000,2025-07-31 17:15:00,0.01049,0.01061,0.01039,0.01048,7569398.3,1753982999999,79585.036897,636,3259521.8,34349.814287,0
1753983000000,2025-07-31 17:30:00,0.01048,0.0105,0.01035,0.0104,2243521.5,1753983899999,23354.87803,208,1387430.7,14444.640813,0
1753983900000,2025-07-31 17:45:00,0.01039,0.01043,0.01031,0.01037,3794318.9,1753984799999,39289.474995,259,2079645.7,21542.888757,0
1753984800000,2025-07-31 18:00:00,0.01038,0.01041,0.01029,0.01034,1806580.9,1753985699999,18660.954575,222,946585.3,9784.473453,0
1753985700000,2025-07-31 18:15:00,0.01032,0.01042,0.01029,0.01041,1268827.4,1753986599999,13151.276851,181,864505.1,8951.437986,0
1753986600000,2025-07-31 18:30:00,0.0104,0.01051,0.01039,0.01043,1748682.5,1753987499999,18325.573506,211,563802.2,5899.605644,0
1753987500000,2025-07-31 18:45:00,0.01042,0.01046,0.01033,0.01035,350954.9,1753988399999,3650.695008,133,194335.8,2025.280872,0
1753988400000,2025-07-31 19:00:00,0.01036,0.01041,0.01026,0.01026,2533527.9,1753989299999,26162.487841,235,1541103.4,15919.112113,0
1753989300000,2025-07-31 19:15:00,0.01027,0.01036,0.01027,0.01031,3783570.9,1753990199999,39041.508427,250,1613486.3,16617.069469,0
1753990200000,2025-07-31 19:30:00,0.01031,0.01034,0.01025,0.01027,2175101.6,1753991099999,22352.746794,170,1022683.0,10493.618287,0
1753991100000,2025-07-31 19:45:00,0.01026,0.01029,0.01019,0.01024,3685514.8,1753991999999,37654.78781,235,2915290.1,29788.987111,0
1753992000000,2025-07-31 20:00:00,0.01025,0.01029,0.01014,0.01023,15132014.2,1753992899999,154462.359049,761,5566044.5,56781.21353,0
1753992900000,2025-07-31 20:15:00,0.01025,0.01029,0.01017,0.01021,8311453.1,1753993799999,84997.175527,529,515554.7,5271.366008,0
1753993800000,2025-07-31 20:30:00,0.01021,0.01024,0.01015,0.01019,4435796.1,1753994699999,45190.304524,418,902041.9,9208.72697,0
1753994700000,2025-07-31 20:45:00,0.01019,0.01023,0.01016,0.01016,2237992.2,1753995599999,22815.311118,185,412066.0,4199.014731,0
1753995600000,2025-07-31 21:00:00,0.01016,0.0102,0.01013,0.01015,4731067.3,1753996499999,48037.671352,393,2430308.5,24678.707491,0
1753996500000,2025-07-31 21:15:00,0.01014,0.01014,0.01007,0.01013,3229323.2,1753997399999,32630.993642,311,1726267.2,17453.926328,0
1753997400000,2025-07-31 21:30:00,0.01012,0.01017,0.01003,0.01004,7434552.3,1753998299999,74853.814371,384,1881903.2,18958.913932,0
1753998300000,2025-07-31 21:45:00,0.01004,0.01005,0.00986,0.01002,19283408.0,1753999199999,192431.417128,983,9457181.2,94375.525776,0
1753999200000,2025-07-31 22:00:00,0.01,0.01,0.00984,0.00992,8743664.8,1754000099999,86572.492292,548,5516953.7,54622.330203,0
1754000100000,2025-07-31 22:15:00,0.0099,0.00995,0.00989,0.00993,2771584.8,1754000999999,27477.906096,250,1635725.9,16213.948548,0
1754001000000,2025-07-31 22:30:00,0.00993,0.00993,0.00977,0.00986,6779793.4,1754001899999,66733.987465,446,2931111.4,28808.812287,0
1754001900000,2025-07-31 22:45:00,0.00986,0.00988,0.00981,0.00983,918577.2,1754002799999,9036.979523,133,381402.8,3752.031883,0
1754002800000,2025-07-31 23:00:00,0.00982,0.00988,0.0098,0.00982,6429419.0,1754003699999,63258.615101,268,4478974.2,44080.784516,0
1754003700000,2025-07-31 23:15:00,0.00981,0.00985,0.00974,0.00976,3764988.3,1754004599999,36862.210269,311,2593522.0,25386.944299,0
1754004600000,2025-07-31 23:30:00,0.00976,0.00976,0.00962,0.00968,6496146.2,1754005499999,63013.678609,449,3934481.5,38168.574523,0
1754005500000,2025-07-31 23:45:00,0.00969,0.00971,0.00964,0.00964,1227796.6,1754006399999,11884.375264,204,929257.2,8999.242866,0
1754006400000,2025-08-01 00:00:00,0.00966,0.00971,0.00956,0.0096,7366783.3,1754007299999,71198.077396,424,4288495.8,41454.13959,0
1754007300000,2025-08-01 00:15:00,0.00961,0.00979,0.0096,0.00969,4354475.4,1754008199999,42294.055354,461,1986488.3,19258.568805,0
1754008200000,2025-08-01 00:30:00,0.00969,0.0097,0.00955,0.00956,3901310.9,1754009099999,37520.824789,286,2262733.4,21785.820076,0
1754009100000,2025-08-01 00:45:00,0.00958,0.00972,0.0094,0.00969,16517887.7,1754009999999,156879.681663,846,5839693.0,55546.372994,0
1754010000000,2025-08-01 01:00:00,0.0097,0.00977,0.00957,0.00958,2522252.9,1754010899999,24409.662451,305,1227106.4,11891.816193,0
1754010900000,2025-08-01 01:15:00,0.0096,0.00965,0.00955,0.00959,2200800.6,1754011799999,21125.44941,258,681665.1,6548.682429,0
1754011800000,2025-08-01 01:30:00,0.00961,0.00965,0.00955,0.0096,5580821.2,1754012699999,53609.068853,314,3895459.1,37423.00229,0
1754012700000,2025-08-01 01:45:00,0.0096,0.00964,0.00954,0.00961,1823189.0,1754013599999,17506.272752,212,1319046.3,12673.918811,0
1754013600000,2025-08-01 02:00:00,0.0096,0.00971,0.00959,0.00968,3656675.7,1754014499999,35364.97801,312,1677768.8,16251.790615,0
1754014500000,2025-08-01 02:15:00,0.00968,0.00986,0.00967,0.00983,7674809.7,1754015399999,75094.636554,361,1656528.3,16220.411231,0
1754015400000,2025-08-01 02:30:00,0.00984,0.00984,0.00971,0.00973,2103968.8,1754016299999,20562.870152,231,1376614.6,13459.456081,0
1754016300000,2025-08-01 02:45:00,0.00973,0.0098,0.00969,0.00972,1734821.0,1754017199999,16899.030135,238,1019165.9,9924.765891,0
1754017200000,2025-08-01 03:00:00,0.00972,0.00974,0.00968,0.0097,6054607.6,1754018099999,58852.838654,261,2737076.8,26610.246993,0
