openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,268.28,269.27,268.13,268.56,1186.718,1753975799999,319002.10312,2340,553.662,148835.1026,0
1753975800000,2025-07-31 15:30:00,268.54,269.42,268.46,269.05,665.207,1753976699999,178958.52469,1898,422.58,113683.21517,0
1753976700000,2025-07-31 15:45:00,269.03,269.29,267.58,268.82,614.695,1753977599999,165112.81939,1675,220.809,59290.31429,0
1753977600000,2025-07-31 16:00:00,268.83,269.64,268.47,269.41,469.828,1753978499999,126359.06069,1560,251.355,67587.40421,0
1753978500000,2025-07-31 16:15:00,269.41,270.21,268.93,269.54,1110.814,1753979399999,299567.76115,1931,520.318,140335.33355,0
1753979400000,2025-07-31 16:30:00,269.56,272.11,269.56,271.89,3260.05,1753980299999,885126.94985,2867,1881.769,510708.68069,0
1753980300000,2025-07-31 16:45:00,271.9,272.04,270.19,271.58,1046.931,1753981199999,284045.13491,1632,558.603,151554.15469,0
1753981200000,2025-07-31 17:00:00,271.6,271.65,269.85,270.68,703.954,1753982099999,190446.91114,1640,302.822,81934.75335,0
1753982100000,2025-07-31 17:15:00,270.67,270.98,267.98,268.5,2137.285,1753982999999,574550.03501,3098,816.751,219623.50714,0
1753983000000,2025-07-31 17:30:00,268.51,269.78,267.68,268.26,1591.401,1753983899999,427783.58171,2285,470.559,126456.87536,0
1753983900000,2025-07-31 17:45:00,268.28,268.7,266.74,267.61,3100.821,1753984799999,828467.95132,2491,2004.176,535287.57327,0
1753984800000,2025-07-31 18:00:00,267.57,267.88,265.68,266.78,2273.633,1753985699999,605841.88358,2728,809.769,215943.47252,0
1753985700000,2025-07-31 18:15:00,266.76,268.64,266.09,268.54,1242.934,1753986599999,332317.32369,2189,609.478,162985.93617,0
1753986600000,2025-07-31 18:30:00,268.52,269.82,268.4,269.5,1231.574,1753987499999,331444.75187,1695,498.333,134075.56394,0
1753987500000,2025-07-31 18:45:00,269.51,269.91,268.4,268.75,767.517,1753988399999,206573.36104,1738,191.06,51441.35453,0
1753988400000,2025-07-31 19:00:00,268.74,269.14,266.44,266.51,883.604,1753989299999,236580.7452,1918,236.548,63352.0159,0
1753989300000,2025-07-31 19:15:00,266.52,267.78,266.51,267.64,920.521,1753990199999,245768.14971,1827,284.335,75910.44834,0
1753990200000,2025-07-31 19:30:00,267.66,268.41,267.42,268.03,876.404,1753991099999,234748.15576,1882,294.543,78900.02003,0
1753991100000,2025-07-31 19:45:00,268.04,268.39,266.69,266.94,954.296,1753991999999,255001.67715,1821,276.853,73983.09238,0
1753992000000,2025-07-31 20:00:00,266.94,267.6,265.73,266.87,1650.728,1753992899999,440224.67882,2474,782.137,208629.19921,0
1753992900000,2025-07-31 20:15:00,266.88,268.68,266.63,267.98,1278.599,1753993799999,342657.63437,1854,744.391,199519.30772,0
1753993800000,2025-07-31 20:30:00,267.99,268.54,267.37,267.69,815.279,1753994699999,218559.79239,1982,294.099,78832.66431,0
1753994700000,2025-07-31 20:45:00,267.69,267.93,266.36,266.87,1374.921,1753995599999,367386.68702,1732,635.931,169960.8724,0
1753995600000,2025-07-31 21:00:00,266.86,268.11,266.28,266.28,920.293,1753996499999,245807.70563,1538,436.026,116473.22981,0
1753996500000,2025-07-31 21:15:00,266.27,266.97,266.15,266.93,439.192,1753997399999,117093.9039,746,122.094,32548.16607,0
1753997400000,2025-07-31 21:30:00,266.91,267.87,266.29,266.29,719.139,1753998299999,191993.41162,747,359.123,95857.44092,0
1753998300000,2025-07-31 21:45:00,266.25,266.36,264.18,265.88,2433.39,1753999199999,645649.24684,2188,651.603,172688.34318,0
1753999200000,2025-07-31 22:00:00,265.89,265.89,262.6,264.13,5225.867,1754000099999,1378062.62185,3441,1142.981,301859.3715,0
1754000100000,2025-07-31 22:15:00,264.12,264.91,262.7,263.93,1395.662,1754000999999,368031.75415,1967,680.629,179473.72027,0
1754001000000,2025-07-31 22:30:00,263.93,264.0,260.79,261.54,11214.212,1754001899999,2939124.02072,6810,5509.404,1443095.821,0
1754001900000,2025-07-31 22:45:00,261.55,261.8,260.73,261.54,2158.881,1754002799999,563950.51763,2361,951.062,248435.69406,0
1754002800000,2025-07-31 23:00:00,261.55,263.62,261.38,263.46,776.093,1754003699999,204013.17495,1791,381.351,100276.5248,0
1754003700000,2025-07-31 23:15:00,263.49,263.49,261.11,261.29,1381.358,1754004599999,362106.45933,2215,394.775,103558.96242,0
1754004600000,2025-07-31 23:30:00,261.32,261.61,260.0,260.74,2736.688,1754005499999,713383.77135,3988,933.412,243262.29007,0
1754005500000,2025-07-31 23:45:00,260.76,261.26,260.26,260.99,843.446,1754006399999,219984.99978,1831,397.895,103785.18236,0
1754006400000,2025-08-01 00:00:00,260.99,261.31,258.66,259.03,5540.534,1754007299999,1440574.94175,4284,1366.031,355332.0355,0
1754007300000,2025-08-01 00:15:00,259.03,262.2,258.92,259.71,4747.657,1754008199999,1238485.5565,3885,2397.103,625296.38305,0
1754008200000,2025-08-01 00:30:00,259.7,260.09,258.0,258.2,2564.551,1754009099999,663541.46125,2956,578.091,149729.98372,0
1754009100000,2025-08-01 00:45:00,258.21,261.02,254.77,260.39,11443.261,1754009999999,2942949.1348,10672,5662.197,1456966.67624,0
1754010000000,2025-08-01 01:00:00,260.38,261.24,257.24,257.51,2985.903,1754010899999,773925.4514,3925,1362.998,353234.91766,0
1754010900000,2025-08-01 01:15:00,257.53,259.91,257.34,259.09,2044.718,1754011799999,529162.12237,3407,1098.664,284259.70489,0
1754011800000,2025-08-01 01:30:00,259.05,260.62,258.02,260.02,1945.007,1754012699999,504776.28299,3138,1348.716,350089.65698,0
1754012700000,2025-08-01 01:45:00,260.02,260.57,258.14,259.12,1646.792,1754013599999,427184.03737,2812,481.466,124871.82374,0
1754013600000,2025-08-01 02:00:00,259.11,261.1,258.33,261.0,2991.428,1754014499999,777036.50558,3780,1753.037,455741.42526,0
1754014500000,2025-08-01 02:15:00,260.97,262.03,260.16,260.35,2937.925,1754015399999,767889.94687,3579,1479.438,386711.57332,0
1754015400000,2025-08-01 02:30:00,260.37,261.65,259.85,260.79,866.196,1754016299999,225841.44159,2065,451.658,117792.57116,0
1754016300000,2025-08-01 02:45:00,260.78,261.45,260.56,261.2,624.489,1754017199999,163027.19147,1588,310.598,81098.22285,0
1754017200000,2025-08-01 03:00:00,261.21,261.57,260.67,260.98,820.287,1754018099999,214242.09652,1565,418.096,109192.96636,0
1754018100000,2025-08-01 03:15:00,260.97,262.84,260.64,262.46,1547.902,1754018999999,405955.87935,2413,1153.169,302434.82358,0
1754019000000,2025-08-01 03:30:00,262.4,262.49,261.03,261.5,546.222,1754019899999,142972.72502,1166,225.471,58980.10874,0
1754019900000,2025-08-01 03:45:00,261.5,261.91,260.75,261.09,359.566,1754020799999,93883.71418,1159,121.721,31782.62247,0
1754020800000,2025-08-01 04:00:00,261.08,261.08,259.09,260.06,1218.893,1754021699999,316917.61734,2026,493.795,128379.29603,0
1754021700000,2025-08-01 04:15:00,260.05,260.42,259.39,260.19,1181.186,1754022599999,306927.57704,1995,791.819,205769.20703,0
1754022600000,2025-08-01 04:30:00,260.18,260.85,259.43,259.9,574.639,1754023499999,149378.81809,1713,266.421,69268.96735,0
1754023500000,2025-08-01 04:45:00,259.9,260.28,259.2,259.33,388.799,1754024399999,100926.80741,1361,213.679,55460.96678,0
1754024400000,2025-08-01 05:00:00,259.33,260.21,259.06,260.08,411.578,1754025299999,106892.6093,1307,223.135,57950.84075,0
1754025300000,2025-08-01 05:15:00,260.1,260.13,258.12,258.64,943.354,1754026199999,244278.72296,2055,449.429,116401.45396,0
1754026200000,2025-08-01 05:30:00,258.68,260.01,257.74,258.28,1202.75,1754027099999,311227.93952,2470,698.293,180701.05011,0
1754027100000,2025-08-01 05:45:00,258.26,259.0,257.37,258.69,1010.685,1754027999999,261177.52831,2214,570.098,147410.61499,0
1754028000000,2025-08-01 06:00:00,258.67,259.43,257.2,258.26,1950.353,1754028899999,504453.58406,3099,1191.971,308448.15718,0
1754028900000,2025-08-01 06:15:00,258.27,259.05,257.15,257.2,2088.827,1754029799999,539449.55292,3143,1119.394,289148.93807,0
1754029800000,2025-08-01 06:30:00,257.21,257.96,256.0,256.14,2427.682,1754030699999,624279.97008,3101,1032.49,265403.64162,0
