openTime,open,high,low,close,volumn,closeTime,quote_volumn,count,taker_buy_volumn,taker_buy_quote_volumn,ignore
2025-08-24 11:30:00,0.558,0.559,0.557,0.557,5295.3,1756035899999,2955.5479,51,2145.1,1198.1141,0
2025-08-24 11:45:00,0.558,0.559,0.558,0.558,2033.0,1756036799999,1135.6899,24,1206.7,674.3195,0
2025-08-24 12:00:00,0.558,0.559,0.556,0.559,5607.4,1756037699999,3128.6157,69,5347.5,2983.672,0
2025-08-24 12:15:00,0.559,0.559,0.557,0.558,1131.7,1756038599999,631.5742,22,504.3,281.4425,0
2025-08-24 12:30:00,0.559,0.559,0.557,0.559,2970.7,1756039499999,1660.3976,25,2051.4,1146.7231,0
2025-08-24 12:45:00,0.559,0.56,0.558,0.56,4839.0,1756040399999,2708.0882,20,3601.0,2016.1219,0
2025-08-24 13:00:00,0.561,0.562,0.56,0.561,4189.0,1756041299999,2350.9319,27,1985.4,1114.7231,0
2025-08-24 13:15:00,0.562,0.564,0.562,0.564,17454.0,1756042199999,9820.389,77,7070.3,3978.258,0
2025-08-24 13:30:00,0.564,0.566,0.563,0.563,5403.5,1756043099999,3053.3652,48,4613.9,2607.3693,0
2025-08-24 13:45:00,0.563,0.564,0.562,0.562,5695.1,1756043999999,3207.6682,51,2624.0,1478.7032,0
2025-08-24 14:00:00,0.562,0.562,0.559,0.56,5443.6,1756044899999,3048.9354,47,3921.8,2196.6692,0
2025-08-24 14:15:00,0.561,0.564,0.56,0.56,7682.8,1756045799999,4317.7351,53,6636.4,3730.5929,0
2025-08-24 14:30:00,0.56,0.56,0.558,0.56,11910.8,1756046699999,6658.1503,51,4216.0,2360.5302,0
2025-08-24 14:45:00,0.56,0.564,0.56,0.562,9784.0,1756047599999,5503.5778,126,5040.0,2834.0387,0
2025-08-24 15:00:00,0.562,0.567,0.561,0.564,9003.2,1756048499999,5077.6853,118,5260.1,2964.9587,0
2025-08-24 15:15:00,0.565,0.567,0.563,0.566,7396.3,1756049399999,4183.3256,66,5961.5,3372.1054,0
2025-08-24 15:30:00,0.565,0.566,0.563,0.564,4080.5,1756050299999,2307.4108,59,3229.9,1826.9526,0
2025-08-24 15:45:00,0.564,0.564,0.56,0.561,2680.0,1756051199999,1507.5034,39,1553.0,873.3286,0
2025-08-24 16:00:00,0.562,0.566,0.562,0.563,7953.5,1756052099999,4487.839,44,2581.7,1456.3495,0
2025-08-24 16:15:00,0.563,0.564,0.562,0.562,2784.8,1756052999999,1568.1285,44,1325.6,746.6964,0
2025-08-24 16:30:00,0.563,0.565,0.562,0.565,2489.0,1756053899999,1400.6486,32,1182.2,666.0102,0
2025-08-24 16:45:00,0.564,0.567,0.563,0.565,3985.8,1756054799999,2254.9241,32,2015.6,1140.7709,0
2025-08-24 17:00:00,0.566,0.571,0.566,0.571,19796.6,1756055699999,11241.5957,114,18266.4,10372.5213,0
2025-08-24 17:15:00,0.571,0.572,0.569,0.571,7437.0,1756056599999,4236.397,57,837.5,477.678,0
