openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,0.987,0.995,0.97,0.974,143575.2,1753975799999,140864.1807,807,55360.9,54332.0547,0
1753975800000,0.974,0.977,0.955,0.968,119385.2,1753976699999,115423.6892,671,40245.5,38868.6146,0
1753976700000,0.97,0.974,0.953,0.957,116314.4,1753977599999,111716.2994,634,35086.8,33698.3205,0
1753977600000,0.957,0.972,0.953,0.964,110666.1,1753978499999,106583.5612,657,61053.2,58876.947,0
1753978500000,0.963,0.963,0.952,0.956,96318.4,1753979399999,92224.1529,526,42451.5,40651.6775,0
1753979400000,0.956,0.957,0.952,0.952,64818.7,1753980299999,61855.4947,256,15300.0,14618.6081,0
1753980300000,0.954,0.964,0.952,0.963,30937.5,1753981199999,29658.6644,283,22854.9,21912.0935,0
1753981200000,0.962,0.962,0.954,0.955,25318.7,1753982099999,24207.2832,194,7119.6,6809.4131,0
1753982100000,0.954,0.955,0.941,0.942,100570.3,1753982999999,95601.433,386,21773.8,20729.4955,0
1753983000000,0.942,0.944,0.931,0.939,115385.0,1753983899999,108289.5622,552,44111.0,41438.0014,0
1753983900000,0.94,0.96,0.94,0.954,76062.0,1753984799999,72392.9691,325,49600.2,47159.9064,0
1753984800000,0.953,0.956,0.95,0.951,20257.4,1753985699999,19296.3205,145,5931.4,5652.8204,0
1753985700000,0.951,0.954,0.948,0.951,19086.2,1753986599999,18149.7261,195,4938.9,4699.831,0
1753986600000,0.951,0.953,0.947,0.953,21568.6,1753987499999,20488.4639,158,8074.6,7675.6781,0
1753987500000,0.953,0.954,0.944,0.947,33684.8,1753988399999,31954.0351,231,12498.2,11858.6754,0
1753988400000,0.947,0.948,0.943,0.945,24930.4,1753989299999,23572.7317,155,14105.1,13341.2736,0
1753989300000,0.945,0.945,0.937,0.943,22540.3,1753990199999,21193.0262,184,6799.6,6397.4942,0
1753990200000,0.943,0.958,0.942,0.951,67234.1,1753991099999,64038.1894,242,43320.6,41213.3997,0
1753991100000,0.951,0.956,0.946,0.956,28387.7,1753991999999,26986.7811,183,19503.0,18546.4491,0
1753992000000,0.956,0.957,0.943,0.948,23652.2,1753992899999,22441.054,203,8982.6,8517.8662,0
1753992900000,0.948,0.955,0.945,0.953,20488.1,1753993799999,19435.4686,132,7534.4,7170.8307,0
