openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.7563,0.7603,0.7557,0.7594,1431848.8,1753975799999,1086168.16476,4503,654038.6,496233.79831,0
1753975800000,2025-07-31 15:30:00,0.7593,0.7624,0.7593,0.7619,1472059.1,1753976699999,1120646.45298,3027,998772.2,760335.29661,0
1753976700000,2025-07-31 15:45:00,0.7619,0.7631,0.7584,0.7619,1201305.9,1753977599999,914539.20178,2497,690087.1,525297.05385,0
1753977600000,2025-07-31 16:00:00,0.7619,0.7649,0.7605,0.7641,1493618.7,1753978499999,1138793.15469,2914,829766.6,632716.58879,0
1753978500000,2025-07-31 16:15:00,0.7642,0.7679,0.7635,0.7673,1511594.7,1753979399999,1157457.01803,3205,808078.7,618797.63992,0
1753979400000,2025-07-31 16:30:00,0.7673,0.7757,0.7672,0.7732,2610831.4,1753980299999,2017728.92657,5359,1597345.4,1234176.93819,0
1753980300000,2025-07-31 16:45:00,0.7731,0.7739,0.7672,0.7691,1860002.6,1753981199999,1431335.10552,4131,733804.2,564700.79611,0
1753981200000,2025-07-31 17:00:00,0.7691,0.7694,0.7628,0.7637,1669508.8,1753982099999,1276911.04866,5084,690360.4,528081.66993,0
1753982100000,2025-07-31 17:15:00,0.7637,0.7655,0.7574,0.7598,2066061.5,1753982999999,1570656.69788,5362,1093549.3,831232.96559,0
1753983000000,2025-07-31 17:30:00,0.7598,0.7636,0.7591,0.7615,1193185.8,1753983899999,908077.86961,3092,869007.8,661338.69861,0
1753983900000,2025-07-31 17:45:00,0.7616,0.7631,0.7558,0.7574,1713494.8,1753984799999,1298373.038,3626,1040805.4,788431.16343,0
1753984800000,2025-07-31 18:00:00,0.7573,0.7583,0.7512,0.7533,2539517.4,1753985699999,1914919.12999,5427,1031456.7,777709.32089,0
1753985700000,2025-07-31 18:15:00,0.7533,0.7594,0.7512,0.7592,1131173.0,1753986599999,853719.38197,3585,626038.5,472785.16148,0
1753986600000,2025-07-31 18:30:00,0.7591,0.7617,0.7585,0.7602,785199.2,1753987499999,596589.39076,1720,494953.0,375999.553,0
1753987500000,2025-07-31 18:45:00,0.7602,0.7616,0.756,0.7579,845428.1,1753988399999,642130.12355,1970,521689.0,396454.46446,0
1753988400000,2025-07-31 19:00:00,0.7579,0.7595,0.7526,0.7529,1391412.2,1753989299999,1051148.65461,3142,537670.7,406036.93527,0
1753989300000,2025-07-31 19:15:00,0.753,0.7558,0.7523,0.7538,917000.8,1753990199999,691174.18883,2821,505607.6,381128.45313,0
1753990200000,2025-07-31 19:30:00,0.7539,0.7547,0.7514,0.7535,1343920.3,1753991099999,1012000.90259,2882,735685.5,554005.04625,0
1753991100000,2025-07-31 19:45:00,0.7534,0.755,0.7495,0.7517,2564755.2,1753991999999,1927833.42607,5055,1193752.5,897779.57198,0
