openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.0968,0.0978,0.0967,0.0976,190513.84,1753975799999,18555.072226,199,152992.02,14903.875039,0
1753975800000,2025-07-31 15:30:00,0.0976,0.0993,0.0976,0.0986,469911.16,1753976699999,46302.144836,286,333115.95,32796.354295,0
1753976700000,2025-07-31 15:45:00,0.0988,0.0992,0.0981,0.0982,219993.82,1753977599999,21682.98623,188,110829.48,10931.8657,0
1753977600000,2025-07-31 16:00:00,0.0982,0.0985,0.0978,0.0983,418249.86,1753978499999,41016.254022,273,182685.75,17918.234775,0
1753978500000,2025-07-31 16:15:00,0.0984,0.1017,0.0984,0.1005,1450654.01,1753979399999,145722.077434,661,911823.47,91537.350353,0
1753979400000,2025-07-31 16:30:00,0.1005,0.1017,0.1004,0.101,362106.2,1753980299999,36608.565104,303,204770.83,20691.682533,0
1753980300000,2025-07-31 16:45:00,0.101,0.1011,0.1,0.1006,442430.08,1753981199999,44507.942088,370,134812.35,13575.000564,0
1753981200000,2025-07-31 17:00:00,0.1007,0.1007,0.0998,0.1002,246311.7,1753982099999,24682.878954,213,129416.22,12972.856447,0
1753982100000,2025-07-31 17:15:00,0.1003,0.1012,0.0994,0.0998,263609.16,1753982999999,26505.695656,239,107293.01,10792.002979,0
1753983000000,2025-07-31 17:30:00,0.0997,0.1001,0.099,0.0994,54903.05,1753983899999,5465.160855,126,18961.0,1887.741461,0
1753983900000,2025-07-31 17:45:00,0.0995,0.1,0.0984,0.0986,460412.99,1753984799999,45460.44743,274,113161.68,11166.686215,0
1753984800000,2025-07-31 18:00:00,0.0987,0.0987,0.0973,0.0975,135514.43,1753985699999,13226.403276,187,49216.2,4810.118415,0
1753985700000,2025-07-31 18:15:00,0.0977,0.0985,0.0973,0.0985,62809.22,1753986599999,6143.675659,130,20215.48,1978.823099,0
1753986600000,2025-07-31 18:30:00,0.0984,0.0988,0.0982,0.0982,84579.65,1753987499999,8330.866965,123,20589.89,2029.094432,0
1753987500000,2025-07-31 18:45:00,0.0982,0.0986,0.0975,0.0977,87557.62,1753988399999,8585.974611,130,31849.82,3129.518355,0
1753988400000,2025-07-31 19:00:00,0.0978,0.098,0.0968,0.0968,144261.62,1753989299999,14037.373508,266,40076.18,3906.961228,0
1753989300000,2025-07-31 19:15:00,0.097,0.0976,0.0969,0.0973,87372.65,1753990199999,8506.056809,188,49245.26,4794.83236,0
1753990200000,2025-07-31 19:30:00,0.0972,0.0977,0.0972,0.0976,196833.98,1753991099999,19206.44409,125,182238.3,17785.040582,0
1753991100000,2025-07-31 19:45:00,0.0977,0.0978,0.097,0.0974,85718.64,1753991999999,8367.603115,106,42900.81,4193.310182,0
