openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.709,0.712,0.707,0.71,10703.2,1753975799999,7604.0555,96,6845.8,4863.7212,0
1753975800000,2025-07-31 15:30:00,0.711,0.718,0.711,0.715,18220.5,1753976699999,13025.1006,147,10827.9,7742.1709,0
1753976700000,2025-07-31 15:45:00,0.714,0.717,0.71,0.715,31709.6,1753977599999,22653.312,179,19511.1,13950.442,0
1753977600000,2025-07-31 16:00:00,0.714,0.717,0.712,0.715,35652.3,1753978499999,25473.5257,239,15580.8,11129.8757,0
1753978500000,2025-07-31 16:15:00,0.716,0.721,0.716,0.721,17372.3,1753979399999,12479.3012,164,10202.3,7328.4436,0
1753979400000,2025-07-31 16:30:00,0.72,0.728,0.72,0.726,23702.4,1753980299999,17187.9216,218,9170.5,6653.4347,0
1753980300000,2025-07-31 16:45:00,0.726,0.726,0.721,0.725,15883.7,1753981199999,11511.8983,156,11113.4,8056.2844,0
1753981200000,2025-07-31 17:00:00,0.725,0.725,0.719,0.721,22061.4,1753982099999,15905.1417,200,9310.9,6714.8848,0
1753982100000,2025-07-31 17:15:00,0.721,0.723,0.714,0.717,9485.6,1753982999999,6818.5155,88,3760.3,2704.7461,0
1753983000000,2025-07-31 17:30:00,0.716,0.72,0.715,0.717,9532.6,1753983899999,6839.2071,130,6112.7,4384.8538,0
1753983900000,2025-07-31 17:45:00,0.717,0.717,0.711,0.712,10156.9,1753984799999,7251.9643,126,4413.8,3153.4465,0
1753984800000,2025-07-31 18:00:00,0.713,0.713,0.706,0.708,17610.2,1753985699999,12484.2365,147,8084.9,5738.375,0
1753985700000,2025-07-31 18:15:00,0.707,0.714,0.706,0.714,15703.5,1753986599999,11152.6841,116,6941.1,4931.6687,0
1753986600000,2025-07-31 18:30:00,0.714,0.717,0.714,0.714,1657.3,1753987499999,1184.1042,32,1206.8,862.158,0
1753987500000,2025-07-31 18:45:00,0.715,0.716,0.711,0.712,6536.7,1753988399999,4664.7643,57,3103.1,2216.6526,0
1753988400000,2025-07-31 19:00:00,0.713,0.714,0.706,0.706,8079.7,1753989299999,5745.7197,76,3690.9,2625.4059,0
1753989300000,2025-07-31 19:15:00,0.707,0.71,0.706,0.709,6858.1,1753990199999,4860.4921,69,4007.3,2840.4531,0
1753990200000,2025-07-31 19:30:00,0.709,0.71,0.708,0.71,5501.0,1753991099999,3899.7952,84,1837.0,1302.8061,0
1753991100000,2025-07-31 19:45:00,0.71,0.71,0.706,0.708,4276.7,1753991999999,3029.7566,41,2020.8,1432.5722,0
1753992000000,2025-07-31 20:00:00,0.707,0.708,0.699,0.704,42797.8,1753992899999,30101.8048,477,15850.0,11147.7744,0
1753992900000,2025-07-31 20:15:00,0.703,0.708,0.702,0.705,13627.2,1753993799999,9610.0653,63,1348.4,951.4524,0
1753993800000,2025-07-31 20:30:00,0.705,0.707,0.7,0.703,12129.8,1753994699999,8526.8349,162,6337.3,4459.6712,0
1753994700000,2025-07-31 20:45:00,0.703,0.704,0.7,0.702,3996.0,1753995599999,2805.9064,65,2453.2,1722.6445,0
1753995600000,2025-07-31 21:00:00,0.702,0.704,0.7,0.7,6536.6,1753996499999,4585.7346,141,4779.7,3352.9025,0
1753996500000,2025-07-31 21:15:00,0.7,0.702,0.698,0.702,5035.0,1753997399999,3522.7115,102,2870.5,2008.626,0
1753997400000,2025-07-31 21:30:00,0.702,0.707,0.701,0.702,11607.9,1753998299999,8169.2235,157,5042.3,3545.1778,0
1753998300000,2025-07-31 21:45:00,0.701,0.703,0.693,0.698,26504.8,1753999199999,18488.2826,298,14272.9,9960.1706,0
1753999200000,2025-07-31 22:00:00,0.699,0.699,0.692,0.694,15184.7,1754000099999,10575.1,199,11094.9,7724.6831,0
1754000100000,2025-07-31 22:15:00,0.694,0.696,0.693,0.694,6435.8,1754000999999,4469.1723,83,2727.6,1894.3579,0
1754001000000,2025-07-31 22:30:00,0.694,0.694,0.69,0.693,19935.2,1754001899999,13800.0185,345,12411.9,8590.7848,0
1754001900000,2025-07-31 22:45:00,0.693,0.695,0.691,0.695,10560.9,1754002799999,7319.2954,174,7793.1,5402.0479,0
1754002800000,2025-07-31 23:00:00,0.694,0.699,0.694,0.697,13461.1,1754003699999,9378.6296,247,11559.8,8053.3587,0
1754003700000,2025-07-31 23:15:00,0.696,0.698,0.694,0.694,14631.9,1754004599999,10179.0648,157,6381.6,4441.945,0
1754004600000,2025-07-31 23:30:00,0.692,0.693,0.687,0.69,51510.4,1754005499999,35536.8878,733,39749.4,27433.6231,0
1754005500000,2025-07-31 23:45:00,0.691,0.693,0.689,0.692,11088.9,1754006399999,7657.0083,125,5159.5,3564.2644,0
1754006400000,2025-08-01 00:00:00,0.692,0.692,0.676,0.68,87526.2,1754007299999,59782.1665,801,52522.2,35873.955,0
1754007300000,2025-08-01 00:15:00,0.68,0.689,0.68,0.682,36210.5,1754008199999,24765.1872,354,23482.6,16042.0362,0
1754008200000,2025-08-01 00:30:00,0.682,0.682,0.674,0.675,61986.9,1754009099999,41974.662,421,25598.5,17322.4155,0
1754009100000,2025-08-01 00:45:00,0.674,0.681,0.664,0.679,111431.8,1754009999999,74547.6934,1149,55958.6,37424.1989,0
1754010000000,2025-08-01 01:00:00,0.678,0.683,0.675,0.675,41175.1,1754010899999,27978.1947,351,26008.9,17677.9645,0
1754010900000,2025-08-01 01:15:00,0.676,0.681,0.674,0.679,28450.8,1754011799999,19294.955,247,19918.7,13514.6031,0
1754011800000,2025-08-01 01:30:00,0.681,0.684,0.677,0.684,15850.4,1754012699999,10797.3097,103,6926.3,4716.448,0
1754012700000,2025-08-01 01:45:00,0.684,0.684,0.679,0.682,13357.9,1754013599999,9105.7582,111,8405.1,5730.774,0
1754013600000,2025-08-01 02:00:00,0.682,0.689,0.681,0.689,14827.1,1754014499999,10145.9037,151,8515.6,5831.9356,0
1754014500000,2025-08-01 02:15:00,0.689,0.691,0.686,0.686,7675.1,1754015399999,5289.189,67,5512.3,3799.4474,0
1754015400000,2025-08-01 02:30:00,0.687,0.692,0.686,0.69,11370.5,1754016299999,7844.1094,73,8398.3,5795.4001,0
1754016300000,2025-08-01 02:45:00,0.688,0.691,0.688,0.69,2853.6,1754017199999,1967.9661,34,2693.8,1857.8455,0
1754017200000,2025-08-01 03:00:00,0.69,0.692,0.688,0.689,11701.1,1754018099999,8064.9644,62,3021.8,2086.1964,0
