openTime,open,high,low,close,volumn,closeTime,quote_volumn,count,taker_buy_volumn,taker_buy_quote_volumn,ignore
2025-08-24 11:30:00,1.843,1.848,1.836,1.838,9833.94,1756035899999,18095.22379,170,2132.91,3929.54917,0
2025-08-24 11:45:00,1.838,1.844,1.835,1.836,4287.71,1756036799999,7892.36392,129,1052.74,1935.40541,0
2025-08-24 12:00:00,1.835,1.835,1.828,1.829,8613.0,1756037699999,15767.51123,139,3531.95,6465.36907,0
2025-08-24 12:15:00,1.831,1.836,1.828,1.834,3024.68,1756038599999,5539.10031,103,1824.24,3342.98797,0
2025-08-24 12:30:00,1.833,1.835,1.832,1.835,1043.07,1756039499999,1912.88034,45,920.89,1688.93747,0
2025-08-24 12:45:00,1.835,1.835,1.829,1.832,3339.67,1756040399999,6116.64038,50,2805.2,5136.49489,0
2025-08-24 13:00:00,1.833,1.833,1.824,1.83,7249.12,1756041299999,13252.29756,102,2358.18,4314.80224,0
2025-08-24 13:15:00,1.829,1.834,1.829,1.832,3243.99,1756042199999,5943.8399,43,2523.04,4622.82116,0
2025-08-24 13:30:00,1.833,1.833,1.826,1.826,1337.99,1756043099999,2445.92719,35,221.17,404.26161,0
2025-08-24 13:45:00,1.827,1.827,1.82,1.823,7472.54,1756043999999,13624.66801,77,1674.09,3051.89913,0
2025-08-24 14:00:00,1.823,1.823,1.815,1.82,11210.09,1756044899999,20384.00346,149,5131.04,9332.30584,0
2025-08-24 14:15:00,1.82,1.828,1.82,1.821,7796.27,1756045799999,14206.69599,116,6414.0,11689.01553,0
2025-08-24 14:30:00,1.82,1.821,1.812,1.82,19320.28,1756046699999,35066.79843,229,7587.08,13788.23558,0
2025-08-24 14:45:00,1.818,1.822,1.818,1.82,2129.17,1756047599999,3874.89082,51,1834.13,3338.38751,0
2025-08-24 15:00:00,1.818,1.828,1.816,1.826,12106.48,1756048499999,22043.12558,161,6590.74,12011.30583,0
2025-08-24 15:15:00,1.825,1.832,1.822,1.828,5241.81,1756049399999,9570.76008,95,3769.52,6878.4537,0
2025-08-24 15:30:00,1.828,1.829,1.816,1.822,15592.83,1756050299999,28398.29441,133,5197.6,9459.77658,0
2025-08-24 15:45:00,1.822,1.822,1.818,1.818,1311.89,1756051199999,2386.22611,41,44.94,81.7169,0
2025-08-24 16:00:00,1.819,1.831,1.819,1.822,9045.23,1756052099999,16514.30951,120,5157.97,9422.95591,0
2025-08-24 16:15:00,1.823,1.823,1.814,1.814,2558.29,1756052999999,4655.25135,37,1197.37,2178.23987,0
2025-08-24 16:30:00,1.814,1.823,1.813,1.819,7784.48,1756053899999,14135.84515,106,2866.79,5208.36951,0
2025-08-24 16:45:00,1.819,1.827,1.817,1.827,2017.75,1756054799999,3675.05084,71,1523.75,2777.31573,0
