openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.5876,0.5902,0.5871,0.5893,37937.52,1753975799999,22340.1735,837,21803.78,12838.283826,0
1753975800000,2025-07-31 15:30:00,0.5893,0.5922,0.588,0.5899,960394.13,1753976699999,567455.341079,3170,273025.75,161445.698238,0
1753976700000,2025-07-31 15:45:00,0.59,0.5913,0.5871,0.5897,193468.3,1753977599999,114023.964574,1265,55505.32,32726.086986,0
1753977600000,2025-07-31 16:00:00,0.5897,0.5921,0.589,0.5919,75922.03,1753978499999,44788.331078,709,29002.94,17111.823558,0
1753978500000,2025-07-31 16:15:00,0.592,0.5963,0.592,0.5955,85823.93,1753979399999,51025.055526,726,61818.96,36758.51235,0
1753979400000,2025-07-31 16:30:00,0.5953,0.6012,0.5952,0.5996,70692.15,1753980299999,42380.631609,822,43261.41,25932.295956,0
1753980300000,2025-07-31 16:45:00,0.5997,0.6,0.596,0.598,50888.36,1753981199999,30418.591418,576,31281.06,18690.532232,0
1753981200000,2025-07-31 17:00:00,0.5981,0.5981,0.5944,0.5972,31638.65,1753982099999,18864.026266,623,18665.82,11130.114853,0
1753982100000,2025-07-31 17:15:00,0.5971,0.5998,0.5932,0.5946,54303.1,1753982999999,32381.365944,1276,31670.4,18886.581906,0
1753983000000,2025-07-31 17:30:00,0.5947,0.5966,0.5921,0.5937,44610.27,1753983899999,26527.810287,792,31028.16,18454.997513,0
1753983900000,2025-07-31 17:45:00,0.5937,0.5946,0.5887,0.5905,24558.36,1753984799999,14502.644799,671,9686.59,5721.701352,0
1753984800000,2025-07-31 18:00:00,0.5906,0.591,0.5846,0.5867,57455.3,1753985699999,33726.746119,875,25303.92,14860.562172,0
1753985700000,2025-07-31 18:15:00,0.5866,0.5909,0.5846,0.5908,32393.64,1753986599999,19051.664673,743,20119.42,11835.995198,0
1753986600000,2025-07-31 18:30:00,0.5907,0.5926,0.5905,0.5915,21822.81,1753987499999,12913.461102,546,11533.0,6825.756165,0
1753987500000,2025-07-31 18:45:00,0.5915,0.5925,0.5889,0.5902,12870.73,1753988399999,7607.628166,445,4774.6,2822.7689,0
1753988400000,2025-07-31 19:00:00,0.5903,0.5912,0.5849,0.5849,20925.29,1753989299999,12312.104325,545,6577.09,3876.297895,0
1753989300000,2025-07-31 19:15:00,0.585,0.5879,0.5849,0.5872,32239.74,1753990199999,18910.751645,476,14065.35,8249.970399,0
1753990200000,2025-07-31 19:30:00,0.5873,0.5883,0.5859,0.5878,17541.5,1753991099999,10305.421001,425,9737.18,5721.499223,0
1753991100000,2025-07-31 19:45:00,0.5878,0.5888,0.5852,0.5867,32202.37,1753991999999,18905.90698,636,21121.77,12403.468878,0
1753992000000,2025-07-31 20:00:00,0.5865,0.5867,0.5811,0.5838,96489.07,1753992899999,56295.013124,1350,56528.48,32984.872301,0
1753992900000,2025-07-31 20:15:00,0.5839,0.5871,0.5829,0.5852,48291.18,1753993799999,28225.726644,824,25380.5,14837.816076,0
1753993800000,2025-07-31 20:30:00,0.5852,0.5865,0.5831,0.5852,36608.33,1753994699999,21419.61231,682,23005.69,13461.973006,0
1753994700000,2025-07-31 20:45:00,0.5852,0.5857,0.5815,0.5825,44547.24,1753995599999,26013.39676,570,20432.42,11924.574445,0
1753995600000,2025-07-31 21:00:00,0.5824,0.5839,0.5807,0.5818,40086.83,1753996499999,23327.627406,658,20248.96,11783.346778,0
1753996500000,2025-07-31 21:15:00,0.5817,0.5829,0.5804,0.5828,18842.64,1753997399999,10956.07358,373,12013.71,6985.564991,0
1753997400000,2025-07-31 21:30:00,0.583,0.5856,0.5827,0.5836,13467.14,1753998299999,7864.924472,371,8706.99,5084.563772,0
1753998300000,2025-07-31 21:45:00,0.5836,0.585,0.5764,0.5808,153121.4,1753999199999,88897.998628,1624,89356.5,51945.81413,0
1753999200000,2025-07-31 22:00:00,0.581,0.581,0.5761,0.5779,49209.53,1754000099999,28448.477045,1244,19953.75,11535.985888,0
1754000100000,2025-07-31 22:15:00,0.5779,0.5802,0.5767,0.5783,34542.68,1754000999999,19980.365529,880,13880.48,8029.084286,0
1754001000000,2025-07-31 22:30:00,0.5784,0.5784,0.5725,0.575,103552.63,1754001899999,59490.745356,1185,57259.72,32892.994433,0
1754001900000,2025-07-31 22:45:00,0.575,0.5759,0.5733,0.5749,14067.89,1754002799999,8083.149055,538,6864.03,3943.97322,0
1754002800000,2025-07-31 23:00:00,0.5748,0.5793,0.5746,0.5776,52833.13,1754003699999,30512.860338,914,25678.35,14838.585553,0
1754003700000,2025-07-31 23:15:00,0.5776,0.5776,0.5745,0.5747,17406.0,1754004599999,10026.411009,608,5473.04,3153.286703,0
1754004600000,2025-07-31 23:30:00,0.5745,0.5745,0.5697,0.5724,106795.98,1754005499999,61028.212242,2043,56234.89,32129.718532,0
1754005500000,2025-07-31 23:45:00,0.5725,0.5734,0.571,0.572,43000.43,1754006399999,24611.453793,708,18656.12,10680.890192,0
1754006400000,2025-08-01 00:00:00,0.5719,0.5724,0.5617,0.5634,279197.98,1754007299999,157931.318242,2316,127780.4,72317.557814,0
1754007300000,2025-08-01 00:15:00,0.5633,0.5707,0.5633,0.5662,78534.04,1754008199999,44506.248724,1425,48278.79,27346.578495,0
1754008200000,2025-08-01 00:30:00,0.5661,0.5668,0.5617,0.5633,84951.07,1754009099999,47908.881989,1209,18262.97,10305.940819,0
1754009100000,2025-08-01 00:45:00,0.5635,0.5666,0.5512,0.5655,572253.64,1754009999999,318881.030486,6557,283844.9,158084.208963,0
1754010000000,2025-08-01 01:00:00,0.5654,0.5687,0.5611,0.5618,110300.39,1754010899999,62391.032886,1503,56286.34,31846.747964,0
1754010900000,2025-08-01 01:15:00,0.5618,0.5658,0.5602,0.5642,72714.33,1754011799999,40946.491996,1813,38528.83,21699.823156,0
1754011800000,2025-08-01 01:30:00,0.5643,0.5686,0.5618,0.5669,54204.61,1754012699999,30685.735461,1305,22675.96,12837.457439,0
1754012700000,2025-08-01 01:45:00,0.5672,0.5679,0.5634,0.5658,45616.53,1754013599999,25816.020856,1095,27817.38,15751.188691,0
1754013600000,2025-08-01 02:00:00,0.5657,0.5702,0.5638,0.57,50986.2,1754014499999,28924.302014,1117,27229.76,15443.634023,0
1754014500000,2025-08-01 02:15:00,0.5699,0.572,0.5684,0.5687,65402.55,1754015399999,37263.111665,778,13401.47,7648.72238,0
1754015400000,2025-08-01 02:30:00,0.5688,0.5725,0.5686,0.5702,27082.04,1754016299999,15446.471601,533,14811.47,8448.91276,0
1754016300000,2025-08-01 02:45:00,0.5701,0.5721,0.5695,0.5719,26832.26,1754017199999,15319.758267,534,13608.98,7774.468456,0
1754017200000,2025-08-01 03:00:00,0.572,0.573,0.5707,0.571,29599.1,1754018099999,16926.854968,633,10649.7,6087.925793,0
1754018100000,2025-08-01 03:15:00,0.5711,0.5749,0.5705,0.5743,74465.35,1754018999999,42718.209831,686,49722.01,28520.267204,0
1754019000000,2025-08-01 03:30:00,0.5744,0.5748,0.573,0.5741,27576.22,1754019899999,15833.739788,450,8145.34,4675.000899,0
1754019900000,2025-08-01 03:45:00,0.5742,0.5752,0.5714,0.5726,20835.11,1754020799999,11938.199619,425,8517.88,4881.265752,0
1754020800000,2025-08-01 04:00:00,0.5724,0.5725,0.568,0.5693,45920.0,1754021699999,26172.299384,678,18408.99,10493.442646,0
1754021700000,2025-08-01 04:15:00,0.5692,0.5696,0.5667,0.5677,88771.12,1754022599999,50389.695787,898,63403.21,35987.18069,0
1754022600000,2025-08-01 04:30:00,0.5676,0.5703,0.5666,0.569,87443.06,1754023499999,49700.263849,811,63840.81,36281.607672,0
1754023500000,2025-08-01 04:45:00,0.5688,0.5692,0.5668,0.567,65051.4,1754024399999,36951.8693,700,43251.74,24572.4507,0
1754024400000,2025-08-01 05:00:00,0.567,0.5688,0.5667,0.5682,52753.84,1754025299999,29943.272763,626,34749.5,19719.822888,0
1754025300000,2025-08-01 05:15:00,0.5682,0.5682,0.5637,0.5653,76516.09,1754026199999,43275.442222,842,43002.57,24323.592935,0
1754026200000,2025-08-01 05:30:00,0.5655,0.5682,0.5627,0.5643,44434.87,1754027099999,25087.883716,793,22516.21,12713.881303,0
1754027100000,2025-08-01 05:45:00,0.5642,0.5642,0.5611,0.5627,109622.58,1754027999999,61647.105101,868,52347.55,29439.417956,0
1754028000000,2025-08-01 06:00:00,0.5628,0.564,0.5588,0.5612,75637.52,1754028899999,42447.272534,947,48714.16,27334.410122,0
1754028900000,2025-08-01 06:15:00,0.5613,0.563,0.5593,0.5597,38634.48,1754029799999,21674.789842,925,16025.39,8994.374073,0
1754029800000,2025-08-01 06:30:00,0.5598,0.5623,0.558,0.5584,68487.26,1754030699999,38372.276923,877,25139.08,14085.911865,0
1754030700000,2025-08-01 06:45:00,0.5583,0.564,0.5581,0.5634,92451.58,1754031599999,51875.187052,774,82160.98,46090.483249,0
1754031600000,2025-08-01 07:00:00,0.5636,0.5654,0.5606,0.5617,38745.12,1754032499999,21822.522143,834,12228.1,6889.746352,0
1754032500000,2025-08-01 07:15:00,0.5619,0.5647,0.5602,0.5602,68148.98,1754033399999,38358.939566,851,36438.79,20537.617527,0
1754033400000,2025-08-01 07:30:00,0.5604,0.5626,0.5597,0.5621,58258.17,1754034299999,32663.731271,828,40756.02,22849.431197,0
1754034300000,2025-08-01 07:45:00,0.562,0.5623,0.5598,0.5619,58477.82,1754035199999,32822.410761,851,29550.29,16595.391839,0
1754035200000,2025-08-01 08:00:00,0.5617,0.5617,0.5496,0.5548,188920.75,1754036099999,104697.027604,2415,98735.35,54740.407035,0
1754036100000,2025-08-01 08:15:00,0.5547,0.5575,0.5529,0.5545,65861.91,1754036999999,36580.923015,1366,29996.29,16659.094979,0
1754037000000,2025-08-01 08:30:00,0.5546,0.5598,0.5526,0.559,102023.83,1754037899999,56717.445538,1671,54783.03,30468.924018,0
1754037900000,2025-08-01 08:45:00,0.5589,0.5607,0.5554,0.5554,29391.89,1754038799999,16425.35476,801,12895.92,7208.932727,0
1754038800000,2025-08-01 09:00:00,0.5553,0.5614,0.555,0.5568,106297.55,1754039699999,59452.65368,1394,63252.05,35378.701409,0
1754039700000,2025-08-01 09:15:00,0.5566,0.5598,0.5559,0.5588,54763.28,1754040599999,30587.893674,816,36553.66,20422.845282,0
1754040600000,2025-08-01 09:30:00,0.5589,0.5601,0.5572,0.5592,72793.07,1754041499999,40626.837424,705,33282.51,18579.683099,0
1754041500000,2025-08-01 09:45:00,0.5591,0.5591,0.5548,0.5551,88842.43,1754042399999,49382.814181,859,28698.43,15952.823022,0
1754042400000,2025-08-01 10:00:00,0.5552,0.5601,0.555,0.5601,177412.45,1754043299999,99086.228872,1235,115694.04,64619.652057,0
1754043300000,2025-08-01 10:15:00,0.5602,0.5621,0.5587,0.5604,361638.2,1754044199999,202730.297583,2799,234253.45,131338.517022,0
1754044200000,2025-08-01 10:30:00,0.5604,0.5607,0.5574,0.5597,460220.33,1754045099999,257168.503032,1964,99243.08,55490.253064,0
1754045100000,2025-08-01 10:45:00,0.5596,0.5601,0.5575,0.559,24503.39,1754045999999,13684.800184,588,8962.92,5005.462387,0
1754046000000,2025-08-01 11:00:00,0.5591,0.5595,0.5571,0.5585,22076.46,1754046899999,12322.523135,429,10549.86,5889.955206,0
1754046900000,2025-08-01 11:15:00,0.5586,0.5592,0.5569,0.5578,17773.08,1754047799999,9916.266559,483,8605.0,4800.996408,0
1754047800000,2025-08-01 11:30:00,0.5576,0.5613,0.5574,0.5607,21580.2,1754048699999,12070.980521,465,14370.93,8037.13981,0
1754048700000,2025-08-01 11:45:00,0.5607,0.5641,0.5605,0.563,38326.28,1754049599999,21571.464447,529,18006.47,10135.187869,0
1754049600000,2025-08-01 12:00:00,0.5629,0.5662,0.562,0.5643,51630.74,1754050499999,29167.112985,762,21657.96,12240.586149,0
1754050500000,2025-08-01 12:15:00,0.5642,0.5644,0.5615,0.563,64590.2,1754051399999,36328.016886,546,24252.14,13644.556068,0
1754051400000,2025-08-01 12:30:00,0.563,0.5692,0.5607,0.5676,196872.09,1754052299999,111279.701836,2327,85184.24,48227.409618,0
1754052300000,2025-08-01 12:45:00,0.5675,0.5675,0.563,0.5659,148443.89,1754053199999,83987.467128,1351,94626.27,53558.90839,0
1754053200000,2025-08-01 13:00:00,0.566,0.5679,0.5654,0.5666,40190.98,1754054099999,22781.30263,734,17103.88,9695.654414,0
1754054100000,2025-08-01 13:15:00,0.5667,0.5681,0.5637,0.5649,87289.65,1754054999999,49386.682573,1070,36721.66,20792.42525,0
1754055000000,2025-08-01 13:30:00,0.5648,0.566,0.5596,0.5598,70403.62,1754055899999,39669.975151,1578,27998.91,15786.439711,0
1754055900000,2025-08-01 13:45:00,0.5596,0.56,0.5502,0.5538,221783.58,1754056799999,122932.303169,3088,104446.82,57821.707772,0
1754056800000,2025-08-01 14:00:00,0.5536,0.562,0.55,0.5618,251518.73,1754057699999,139471.668327,2652,127506.42,70778.488626,0
1754057700000,2025-08-01 14:15:00,0.5616,0.5679,0.5615,0.5676,158200.91,1754058599999,89323.034408,1479,86319.65,48731.054857,0
1754058600000,2025-08-01 14:30:00,0.5675,0.5695,0.566,0.566,92180.18,1754059499999,52352.202118,976,25727.42,14614.889515,0
1754059500000,2025-08-01 14:45:00,0.566,0.5694,0.566,0.5678,60080.35,1754060399999,34133.138563,1038,19198.22,10907.714607,0
1754060400000,2025-08-01 15:00:00,0.5679,0.5681,0.563,0.5643,66953.05,1754061299999,37833.423855,1101,28304.41,16000.254325,0
1754061300000,2025-08-01 15:15:00,0.5644,0.5648,0.5596,0.5618,77204.02,1754062199999,43360.639322,1399,38871.46,21831.888042,0
1754062200000,2025-08-01 15:30:00,0.5619,0.5671,0.5607,0.5665,50134.0,1754063099999,28242.746096,937,25459.22,14343.765458,0
1754063100000,2025-08-01 15:45:00,0.5667,0.5672,0.5648,0.5658,34818.36,1754063999999,19709.687679,647,14135.9,8005.951672,0
1754064000000,2025-08-01 16:00:00,0.5658,0.5693,0.5651,0.5682,44486.63,1754064899999,25229.123159,662,15891.21,9015.241065,0
1754064900000,2025-08-01 16:15:00,0.5683,0.5697,0.5676,0.5688,41134.38,1754065799999,23401.245237,574,18019.21,10251.487229,0
1754065800000,2025-08-01 16:30:00,0.5687,0.5687,0.563,0.5664,30819.6,1754066699999,17429.52934,709,11441.74,6467.1897,0
1754066700000,2025-08-01 16:45:00,0.5664,0.5668,0.5582,0.56,43710.38,1754067599999,24539.568351,963,15835.1,8885.646218,0
1754067600000,2025-08-01 17:00:00,0.5601,0.5602,0.556,0.5579,56441.19,1754068499999,31485.318771,1261,34987.62,19516.187129,0
1754068500000,2025-08-01 17:15:00,0.5577,0.5602,0.5572,0.5589,43819.35,1754069399999,24485.492792,833,23079.57,12895.628554,0
1754069400000,2025-08-01 17:30:00,0.559,0.5629,0.5556,0.558,78561.25,1754070299999,43963.836232,1249,35524.51,19893.570597,0
1754070300000,2025-08-01 17:45:00,0.5579,0.5583,0.5553,0.5569,42109.81,1754071199999,23422.355011,710,29614.07,16469.500415,0
1754071200000,2025-08-01 18:00:00,0.557,0.5593,0.5542,0.5563,64507.83,1754072099999,35896.327498,1259,33277.26,18513.510732,0
1754072100000,2025-08-01 18:15:00,0.5564,0.5605,0.5516,0.5585,315405.17,1754072999999,174818.116371,2075,63257.77,35094.422544,0
1754073000000,2025-08-01 18:30:00,0.5584,0.5613,0.558,0.559,85182.54,1754073899999,47668.649183,1267,26625.43,14908.583199,0
1754073900000,2025-08-01 18:45:00,0.5589,0.5604,0.5547,0.5563,59585.26,1754074799999,33199.255676,1133,24455.12,13630.668881,0
1754074800000,2025-08-01 19:00:00,0.5562,0.5595,0.5559,0.5582,61327.34,1754075699999,34199.264179,1109,34763.79,19388.43991,0
1754075700000,2025-08-01 19:15:00,0.5581,0.5595,0.5555,0.5587,194140.31,1754076599999,108362.172741,1972,66433.22,37080.578151,0
1754076600000,2025-08-01 19:30:00,0.5588,0.5636,0.5577,0.5607,87359.42,1754077499999,48980.449843,1318,48035.02,26935.306189,0
1754077500000,2025-08-01 19:45:00,0.5607,0.5639,0.5605,0.5632,68662.94,1754078399999,38632.110519,1009,36249.17,20389.780152,0
1754078400000,2025-08-01 20:00:00,0.5631,0.565,0.5553,0.5562,147079.43,1754079299999,82430.674127,1598,69612.91,39013.856216,0
1754079300000,2025-08-01 20:15:00,0.5561,0.5626,0.5539,0.5604,2012587.05,1754080199999,1123812.343554,5631,821320.89,458250.341442,0
1754080200000,2025-08-01 20:30:00,0.5603,0.5605,0.5516,0.5548,1599250.35,1754081099999,884724.860773,3740,908445.31,502238.209,0
1754081100000,2025-08-01 20:45:00,0.5547,0.5617,0.5532,0.5607,80013.64,1754081999999,44617.876177,1413,44525.8,24822.224098,0
1754082000000,2025-08-01 21:00:00,0.5608,0.5643,0.5599,0.564,117334.58,1754082899999,66003.613676,1215,40244.84,22635.18985,0
1754082900000,2025-08-01 21:15:00,0.5641,0.5646,0.5612,0.5623,45105.2,1754083799999,25382.797241,500,23840.16,13416.186966,0
1754083800000,2025-08-01 21:30:00,0.5625,0.564,0.5621,0.5629,17075.79,1754084699999,9618.507191,292,11242.51,6332.630941,0
1754084700000,2025-08-01 21:45:00,0.5628,0.5633,0.5607,0.5608,10473.88,1754085599999,5884.936467,287,5868.64,3296.731408,0
1754085600000,2025-08-01 22:00:00,0.5609,0.5614,0.5525,0.5539,70786.55,1754086499999,39353.662262,1259,25374.15,14103.553334,0
1754086500000,2025-08-01 22:15:00,0.5538,0.5553,0.5412,0.544,407078.15,1754087399999,222608.469853,3351,182602.36,99715.546769,0
1754087400000,2025-08-01 22:30:00,0.5442,0.546,0.5368,0.544,485033.81,1754088299999,262215.176361,4825,264440.53,142938.967432,0
1754088300000,2025-08-01 22:45:00,0.5441,0.5476,0.5419,0.5456,114743.81,1754089199999,62563.434231,1862,59849.26,32610.609579,0
1754089200000,2025-08-01 23:00:00,0.5457,0.5523,0.5447,0.5509,83682.93,1754090099999,45828.732241,1284,49767.47,27257.399376,0
1754090100000,2025-08-01 23:15:00,0.551,0.5541,0.5509,0.5526,28284.93,1754090999999,15633.135146,636,9836.09,5434.721678,0
1754091000000,2025-08-01 23:30:00,0.5525,0.5552,0.5507,0.5549,36147.79,1754091899999,20001.9802,702,16088.37,8902.988593,0
1754091900000,2025-08-01 23:45:00,0.5549,0.555,0.5529,0.5529,22752.2,1754092799999,12605.021308,392,11222.1,6217.541244,0
1754092800000,2025-08-02 00:00:00,0.5529,0.5549,0.552,0.5535,53037.94,1754093699999,29328.72621,851,26364.86,14584.17965,0
1754093700000,2025-08-02 00:15:00,0.5535,0.5569,0.5535,0.5565,34318.59,1754094599999,19073.933142,510,17541.11,9748.68847,0
1754094600000,2025-08-02 00:30:00,0.5565,0.5578,0.5557,0.5562,24758.54,1754095499999,13785.335234,469,11981.59,6670.474343,0
1754095500000,2025-08-02 00:45:00,0.5564,0.5584,0.5563,0.5582,37309.54,1754096399999,20801.121645,523,11426.37,6369.448753,0
1754096400000,2025-08-02 01:00:00,0.5584,0.5588,0.5569,0.5583,10947.69,1754097299999,6109.926412,295,4184.52,2335.137608,0
1754097300000,2025-08-02 01:15:00,0.5584,0.5596,0.555,0.5563,23088.03,1754098199999,12864.762722,366,6502.51,3623.936705,0
1754098200000,2025-08-02 01:30:00,0.5564,0.5586,0.5553,0.5583,12506.58,1754099099999,6968.953292,289,5548.58,3092.906312,0
1754099100000,2025-08-02 01:45:00,0.5583,0.5592,0.5574,0.559,10736.36,1754099999999,5993.611761,233,4931.99,2753.271548,0
1754100000000,2025-08-02 02:00:00,0.5589,0.5589,0.5573,0.5575,9244.99,1754100899999,5158.590428,191,1259.01,702.577456,0
1754100900000,2025-08-02 02:15:00,0.5576,0.5576,0.556,0.5563,15491.71,1754101799999,8623.171197,188,7946.89,4421.843695,0
1754101800000,2025-08-02 02:30:00,0.5563,0.5567,0.5554,0.5565,9455.73,1754102699999,5259.157439,178,3911.95,2176.131122,0
1754102700000,2025-08-02 02:45:00,0.5565,0.5568,0.5557,0.5564,6953.83,1754103599999,3868.591958,199,2011.97,1119.407089,0
1754103600000,2025-08-02 03:00:00,0.5565,0.5579,0.5563,0.5571,7568.61,1754104499999,4217.520207,231,2360.12,1315.094189,0
1754104500000,2025-08-02 03:15:00,0.5571,0.5571,0.5557,0.5566,25347.08,1754105399999,14109.826858,279,20405.86,11359.607588,0
1754105400000,2025-08-02 03:30:00,0.5567,0.5576,0.5563,0.5571,4090.49,1754106299999,2278.874714,140,762.46,424.750386,0
1754106300000,2025-08-02 03:45:00,0.5571,0.5571,0.5558,0.5567,4305.76,1754107199999,2395.636861,156,1507.6,838.826956,0
1754107200000,2025-08-02 04:00:00,0.5567,0.5582,0.5563,0.5572,11945.62,1754108099999,6657.284467,237,2772.2,1544.701442,0
1754108100000,2025-08-02 04:15:00,0.5571,0.5579,0.556,0.5577,8187.73,1754108999999,4559.076449,235,3734.22,2079.298499,0
1754109000000,2025-08-02 04:30:00,0.5577,0.5595,0.5576,0.5591,7041.04,1754109899999,3934.915934,167,2469.55,1380.314305,0
1754109900000,2025-08-02 04:45:00,0.559,0.5599,0.5584,0.5589,27430.74,1754110799999,15337.907638,294,19975.52,11169.210823,0
1754110800000,2025-08-02 05:00:00,0.5588,0.559,0.5569,0.5574,14907.78,1754111699999,8314.423179,235,1906.07,1064.390706,0
1754111700000,2025-08-02 05:15:00,0.5572,0.5585,0.5569,0.5585,10945.78,1754112599999,6105.190115,179,1942.78,1083.922829,0
1754112600000,2025-08-02 05:30:00,0.5585,0.5585,0.5565,0.5567,8252.63,1754113499999,4599.519567,137,3313.51,1847.340845,0
1754113500000,2025-08-02 05:45:00,0.5566,0.5568,0.556,0.5562,6232.17,1754114399999,3467.852111,146,2628.71,1462.80937,0
1754114400000,2025-08-02 06:00:00,0.5563,0.5566,0.5556,0.5556,17642.57,1754115299999,9814.971342,230,5409.13,3008.819406,0
1754115300000,2025-08-02 06:15:00,0.5556,0.5557,0.5483,0.5486,84097.96,1754116199999,46372.439586,857,22454.5,12389.426415,0
1754116200000,2025-08-02 06:30:00,0.5483,0.5486,0.5421,0.5442,134595.24,1754117099999,73356.435473,1564,62300.07,33937.015394,0
1754117100000,2025-08-02 06:45:00,0.5443,0.5475,0.5437,0.5467,41715.27,1754117999999,22774.580263,864,18216.09,9942.233756,0
1754118000000,2025-08-02 07:00:00,0.5466,0.5475,0.5425,0.5449,39787.28,1754118899999,21680.820867,750,19868.39,10825.2432,0
1754118900000,2025-08-02 07:15:00,0.545,0.5514,0.5447,0.5507,45708.3,1754119799999,25140.007115,648,36850.66,20273.558928,0
1754119800000,2025-08-02 07:30:00,0.5508,0.5532,0.5494,0.5526,20367.47,1754120699999,11229.208424,500,7693.74,4242.609295,0
1754120700000,2025-08-02 07:45:00,0.5525,0.5555,0.5525,0.555,28336.69,1754121599999,15695.922979,342,18783.8,10402.00865,0
1754121600000,2025-08-02 08:00:00,0.5551,0.5552,0.5537,0.5541,34708.81,1754122499999,19240.48643,360,11916.31,6607.940757,0
1754122500000,2025-08-02 08:15:00,0.5545,0.556,0.5521,0.5522,35035.99,1754123399999,19402.8751,396,12031.04,6669.143258,0
1754123400000,2025-08-02 08:30:00,0.5521,0.5521,0.5491,0.5497,41264.39,1754124299999,22721.882029,581,17294.41,9523.879023,0
1754124300000,2025-08-02 08:45:00,0.5498,0.5507,0.5479,0.5486,18944.18,1754125199999,10400.455748,441,5993.38,3291.467863,0
1754125200000,2025-08-02 09:00:00,0.5486,0.5505,0.5481,0.5495,14338.15,1754126099999,7879.187195,368,5301.47,2913.035733,0
1754126100000,2025-08-02 09:15:00,0.5494,0.5501,0.5471,0.5482,20755.06,1754126999999,11383.083901,429,6487.56,3558.577069,0
1754127000000,2025-08-02 09:30:00,0.5481,0.5493,0.5466,0.5477,23304.92,1754127899999,12773.224841,407,13379.16,7333.457591,0
1754127900000,2025-08-02 09:45:00,0.5477,0.5497,0.5477,0.5491,17928.91,1754128799999,9841.627136,295,11478.06,6302.340549,0
1754128800000,2025-08-02 10:00:00,0.549,0.5495,0.5465,0.5475,18286.71,1754129699999,10020.924284,475,9313.33,5103.466638,0
1754129700000,2025-08-02 10:15:00,0.5473,0.5494,0.5459,0.5487,25187.36,1754130599999,13780.855742,525,13914.3,7610.233834,0
1754130600000,2025-08-02 10:30:00,0.5485,0.549,0.5447,0.5458,24259.66,1754131499999,13270.720126,543,6652.13,3638.767832,0
1754131500000,2025-08-02 10:45:00,0.546,0.5481,0.545,0.5476,18151.25,1754132399999,9921.273543,393,8216.07,4490.673859,0
1754132400000,2025-08-02 11:00:00,0.5476,0.5496,0.5448,0.5455,34537.3,1754133299999,18931.319723,477,20101.52,11028.395964,0
1754133300000,2025-08-02 11:15:00,0.5454,0.5522,0.5452,0.5519,30969.88,1754134199999,17018.456614,559,21411.62,11766.232166,0
1754134200000,2025-08-02 11:30:00,0.5518,0.5522,0.5502,0.5503,16675.07,1754135099999,9190.580959,352,7594.32,4185.415524,0
1754135100000,2025-08-02 11:45:00,0.5503,0.5513,0.5483,0.5491,18905.21,1754135999999,10393.116023,334,9444.34,5191.346407,0
1754136000000,2025-08-02 12:00:00,0.5491,0.5495,0.5473,0.5478,30947.44,1754136899999,16961.324569,487,16251.27,8908.106821,0
1754136900000,2025-08-02 12:15:00,0.5478,0.5486,0.5467,0.5474,26608.45,1754137799999,14570.916228,428,10007.05,5479.833069,0
