openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.501,0.504,0.501,0.503,212159.4,1753975799999,106524.5669,661,112187.4,56326.2414,0
1753975800000,2025-07-31 15:30:00,0.502,0.507,0.502,0.506,153799.2,1753976699999,77703.9362,535,90239.7,45595.8791,0
1753976700000,2025-07-31 15:45:00,0.506,0.507,0.502,0.503,151788.6,1753977599999,76555.7444,379,54159.3,27328.3202,0
1753977600000,2025-07-31 16:00:00,0.503,0.506,0.502,0.505,129032.4,1753978499999,64941.1773,508,63056.9,31747.1331,0
1753978500000,2025-07-31 16:15:00,0.505,0.51,0.505,0.51,136903.1,1753979399999,69472.9195,656,82381.3,41812.4242,0
1753979400000,2025-07-31 16:30:00,0.509,0.517,0.509,0.515,413821.9,1753980299999,213075.6124,1103,203799.3,104875.9675,0
1753980300000,2025-07-31 16:45:00,0.515,0.515,0.51,0.513,218201.3,1753981199999,111722.4108,630,104284.0,53443.4699,0
1753981200000,2025-07-31 17:00:00,0.513,0.513,0.507,0.509,200345.9,1753982099999,101925.8672,698,78153.3,39806.2794,0
1753982100000,2025-07-31 17:15:00,0.51,0.512,0.504,0.507,223484.6,1753982999999,113484.6147,897,101962.5,51809.0075,0
1753983000000,2025-07-31 17:30:00,0.507,0.51,0.504,0.506,114070.1,1753983899999,57893.9277,452,61476.0,31220.7109,0
1753983900000,2025-07-31 17:45:00,0.507,0.508,0.502,0.504,164569.4,1753984799999,82972.022,666,83712.3,42217.4494,0
1753984800000,2025-07-31 18:00:00,0.504,0.504,0.497,0.5,299042.2,1753985699999,149447.5586,936,108652.7,54307.4779,0
1753985700000,2025-07-31 18:15:00,0.5,0.505,0.499,0.504,130994.7,1753986599999,65748.2496,661,71717.3,36012.6649,0
1753986600000,2025-07-31 18:30:00,0.505,0.507,0.504,0.505,151867.5,1753987499999,76752.3613,557,60917.3,30798.1599,0
1753987500000,2025-07-31 18:45:00,0.505,0.507,0.501,0.501,76129.2,1753988399999,38326.9559,360,36067.2,18148.0746,0
1753988400000,2025-07-31 19:00:00,0.502,0.503,0.497,0.497,86788.8,1753989299999,43472.0222,555,36825.1,18460.5069,0
1753989300000,2025-07-31 19:15:00,0.498,0.501,0.497,0.5,86964.1,1753990199999,43446.1341,585,46275.7,23133.8354,0
1753990200000,2025-07-31 19:30:00,0.5,0.502,0.499,0.501,68917.9,1753991099999,34442.8958,276,35390.5,17688.4177,0
1753991100000,2025-07-31 19:45:00,0.501,0.502,0.497,0.499,101955.5,1753991999999,50914.0955,600,43785.4,21873.9957,0
1753992000000,2025-07-31 20:00:00,0.499,0.499,0.494,0.497,324772.5,1753992899999,161147.704,1048,98242.3,48839.4935,0
1753992900000,2025-07-31 20:15:00,0.497,0.5,0.496,0.497,109230.7,1753993799999,54340.6629,591,51281.8,25524.3667,0
1753993800000,2025-07-31 20:30:00,0.498,0.499,0.495,0.497,169692.7,1753994699999,84343.3646,761,87827.2,43689.4317,0
1753994700000,2025-07-31 20:45:00,0.497,0.498,0.495,0.496,94041.3,1753995599999,46662.3101,392,43536.8,21600.4772,0
1753995600000,2025-07-31 21:00:00,0.497,0.499,0.495,0.496,127226.2,1753996499999,63130.5675,410,64670.3,32108.1589,0
1753996500000,2025-07-31 21:15:00,0.495,0.496,0.492,0.495,245534.3,1753997399999,121294.6143,839,118552.1,58561.7105,0
1753997400000,2025-07-31 21:30:00,0.495,0.498,0.494,0.496,154000.9,1753998299999,76450.4365,1125,91533.3,45439.0664,0
1753998300000,2025-07-31 21:45:00,0.496,0.497,0.486,0.492,327709.6,1753999199999,160486.8098,1115,127587.0,62503.9566,0
1753999200000,2025-07-31 22:00:00,0.492,0.492,0.487,0.489,162298.2,1754000099999,79300.0363,686,86429.7,42205.2092,0
