openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,7.14,7.18,7.13,7.18,5673.44,1753975799999,40624.53,267,2705.64,19367.7492,0
1753975800000,2025-07-31 15:30:00,7.17,7.25,7.17,7.22,8443.51,1753976699999,60917.4885,446,5160.5,37239.4765,0
1753976700000,2025-07-31 15:45:00,7.21,7.23,7.16,7.18,6156.11,1753977599999,44298.8828,175,2235.71,16064.8904,0
1753977600000,2025-07-31 16:00:00,7.19,7.21,7.16,7.2,14551.52,1753978499999,104536.2168,515,8684.5,62395.6138,0
1753978500000,2025-07-31 16:15:00,7.2,7.29,7.2,7.28,18348.97,1753979399999,132833.1373,424,8942.36,64721.0749,0
1753979400000,2025-07-31 16:30:00,7.27,7.38,7.27,7.34,12072.82,1753980299999,88659.3482,504,5753.79,42286.6594,0
1753980300000,2025-07-31 16:45:00,7.35,7.36,7.27,7.31,9554.71,1753981199999,69908.0364,382,4624.0,33838.3132,0
1753981200000,2025-07-31 17:00:00,7.31,7.31,7.24,7.26,3875.9,1753982099999,28148.157,187,1645.15,11947.4849,0
1753982100000,2025-07-31 17:15:00,7.27,7.3,7.2,7.22,7739.57,1753982999999,56018.1891,301,3155.93,22850.5326,0
1753983000000,2025-07-31 17:30:00,7.22,7.26,7.18,7.19,3282.76,1753983899999,23703.4117,153,874.92,6323.5907,0
1753983900000,2025-07-31 17:45:00,7.21,7.22,7.14,7.15,5344.12,1753984799999,38277.915,236,2738.77,19619.9094,0
1753984800000,2025-07-31 18:00:00,7.15,7.16,7.08,7.11,7582.02,1753985699999,53929.634,271,3001.19,21343.0396,0
1753985700000,2025-07-31 18:15:00,7.11,7.16,7.07,7.15,7145.91,1753986599999,50856.5362,260,2954.29,21022.8895,0
1753986600000,2025-07-31 18:30:00,7.15,7.18,7.14,7.15,3003.67,1753987499999,21519.5916,138,1603.73,11490.2495,0
1753987500000,2025-07-31 18:45:00,7.16,7.18,7.13,7.14,4725.62,1753988399999,33854.3096,207,3302.17,23661.6464,0
1753988400000,2025-07-31 19:00:00,7.15,7.16,7.08,7.08,6472.34,1753989299999,46163.3435,285,3154.56,22511.3121,0
1753989300000,2025-07-31 19:15:00,7.09,7.14,7.09,7.12,3002.94,1753990199999,21335.7853,129,1810.63,12864.1865,0
1753990200000,2025-07-31 19:30:00,7.12,7.13,7.1,7.11,4285.01,1753991099999,30461.9503,166,1369.41,9741.7471,0
1753991100000,2025-07-31 19:45:00,7.12,7.13,7.07,7.09,3645.34,1753991999999,25855.2243,195,1283.84,9111.3843,0
1753992000000,2025-07-31 20:00:00,7.09,7.1,7.03,7.07,18039.45,1753992899999,127456.6443,583,7596.86,53715.4941,0
1753992900000,2025-07-31 20:15:00,7.07,7.12,7.05,7.07,4068.27,1753993799999,28825.3862,184,2121.26,15041.9773,0
1753993800000,2025-07-31 20:30:00,7.08,7.1,7.05,7.09,2694.86,1753994699999,19084.132,153,1367.2,9686.6552,0
1753994700000,2025-07-31 20:45:00,7.08,7.1,7.04,7.08,3978.74,1753995599999,28139.4452,210,2010.29,14218.4717,0
1753995600000,2025-07-31 21:00:00,7.08,7.11,7.05,7.06,7193.64,1753996499999,50883.1817,257,3985.39,28212.1638,0
1753996500000,2025-07-31 21:15:00,7.05,7.06,7.02,7.06,3818.44,1753997399999,26918.2084,154,2309.14,16283.519,0
1753997400000,2025-07-31 21:30:00,7.06,7.11,7.05,7.05,3517.39,1753998299999,24908.9101,155,1847.99,13098.7492,0
1753998300000,2025-07-31 21:45:00,7.06,7.06,6.96,7.03,8441.42,1753999199999,59098.8617,364,2980.8,20868.0197,0
1753999200000,2025-07-31 22:00:00,7.04,7.04,6.98,7.0,12971.32,1754000099999,90840.6973,285,6160.21,43130.2761,0
1754000100000,2025-07-31 22:15:00,7.0,7.04,6.99,7.01,4923.44,1754000999999,34536.8326,179,2335.97,16391.6456,0
1754001000000,2025-07-31 22:30:00,7.01,7.01,6.94,6.97,11228.82,1754001899999,78347.4358,293,8087.06,56467.1677,0
1754001900000,2025-07-31 22:45:00,6.97,6.98,6.94,6.96,3856.58,1754002799999,26824.2803,161,1392.75,9699.322,0
1754002800000,2025-07-31 23:00:00,6.96,7.02,6.96,7.01,5810.58,1754003699999,40643.3858,183,2926.72,20481.5219,0
1754003700000,2025-07-31 23:15:00,7.0,7.0,6.95,6.95,5759.32,1754004599999,40165.7648,192,1552.91,10838.8109,0
1754004600000,2025-07-31 23:30:00,6.95,6.95,6.9,6.94,10895.2,1754005499999,75425.5044,414,4501.49,31183.8576,0
1754005500000,2025-07-31 23:45:00,6.94,6.95,6.92,6.94,5172.67,1754006399999,35888.3095,186,2831.05,19653.0174,0
1754006400000,2025-08-01 00:00:00,6.94,6.94,6.84,6.85,20017.76,1754007299999,137863.7161,589,4692.2,32338.8326,0
1754007300000,2025-08-01 00:15:00,6.87,6.96,6.85,6.89,14262.02,1754008199999,98657.108,496,9034.61,62556.0566,0
1754008200000,2025-08-01 00:30:00,6.89,6.91,6.85,6.86,6541.54,1754009099999,44980.5613,319,2478.83,17044.8876,0
1754009100000,2025-08-01 00:45:00,6.85,6.95,6.73,6.93,33073.91,1754009999999,224976.4543,1207,11536.31,78621.2973,0
1754010000000,2025-08-01 01:00:00,6.93,6.96,6.84,6.85,18096.88,1754010899999,125056.8556,510,6340.18,43799.909,0
1754010900000,2025-08-01 01:15:00,6.86,6.91,6.84,6.88,9360.97,1754011799999,64357.8058,329,4885.63,33600.5832,0
1754011800000,2025-08-01 01:30:00,6.88,6.94,6.86,6.9,16460.07,1754012699999,113547.8947,354,7502.17,51754.6872,0
1754012700000,2025-08-01 01:45:00,6.9,6.91,6.85,6.89,10363.46,1754013599999,71379.7629,232,7485.12,51596.2796,0
1754013600000,2025-08-01 02:00:00,6.88,6.97,6.86,6.96,18409.84,1754014499999,127244.022,399,12076.93,83438.4938,0
1754014500000,2025-08-01 02:15:00,6.96,7.0,6.95,6.96,9305.49,1754015399999,64923.8647,319,5935.99,41425.3871,0
1754015400000,2025-08-01 02:30:00,6.96,7.01,6.95,6.97,7479.42,1754016299999,52161.1572,283,5050.18,35225.5627,0
1754016300000,2025-08-01 02:45:00,6.97,6.99,6.96,6.98,2832.32,1754017199999,19740.6589,132,2046.9,14267.4866,0
1754017200000,2025-08-01 03:00:00,6.98,7.0,6.93,6.94,2883.24,1754018099999,20059.8335,172,992.9,6914.6465,0
1754018100000,2025-08-01 03:15:00,6.93,7.02,6.92,7.0,7749.53,1754018999999,54164.7842,222,5856.82,40933.4856,0
1754019000000,2025-08-01 03:30:00,7.0,7.03,6.99,6.99,15612.57,1754019899999,109325.7368,302,4538.78,31800.2655,0
1754019900000,2025-08-01 03:45:00,7.0,7.01,6.92,6.95,8761.72,1754020799999,60978.0787,213,1712.29,11906.8435,0
1754020800000,2025-08-01 04:00:00,6.94,6.94,6.87,6.89,8312.97,1754021699999,57374.6349,243,4576.99,31610.6484,0
1754021700000,2025-08-01 04:15:00,6.9,6.9,6.84,6.87,17334.08,1754022599999,118888.6986,310,4154.34,28515.2423,0
