openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,1.741,1.744,1.684,1.699,266102.25,1753975799999,455722.78192,2937,104384.38,178885.30167,0
1753975800000,2025-07-31 15:30:00,1.699,1.721,1.624,1.65,395739.57,1753976699999,660316.28329,4108,164330.41,275392.06002,0
1753976700000,2025-07-31 15:45:00,1.649,1.676,1.62,1.644,341298.9,1753977599999,563039.86531,3822,173007.08,286086.295,0
1753977600000,2025-07-31 16:00:00,1.644,1.718,1.63,1.696,307349.92,1753978499999,518316.24792,3207,185767.14,313845.77814,0
1753978500000,2025-07-31 16:15:00,1.696,1.701,1.613,1.62,230672.48,1753979399999,380359.26337,2436,84570.27,139259.42868,0
1753979400000,2025-07-31 16:30:00,1.62,1.635,1.581,1.605,215757.82,1753980299999,346699.00623,1889,95131.35,152715.29614,0
1753980300000,2025-07-31 16:45:00,1.605,1.638,1.605,1.625,102713.31,1753981199999,166725.4207,1149,60816.15,98758.02196,0
1753981200000,2025-07-31 17:00:00,1.625,1.626,1.607,1.625,65141.02,1753982099999,105251.74994,792,33001.07,53370.94063,0
1753982100000,2025-07-31 17:15:00,1.625,1.625,1.581,1.591,109510.97,1753982999999,174714.12515,1188,33414.37,53254.09321,0
1753983000000,2025-07-31 17:30:00,1.593,1.644,1.586,1.625,120554.27,1753983899999,195646.46248,1286,79430.88,129053.99648,0
1753983900000,2025-07-31 17:45:00,1.625,1.668,1.62,1.634,173754.42,1753984799999,285459.37507,1572,112450.31,184927.35123,0
1753984800000,2025-07-31 18:00:00,1.635,1.64,1.598,1.601,101291.93,1753985699999,164035.10423,1063,32832.32,53339.2382,0
1753985700000,2025-07-31 18:15:00,1.603,1.622,1.583,1.584,79202.46,1753986599999,126759.83453,1002,26301.44,42124.74475,0
1753986600000,2025-07-31 18:30:00,1.584,1.613,1.576,1.606,58398.99,1753987499999,93012.28286,706,29097.94,46426.01277,0
1753987500000,2025-07-31 18:45:00,1.606,1.607,1.58,1.585,33746.17,1753988399999,53764.47449,580,15808.66,25196.05817,0
1753988400000,2025-07-31 19:00:00,1.586,1.6,1.553,1.554,86260.91,1753989299999,136134.81854,1215,24902.8,39481.84895,0
1753989300000,2025-07-31 19:15:00,1.555,1.584,1.554,1.578,38696.04,1753990199999,60800.72872,543,22778.62,35768.99753,0
1753990200000,2025-07-31 19:30:00,1.577,1.71,1.575,1.654,313733.18,1753991099999,518025.00584,3494,194572.02,320977.10567,0
1753991100000,2025-07-31 19:45:00,1.65,1.7,1.615,1.647,130576.14,1753991999999,216128.49277,1952,77066.32,127835.59891,0
1753992000000,2025-07-31 20:00:00,1.648,1.675,1.613,1.624,155532.99,1753992899999,256234.84411,2567,83533.99,138109.87477,0
1753992900000,2025-07-31 20:15:00,1.624,1.656,1.611,1.646,79292.97,1753993799999,129424.03017,1079,41974.31,68619.31854,0
1753993800000,2025-07-31 20:30:00,1.646,1.646,1.6,1.605,84027.14,1753994699999,136252.35207,1166,26463.3,42964.33985,0
1753994700000,2025-07-31 20:45:00,1.603,1.621,1.586,1.597,59741.96,1753995599999,95486.22089,717,26028.09,41542.66178,0
1753995600000,2025-07-31 21:00:00,1.597,1.597,1.57,1.574,76052.79,1753996499999,120370.19038,897,28686.33,45402.09361,0
1753996500000,2025-07-31 21:15:00,1.577,1.582,1.554,1.578,57028.64,1753997399999,89338.00443,671,29798.76,46729.19528,0
1753997400000,2025-07-31 21:30:00,1.577,1.634,1.577,1.599,108063.13,1753998299999,173720.59764,1127,70076.28,112527.75931,0
1753998300000,2025-07-31 21:45:00,1.599,1.62,1.593,1.597,35383.05,1753999199999,56895.29454,547,19258.63,30996.94978,0
1753999200000,2025-07-31 22:00:00,1.596,1.611,1.577,1.592,44511.71,1754000099999,70990.12343,663,27954.38,44623.59946,0
1754000100000,2025-07-31 22:15:00,1.592,1.592,1.575,1.59,36234.85,1754000999999,57263.40189,453,18826.47,29753.52568,0
1754001000000,2025-07-31 22:30:00,1.593,1.62,1.585,1.589,56268.15,1754001899999,89991.69319,792,33546.29,53726.69117,0
1754001900000,2025-07-31 22:45:00,1.589,1.593,1.562,1.562,22500.42,1754002799999,35479.35127,353,5406.96,8553.68408,0
1754002800000,2025-07-31 23:00:00,1.563,1.596,1.561,1.596,28509.92,1754003699999,45025.29786,417,14230.4,22495.21536,0
1754003700000,2025-07-31 23:15:00,1.597,1.598,1.577,1.58,19705.13,1754004599999,31306.83406,334,10627.54,16901.24836,0
1754004600000,2025-07-31 23:30:00,1.578,1.586,1.565,1.584,15251.22,1754005499999,24050.13292,264,9130.53,14403.99724,0
1754005500000,2025-07-31 23:45:00,1.584,1.6,1.571,1.596,37465.75,1754006399999,59401.99728,525,17553.89,27877.8274,0
1754006400000,2025-08-01 00:00:00,1.596,1.596,1.554,1.557,40603.56,1754007299999,63612.58493,565,18722.15,29270.83382,0
1754007300000,2025-08-01 00:15:00,1.562,1.577,1.557,1.569,25357.5,1754008199999,39757.3378,337,12193.09,19123.77064,0
1754008200000,2025-08-01 00:30:00,1.57,1.639,1.562,1.613,84418.4,1754009099999,135857.55807,1088,58706.18,94446.9393,0
1754009100000,2025-08-01 00:45:00,1.613,1.73,1.605,1.651,313151.99,1754009999999,525945.08163,5091,173284.58,291177.61468,0
1754010000000,2025-08-01 01:00:00,1.655,1.675,1.584,1.619,155766.15,1754010899999,253007.029,2511,71839.31,117024.36091,0
1754010900000,2025-08-01 01:15:00,1.619,1.658,1.59,1.6,78366.04,1754011799999,127271.66446,1290,36246.85,59087.6426,0
1754011800000,2025-08-01 01:30:00,1.598,1.62,1.585,1.607,41141.5,1754012699999,65816.71196,692,17900.31,28733.97845,0
