openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,4.31,4.332,4.31,4.329,13311.54,1753975799999,57529.82235,602,7269.49,31421.07938,0
1753975800000,2025-07-31 15:30:00,4.328,4.344,4.323,4.34,16101.77,1753976699999,69823.90579,829,8009.59,34726.58877,0
1753976700000,2025-07-31 15:45:00,4.34,4.347,4.319,4.325,25342.93,1753977599999,109827.44724,998,8475.35,36721.483,0
1753977600000,2025-07-31 16:00:00,4.325,4.348,4.318,4.342,15632.51,1753978499999,67732.51389,682,5817.78,25229.0513,0
1753978500000,2025-07-31 16:15:00,4.343,4.365,4.34,4.361,18004.46,1753979399999,78382.56217,681,6132.88,26694.17798,0
1753979400000,2025-07-31 16:30:00,4.36,4.417,4.36,4.4,66396.81,1753980299999,292382.01759,1306,15830.15,69602.99685,0
1753980300000,2025-07-31 16:45:00,4.403,4.405,4.376,4.391,22161.33,1753981199999,97204.01665,773,8488.19,37246.87839,0
1753981200000,2025-07-31 17:00:00,4.391,4.391,4.356,4.369,18735.34,1753982099999,81878.92667,817,8635.47,37727.47382,0
1753982100000,2025-07-31 17:15:00,4.37,4.382,4.335,4.354,79930.95,1753982999999,347495.43721,1571,16793.74,73036.15447,0
1753983000000,2025-07-31 17:30:00,4.355,4.375,4.345,4.355,14643.86,1753983899999,63834.85292,570,4866.11,21220.70665,0
1753983900000,2025-07-31 17:45:00,4.355,4.36,4.322,4.335,32831.14,1753984799999,142216.11239,879,16502.87,71452.67585,0
1753984800000,2025-07-31 18:00:00,4.336,4.338,4.302,4.314,28251.19,1753985699999,121932.31996,877,7820.94,33738.6323,0
1753985700000,2025-07-31 18:15:00,4.313,4.342,4.301,4.342,22476.59,1753986599999,97124.4912,848,8420.99,36403.2669,0
1753986600000,2025-07-31 18:30:00,4.341,4.355,4.34,4.35,12201.35,1753987499999,53066.57747,440,4342.28,18886.04282,0
1753987500000,2025-07-31 18:45:00,4.35,4.36,4.332,4.342,16483.12,1753988399999,71641.20203,694,7110.18,30890.95764,0
1753988400000,2025-07-31 19:00:00,4.343,4.351,4.31,4.31,18470.41,1753989299999,80040.24415,786,6365.83,27591.66066,0
1753989300000,2025-07-31 19:15:00,4.312,4.332,4.31,4.322,19250.31,1753990199999,83227.73668,643,7402.95,32007.50595,0
1753990200000,2025-07-31 19:30:00,4.324,4.333,4.317,4.331,12112.76,1753991099999,52384.86168,414,5257.51,22741.42765,0
1753991100000,2025-07-31 19:45:00,4.331,4.338,4.292,4.297,20994.57,1753991999999,90517.40081,695,12301.74,53003.44502,0
1753992000000,2025-07-31 20:00:00,4.297,4.303,4.265,4.288,47202.71,1753992899999,202216.60579,1245,23266.31,99687.55867,0
1753992900000,2025-07-31 20:15:00,4.289,4.311,4.282,4.3,23861.19,1753993799999,102460.81739,689,11263.06,48368.40533,0
1753993800000,2025-07-31 20:30:00,4.301,4.31,4.282,4.299,17760.53,1753994699999,76336.72475,560,8991.18,38647.16821,0
1753994700000,2025-07-31 20:45:00,4.299,4.306,4.285,4.297,12638.63,1753995599999,54294.41391,424,4377.56,18808.89951,0
1753995600000,2025-07-31 21:00:00,4.296,4.311,4.279,4.279,38106.86,1753996499999,163515.13326,813,15352.02,65885.75347,0
1753996500000,2025-07-31 21:15:00,4.279,4.292,4.269,4.291,77532.93,1753997399999,331692.9742,1197,34199.52,146315.79268,0
1753997400000,2025-07-31 21:30:00,4.293,4.308,4.286,4.287,28800.35,1753998299999,123722.96323,580,11584.48,49753.53967,0
1753998300000,2025-07-31 21:45:00,4.286,4.29,4.222,4.262,109184.6,1753999199999,463497.16487,2718,42601.09,180815.79961,0
1753999200000,2025-07-31 22:00:00,4.262,4.262,4.225,4.24,54622.65,1754000099999,231506.16693,1261,22605.05,95784.06967,0
1754000100000,2025-07-31 22:15:00,4.239,4.255,4.221,4.239,50982.35,1754000999999,215982.07641,1114,22364.83,94737.15547,0
1754001000000,2025-07-31 22:30:00,4.239,4.239,4.21,4.224,47071.6,1754001899999,198651.25552,1046,18695.97,78880.7857,0
1754001900000,2025-07-31 22:45:00,4.225,4.232,4.213,4.224,16963.22,1754002799999,71619.4849,476,5904.0,24934.13618,0
1754002800000,2025-07-31 23:00:00,4.225,4.25,4.224,4.242,24223.06,1754003699999,102706.80908,620,13281.79,56312.64931,0
1754003700000,2025-07-31 23:15:00,4.243,4.243,4.222,4.222,15968.6,1754004599999,67591.68808,451,7814.74,33080.0291,0
1754004600000,2025-07-31 23:30:00,4.222,4.222,4.186,4.209,72732.05,1754005499999,305766.88815,1703,37375.12,157149.38241,0
1754005500000,2025-07-31 23:45:00,4.21,4.217,4.2,4.21,10369.61,1754006399999,43635.54286,445,5067.23,21321.15258,0
1754006400000,2025-08-01 00:00:00,4.209,4.216,4.15,4.168,78685.62,1754007299999,329176.63218,1791,33056.09,138369.66021,0
1754007300000,2025-08-01 00:15:00,4.169,4.214,4.165,4.181,49897.83,1754008199999,208750.35574,1407,24205.98,101247.43101,0
1754008200000,2025-08-01 00:30:00,4.18,4.184,4.152,4.161,39663.43,1754009099999,165462.74215,1143,19682.86,82097.88169,0
1754009100000,2025-08-01 00:45:00,4.161,4.181,4.088,4.176,224064.11,1754009999999,923116.43678,6287,89632.76,369576.39305,0
1754010000000,2025-08-01 01:00:00,4.175,4.197,4.138,4.144,55486.43,1754010899999,231204.31273,1273,25239.88,105335.75378,0
1754010900000,2025-08-01 01:15:00,4.143,4.179,4.138,4.17,37748.06,1754011799999,157104.33393,1395,21440.41,89244.64019,0
1754011800000,2025-08-01 01:30:00,4.171,4.196,4.149,4.183,47165.0,1754012699999,196616.95298,1055,16160.96,67490.92086,0
1754012700000,2025-08-01 01:45:00,4.184,4.192,4.162,4.183,23004.8,1754013599999,96114.07002,961,11121.06,46466.27901,0
1754013600000,2025-08-01 02:00:00,4.182,4.214,4.172,4.211,19701.26,1754014499999,82598.98992,789,11528.29,48341.99488,0
1754014500000,2025-08-01 02:15:00,4.21,4.222,4.204,4.209,29668.17,1754015399999,125003.66628,833,10963.93,46182.39246,0
1754015400000,2025-08-01 02:30:00,4.21,4.227,4.205,4.22,26180.62,1754016299999,110389.01361,681,14212.02,59939.94095,0
1754016300000,2025-08-01 02:45:00,4.218,4.231,4.216,4.227,27489.68,1754017199999,116131.58934,780,11571.58,48891.15847,0
1754017200000,2025-08-01 03:00:00,4.227,4.23,4.214,4.217,15778.4,1754018099999,66603.81125,625,2542.92,10741.15402,0
1754018100000,2025-08-01 03:15:00,4.218,4.244,4.214,4.237,18449.66,1754018999999,78138.52434,628,9346.3,39600.22513,0
1754019000000,2025-08-01 03:30:00,4.237,4.239,4.217,4.22,21728.36,1754019899999,91780.94163,503,7203.84,30435.63569,0
1754019900000,2025-08-01 03:45:00,4.221,4.227,4.212,4.221,19862.51,1754020799999,83773.90451,560,5580.0,23540.38711,0
1754020800000,2025-08-01 04:00:00,4.221,4.221,4.195,4.206,23877.61,1754021699999,100449.32235,675,7781.0,32737.47016,0
1754021700000,2025-08-01 04:15:00,4.206,4.206,4.188,4.197,24994.03,1754022599999,104836.86356,1266,10578.87,44383.87677,0
1754022600000,2025-08-01 04:30:00,4.196,4.211,4.191,4.206,12320.0,1754023499999,51732.27639,455,5329.38,22382.92318,0
1754023500000,2025-08-01 04:45:00,4.205,4.208,4.191,4.195,28375.15,1754024399999,119152.67055,813,8197.28,34425.27957,0
1754024400000,2025-08-01 05:00:00,4.194,4.209,4.19,4.206,11971.26,1754025299999,50289.20799,413,3626.21,15237.37183,0
1754025300000,2025-08-01 05:15:00,4.206,4.206,4.173,4.186,28634.87,1754026199999,119812.74687,729,14404.48,60257.47967,0
1754026200000,2025-08-01 05:30:00,4.186,4.202,4.164,4.179,32755.66,1754027099999,136913.89055,909,10931.55,45718.36044,0
1754027100000,2025-08-01 05:45:00,4.178,4.183,4.16,4.176,15578.43,1754027999999,64966.07175,609,7697.44,32100.04603,0
1754028000000,2025-08-01 06:00:00,4.176,4.186,4.155,4.171,30283.06,1754028899999,126321.10267,964,11535.33,48112.07845,0
1754028900000,2025-08-01 06:15:00,4.172,4.183,4.158,4.162,28661.33,1754029799999,119474.28654,845,14873.4,61989.23286,0
1754029800000,2025-08-01 06:30:00,4.163,4.179,4.151,4.156,24698.78,1754030699999,102909.07219,716,9278.82,38686.49892,0
1754030700000,2025-08-01 06:45:00,4.155,4.192,4.154,4.192,15454.27,1754031599999,64518.14722,554,8621.23,35972.01236,0
1754031600000,2025-08-01 07:00:00,4.193,4.206,4.173,4.183,26966.48,1754032499999,113033.74394,794,11439.69,47961.06761,0
1754032500000,2025-08-01 07:15:00,4.184,4.202,4.177,4.178,53497.95,1754033399999,224318.1259,844,16562.0,69426.3535,0
1754033400000,2025-08-01 07:30:00,4.179,4.192,4.169,4.185,22288.81,1754034299999,93151.71056,607,12049.64,50360.87702,0
1754034300000,2025-08-01 07:45:00,4.186,4.19,4.167,4.183,15358.02,1754035199999,64134.32873,513,8186.92,34193.23467,0
1754035200000,2025-08-01 08:00:00,4.182,4.182,4.092,4.13,85009.73,1754036099999,350762.23013,2849,35440.87,146223.05724,0
1754036100000,2025-08-01 08:15:00,4.13,4.142,4.113,4.122,40501.38,1754036999999,167087.60297,1310,18150.84,74864.25373,0
1754037000000,2025-08-01 08:30:00,4.123,4.166,4.105,4.156,52096.83,1754037899999,215321.96681,1658,20465.55,84546.67266,0
1754037900000,2025-08-01 08:45:00,4.155,4.17,4.14,4.14,30683.14,1754038799999,127520.42862,743,16331.72,67878.7267,0
1754038800000,2025-08-01 09:00:00,4.139,4.182,4.136,4.146,52221.64,1754039699999,217395.32044,1136,27085.9,112767.94407,0
1754039700000,2025-08-01 09:15:00,4.147,4.169,4.144,4.167,26099.67,1754040599999,108640.19575,535,13415.53,55836.53599,0
