openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,10.1,10.14,10.1,10.14,1904.53,1753975799999,19282.295,123,1063.28,10771.0608,0
1753975800000,2025-07-31 15:30:00,10.14,10.18,10.14,10.15,1881.74,1753976699999,19122.1008,180,1103.32,11210.8056,0
1753976700000,2025-07-31 15:45:00,10.15,10.17,10.11,10.16,1378.11,1753977599999,13987.145,135,1007.25,10224.5503,0
1753977600000,2025-07-31 16:00:00,10.16,10.18,10.12,10.15,2074.68,1753978499999,21076.9331,110,874.92,8889.4189,0
1753978500000,2025-07-31 16:15:00,10.16,10.21,10.15,10.19,3719.14,1753979399999,37831.9995,285,753.83,7666.3824,0
1753979400000,2025-07-31 16:30:00,10.2,10.29,10.19,10.25,2422.71,1753980299999,24803.372,259,1361.71,13955.9061,0
1753980300000,2025-07-31 16:45:00,10.26,10.26,10.19,10.23,1119.98,1753981199999,11435.8028,93,271.41,2769.9842,0
1753981200000,2025-07-31 17:00:00,10.23,10.23,10.18,10.2,387.71,1753982099999,3955.0755,55,171.52,1750.1107,0
1753982100000,2025-07-31 17:15:00,10.21,10.23,10.14,10.17,2056.97,1753982999999,20926.61,184,965.77,9827.9084,0
1753983000000,2025-07-31 17:30:00,10.17,10.2,10.13,10.15,586.06,1753983899999,5960.4198,93,148.03,1506.2366,0
1753983900000,2025-07-31 17:45:00,10.16,10.16,10.09,10.11,1627.53,1753984799999,16455.3296,186,806.89,8156.349,0
1753984800000,2025-07-31 18:00:00,10.11,10.12,10.04,10.08,1678.48,1753985699999,16916.5713,136,597.78,6028.7319,0
1753985700000,2025-07-31 18:15:00,10.08,10.14,10.06,10.14,991.85,1753986599999,10011.0058,69,710.42,7173.9486,0
1753986600000,2025-07-31 18:30:00,10.14,10.16,10.12,10.12,253.3,1753987499999,2571.1035,39,202.59,2056.9338,0
1753987500000,2025-07-31 18:45:00,10.12,10.16,10.11,10.12,1175.44,1753988399999,11910.1739,111,344.04,3489.898,0
1753988400000,2025-07-31 19:00:00,10.13,10.14,10.05,10.06,1367.07,1753989299999,13786.7018,141,160.99,1624.4769,0
1753989300000,2025-07-31 19:15:00,10.06,10.09,10.06,10.08,1536.48,1753990199999,15482.291,151,272.75,2749.3715,0
1753990200000,2025-07-31 19:30:00,10.08,10.1,10.07,10.08,759.06,1753991099999,7661.9887,60,512.73,5176.7806,0
1753991100000,2025-07-31 19:45:00,10.09,10.1,10.05,10.05,754.25,1753991999999,7598.7979,75,341.77,3442.9033,0
1753992000000,2025-07-31 20:00:00,10.05,10.07,9.97,9.99,4332.49,1753992899999,43374.0384,425,1688.39,16898.717,0
1753992900000,2025-07-31 20:15:00,10.0,10.06,10.0,10.03,870.2,1753993799999,8722.6169,62,355.58,3563.6758,0
1753993800000,2025-07-31 20:30:00,10.04,10.05,10.0,10.02,795.84,1753994699999,7971.3703,68,363.55,3644.554,0
1753994700000,2025-07-31 20:45:00,10.03,10.04,9.99,10.01,691.71,1753995599999,6921.1689,59,423.28,4234.6422,0
1753995600000,2025-07-31 21:00:00,10.0,10.02,9.95,9.95,1705.26,1753996499999,17011.1474,125,704.68,7032.6725,0
1753996500000,2025-07-31 21:15:00,9.94,9.99,9.92,9.97,2081.28,1753997399999,20717.382,170,1339.92,13347.5351,0
1753997400000,2025-07-31 21:30:00,9.99,10.04,9.98,9.98,2117.18,1753998299999,21182.6595,205,892.44,8929.1837,0
1753998300000,2025-07-31 21:45:00,9.98,9.98,9.85,9.96,5102.34,1753999199999,50560.5969,557,2737.68,27142.6711,0
1753999200000,2025-07-31 22:00:00,9.95,9.95,9.86,9.89,2761.28,1754000099999,27299.5934,326,1248.62,12341.4746,0
1754000100000,2025-07-31 22:15:00,9.89,9.93,9.87,9.89,3118.76,1754000999999,30881.3651,177,1561.82,15460.0992,0
1754001000000,2025-07-31 22:30:00,9.87,9.87,9.8,9.83,4939.95,1754001899999,48555.6616,260,1641.24,16132.2047,0
1754001900000,2025-07-31 22:45:00,9.83,9.9,9.81,9.85,4973.63,1754002799999,49034.0922,248,3803.26,37523.6973,0
1754002800000,2025-07-31 23:00:00,9.84,9.91,9.84,9.88,6045.9,1754003699999,59746.2253,322,3429.17,33887.7723,0
1754003700000,2025-07-31 23:15:00,9.88,9.88,9.83,9.83,4243.34,1754004599999,41825.8123,273,1417.24,13971.8872,0
1754004600000,2025-07-31 23:30:00,9.82,9.82,9.74,9.77,11222.26,1754005499999,109664.3434,730,6129.49,59910.7126,0
1754005500000,2025-07-31 23:45:00,9.78,9.79,9.74,9.77,5176.53,1754006399999,50584.1761,294,3217.46,31442.9789,0
1754006400000,2025-08-01 00:00:00,9.76,9.76,9.55,9.58,24908.21,1754007299999,240599.7684,1720,9009.33,86822.2484,0
1754007300000,2025-08-01 00:15:00,9.58,9.69,9.57,9.63,5929.51,1754008199999,57043.2042,387,3160.04,30406.6961,0
1754008200000,2025-08-01 00:30:00,9.62,9.63,9.56,9.57,7828.46,1754009099999,75096.1265,537,4407.02,42267.6159,0
1754009100000,2025-08-01 00:45:00,9.57,9.68,9.49,9.68,18852.39,1754009999999,179976.5036,1622,10770.62,102887.025,0
1754010000000,2025-08-01 01:00:00,9.66,9.74,9.62,9.63,5297.14,1754010899999,51252.0911,335,2659.62,25736.661,0
1754010900000,2025-08-01 01:15:00,9.64,9.7,9.6,9.66,6238.54,1754011799999,60194.668,449,3388.68,32701.0525,0
1754011800000,2025-08-01 01:30:00,9.67,9.72,9.63,9.72,3487.37,1754012699999,33803.0036,270,1651.56,15999.7765,0
1754012700000,2025-08-01 01:45:00,9.72,9.73,9.67,9.69,2998.22,1754013599999,29071.9447,253,1436.37,13924.8222,0
1754013600000,2025-08-01 02:00:00,9.69,9.79,9.67,9.78,2743.37,1754014499999,26641.3802,237,1704.53,16566.2498,0
1754014500000,2025-08-01 02:15:00,9.77,9.8,9.75,9.75,1303.77,1754015399999,12749.7564,75,566.07,5535.9336,0
1754015400000,2025-08-01 02:30:00,9.75,9.83,9.75,9.81,2262.84,1754016299999,22177.0855,156,1490.99,14622.9859,0
1754016300000,2025-08-01 02:45:00,9.8,9.82,9.78,9.79,1353.68,1754017199999,13270.6543,111,538.54,5279.4634,0
1754017200000,2025-08-01 03:00:00,9.79,9.8,9.77,9.78,545.51,1754018099999,5339.0587,60,101.63,994.2346,0
1754018100000,2025-08-01 03:15:00,9.78,9.86,9.78,9.85,2012.4,1754018999999,19785.0346,184,1286.6,12657.3678,0
1754019000000,2025-08-01 03:30:00,9.85,9.85,9.81,9.81,1095.32,1754019899999,10768.9565,92,637.26,6266.1603,0
1754019900000,2025-08-01 03:45:00,9.82,9.83,9.76,9.77,4540.89,1754020799999,44376.4558,197,739.8,7238.6075,0
1754020800000,2025-08-01 04:00:00,9.77,9.79,9.75,9.78,2154.17,1754021699999,21044.9607,141,848.15,8284.9138,0
1754021700000,2025-08-01 04:15:00,9.78,9.78,9.74,9.76,2042.44,1754022599999,19926.0041,145,544.53,5309.4864,0
1754022600000,2025-08-01 04:30:00,9.74,9.77,9.73,9.73,1325.56,1754023499999,12924.5791,112,774.34,7550.8021,0
1754023500000,2025-08-01 04:45:00,9.73,9.75,9.71,9.74,2936.59,1754024399999,28578.5311,153,1785.99,17385.2288,0
1754024400000,2025-08-01 05:00:00,9.74,9.76,9.72,9.73,1714.91,1754025299999,16706.0099,114,826.28,8051.2609,0
1754025300000,2025-08-01 05:15:00,9.74,9.74,9.68,9.7,1496.12,1754026199999,14512.2245,154,645.3,6258.8058,0
1754026200000,2025-08-01 05:30:00,9.69,9.71,9.64,9.67,2342.83,1754027099999,22679.4611,150,1171.78,11346.7882,0
1754027100000,2025-08-01 05:45:00,9.66,9.67,9.62,9.66,1985.21,1754027999999,19148.1992,160,1101.91,10632.6146,0
1754028000000,2025-08-01 06:00:00,9.65,9.65,9.57,9.6,10379.58,1754028899999,99725.5059,425,4193.07,40288.519,0
1754028900000,2025-08-01 06:15:00,9.61,9.64,9.59,9.59,1853.95,1754029799999,17820.4711,141,652.38,6274.7581,0
1754029800000,2025-08-01 06:30:00,9.59,9.63,9.58,9.59,2036.81,1754030699999,19570.4604,156,676.68,6501.8896,0
1754030700000,2025-08-01 06:45:00,9.6,9.67,9.6,9.66,2105.74,1754031599999,20289.5426,126,1046.16,10082.9053,0
1754031600000,2025-08-01 07:00:00,9.66,9.69,9.64,9.66,2383.88,1754032499999,23038.7107,198,1514.32,14638.8518,0
1754032500000,2025-08-01 07:15:00,9.67,9.69,9.62,9.62,1572.62,1754033399999,15192.5812,161,938.83,9066.209,0
1754033400000,2025-08-01 07:30:00,9.63,9.66,9.6,9.65,2939.01,1754034299999,28263.7768,159,873.3,8403.4116,0
1754034300000,2025-08-01 07:45:00,9.65,9.65,9.61,9.61,2439.96,1754035199999,23473.6625,153,796.62,7667.6032,0
1754035200000,2025-08-01 08:00:00,9.62,9.62,9.43,9.51,8661.05,1754036099999,82352.3184,943,4215.95,40044.5954,0
1754036100000,2025-08-01 08:15:00,9.5,9.55,9.47,9.51,4514.61,1754036999999,42959.5249,556,1956.42,18605.5717,0
1754037000000,2025-08-01 08:30:00,9.51,9.61,9.47,9.59,4105.95,1754037899999,39156.5081,541,2046.9,19515.5848,0
1754037900000,2025-08-01 08:45:00,9.59,9.62,9.56,9.56,1670.03,1754038799999,16015.8534,280,810.95,7781.2681,0
1754038800000,2025-08-01 09:00:00,9.55,9.65,9.55,9.6,5333.61,1754039699999,51280.9007,427,3387.61,32575.538,0
1754039700000,2025-08-01 09:15:00,9.59,9.61,9.53,9.56,13818.47,1754040599999,132056.3146,544,3825.51,36544.3184,0
1754040600000,2025-08-01 09:30:00,9.56,9.57,9.53,9.57,2585.98,1754041499999,24722.7641,246,1325.82,12675.201,0
1754041500000,2025-08-01 09:45:00,9.57,9.57,9.52,9.53,4066.37,1754042399999,38852.2722,205,1556.99,14870.7204,0
1754042400000,2025-08-01 10:00:00,9.53,9.61,9.53,9.59,1918.67,1754043299999,18349.3419,104,1394.07,13334.6387,0
1754043300000,2025-08-01 10:15:00,9.61,9.61,9.57,9.59,2106.27,1754044199999,20204.8009,108,731.16,7016.7075,0
1754044200000,2025-08-01 10:30:00,9.58,9.62,9.58,9.6,935.06,1754045099999,8972.3666,78,565.22,5424.779,0
1754045100000,2025-08-01 10:45:00,9.59,9.61,9.58,9.61,728.39,1754045999999,6984.9228,56,489.51,4694.3921,0
1754046000000,2025-08-01 11:00:00,9.61,9.61,9.57,9.58,878.32,1754046899999,8430.9406,91,487.27,4679.2975,0
1754046900000,2025-08-01 11:15:00,9.58,9.59,9.56,9.58,1414.6,1754047799999,13541.9085,93,832.25,7967.6079,0
1754047800000,2025-08-01 11:30:00,9.58,9.62,9.58,9.61,502.57,1754048699999,4824.4522,69,360.91,3466.5117,0
1754048700000,2025-08-01 11:45:00,9.61,9.65,9.61,9.64,647.36,1754049599999,6236.7468,42,516.28,4973.279,0
1754049600000,2025-08-01 12:00:00,9.64,9.74,9.64,9.72,4592.71,1754050499999,44531.494,305,3010.01,29165.2794,0
1754050500000,2025-08-01 12:15:00,9.71,9.71,9.65,9.66,1771.8,1754051399999,17154.3596,92,971.62,9409.3061,0
1754051400000,2025-08-01 12:30:00,9.67,9.76,9.63,9.72,5084.51,1754052299999,49187.8851,308,2116.02,20486.1252,0
1754052300000,2025-08-01 12:45:00,9.72,9.72,9.65,9.71,4601.22,1754053199999,44658.1982,221,3180.12,30867.2597,0
1754053200000,2025-08-01 13:00:00,9.71,9.73,9.7,9.71,3075.18,1754054099999,29856.6409,150,815.9,7925.3316,0
1754054100000,2025-08-01 13:15:00,9.7,9.72,9.65,9.67,949.01,1754054999999,9183.8056,119,202.19,1955.8897,0
