openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.5257,0.5283,0.5251,0.5281,57384.8,1753975799999,30223.96144,639,24916.3,13124.52545,0
1753975800000,2025-07-31 15:30:00,0.528,0.5308,0.5279,0.5295,39116.6,1753976699999,20709.54115,547,16763.1,8873.7202,0
1753976700000,2025-07-31 15:45:00,0.5295,0.5307,0.5276,0.529,47114.8,1753977599999,24960.48033,519,14388.7,7614.74418,0
1753977600000,2025-07-31 16:00:00,0.529,0.5305,0.5281,0.5305,36938.3,1753978499999,19547.29238,446,21793.3,11530.63103,0
1753978500000,2025-07-31 16:15:00,0.5305,0.5325,0.5301,0.5321,67277.6,1753979399999,35738.7532,649,46715.8,24812.79421,0
1753979400000,2025-07-31 16:30:00,0.5321,0.5375,0.5321,0.5357,132015.7,1753980299999,70665.99329,973,84735.2,45347.34968,0
1753980300000,2025-07-31 16:45:00,0.5357,0.5362,0.5318,0.5332,98661.7,1753981199999,52560.31761,638,69802.3,37178.70751,0
1753981200000,2025-07-31 17:00:00,0.5331,0.534,0.5315,0.5323,61821.7,1753982099999,32944.24609,643,22529.8,12009.34326,0
1753982100000,2025-07-31 17:15:00,0.5323,0.5336,0.529,0.5305,49291.7,1753982999999,26153.95503,775,22863.7,12128.64736,0
1753983000000,2025-07-31 17:30:00,0.5305,0.5321,0.5291,0.5297,57492.2,1753983899999,30516.83109,600,33150.1,17597.99327,0
1753983900000,2025-07-31 17:45:00,0.5298,0.5305,0.5254,0.5279,86073.0,1753984799999,45361.40099,847,36444.9,19202.1314,0
1753984800000,2025-07-31 18:00:00,0.5279,0.5282,0.5241,0.5255,24841.5,1753985699999,13062.53816,556,10466.4,5502.86105,0
1753985700000,2025-07-31 18:15:00,0.5254,0.5293,0.5244,0.5293,40644.9,1753986599999,21404.97718,642,20236.0,10658.51682,0
1753986600000,2025-07-31 18:30:00,0.5292,0.5308,0.529,0.5299,24096.7,1753987499999,12769.14522,408,10599.2,5617.57849,0
1753987500000,2025-07-31 18:45:00,0.5299,0.5305,0.5273,0.5284,23816.5,1753988399999,12600.15139,417,14285.6,7557.14116,0
1753988400000,2025-07-31 19:00:00,0.5284,0.529,0.5249,0.5249,39609.4,1753989299999,20877.02364,541,17232.9,9090.50059,0
1753989300000,2025-07-31 19:15:00,0.525,0.5268,0.5249,0.5258,40434.9,1753990199999,21261.78342,512,23050.4,12120.3768,0
1753990200000,2025-07-31 19:30:00,0.526,0.5266,0.5253,0.5261,31146.0,1753991099999,16382.71459,524,14703.9,7734.60156,0
1753991100000,2025-07-31 19:45:00,0.5261,0.5268,0.5237,0.5248,51009.6,1753991999999,26764.1453,656,22555.4,11834.54265,0
1753992000000,2025-07-31 20:00:00,0.5247,0.5254,0.5205,0.5223,109420.3,1753992899999,57138.36027,1068,51623.0,26965.5355,0
1753992900000,2025-07-31 20:15:00,0.5223,0.5249,0.5219,0.5238,51051.3,1753993799999,26711.68272,573,19309.8,10099.5303,0
1753993800000,2025-07-31 20:30:00,0.5238,0.5247,0.5216,0.5232,40062.3,1753994699999,20967.12547,634,17031.7,8912.54291,0
1753994700000,2025-07-31 20:45:00,0.5232,0.5238,0.5215,0.5226,20801.3,1753995599999,10872.25293,364,10375.8,5423.06567,0
1753995600000,2025-07-31 21:00:00,0.5225,0.5236,0.5198,0.52,71481.5,1753996499999,37261.44033,628,27120.7,14141.41481,0
1753996500000,2025-07-31 21:15:00,0.52,0.5214,0.5191,0.5214,121282.4,1753997399999,63048.30636,453,57246.1,29768.4211,0
1753997400000,2025-07-31 21:30:00,0.5213,0.5226,0.5211,0.5217,106972.8,1753998299999,55819.36315,483,19394.1,10123.43254,0
1753998300000,2025-07-31 21:45:00,0.5216,0.5216,0.5136,0.5191,124519.8,1753999199999,64395.45222,928,55533.6,28682.27203,0
1753999200000,2025-07-31 22:00:00,0.5191,0.5191,0.5148,0.516,65903.0,1754000099999,34047.58537,887,32521.8,16804.48719,0
1754000100000,2025-07-31 22:15:00,0.516,0.5177,0.5153,0.5165,34327.8,1754000999999,17726.15499,598,19769.5,10206.7967,0
