openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,22.94,23.06,22.92,22.98,18703.94,1753975799999,430131.6948,2540,10875.58,250147.9632,0
1753975800000,2025-07-31 15:30:00,22.98,23.14,22.98,23.11,43636.57,1753976699999,1007784.4482,2830,19000.73,438897.2917,0
1753976700000,2025-07-31 15:45:00,23.1,23.14,22.97,23.11,19809.29,1753977599999,457156.161,2797,10875.02,250986.6436,0
1753977600000,2025-07-31 16:00:00,23.1,23.17,23.03,23.14,26719.21,1753978499999,617361.889,2664,14710.13,340057.4707,0
1753978500000,2025-07-31 16:15:00,23.15,23.3,23.15,23.28,26609.4,1753979399999,618194.777,2569,17901.65,415892.2369,0
1753979400000,2025-07-31 16:30:00,23.28,23.53,23.28,23.44,45189.74,1753980299999,1058848.3099,3325,25603.72,599567.6031,0
1753980300000,2025-07-31 16:45:00,23.44,23.46,23.29,23.39,19912.82,1753981199999,465504.4949,2228,10264.65,240047.672,0
1753981200000,2025-07-31 17:00:00,23.38,23.38,23.15,23.19,38625.8,1753982099999,896954.755,3053,13688.43,317761.8153,0
1753982100000,2025-07-31 17:15:00,23.2,23.28,22.99,23.07,33708.64,1753982999999,778173.9064,3607,10768.52,248449.9586,0
1753983000000,2025-07-31 17:30:00,23.08,23.21,23.05,23.12,19948.24,1753983899999,460884.5339,2012,3632.67,84006.6563,0
1753983900000,2025-07-31 17:45:00,23.12,23.17,22.96,23.04,28283.8,1753984799999,650815.043,2702,10326.92,237625.7869,0
1753984800000,2025-07-31 18:00:00,23.05,23.07,22.86,22.95,43853.29,1753985699999,1006965.3503,3208,15359.3,352568.5267,0
1753985700000,2025-07-31 18:15:00,22.94,23.11,22.87,23.1,22876.11,1753986599999,525490.0449,2421,13221.68,303690.0246,0
1753986600000,2025-07-31 18:30:00,23.1,23.18,23.09,23.13,12608.55,1753987499999,291786.0561,1324,6306.7,146007.6084,0
1753987500000,2025-07-31 18:45:00,23.13,23.18,22.96,23.02,13141.18,1753988399999,302861.2218,1738,6332.15,146005.088,0
1753988400000,2025-07-31 19:00:00,23.03,23.04,22.82,22.83,23029.08,1753989299999,527328.3612,2127,7104.2,162826.1337,0
1753989300000,2025-07-31 19:15:00,22.82,22.89,22.79,22.85,16721.09,1753990199999,381736.3555,2088,8241.05,188165.5381,0
1753990200000,2025-07-31 19:30:00,22.85,22.92,22.79,22.88,14155.13,1753991099999,323489.533,2145,9166.22,209502.611,0
1753991100000,2025-07-31 19:45:00,22.89,22.93,22.77,22.83,25371.84,1753991999999,579256.1615,2825,12392.04,282908.4448,0
1753992000000,2025-07-31 20:00:00,22.82,22.85,22.65,22.77,55022.26,1753992899999,1251320.2449,4421,24172.54,549973.0583,0
1753992900000,2025-07-31 20:15:00,22.78,22.9,22.74,22.78,19846.76,1753993799999,452549.2271,2213,12032.62,274392.8972,0
1753993800000,2025-07-31 20:30:00,22.79,22.84,22.67,22.8,22020.54,1753994699999,501546.2858,2266,12643.64,287954.2982,0
1753994700000,2025-07-31 20:45:00,22.8,22.85,22.74,22.8,12830.13,1753995599999,292533.5875,1292,6659.02,151839.8023,0
