openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,25.42,25.61,25.39,25.6,1321.681,1753975799999,33730.03377,258,921.538,23532.89622,0
1753975800000,2025-07-31 15:30:00,25.61,25.85,25.61,25.76,2242.68,1753976699999,57734.39589,477,1925.127,49554.89964,0
1753976700000,2025-07-31 15:45:00,25.77,25.94,25.57,25.67,3836.636,1753977599999,98728.87421,603,2831.933,72929.53505,0
1753977600000,2025-07-31 16:00:00,25.67,25.72,25.53,25.7,1749.241,1753978499999,44842.20094,398,749.725,19228.60577,0
1753978500000,2025-07-31 16:15:00,25.7,25.88,25.67,25.82,1176.154,1753979399999,30323.47635,248,517.53,13345.54759,0
1753979400000,2025-07-31 16:30:00,25.83,26.15,25.83,26.06,4719.812,1753980299999,122684.7057,699,2302.288,59889.10511,0
1753980300000,2025-07-31 16:45:00,26.07,26.08,25.84,25.94,1156.829,1753981199999,30018.98457,221,313.788,8144.5171,0
1753981200000,2025-07-31 17:00:00,25.93,25.93,25.72,25.81,1092.466,1753982099999,28149.26741,211,255.234,6578.45794,0
1753982100000,2025-07-31 17:15:00,25.82,25.89,25.55,25.6,1280.244,1753982999999,32845.29641,313,250.887,6446.66491,0
1753983000000,2025-07-31 17:30:00,25.61,25.7,25.56,25.66,660.288,1753983899999,16917.42077,341,263.716,6759.50999,0
1753983900000,2025-07-31 17:45:00,25.67,25.69,25.35,25.4,4216.103,1753984799999,107500.72002,605,771.356,19629.1769,0
1753984800000,2025-07-31 18:00:00,25.38,25.39,25.07,25.14,4416.606,1753985699999,111386.96217,750,1905.797,48096.06075,0
1753985700000,2025-07-31 18:15:00,25.14,25.43,25.06,25.42,2454.258,1753986599999,61976.9385,489,1655.303,41864.56985,0
1753986600000,2025-07-31 18:30:00,25.4,25.51,25.38,25.39,962.997,1753987499999,24529.46692,282,825.151,21024.12194,0
1753987500000,2025-07-31 18:45:00,25.4,25.46,25.26,25.3,421.631,1753988399999,10687.61292,122,140.938,3575.24047,0
1753988400000,2025-07-31 19:00:00,25.31,25.34,25.11,25.12,735.154,1753989299999,18529.33561,227,135.1,3405.31011,0
1753989300000,2025-07-31 19:15:00,25.12,25.17,24.99,25.07,3299.288,1753990199999,82743.66078,882,1493.958,37490.23999,0
1753990200000,2025-07-31 19:30:00,25.07,25.13,24.96,25.09,1963.778,1753991099999,49119.11641,369,819.27,20506.67027,0
1753991100000,2025-07-31 19:45:00,25.1,25.11,24.93,25.05,745.853,1753991999999,18657.37391,241,323.8,8100.29862,0
1753992000000,2025-07-31 20:00:00,25.05,25.08,24.76,24.97,3581.989,1753992899999,89190.24606,715,1679.409,41841.26338,0
1753992900000,2025-07-31 20:15:00,24.98,25.11,24.88,25.02,3873.284,1753993799999,96690.35667,490,2491.262,62198.14282,0
1753993800000,2025-07-31 20:30:00,25.03,25.08,24.89,25.0,1440.129,1753994699999,35973.22948,261,1010.779,25249.78049,0
1753994700000,2025-07-31 20:45:00,24.99,25.05,24.89,24.99,1636.754,1753995599999,40878.13457,385,496.486,12404.73862,0
1753995600000,2025-07-31 21:00:00,24.99,25.04,24.89,24.92,1149.631,1753996499999,28676.74395,238,551.193,13753.81456,0
1753996500000,2025-07-31 21:15:00,24.92,24.99,24.83,24.99,635.839,1753997399999,15837.21239,128,400.831,9989.79866,0
1753997400000,2025-07-31 21:30:00,24.99,25.14,24.95,25.06,998.38,1753998299999,25023.82113,167,562.278,14091.429,0
1753998300000,2025-07-31 21:45:00,25.07,25.07,24.6,24.92,4049.779,1753999199999,100586.91804,660,1497.408,37142.80698,0
1753999200000,2025-07-31 22:00:00,24.9,24.91,24.56,24.67,1899.283,1754000099999,46957.54978,354,624.542,15435.48844,0
1754000100000,2025-07-31 22:15:00,24.64,24.79,24.58,24.66,1491.525,1754000999999,36808.52037,366,858.529,21188.4706,0
1754001000000,2025-07-31 22:30:00,24.66,24.67,24.48,24.53,1545.498,1754001899999,37919.95487,396,603.053,14810.00561,0
1754001900000,2025-07-31 22:45:00,24.53,24.53,24.15,24.29,4536.612,1754002799999,110179.65997,806,1607.268,39006.80566,0
1754002800000,2025-07-31 23:00:00,24.29,24.46,24.29,24.34,1017.607,1754003699999,24816.10379,293,487.542,11890.75501,0
1754003700000,2025-07-31 23:15:00,24.34,24.34,24.17,24.18,966.259,1754004599999,23428.89294,334,252.748,6130.39766,0
1754004600000,2025-07-31 23:30:00,24.17,24.17,23.84,23.97,4335.911,1754005499999,104090.85907,896,2162.575,51907.27858,0
