openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,1.21,1.213,1.203,1.209,16502.38,1753975799999,19919.14591,355,7434.75,8978.36487,0
1753975800000,2025-07-31 15:30:00,1.208,1.211,1.184,1.186,44199.91,1753976699999,52811.39345,566,7240.33,8621.06877,0
1753976700000,2025-07-31 15:45:00,1.189,1.197,1.183,1.185,20859.78,1753977599999,24783.24689,401,9084.56,10804.32135,0
1753977600000,2025-07-31 16:00:00,1.183,1.193,1.183,1.193,15840.78,1753978499999,18839.52185,260,6281.41,7472.08239,0
1753978500000,2025-07-31 16:15:00,1.192,1.194,1.188,1.192,19290.46,1753979399999,22967.65545,273,9085.61,10827.05767,0
1753979400000,2025-07-31 16:30:00,1.192,1.193,1.182,1.189,52064.15,1753980299999,61803.90086,675,22265.92,26447.55001,0
1753980300000,2025-07-31 16:45:00,1.189,1.189,1.184,1.189,6379.8,1753981199999,7572.52397,184,2739.41,3252.09818,0
1753981200000,2025-07-31 17:00:00,1.189,1.189,1.185,1.188,3735.48,1753982099999,4434.68336,97,2046.87,2430.12008,0
1753982100000,2025-07-31 17:15:00,1.186,1.186,1.181,1.182,4730.37,1753982999999,5599.36093,158,1520.67,1800.21797,0
1753983000000,2025-07-31 17:30:00,1.182,1.184,1.172,1.174,23875.04,1753983899999,28144.6296,294,3686.37,4352.26075,0
1753983900000,2025-07-31 17:45:00,1.173,1.179,1.171,1.176,11574.7,1753984799999,13602.14415,190,5095.42,5991.29133,0
1753984800000,2025-07-31 18:00:00,1.174,1.176,1.169,1.171,11964.57,1753985699999,14020.91037,117,6184.6,7240.96332,0
1753985700000,2025-07-31 18:15:00,1.173,1.173,1.169,1.171,7155.77,1753986599999,8376.233,167,2050.61,2402.6958,0
1753986600000,2025-07-31 18:30:00,1.173,1.177,1.172,1.173,5066.65,1753987499999,5950.70474,124,4100.44,4816.61971,0
1753987500000,2025-07-31 18:45:00,1.173,1.174,1.169,1.173,6149.82,1753988399999,7202.25671,124,5074.88,5943.3779,0
1753988400000,2025-07-31 19:00:00,1.172,1.174,1.169,1.169,5091.99,1753989299999,5964.32532,166,2351.47,2755.51429,0
1753989300000,2025-07-31 19:15:00,1.169,1.17,1.166,1.169,11519.7,1753990199999,13452.62133,270,6542.73,7642.83596,0
1753990200000,2025-07-31 19:30:00,1.167,1.183,1.167,1.181,15395.25,1753991099999,18070.91247,292,11489.82,13494.69677,0
1753991100000,2025-07-31 19:45:00,1.181,1.183,1.179,1.18,3607.31,1753991999999,4260.04555,97,2479.17,2928.98972,0
1753992000000,2025-07-31 20:00:00,1.182,1.183,1.174,1.174,3131.28,1753992899999,3687.46931,97,1019.12,1200.14734,0
1753992900000,2025-07-31 20:15:00,1.174,1.178,1.172,1.176,3378.44,1753993799999,3970.91767,122,1767.73,2078.66352,0
1753993800000,2025-07-31 20:30:00,1.178,1.179,1.169,1.173,7529.87,1753994699999,8844.94364,151,1879.09,2203.59288,0
1753994700000,2025-07-31 20:45:00,1.173,1.184,1.172,1.184,7639.62,1753995599999,8994.23099,232,7089.03,8346.22023,0
