openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1755093600000,2025-08-13 14:00:00,1.0,1.08,0.995,0.9997,1927964.0,1755094499999,1927383.7016,1354,851369.0,851817.8285,0
1755094500000,2025-08-13 14:15:00,0.9997,1.0,0.9995,1.0,723901.0,1755095399999,723731.7598,346,479512.0,479414.6396,0
1755095400000,2025-08-13 14:30:00,1.0,1.0,0.9997,0.9997,484277.0,1755096299999,484215.0464,421,82557.0,82549.265,0
1755096300000,2025-08-13 14:45:00,0.9997,0.9998,0.9993,0.9994,781217.0,1755097199999,780843.7767,569,149040.0,148988.4455,0
1755097200000,2025-08-13 15:00:00,0.9993,0.9997,0.9988,0.9997,551701.0,1755098099999,551248.307,235,83689.0,83643.9719,0
1755098100000,2025-08-13 15:15:00,0.9997,1.0,0.9993,0.9993,441854.0,1755098999999,441672.8954,644,208876.0,208842.9437,0
1755099000000,2025-08-13 15:30:00,0.9993,0.9996,0.9993,0.9994,43720.0,1755099899999,43694.8492,245,21642.0,21632.2147,0
1755099900000,2025-08-13 15:45:00,0.9994,0.9996,0.9993,0.9993,67690.0,1755100799999,67650.72,491,25308.0,25296.1904,0
1755100800000,2025-08-13 16:00:00,0.9993,0.9995,0.9993,0.9994,177147.0,1755101699999,177031.8972,408,64579.0,64541.4905,0
1755101700000,2025-08-13 16:15:00,0.9995,0.9996,0.9994,0.9994,117072.0,1755102599999,117012.2622,233,89472.0,89428.8222,0
1755102600000,2025-08-13 16:30:00,0.9994,0.9996,0.9994,0.9995,61363.0,1755103499999,61330.8053,570,16051.0,16044.5725,0
1755103500000,2025-08-13 16:45:00,0.9995,0.9996,0.9994,0.9995,39819.0,1755104399999,39797.836,253,18469.0,18459.7876,0
1755104400000,2025-08-13 17:00:00,0.9995,0.9996,0.9994,0.9995,63168.0,1755105299999,63135.9263,141,8207.0,8202.9246,0
1755105300000,2025-08-13 17:15:00,0.9994,0.9995,0.9994,0.9994,27320.0,1755106199999,27305.1613,108,15533.0,15525.2335,0
1755106200000,2025-08-13 17:30:00,0.9994,0.9996,0.9994,0.9994,266916.0,1755107099999,266795.1488,142,216113.0,216016.735,0
1755107100000,2025-08-13 17:45:00,0.9994,0.9995,0.9994,0.9995,78217.0,1755107999999,78171.4554,134,13856.0,13849.072,0
1755108000000,2025-08-13 18:00:00,0.9995,0.9995,0.9993,0.9995,58439.0,1755108899999,58404.755,152,23957.0,23943.4739,0
1755108900000,2025-08-13 18:15:00,0.9995,0.9995,0.9994,0.9995,21323.0,1755109799999,21311.6401,178,14339.0,14331.8305,0
1755109800000,2025-08-13 18:30:00,0.9994,0.9996,0.9994,0.9995,128989.0,1755110699999,128923.3184,216,116900.0,116841.5509,0
1755110700000,2025-08-13 18:45:00,0.9996,0.9999,0.9995,0.9999,170988.0,1755111599999,170941.735,143,167128.0,167083.4481,0
1755111600000,2025-08-13 19:00:00,0.9999,0.9999,0.9995,0.9997,15206.0,1755112499999,15201.3948,106,6395.0,6394.1061,0
1755112500000,2025-08-13 19:15:00,0.9997,0.9998,0.9996,0.9998,40026.0,1755113399999,40015.3118,157,22977.0,22971.6153,0
1755113400000,2025-08-13 19:30:00,0.9997,0.9998,0.9997,0.9997,18868.0,1755114299999,18863.12,132,7804.0,7802.4392,0
1755114300000,2025-08-13 19:45:00,0.9998,0.9998,0.9997,0.9997,12791.0,1755115199999,12787.3682,128,2055.0,2054.589,0
1755115200000,2025-08-13 20:00:00,0.9997,0.9998,0.9997,0.9997,6788.0,1755116099999,6786.0096,95,460.0,459.908,0
1755116100000,2025-08-13 20:15:00,0.9997,0.9998,0.9997,0.9997,14051.0,1755116999999,14047.224,156,4393.0,4392.1214,0
1755117000000,2025-08-13 20:30:00,0.9997,0.9998,0.9995,0.9995,71007.0,1755117899999,70974.7671,145,4959.0,4957.3899,0
1755117900000,2025-08-13 20:45:00,0.9995,1.0,0.9995,0.9999,153053.0,1755118799999,153025.9828,216,143716.0,143692.4408,0
1755118800000,2025-08-13 21:00:00,0.9999,0.9999,0.9995,0.9995,45831.0,1755119699999,45816.1228,151,12111.0,12107.2439,0
1755119700000,2025-08-13 21:15:00,0.9996,0.9997,0.9995,0.9997,21811.0,1755120599999,21802.0625,174,12784.0,12779.3693,0
1755120600000,2025-08-13 21:30:00,0.9997,0.9998,0.9996,0.9997,32136.0,1755121499999,32126.4976,164,16904.0,16899.4047,0
1755121500000,2025-08-13 21:45:00,0.9998,0.9998,0.9993,0.9995,238689.0,1755122399999,238539.0246,151,20840.0,20829.149,0
1755122400000,2025-08-13 22:00:00,0.9994,0.9995,0.9994,0.9995,20704.0,1755123299999,20692.5822,154,10046.0,10040.977,0
1755123300000,2025-08-13 22:15:00,0.9995,0.9995,0.9993,0.9994,70474.0,1755124199999,70430.7366,96,13495.0,13488.0744,0
1755124200000,2025-08-13 22:30:00,0.9994,0.9994,0.999,0.9992,268837.0,1755125099999,268609.2861,97,11288.0,11279.4836,0
1755125100000,2025-08-13 22:45:00,0.9992,0.9999,0.9991,0.9997,135243.0,1755125999999,135185.2611,131,112485.0,112433.4265,0
1755126000000,2025-08-13 23:00:00,0.9997,0.9997,0.9991,0.9994,214965.0,1755126899999,214815.1779,115,44492.0,44461.1329,0
1755126900000,2025-08-13 23:15:00,0.9994,0.9994,0.9993,0.9994,122972.0,1755127799999,122887.8509,108,19313.0,19301.4122,0
1755127800000,2025-08-13 23:30:00,0.9993,0.9995,0.9991,0.9993,190327.0,1755128699999,190181.6707,119,49061.0,49029.2908,0
1755128700000,2025-08-13 23:45:00,0.9994,0.9995,0.9992,0.9992,37585.0,1755129599999,37561.5304,135,26167.0,26151.6442,0
1755129600000,2025-08-14 00:00:00,0.9994,0.9995,0.9991,0.9995,209587.0,1755130499999,209408.8757,161,19885.0,19873.6934,0
1755130500000,2025-08-14 00:15:00,0.9994,0.9996,0.9991,0.9993,250258.0,1755131399999,250059.7558,147,52144.0,52104.4876,0
1755131400000,2025-08-14 00:30:00,0.9993,0.9993,0.9991,0.9993,221432.0,1755132299999,221240.0364,149,26260.0,26239.4127,0
1755132300000,2025-08-14 00:45:00,0.9992,0.9996,0.9992,0.9995,82073.0,1755133199999,82024.035,133,37794.0,37770.7701,0
1755133200000,2025-08-14 01:00:00,0.9995,0.9996,0.9994,0.9994,48974.0,1755134099999,48950.5758,169,14761.0,14755.0839,0
1755134100000,2025-08-14 01:15:00,0.9995,0.9995,0.9994,0.9994,17816.0,1755134999999,17806.3714,119,10610.0,10604.695,0
1755135000000,2025-08-14 01:30:00,0.9994,0.9997,0.9994,0.9996,131191.0,1755135899999,131139.0465,146,117226.0,117181.6505,0
1755135900000,2025-08-14 01:45:00,0.9997,0.9997,0.9995,0.9995,46381.0,1755136799999,46361.532,139,16424.0,16417.5261,0
1755136800000,2025-08-14 02:00:00,0.9995,0.9996,0.9994,0.9995,87161.0,1755137699999,87118.2737,137,10489.0,10484.73,0
1755137700000,2025-08-14 02:15:00,0.9995,0.9995,0.9994,0.9994,45842.0,1755138599999,45816.8114,164,23166.0,23154.417,0
1755138600000,2025-08-14 02:30:00,0.9994,0.9997,0.9992,0.9993,473119.0,1755139499999,472820.2401,159,223544.0,223421.4439,0
1755139500000,2025-08-14 02:45:00,0.9993,0.9996,0.9992,0.9996,252616.0,1755140399999,252437.8812,194,184358.0,184233.9113,0
1755140400000,2025-08-14 03:00:00,0.9996,0.9996,0.9994,0.9996,243601.0,1755141299999,243486.0153,194,157940.0,157869.8563,0
1755141300000,2025-08-14 03:15:00,0.9996,0.9996,0.9994,0.9995,760413.0,1755142199999,760047.4521,202,250843.0,250732.5701,0
1755142200000,2025-08-14 03:30:00,0.9995,0.9997,0.9995,0.9997,173476.0,1755143099999,173414.3761,202,156897.0,156842.6968,0
1755143100000,2025-08-14 03:45:00,0.9997,0.9997,0.9996,0.9997,232805.0,1755143999999,232734.2818,170,224038.0,223970.7886,0
1755144000000,2025-08-14 04:00:00,0.9997,0.9997,0.9995,0.9996,192154.0,1755144899999,192083.2278,159,124098.0,124056.5091,0
1755144900000,2025-08-14 04:15:00,0.9997,0.9997,0.9995,0.9997,35956.0,1755145799999,35943.3818,135,22947.0,22940.1159,0
1755145800000,2025-08-14 04:30:00,0.9997,0.9997,0.9995,0.9996,117067.0,1755146699999,117021.2868,138,103058.0,103018.2001,0
1755146700000,2025-08-14 04:45:00,0.9996,0.9998,0.9995,0.9998,688921.0,1755147599999,688681.5551,136,682349.0,682112.0876,0
1755147600000,2025-08-14 05:00:00,0.9998,0.9998,0.9996,0.9996,81680.0,1755148499999,81656.0917,106,24287.0,24280.9712,0
1755148500000,2025-08-14 05:15:00,0.9997,0.9997,0.9992,0.9995,1337170.0,1755149399999,1336407.5439,186,115402.0,115328.6584,0
1755149400000,2025-08-14 05:30:00,0.9995,0.9996,0.9994,0.9995,285608.0,1755150299999,285487.6096,204,235520.0,235424.7589,0
1755150300000,2025-08-14 05:45:00,0.9996,0.9996,0.9994,0.9994,1092861.0,1755151199999,1092331.5631,123,171417.0,171348.4319,0
1755151200000,2025-08-14 06:00:00,0.9995,0.9995,0.9993,0.9994,113350.0,1755152099999,113286.9283,135,73748.0,73709.0465,0
1755152100000,2025-08-14 06:15:00,0.9993,0.9996,0.9993,0.9996,587101.0,1755152999999,586821.1556,166,480973.0,480747.5623,0
1755153000000,2025-08-14 06:30:00,0.9996,0.9996,0.9995,0.9995,485869.0,1755153899999,485664.7661,190,387006.0,386851.1976,0
1755153900000,2025-08-14 06:45:00,0.9996,0.9997,0.9995,0.9997,807233.0,1755154799999,806921.8744,257,614453.0,614229.7088,0
1755154800000,2025-08-14 07:00:00,0.9997,0.9998,0.9996,0.9998,450306.0,1755155699999,450170.1116,140,413811.0,413688.5836,0
1755155700000,2025-08-14 07:15:00,0.9997,0.9998,0.9997,0.9998,915531.0,1755156599999,915281.597,196,252563.0,252512.4874,0
1755156600000,2025-08-14 07:30:00,0.9998,0.9998,0.9995,0.9996,1768724.0,1755157499999,1768072.1435,132,449443.0,449301.1096,0
1755157500000,2025-08-14 07:45:00,0.9996,0.9997,0.9994,0.9995,1865673.0,1755158399999,1864771.5307,183,261970.0,261866.2205,0
1755158400000,2025-08-14 08:00:00,0.9994,0.9996,0.9994,0.9995,692088.0,1755159299999,691739.6934,259,634842.0,634526.0974,0
1755159300000,2025-08-14 08:15:00,0.9995,0.9995,0.9993,0.9995,1887674.0,1755160199999,1886690.8345,459,1593801.0,1592994.9606,0
1755160200000,2025-08-14 08:30:00,0.9995,0.9996,0.9994,0.9996,1269173.0,1755161099999,1268638.382,347,1211704.0,1211198.1183,0
1755161100000,2025-08-14 08:45:00,0.9996,0.9997,0.9994,0.9996,2004902.0,1755161999999,2004105.1522,434,1878805.0,1878067.281,0
1755162000000,2025-08-14 09:00:00,0.9995,0.9996,0.9994,0.9995,363573.0,1755162899999,363383.7671,141,124345.0,124289.3354,0
1755162900000,2025-08-14 09:15:00,0.9995,0.9995,0.9993,0.9994,404413.0,1755163799999,404168.7512,94,57120.0,57086.5016,0
1755163800000,2025-08-14 09:30:00,0.9993,0.9994,0.9993,0.9993,473439.0,1755164699999,473153.6032,93,460105.0,459828.937,0
1755164700000,2025-08-14 09:45:00,0.9994,0.9994,0.9993,0.9993,507220.0,1755165599999,506909.8103,83,448643.0,448373.8142,0
1755165600000,2025-08-14 10:00:00,0.9994,0.9994,0.9992,0.9992,606628.0,1755166499999,606197.1348,113,220347.0,220193.9918,0
1755166500000,2025-08-14 10:15:00,0.9992,0.9993,0.9992,0.9992,53104.0,1755167399999,53061.636,77,1192.0,1191.1656,0
