openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.103,0.1037,0.103,0.1036,74896.67,1753975799999,7749.124877,87,67880.4,7023.715971,0
1753975800000,2025-07-31 15:30:00,0.1035,0.1045,0.1035,0.1044,25675.74,1753976699999,2673.220734,74,12154.48,1266.525211,0
1753976700000,2025-07-31 15:45:00,0.1042,0.1046,0.1038,0.1041,50388.84,1753977599999,5241.238291,101,23830.79,2479.940806,0
1753977600000,2025-07-31 16:00:00,0.1041,0.1043,0.1036,0.1041,90314.13,1753978499999,9394.223103,84,11130.69,1157.171213,0
1753978500000,2025-07-31 16:15:00,0.1042,0.1052,0.104,0.105,81015.37,1753979399999,8491.356246,106,66822.74,7004.506671,0
1753979400000,2025-07-31 16:30:00,0.1052,0.1067,0.1052,0.1061,119025.63,1753980299999,12622.491222,219,85453.58,9060.568666,0
1753980300000,2025-07-31 16:45:00,0.1062,0.1062,0.1054,0.1058,42701.23,1753981199999,4516.878749,106,12660.62,1338.988537,0
1753981200000,2025-07-31 17:00:00,0.1058,0.1058,0.1051,0.1054,45769.83,1753982099999,4823.049697,142,26968.41,2840.704282,0
1753982100000,2025-07-31 17:15:00,0.1054,0.1058,0.1043,0.1045,491329.0,1753982999999,51561.936041,207,61362.59,6434.935414,0
1753983000000,2025-07-31 17:30:00,0.1046,0.105,0.1042,0.1043,23030.31,1753983899999,2412.782802,50,21749.94,2278.897526,0
1753983900000,2025-07-31 17:45:00,0.1045,0.1046,0.1035,0.1036,33802.9,1753984799999,3507.284366,95,10863.32,1127.504449,0
1753984800000,2025-07-31 18:00:00,0.1036,0.1037,0.1027,0.103,44858.07,1753985699999,4620.552351,109,12571.34,1297.049143,0
1753985700000,2025-07-31 18:15:00,0.1029,0.1043,0.1027,0.1043,146818.65,1753986599999,15194.507448,184,109164.21,11311.466747,0
1753986600000,2025-07-31 18:30:00,0.1042,0.1047,0.104,0.1043,34825.96,1753987499999,3635.466077,97,19600.35,2046.344322,0
1753987500000,2025-07-31 18:45:00,0.1044,0.1047,0.1037,0.1039,73645.93,1753988399999,7698.812839,80,51413.15,5378.599071,0
1753988400000,2025-07-31 19:00:00,0.104,0.104,0.103,0.1032,9202.58,1753989299999,952.848077,31,1878.98,194.975899,0
1753989300000,2025-07-31 19:15:00,0.1031,0.1037,0.1031,0.1036,11523.61,1753990199999,1192.583018,55,2312.6,239.372555,0
1753990200000,2025-07-31 19:30:00,0.1036,0.1036,0.1032,0.1036,32116.49,1753991099999,3321.432308,53,3533.13,365.969462,0
1753991100000,2025-07-31 19:45:00,0.1037,0.1039,0.1031,0.1034,30937.52,1753991999999,3197.286003,96,9467.99,978.070538,0
1753992000000,2025-07-31 20:00:00,0.1034,0.1035,0.1024,0.1027,50168.24,1753992899999,5173.541372,130,27627.74,2855.071891,0
1753992900000,2025-07-31 20:15:00,0.1027,0.1034,0.1025,0.1028,35419.15,1753993799999,3642.633265,68,2100.36,216.099156,0
1753993800000,2025-07-31 20:30:00,0.1029,0.1031,0.1025,0.1029,101739.62,1753994699999,10466.606103,75,20618.85,2120.598813,0
1753994700000,2025-07-31 20:45:00,0.1029,0.103,0.1025,0.1028,145703.38,1753995599999,14972.369727,101,26943.36,2767.846835,0
1753995600000,2025-07-31 21:00:00,0.1027,0.1031,0.1024,0.1026,162782.54,1753996499999,16736.401458,75,111084.92,11430.40985,0
1753996500000,2025-07-31 21:15:00,0.1026,0.1026,0.1019,0.1025,95225.7,1753997399999,9742.191246,68,19745.52,2022.198856,0
1753997400000,2025-07-31 21:30:00,0.1026,0.1031,0.1025,0.1026,80503.38,1753998299999,8282.657204,66,43536.23,4480.897909,0
1753998300000,2025-07-31 21:45:00,0.1026,0.1027,0.1007,0.1019,384285.47,1753999199999,39001.187812,339,97365.42,9862.166521,0
1753999200000,2025-07-31 22:00:00,0.1018,0.1018,0.1007,0.101,17710.49,1754000099999,1788.97387,55,2374.4,240.919974,0
1754000100000,2025-07-31 22:15:00,0.1012,0.1017,0.1009,0.1011,82983.96,1754000999999,8389.463378,86,13557.58,1373.102025,0
1754001000000,2025-07-31 22:30:00,0.1012,0.1012,0.1002,0.1008,270723.24,1754001899999,27252.046677,144,100208.01,10078.769303,0
1754001900000,2025-07-31 22:45:00,0.1006,0.1011,0.1003,0.101,43310.59,1754002799999,4363.87669,60,17140.72,1729.07923,0
1754002800000,2025-07-31 23:00:00,0.101,0.1018,0.101,0.1016,42101.74,1754003699999,4276.728712,41,37378.02,3797.328656,0
1754003700000,2025-07-31 23:15:00,0.1016,0.1016,0.1009,0.1009,17142.67,1754004599999,1733.269329,45,859.54,87.102776,0
1754004600000,2025-07-31 23:30:00,0.1008,0.1008,0.0998,0.1002,154651.37,1754005499999,15482.79558,194,67018.72,6702.885005,0
1754005500000,2025-07-31 23:45:00,0.1003,0.1006,0.1001,0.1003,15449.02,1754006399999,1550.675873,40,6059.31,608.3529,0
