openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.06148,0.06177,0.06142,0.06164,225602.0,1753975799999,13908.12761,319,129557.0,7990.19343,0
1753975800000,2025-07-31 15:30:00,0.06163,0.06219,0.06161,0.06193,355767.0,1753976699999,22034.5708,347,121486.0,7517.39796,0
1753976700000,2025-07-31 15:45:00,0.06194,0.06212,0.06164,0.06184,176084.0,1753977599999,10885.73923,247,130349.0,8058.6204,0
1753977600000,2025-07-31 16:00:00,0.06183,0.06217,0.06177,0.06212,235463.0,1753978499999,14575.95934,289,129506.0,8015.30074,0
1753978500000,2025-07-31 16:15:00,0.06212,0.06252,0.06209,0.06243,219108.0,1753979399999,13659.69073,351,164247.0,10241.49862,0
1753979400000,2025-07-31 16:30:00,0.06244,0.06317,0.06244,0.06293,473748.0,1753980299999,29830.74309,485,306391.0,19281.56407,0
1753980300000,2025-07-31 16:45:00,0.06295,0.06298,0.06242,0.06271,163304.0,1753981199999,10229.21519,241,95041.0,5956.26196,0
1753981200000,2025-07-31 17:00:00,0.06273,0.06273,0.06222,0.06239,97467.0,1753982099999,6082.58912,218,44225.0,2757.92169,0
1753982100000,2025-07-31 17:15:00,0.0624,0.06263,0.06184,0.06205,260106.0,1753982999999,16159.58375,492,156898.0,9744.4045,0
1753983000000,2025-07-31 17:30:00,0.06206,0.06235,0.06187,0.06206,155322.0,1753983899999,9650.20445,295,60491.0,3760.31793,0
1753983900000,2025-07-31 17:45:00,0.06209,0.06219,0.06154,0.06172,184248.0,1753984799999,11371.65262,365,83834.0,5174.3305,0
1753984800000,2025-07-31 18:00:00,0.06171,0.06177,0.06107,0.0612,275848.0,1753985699999,16902.43022,443,151922.0,9308.54394,0
1753985700000,2025-07-31 18:15:00,0.06117,0.06173,0.06098,0.0617,258619.0,1753986599999,15846.41794,392,97673.0,5989.26641,0
1753986600000,2025-07-31 18:30:00,0.06169,0.06199,0.06169,0.06181,89628.0,1753987499999,5546.40157,205,63233.0,3913.72127,0
1753987500000,2025-07-31 18:45:00,0.06181,0.06196,0.06145,0.06163,127202.0,1753988399999,7856.60167,268,80709.0,4989.52135,0
1753988400000,2025-07-31 19:00:00,0.06163,0.06176,0.06108,0.06108,107583.0,1753989299999,6603.38751,229,43022.0,2642.12183,0
