openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.0904,0.0905,0.0902,0.0904,92571.1,1753975799999,8366.21846,96,48380.2,4371.85594,0
1753975800000,2025-07-31 15:30:00,0.0903,0.0909,0.0903,0.0908,101838.9,1753976699999,9226.92204,84,45643.7,4136.60359,0
1753976700000,2025-07-31 15:45:00,0.0908,0.0909,0.0901,0.0905,128588.3,1753977599999,11630.83148,104,81144.1,7341.10627,0
1753977600000,2025-07-31 16:00:00,0.0905,0.0906,0.0901,0.0905,133567.2,1753978499999,12072.13637,101,54663.0,4937.68254,0
1753978500000,2025-07-31 16:15:00,0.0907,0.0912,0.0905,0.0911,201738.4,1753979399999,18320.33567,294,92969.1,8440.78915,0
1753979400000,2025-07-31 16:30:00,0.0911,0.0925,0.0911,0.0922,310708.1,1753980299999,28598.24211,449,180011.5,16552.27068,0
1753980300000,2025-07-31 16:45:00,0.0922,0.0923,0.0915,0.0915,214549.0,1753981199999,19685.12904,130,69683.0,6391.12591,0
1753981200000,2025-07-31 17:00:00,0.0915,0.0915,0.091,0.0911,122358.7,1753982099999,11159.58048,150,86413.8,7880.13273,0
1753982100000,2025-07-31 17:15:00,0.0912,0.0914,0.0904,0.0906,282846.0,1753982999999,25676.3461,371,116404.9,10562.91566,0
1753983000000,2025-07-31 17:30:00,0.0907,0.0909,0.0901,0.0904,143150.7,1753983899999,12963.20552,336,88973.3,8054.02762,0
1753983900000,2025-07-31 17:45:00,0.0905,0.0905,0.0897,0.0899,127290.6,1753984799999,11454.06667,168,80257.4,7222.15195,0
1753984800000,2025-07-31 18:00:00,0.0899,0.0899,0.089,0.0893,171140.8,1753985699999,15270.71226,241,97825.8,8729.08602,0
1753985700000,2025-07-31 18:15:00,0.0893,0.0901,0.0891,0.0901,163926.4,1753986599999,14686.55173,372,111285.5,9969.46241,0
1753986600000,2025-07-31 18:30:00,0.0901,0.0904,0.0899,0.09,78088.5,1753987499999,7040.61923,154,50785.7,4580.12587,0
1753987500000,2025-07-31 18:45:00,0.0901,0.0904,0.0897,0.0899,102883.5,1753988399999,9252.57928,176,52823.0,4750.48435,0
1753988400000,2025-07-31 19:00:00,0.0899,0.09,0.0892,0.0892,158509.4,1753989299999,14202.60135,280,92593.8,8294.84001,0
1753989300000,2025-07-31 19:15:00,0.0892,0.0898,0.0892,0.0894,125071.6,1753990199999,11201.60309,182,82168.2,7360.15488,0
1753990200000,2025-07-31 19:30:00,0.0894,0.0895,0.0892,0.0894,123968.8,1753991099999,11078.04052,186,72287.6,6461.89873,0
1753991100000,2025-07-31 19:45:00,0.0895,0.0896,0.089,0.0891,165344.4,1753991999999,14756.44972,226,102835.4,9175.95771,0
1753992000000,2025-07-31 20:00:00,0.0891,0.0893,0.0884,0.089,847333.7,1753992899999,75189.08169,843,530411.2,47074.27901,0
1753992900000,2025-07-31 20:15:00,0.089,0.0894,0.0887,0.0889,162462.5,1753993799999,14460.99624,137,102571.9,9135.52695,0
1753993800000,2025-07-31 20:30:00,0.089,0.0892,0.0887,0.089,200963.5,1753994699999,17875.36116,102,116396.4,10353.69853,0
1753994700000,2025-07-31 20:45:00,0.0891,0.0891,0.0887,0.0889,208619.8,1753995599999,18549.4231,116,164791.8,14654.60094,0
1753995600000,2025-07-31 21:00:00,0.0888,0.089,0.0883,0.0885,458890.4,1753996499999,40648.71885,269,191856.2,17014.54311,0
1753996500000,2025-07-31 21:15:00,0.0884,0.0888,0.0881,0.0888,329184.2,1753997399999,29119.93283,335,266757.5,23601.31107,0
1753997400000,2025-07-31 21:30:00,0.0887,0.0892,0.0886,0.0889,246499.3,1753998299999,21897.14201,234,146389.4,13009.77892,0
1753998300000,2025-07-31 21:45:00,0.0889,0.0889,0.0877,0.0884,852080.6,1753999199999,75163.49649,728,541869.7,47843.2127,0
1753999200000,2025-07-31 22:00:00,0.0884,0.0884,0.0875,0.0878,434829.9,1754000099999,38232.08254,457,273438.4,24034.64181,0
1754000100000,2025-07-31 22:15:00,0.0878,0.0882,0.0875,0.0877,316210.7,1754000999999,27785.9849,301,220250.7,19356.92587,0
1754001000000,2025-07-31 22:30:00,0.0877,0.0877,0.0869,0.0872,693261.1,1754001899999,60353.17111,401,257769.3,22449.46815,0
1754001900000,2025-07-31 22:45:00,0.0872,0.0873,0.0869,0.0873,260401.8,1754002799999,22684.07382,208,156068.5,13602.00685,0
1754002800000,2025-07-31 23:00:00,0.0872,0.0876,0.0869,0.0874,2041019.9,1754003699999,177829.98868,556,1162359.4,101244.74694,0
