openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,6.9e-07,7e-07,6.9e-07,7e-07,2391114987.0,1753975799999,1661.72326583,70,1185392480.0,829.774736,0
1753975800000,2025-07-31 15:30:00,6.9e-07,7e-07,6.9e-07,6.9e-07,19375403923.0,1753976699999,13385.53863909,93,1650993222.0,1155.6952554,0
1753976700000,2025-07-31 15:45:00,7e-07,7e-07,6.9e-07,6.9e-07,3245242577.0,1753977599999,2255.28651693,45,1606913880.0,1124.839716,0
1753977600000,2025-07-31 16:00:00,7e-07,7e-07,6.9e-07,6.9e-07,6907013977.0,1753978499999,4787.91705823,74,2207741410.0,1545.418987,0
1753978500000,2025-07-31 16:15:00,6.9e-07,7e-07,6.9e-07,6.9e-07,10744911622.0,1753979399999,7460.60097263,79,4661195345.0,3262.8367415,0
1753979400000,2025-07-31 16:30:00,7e-07,7e-07,6.9e-07,7e-07,8593455982.0,1753980299999,5970.69001871,79,4120539113.0,2884.3773791,0
1753980300000,2025-07-31 16:45:00,6.9e-07,7.1e-07,6.9e-07,7e-07,118994962296.0,1753981199999,83297.32552918,166,117757616075.0,82435.355506,0
1753981200000,2025-07-31 17:00:00,7.1e-07,7.1e-07,7e-07,7.1e-07,21236328360.0,1753982099999,14973.93375987,78,10850390787.0,7703.77745877,0
1753982100000,2025-07-31 17:15:00,7.1e-07,7.1e-07,6.9e-07,7e-07,95564008286.0,1753982999999,66855.03290728,142,2405637519.0,1687.94013517,0
1753983000000,2025-07-31 17:30:00,6.9e-07,7e-07,6.9e-07,7e-07,17114129115.0,1753983899999,11872.58826562,54,6383917627.0,4468.7423389,0
1753983900000,2025-07-31 17:45:00,7e-07,7e-07,6.9e-07,6.9e-07,3462393648.0,1753984799999,2403.14754436,60,1409592724.0,986.7149068,0
1753984800000,2025-07-31 18:00:00,6.9e-07,7e-07,6.9e-07,6.9e-07,5083249000.0,1753985699999,3538.94555166,63,3150374166.0,2205.2619162,0
1753985700000,2025-07-31 18:15:00,7e-07,7e-07,6.9e-07,6.9e-07,6022074282.0,1753986599999,4177.12198285,58,2189072827.0,1532.3509789,0
1753986600000,2025-07-31 18:30:00,6.9e-07,7e-07,6.9e-07,7e-07,12965535171.0,1753987499999,9052.15545852,59,10593619053.0,7415.5333371,0
1753987500000,2025-07-31 18:45:00,7e-07,7e-07,6.9e-07,7e-07,3159670318.0,1753988399999,2201.39803095,46,2122551153.0,1485.7858071,0
1753988400000,2025-07-31 19:00:00,7e-07,7e-07,6.9e-07,6.9e-07,2138744235.0,1753989299999,1486.94516105,35,1121163890.0,784.814723,0
1753989300000,2025-07-31 19:15:00,6.9e-07,7e-07,6.9e-07,6.9e-07,4203383858.0,1753990199999,2909.02249266,50,868763064.0,608.1341448,0
1753990200000,2025-07-31 19:30:00,6.9e-07,7e-07,6.9e-07,6.9e-07,5193189144.0,1753991099999,3602.2139617,56,1891345234.0,1323.9416638,0
1753991100000,2025-07-31 19:45:00,7e-07,7e-07,6.9e-07,6.9e-07,4234192474.0,1753991999999,2948.25049607,56,2665768901.0,1866.0382307,0
1753992000000,2025-07-31 20:00:00,6.9e-07,7e-07,6.9e-07,6.9e-07,11018658285.0,1753992899999,7633.15582228,67,3028160563.0,2119.7123941,0
1753992900000,2025-07-31 20:15:00,6.9e-07,7e-07,6.9e-07,6.9e-07,1840136509.0,1753993799999,1275.34059882,41,564640761.0,395.2485327,0
1753993800000,2025-07-31 20:30:00,6.9e-07,7e-07,6.9e-07,7e-07,17918284680.0,1753994699999,12377.64131689,55,1402488769.0,981.7421383,0
1753994700000,2025-07-31 20:45:00,6.9e-07,7e-07,6.9e-07,6.9e-07,2292744640.0,1753995599999,1589.26361522,49,726981362.0,508.8869534,0
1753995600000,2025-07-31 21:00:00,6.9e-07,7e-07,6.9e-07,6.9e-07,2150236998.0,1753996499999,1494.28509694,42,1062156832.0,743.5097824,0
1753996500000,2025-07-31 21:15:00,7e-07,7e-07,6.9e-07,6.9e-07,4674062362.0,1753997399999,3246.03069319,90,2092766341.0,1464.9364387,0
1753997400000,2025-07-31 21:30:00,7e-07,7e-07,6.9e-07,6.9e-07,3329220268.0,1753998299999,2313.19944548,64,1603746056.0,1122.6222392,0
1753998300000,2025-07-31 21:45:00,6.9e-07,7e-07,6.8e-07,6.9e-07,195651670490.0,1753999199999,134912.86679749,257,4776390338.0,3305.09548028,0
1753999200000,2025-07-31 22:00:00,6.9e-07,6.9e-07,6.8e-07,6.9e-07,5952723968.0,1754000099999,4064.3434608,55,1649116256.0,1137.89021664,0
