openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.3231,0.3254,0.323,0.3249,67991.6,1753975799999,22046.32072,355,35660.0,11565.87997,0
1753975800000,2025-07-31 15:30:00,0.325,0.3272,0.325,0.3258,65737.5,1753976699999,21423.69177,294,27683.9,9021.12672,0
1753976700000,2025-07-31 15:45:00,0.3258,0.3266,0.3241,0.3252,53704.1,1753977599999,17456.08468,213,36383.6,11826.17803,0
1753977600000,2025-07-31 16:00:00,0.3253,0.3259,0.3241,0.3256,64972.4,1753978499999,21119.72723,264,23769.1,7724.66326,0
1753978500000,2025-07-31 16:15:00,0.3257,0.3277,0.3252,0.3271,45515.9,1753979399999,14872.00131,210,13315.6,4346.08606,0
1753979400000,2025-07-31 16:30:00,0.3272,0.3316,0.3272,0.3304,64283.0,1753980299999,21200.5314,429,35053.2,11545.74403,0
1753980300000,2025-07-31 16:45:00,0.3308,0.3311,0.3279,0.3288,89915.5,1753981199999,29572.72447,359,36361.9,11960.8686,0
1753981200000,2025-07-31 17:00:00,0.3289,0.3289,0.3262,0.3274,45075.2,1753982099999,14755.26801,234,23610.3,7728.76011,0
1753982100000,2025-07-31 17:15:00,0.3275,0.3287,0.325,0.326,93649.6,1753982999999,30605.04982,432,46722.7,15290.12643,0
1753983000000,2025-07-31 17:30:00,0.3261,0.3278,0.3252,0.3261,117277.9,1753983899999,38313.74321,322,69399.2,22667.02445,0
1753983900000,2025-07-31 17:45:00,0.3263,0.3269,0.3238,0.3249,71194.4,1753984799999,23134.18907,309,39033.7,12692.84477,0
1753984800000,2025-07-31 18:00:00,0.3249,0.3255,0.3221,0.3228,67604.5,1753985699999,21862.82644,304,36518.2,11815.43646,0
1753985700000,2025-07-31 18:15:00,0.3228,0.326,0.322,0.3256,59858.4,1753986599999,19398.66837,322,34775.9,11276.97766,0
1753986600000,2025-07-31 18:30:00,0.3255,0.327,0.3254,0.3257,48608.1,1753987499999,15860.49984,272,29782.9,9720.54569,0
1753987500000,2025-07-31 18:45:00,0.3258,0.3264,0.3241,0.3249,35294.6,1753988399999,11482.21497,171,14903.5,4849.86985,0
