openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.2057,0.2079,0.2057,0.2076,1243438.0,1753975799999,257396.6542,1197,679329.0,140715.7856,0
1753975800000,2025-07-31 15:30:00,0.2075,0.21,0.2075,0.209,1957093.0,1753976699999,408959.0849,1991,963692.0,201387.4466,0
1753976700000,2025-07-31 15:45:00,0.2089,0.2092,0.207,0.2087,1690710.0,1753977599999,351759.4875,1351,723226.0,150610.4376,0
1753977600000,2025-07-31 16:00:00,0.2088,0.21,0.2078,0.2099,1662651.0,1753978499999,347496.2763,1446,984258.0,205794.2497,0
1753978500000,2025-07-31 16:15:00,0.2099,0.2115,0.2084,0.2092,2301043.0,1753979399999,483537.7344,1660,1163910.0,244558.6557,0
1753979400000,2025-07-31 16:30:00,0.2092,0.2122,0.209,0.2111,2580690.0,1753980299999,544515.5312,2133,1487311.0,313712.0896,0
1753980300000,2025-07-31 16:45:00,0.2111,0.213,0.2099,0.2126,1980217.0,1753981199999,418377.3035,1348,891292.0,188429.6726,0
1753981200000,2025-07-31 17:00:00,0.2126,0.2145,0.2111,0.2116,3437367.0,1753982099999,731619.9997,2131,2234071.0,475824.3691,0
1753982100000,2025-07-31 17:15:00,0.2116,0.212,0.2094,0.2108,1258727.0,1753982999999,265073.0706,1446,525104.0,110596.7573,0
1753983000000,2025-07-31 17:30:00,0.2108,0.2113,0.2092,0.2099,1328839.0,1753983899999,279344.6046,930,646089.0,135809.3402,0
1753983900000,2025-07-31 17:45:00,0.2099,0.2105,0.2082,0.2095,1229034.0,1753984799999,257069.713,1117,548705.0,114755.2409,0
1753984800000,2025-07-31 18:00:00,0.2094,0.2102,0.2086,0.2092,1280748.0,1753985699999,267866.5352,1023,576962.0,120711.2415,0
1753985700000,2025-07-31 18:15:00,0.2092,0.2102,0.2083,0.2101,1197160.0,1753986599999,250491.5795,1008,726339.0,151985.6666,0
1753986600000,2025-07-31 18:30:00,0.21,0.2103,0.2081,0.2085,634032.0,1753987499999,132671.8199,759,368637.0,77180.4214,0
1753987500000,2025-07-31 18:45:00,0.2085,0.2091,0.2068,0.2075,803407.0,1753988399999,166966.9265,824,253733.0,52771.538,0
1753988400000,2025-07-31 19:00:00,0.2076,0.2087,0.207,0.2072,608061.0,1753989299999,126344.0624,699,192866.0,40080.9483,0
1753989300000,2025-07-31 19:15:00,0.2073,0.2092,0.2073,0.2086,865451.0,1753990199999,180166.7902,793,510249.0,106244.2013,0
1753990200000,2025-07-31 19:30:00,0.2087,0.2093,0.2077,0.2086,588475.0,1753991099999,122693.1063,696,306339.0,63873.9523,0
1753991100000,2025-07-31 19:45:00,0.2087,0.2089,0.2073,0.2084,1231221.0,1753991999999,255936.6254,887,317081.0,65948.5356,0
1753992000000,2025-07-31 20:00:00,0.2085,0.2097,0.2074,0.2096,1080122.0,1753992899999,225389.9346,1032,613223.0,128061.3804,0
1753992900000,2025-07-31 20:15:00,0.2096,0.2112,0.2095,0.2104,1241336.0,1753993799999,261298.8589,1090,741035.0,156038.9506,0
1753993800000,2025-07-31 20:30:00,0.2104,0.211,0.2093,0.2101,2129508.0,1753994699999,447849.7799,1193,1152943.0,242493.5731,0
1753994700000,2025-07-31 20:45:00,0.2101,0.2105,0.209,0.21,1033665.0,1753995599999,216857.8921,814,470599.0,98724.0667,0
1753995600000,2025-07-31 21:00:00,0.21,0.2139,0.21,0.2128,2467666.0,1753996499999,524376.3483,2424,1471651.0,312767.7323,0
1753996500000,2025-07-31 21:15:00,0.2127,0.2129,0.2074,0.2083,2864870.0,1753997399999,601390.5695,2806,1350913.0,283154.5307,0
1753997400000,2025-07-31 21:30:00,0.2083,0.2103,0.2081,0.2094,1977563.0,1753998299999,413729.5289,1604,1090160.0,228266.2034,0
1753998300000,2025-07-31 21:45:00,0.2094,0.2106,0.2084,0.21,2316543.0,1753999199999,485553.1546,1523,738826.0,154937.6234,0
1753999200000,2025-07-31 22:00:00,0.2099,0.2115,0.2086,0.2114,1195034.0,1754000099999,251111.6671,1281,712064.0,149727.9303,0
1754000100000,2025-07-31 22:15:00,0.2114,0.2122,0.2091,0.2097,1383925.0,1754000999999,291747.0562,1266,754158.0,159038.1434,0
1754001000000,2025-07-31 22:30:00,0.2098,0.2098,0.2077,0.2094,1939985.0,1754001899999,405030.7585,1408,904031.0,188779.6572,0
1754001900000,2025-07-31 22:45:00,0.2091,0.2138,0.2083,0.2124,3441734.0,1754002799999,727503.2579,1881,2682602.0,567805.1355,0
1754002800000,2025-07-31 23:00:00,0.2124,0.2168,0.212,0.2167,5780749.0,1754003699999,1241777.6595,4962,3340844.0,716952.5692,0
1754003700000,2025-07-31 23:15:00,0.2166,0.2173,0.2125,0.213,2900993.0,1754004599999,625624.0405,2685,1214613.0,261865.6476,0
1754004600000,2025-07-31 23:30:00,0.2131,0.2164,0.2128,0.2162,3164712.0,1754005499999,680297.9286,2924,1355625.0,291220.8429,0
1754005500000,2025-07-31 23:45:00,0.2163,0.2164,0.214,0.2147,3144618.0,1754006399999,676406.8916,2176,1123790.0,241742.9069,0
1754006400000,2025-08-01 00:00:00,0.2146,0.2169,0.2126,0.2128,2750837.0,1754007299999,589897.4467,2415,1223005.0,262507.371,0
1754007300000,2025-08-01 00:15:00,0.2126,0.2162,0.209,0.2101,3942639.0,1754008199999,838498.8578,3224,1914228.0,408009.877,0
1754008200000,2025-08-01 00:30:00,0.2101,0.2122,0.206,0.2117,5019017.0,1754009099999,1045786.0461,3959,2287560.0,476435.9535,0
1754009100000,2025-08-01 00:45:00,0.2116,0.2149,0.2092,0.2133,6152927.0,1754009999999,1303631.9936,4881,2586493.0,548349.1504,0
1754010000000,2025-08-01 01:00:00,0.2132,0.2156,0.2108,0.2115,2962921.0,1754010899999,631622.7202,2563,1455737.0,310640.04,0
1754010900000,2025-08-01 01:15:00,0.2115,0.2152,0.2115,0.2139,2252614.0,1754011799999,481698.6947,1972,1142981.0,244320.7016,0
1754011800000,2025-08-01 01:30:00,0.2138,0.2186,0.213,0.2165,6444125.0,1754012699999,1390327.422,4026,4078706.0,879809.7581,0
1754012700000,2025-08-01 01:45:00,0.2165,0.218,0.2147,0.2168,2500216.0,1754013599999,540487.0747,2341,993379.0,214682.9196,0
1754013600000,2025-08-01 02:00:00,0.2167,0.2203,0.216,0.2195,3345683.0,1754014499999,731124.7322,3174,2075480.0,453711.3862,0
1754014500000,2025-08-01 02:15:00,0.2195,0.2232,0.2189,0.2209,5017855.0,1754015399999,1111713.3101,3867,1814770.0,402295.9144,0
1754015400000,2025-08-01 02:30:00,0.2208,0.221,0.215,0.215,4469544.0,1754016299999,971776.7875,3273,2156576.0,468590.8438,0
1754016300000,2025-08-01 02:45:00,0.2151,0.2202,0.215,0.219,5265049.0,1754017199999,1146845.0955,2949,2825127.0,616386.1581,0
1754017200000,2025-08-01 03:00:00,0.219,0.2192,0.2158,0.2162,1167604.0,1754018099999,253012.5116,1279,541273.0,117288.0528,0
1754018100000,2025-08-01 03:15:00,0.2162,0.2183,0.2159,0.2162,1319887.0,1754018999999,286365.932,1335,816200.0,177146.0617,0
1754019000000,2025-08-01 03:30:00,0.2162,0.2184,0.216,0.2166,1862172.0,1754019899999,404870.8551,1436,946442.0,205917.764,0
1754019900000,2025-08-01 03:45:00,0.2166,0.218,0.2159,0.2168,1353398.0,1754020799999,293163.2488,1187,725799.0,157220.9738,0
1754020800000,2025-08-01 04:00:00,0.2168,0.2168,0.2128,0.2148,2345455.0,1754021699999,502449.1163,1892,948571.0,203211.316,0
1754021700000,2025-08-01 04:15:00,0.2148,0.2149,0.2136,0.2141,964109.0,1754022599999,206386.4492,981,349086.0,74753.0792,0
1754022600000,2025-08-01 04:30:00,0.2142,0.2167,0.2138,0.2152,1213992.0,1754023499999,262092.983,1130,809347.0,174773.592,0
1754023500000,2025-08-01 04:45:00,0.2151,0.2154,0.2138,0.2138,770739.0,1754024399999,165479.0359,734,283073.0,60815.501,0
1754024400000,2025-08-01 05:00:00,0.2138,0.2141,0.2121,0.2124,1493906.0,1754025299999,318166.6009,1315,592281.0,126206.8499,0
1754025300000,2025-08-01 05:15:00,0.2125,0.2132,0.2113,0.2123,2196555.0,1754026199999,465979.9045,1865,984697.0,208959.6973,0
1754026200000,2025-08-01 05:30:00,0.2123,0.2153,0.2123,0.2144,1236783.0,1754027099999,264766.6624,1328,606498.0,129914.2815,0
1754027100000,2025-08-01 05:45:00,0.2143,0.2143,0.2123,0.2126,1030825.0,1754027999999,219329.865,968,534612.0,113717.2682,0
1754028000000,2025-08-01 06:00:00,0.2125,0.2126,0.2096,0.2102,1309665.0,1754028899999,276256.7776,1385,392783.0,82843.1478,0
1754028900000,2025-08-01 06:15:00,0.2103,0.2104,0.2061,0.2064,4213452.0,1754029799999,874677.7661,2498,1847710.0,383890.8237,0
1754029800000,2025-08-01 06:30:00,0.2065,0.214,0.2065,0.2117,5597942.0,1754030699999,1180229.2212,3826,3571974.0,752007.5859,0
1754030700000,2025-08-01 06:45:00,0.2116,0.2124,0.2097,0.2116,2004596.0,1754031599999,423247.6217,1892,1068243.0,225585.8449,0
1754031600000,2025-08-01 07:00:00,0.2116,0.2119,0.2092,0.2117,1884011.0,1754032499999,396596.868,1715,933529.0,196600.7079,0
1754032500000,2025-08-01 07:15:00,0.2118,0.2139,0.2111,0.2122,2179809.0,1754033399999,463108.2886,1814,1267509.0,269267.5953,0
1754033400000,2025-08-01 07:30:00,0.2123,0.2149,0.211,0.2136,3322589.0,1754034299999,708941.4361,2353,1766826.0,377165.505,0
1754034300000,2025-08-01 07:45:00,0.2136,0.2144,0.2101,0.2116,1566854.0,1754035199999,332239.2459,1683,732124.0,155240.5172,0
1754035200000,2025-08-01 08:00:00,0.2115,0.2118,0.209,0.2099,2997877.0,1754036099999,630737.1687,2177,1620063.0,341005.7344,0
1754036100000,2025-08-01 08:15:00,0.21,0.2124,0.2092,0.2095,1886530.0,1754036999999,397688.4261,1678,955814.0,201604.8619,0
1754037000000,2025-08-01 08:30:00,0.2095,0.2117,0.2088,0.2105,1670601.0,1754037899999,351202.1661,1479,799266.0,168057.6907,0
1754037900000,2025-08-01 08:45:00,0.2105,0.2117,0.2073,0.208,1871991.0,1754038799999,391704.5275,1464,802190.0,167851.5745,0
1754038800000,2025-08-01 09:00:00,0.208,0.2106,0.207,0.2074,5889279.0,1754039699999,1228018.9077,3198,4013516.0,836534.2817,0
1754039700000,2025-08-01 09:15:00,0.2073,0.2137,0.2066,0.2137,6330662.0,1754040599999,1328587.3385,3049,4932289.0,1034332.3963,0
1754040600000,2025-08-01 09:30:00,0.2136,0.2139,0.211,0.2112,2210651.0,1754041499999,469362.5965,2086,955822.0,202879.8347,0
1754041500000,2025-08-01 09:45:00,0.2111,0.2112,0.2082,0.2087,1846048.0,1754042399999,386192.5909,1413,1175587.0,246022.0364,0
1754042400000,2025-08-01 10:00:00,0.2087,0.209,0.2074,0.2089,3340282.0,1754043299999,694919.3525,1826,1435992.0,298900.963,0
1754043300000,2025-08-01 10:15:00,0.2087,0.2092,0.2073,0.2076,952520.0,1754044199999,198226.7696,1000,487907.0,101558.2515,0
1754044200000,2025-08-01 10:30:00,0.2076,0.2103,0.2074,0.2097,1374062.0,1754045099999,287384.8238,1273,761401.0,159198.1163,0
1754045100000,2025-08-01 10:45:00,0.2098,0.2115,0.209,0.2103,1307343.0,1754045999999,275229.3441,1182,664375.0,139837.1714,0
1754046000000,2025-08-01 11:00:00,0.2104,0.211,0.2089,0.2097,759827.0,1754046899999,159577.3571,946,324574.0,68163.2856,0
1754046900000,2025-08-01 11:15:00,0.2096,0.2113,0.2092,0.2112,968537.0,1754047799999,203774.748,1020,450102.0,94758.8241,0
