openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.0964,0.0968,0.0962,0.0966,133634.7,1753975799999,12910.03218,275,68354.7,6604.51295,0
1753975800000,2025-07-31 15:30:00,0.0966,0.0972,0.0966,0.0969,133141.9,1753976699999,12912.96764,202,66538.1,6454.98459,0
1753976700000,2025-07-31 15:45:00,0.097,0.0973,0.0964,0.0967,73627.0,1753977599999,7125.25148,169,46196.3,4469.646,0
1753977600000,2025-07-31 16:00:00,0.0967,0.0972,0.0965,0.0971,211220.3,1753978499999,20463.11105,365,111607.6,10818.30287,0
1753978500000,2025-07-31 16:15:00,0.0972,0.0982,0.0972,0.098,171296.8,1753979399999,16736.49553,279,125924.3,12301.23282,0
1753979400000,2025-07-31 16:30:00,0.098,0.0991,0.098,0.0987,166601.5,1753980299999,16449.92845,327,85163.0,8408.04495,0
1753980300000,2025-07-31 16:45:00,0.0988,0.099,0.0981,0.0985,121851.7,1753981199999,12002.44315,252,57698.2,5682.18698,0
1753981200000,2025-07-31 17:00:00,0.0985,0.0986,0.0978,0.0979,102103.2,1753982099999,10011.23931,206,31796.2,3116.93688,0
1753982100000,2025-07-31 17:15:00,0.098,0.0983,0.0972,0.0973,223463.0,1753982999999,21822.22817,278,134778.0,13157.74924,0
1753983000000,2025-07-31 17:30:00,0.0974,0.0977,0.0969,0.0972,84866.5,1753983899999,8261.39955,235,54637.8,5319.59208,0
1753983900000,2025-07-31 17:45:00,0.0973,0.0973,0.0965,0.0967,122509.5,1753984799999,11864.17581,256,71316.2,6898.39297,0
1753984800000,2025-07-31 18:00:00,0.0968,0.0968,0.0959,0.0962,146283.6,1753985699999,14077.87744,323,92660.5,8919.09261,0
1753985700000,2025-07-31 18:15:00,0.0961,0.0968,0.0956,0.0967,321889.4,1753986599999,30921.96755,310,112757.5,10843.48818,0
1753986600000,2025-07-31 18:30:00,0.0967,0.097,0.0966,0.0966,99182.1,1753987499999,9601.27163,163,47142.7,4564.06883,0
1753987500000,2025-07-31 18:45:00,0.0966,0.0968,0.0961,0.0963,96644.8,1753988399999,9337.88677,130,24591.6,2373.73488,0
1753988400000,2025-07-31 19:00:00,0.0964,0.0965,0.0955,0.0955,122266.8,1753989299999,11741.69028,220,66424.3,6374.12556,0
1753989300000,2025-07-31 19:15:00,0.0955,0.096,0.0954,0.0956,86617.2,1753990199999,8291.95163,133,44270.4,4239.39551,0
1753990200000,2025-07-31 19:30:00,0.0956,0.0958,0.0953,0.0954,250242.5,1753991099999,23884.04935,252,69260.7,6616.58278,0
1753991100000,2025-07-31 19:45:00,0.0955,0.0955,0.0949,0.0951,168849.5,1753991999999,16068.87776,250,89606.6,8523.68668,0
1753992000000,2025-07-31 20:00:00,0.095,0.0952,0.0945,0.0948,328165.2,1753992899999,31111.09424,449,199496.3,18920.5596,0
1753992900000,2025-07-31 20:15:00,0.0947,0.0954,0.0947,0.095,97570.9,1753993799999,9276.52614,175,54195.4,5150.94163,0
1753993800000,2025-07-31 20:30:00,0.0951,0.0953,0.0945,0.0947,193626.2,1753994699999,18371.4032,260,54897.8,5214.41853,0
1753994700000,2025-07-31 20:45:00,0.0948,0.0949,0.0945,0.0947,115870.7,1753995599999,10966.78295,140,46591.7,4410.23585,0
1753995600000,2025-07-31 21:00:00,0.0946,0.0949,0.0943,0.0944,83088.7,1753996499999,7866.7784,166,37135.9,3516.19238,0
1753996500000,2025-07-31 21:15:00,0.0944,0.0946,0.0942,0.0945,20841.1,1753997399999,1968.30298,74,14696.3,1388.21356,0
1753997400000,2025-07-31 21:30:00,0.0944,0.0948,0.0943,0.0944,58574.3,1753998299999,5540.28131,120,25432.6,2406.69907,0
1753998300000,2025-07-31 21:45:00,0.0943,0.0944,0.0929,0.0939,273257.7,1753999199999,25613.49458,320,117691.6,11032.18339,0
1753999200000,2025-07-31 22:00:00,0.0938,0.0938,0.093,0.0933,174152.7,1754000099999,16226.50237,196,95411.0,8891.11431,0
1754000100000,2025-07-31 22:15:00,0.0932,0.0935,0.0928,0.0931,152317.0,1754000999999,14195.07095,214,64138.1,5975.77364,0
