openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.0897,0.0903,0.0896,0.0898,469329.0,1753975799999,42198.5795,245,190418.0,17147.388,0
1753975800000,2025-07-31 15:30:00,0.0898,0.0908,0.0898,0.0908,291844.0,1753976699999,26372.6541,143,190181.0,17186.6609,0
1753976700000,2025-07-31 15:45:00,0.0908,0.091,0.0902,0.0904,138484.0,1753977599999,12537.0665,83,61858.0,5600.5721,0
1753977600000,2025-07-31 16:00:00,0.0903,0.0906,0.0901,0.0906,172454.0,1753978499999,15574.7912,96,111476.0,10069.9772,0
1753978500000,2025-07-31 16:15:00,0.0907,0.0912,0.0906,0.0912,135804.0,1753979399999,12346.1804,68,42912.0,3903.0252,0
1753979400000,2025-07-31 16:30:00,0.0912,0.0923,0.0912,0.0919,262679.0,1753980299999,24125.7551,143,188857.0,17331.9348,0
1753980300000,2025-07-31 16:45:00,0.0919,0.0919,0.0912,0.0917,135590.0,1753981199999,12407.6053,69,73347.0,6704.4784,0
1753981200000,2025-07-31 17:00:00,0.0917,0.0917,0.0911,0.0914,136542.0,1753982099999,12487.9831,80,41806.0,3828.3818,0
1753982100000,2025-07-31 17:15:00,0.0914,0.0918,0.0906,0.0909,186976.0,1753982999999,17066.9703,142,65344.0,5965.9699,0
1753983000000,2025-07-31 17:30:00,0.091,0.0914,0.0907,0.0909,49959.0,1753983899999,4549.126,46,19698.0,1792.7334,0
1753983900000,2025-07-31 17:45:00,0.091,0.091,0.0903,0.0906,138600.0,1753984799999,12539.0265,90,58049.0,5253.8789,0
1753984800000,2025-07-31 18:00:00,0.0906,0.0906,0.0896,0.0899,81664.0,1753985699999,7352.8126,80,28886.0,2601.198,0
1753985700000,2025-07-31 18:15:00,0.0899,0.0905,0.0896,0.0905,53628.0,1753986599999,4825.3229,50,41501.0,3734.272,0
1753986600000,2025-07-31 18:30:00,0.0905,0.0908,0.0905,0.0906,81067.0,1753987499999,7354.6434,56,14486.0,1314.2392,0
1753987500000,2025-07-31 18:45:00,0.0906,0.0908,0.0901,0.0902,67020.0,1753988399999,6066.5718,39,30376.0,2748.0023,0
1753988400000,2025-07-31 19:00:00,0.0903,0.0904,0.0896,0.0896,67110.0,1753989299999,6042.4567,58,46323.0,4175.6556,0
1753989300000,2025-07-31 19:15:00,0.0896,0.0902,0.0895,0.09,75145.0,1753990199999,6755.5119,70,32006.0,2878.8478,0
1753990200000,2025-07-31 19:30:00,0.09,0.0901,0.0899,0.09,89554.0,1753991099999,8059.5159,49,33383.0,3006.0092,0
1753991100000,2025-07-31 19:45:00,0.09,0.0902,0.0895,0.0899,73752.0,1753991999999,6628.0383,52,27609.0,2480.714,0
1753992000000,2025-07-31 20:00:00,0.0897,0.0899,0.0889,0.0895,538376.0,1753992899999,48031.012,168,146453.0,13117.4794,0
1753992900000,2025-07-31 20:15:00,0.0895,0.0899,0.0892,0.0895,61698.0,1753993799999,5519.9739,73,18872.0,1690.6229,0
1753993800000,2025-07-31 20:30:00,0.0895,0.0897,0.089,0.0893,143654.0,1753994699999,12816.0923,178,79831.0,7128.3423,0
1753994700000,2025-07-31 20:45:00,0.0893,0.09,0.0892,0.0895,1126141.0,1753995599999,100889.8316,305,394101.0,35323.0136,0
1753995600000,2025-07-31 21:00:00,0.0895,0.0897,0.0891,0.0891,222198.0,1753996499999,19858.1415,130,91389.0,8172.2967,0
1753996500000,2025-07-31 21:15:00,0.0892,0.0893,0.0886,0.0893,247139.0,1753997399999,21994.1404,159,107778.0,9597.3799,0
1753997400000,2025-07-31 21:30:00,0.0893,0.0896,0.089,0.0892,102558.0,1753998299999,9154.0132,76,23880.0,2132.0292,0
1753998300000,2025-07-31 21:45:00,0.089,0.0892,0.0878,0.0884,302183.0,1753999199999,26652.5894,323,131194.0,11568.5181,0
1753999200000,2025-07-31 22:00:00,0.0883,0.0883,0.0877,0.0881,310258.0,1754000099999,27256.5923,156,111321.0,9782.9455,0
1754000100000,2025-07-31 22:15:00,0.0881,0.0885,0.0877,0.088,262404.0,1754000999999,23110.1019,135,132285.0,11656.7814,0
