openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.005692,0.005723,0.005684,0.005712,2519551.0,1753975799999,14371.367284,337,1524493.0,8696.965945,0
1753975800000,2025-07-31 15:30:00,0.005711,0.005744,0.005692,0.005709,9569311.0,1753976699999,54743.53139,497,2274388.0,13007.46027,0
1753976700000,2025-07-31 15:45:00,0.005708,0.005719,0.00568,0.005715,3553680.0,1753977599999,20264.292748,328,2195686.0,12520.71138,0
1753977600000,2025-07-31 16:00:00,0.005715,0.005723,0.0057,0.005723,5196904.0,1753978499999,29675.985336,335,1695789.0,9687.829017,0
1753978500000,2025-07-31 16:15:00,0.005724,0.005756,0.005656,0.00568,55887577.0,1753979399999,318188.453294,1034,6965427.0,39736.207911,0
1753979400000,2025-07-31 16:30:00,0.005679,0.005743,0.005666,0.005722,7380801.0,1753980299999,42148.93366,445,5058361.0,28877.697881,0
1753980300000,2025-07-31 16:45:00,0.005723,0.005733,0.005689,0.00572,4700358.0,1753981199999,26878.252993,358,2991207.0,17106.175237,0
1753981200000,2025-07-31 17:00:00,0.005721,0.005724,0.005685,0.005689,3870535.0,1753982099999,22065.891826,374,1604449.0,9143.6509,0
1753982100000,2025-07-31 17:15:00,0.00569,0.005705,0.005644,0.005657,4584959.0,1753982999999,26020.68202,435,2074575.0,11770.61886,0
1753983000000,2025-07-31 17:30:00,0.005657,0.005675,0.005648,0.005659,3251500.0,1753983899999,18409.318549,363,2184453.0,12372.532503,0
1753983900000,2025-07-31 17:45:00,0.00566,0.00567,0.005624,0.005637,8993567.0,1753984799999,50643.912451,501,5762677.0,32449.481739,0
1753984800000,2025-07-31 18:00:00,0.005638,0.005644,0.005567,0.005581,10356679.0,1753985699999,57934.516229,650,4111926.0,23019.42415,0
1753985700000,2025-07-31 18:15:00,0.005581,0.005648,0.005572,0.005648,2742771.0,1753986599999,15398.564233,354,2055257.0,11542.426959,0
1753986600000,2025-07-31 18:30:00,0.005649,0.005669,0.005635,0.005641,4300750.0,1753987499999,24316.732407,374,1269517.0,7174.544062,0
1753987500000,2025-07-31 18:45:00,0.005642,0.005652,0.005604,0.005618,3675240.0,1753988399999,20688.822015,437,2173318.0,12240.810625,0
1753988400000,2025-07-31 19:00:00,0.005618,0.005623,0.005562,0.005562,4489164.0,1753989299999,25109.798931,611,1079220.0,6038.07513,0
1753989300000,2025-07-31 19:15:00,0.005563,0.005605,0.005563,0.005591,12345134.0,1753990199999,69109.854827,486,3749514.0,20976.214622,0
1753990200000,2025-07-31 19:30:00,0.005594,0.005612,0.005583,0.005599,3333012.0,1753991099999,18651.63899,323,2404489.0,13458.152666,0
1753991100000,2025-07-31 19:45:00,0.005598,0.005605,0.005563,0.005582,3012967.0,1753991999999,16790.371527,241,1954338.0,10885.379729,0
1753992000000,2025-07-31 20:00:00,0.00558,0.005596,0.005544,0.005562,5328125.0,1753992899999,29691.795902,523,2036133.0,11337.769322,0
1753992900000,2025-07-31 20:15:00,0.005566,0.0056,0.005549,0.005562,8641483.0,1753993799999,48109.155605,492,2821718.0,15727.769983,0
1753993800000,2025-07-31 20:30:00,0.005564,0.00558,0.005538,0.005554,5523901.0,1753994699999,30656.616428,634,2227691.0,12369.246512,0
1753994700000,2025-07-31 20:45:00,0.005555,0.005565,0.00552,0.005541,6263451.0,1753995599999,34671.733033,353,2775337.0,15367.72386,0
1753995600000,2025-07-31 21:00:00,0.00554,0.005563,0.005531,0.005542,1800410.0,1753996499999,9975.453259,320,877450.0,4863.398475,0
1753996500000,2025-07-31 21:15:00,0.005539,0.005555,0.005512,0.005549,3219135.0,1753997399999,17809.641775,464,1372978.0,7599.538637,0
1753997400000,2025-07-31 21:30:00,0.005547,0.005589,0.005544,0.005556,2985618.0,1753998299999,16637.394337,365,2222909.0,12388.708149,0
1753998300000,2025-07-31 21:45:00,0.005558,0.005559,0.005478,0.005539,7509358.0,1753999199999,41381.047702,487,2079977.0,11461.573591,0
1753999200000,2025-07-31 22:00:00,0.005535,0.005535,0.005473,0.005495,7168648.0,1754000099999,39369.220932,557,3962213.0,21758.205251,0
1754000100000,2025-07-31 22:15:00,0.005494,0.00553,0.005488,0.005494,3850791.0,1754000999999,21225.899599,406,1060645.0,5844.194079,0
1754001000000,2025-07-31 22:30:00,0.005496,0.005496,0.00544,0.005456,6426778.0,1754001899999,35085.142431,810,2150743.0,11738.897569,0
1754001900000,2025-07-31 22:45:00,0.005456,0.005466,0.005437,0.005457,2422322.0,1754002799999,13201.061363,333,1548124.0,8437.91392,0
1754002800000,2025-07-31 23:00:00,0.005457,0.005518,0.005454,0.005503,9303319.0,1754003699999,51186.435884,607,6997768.0,38515.106768,0
1754003700000,2025-07-31 23:15:00,0.005503,0.005503,0.005446,0.005446,4664190.0,1754004599999,25533.290296,396,1715723.0,9397.836999,0
1754004600000,2025-07-31 23:30:00,0.005448,0.005449,0.005359,0.005383,47826108.0,1754005499999,257974.494601,1498,18916104.0,102029.387728,0
1754005500000,2025-07-31 23:45:00,0.005388,0.005399,0.00536,0.005383,23909756.0,1754006399999,128513.615584,677,10740785.0,57760.233931,0
1754006400000,2025-08-01 00:00:00,0.005384,0.005567,0.005364,0.005412,96556321.0,1754007299999,530955.469187,3159,50912550.0,279646.876941,0
1754007300000,2025-08-01 00:15:00,0.005415,0.00544,0.005316,0.005351,34729456.0,1754008199999,186519.111824,2238,12892601.0,69137.155677,0
1754008200000,2025-08-01 00:30:00,0.005355,0.005363,0.005269,0.005297,14180514.0,1754009099999,75189.835676,1094,5697295.0,30230.890178,0
1754009100000,2025-08-01 00:45:00,0.005296,0.00539,0.005233,0.005381,20142976.0,1754009999999,106415.476345,1054,9204514.0,48626.223751,0
1754010000000,2025-08-01 01:00:00,0.005379,0.005447,0.005353,0.005358,25609001.0,1754010899999,138397.133845,1355,12099215.0,65408.866858,0
1754010900000,2025-08-01 01:15:00,0.005358,0.005395,0.005341,0.005377,6761717.0,1754011799999,36317.797569,676,3759493.0,20196.046205,0
1754011800000,2025-08-01 01:30:00,0.005378,0.005611,0.005343,0.005611,40802601.0,1754012699999,224908.753969,1748,19917578.0,109469.794939,0
1754012700000,2025-08-01 01:45:00,0.005605,0.005902,0.00558,0.005814,242459161.0,1754013599999,1396404.161291,8393,122302949.0,706621.688129,0
1754013600000,2025-08-01 02:00:00,0.005813,0.00583,0.005697,0.005764,37509879.0,1754014499999,216397.295567,1759,18902737.0,109042.347329,0
1754014500000,2025-08-01 02:15:00,0.005763,0.006002,0.005754,0.005889,83902179.0,1754015399999,493546.55681,3193,46841722.0,275716.093233,0
1754015400000,2025-08-01 02:30:00,0.005888,0.005935,0.005833,0.00588,60881233.0,1754016299999,358965.993242,3806,25706412.0,151611.070884,0
1754016300000,2025-08-01 02:45:00,0.005878,0.005884,0.005728,0.005781,47786923.0,1754017199999,276189.032977,2219,23244118.0,134400.518507,0
1754017200000,2025-08-01 03:00:00,0.005776,0.005863,0.005728,0.005821,51824619.0,1754018099999,299849.255489,7722,37663514.0,217904.121791,0
1754018100000,2025-08-01 03:15:00,0.00582,0.005852,0.005778,0.005791,21950219.0,1754018999999,127825.998553,2796,12667310.0,73840.840052,0
1754019000000,2025-08-01 03:30:00,0.005795,0.005809,0.005703,0.005707,21338722.0,1754019899999,122756.890898,1230,13296392.0,76507.858842,0
1754019900000,2025-08-01 03:45:00,0.005711,0.005725,0.005634,0.005685,25837448.0,1754020799999,146836.805351,1580,12590091.0,71567.80008,0
1754020800000,2025-08-01 04:00:00,0.005682,0.005692,0.005615,0.005645,15614778.0,1754021699999,88194.427717,1190,5899196.0,33366.396652,0
1754021700000,2025-08-01 04:15:00,0.005644,0.00567,0.005642,0.005648,5355039.0,1754022599999,30321.440272,513,3462415.0,19607.417919,0
1754022600000,2025-08-01 04:30:00,0.005647,0.005704,0.005593,0.005614,27033587.0,1754023499999,152735.415363,1250,10233043.0,57807.577809,0
1754023500000,2025-08-01 04:45:00,0.005618,0.005631,0.005594,0.005605,7331978.0,1754024399999,41141.286957,738,1984528.0,11137.959968,0
1754024400000,2025-08-01 05:00:00,0.005606,0.005606,0.005532,0.005561,16672354.0,1754025299999,92863.654193,1130,7268866.0,40481.090955,0
1754025300000,2025-08-01 05:15:00,0.005561,0.005561,0.005496,0.005502,8245548.0,1754026199999,45575.574116,698,2829073.0,15624.233487,0
1754026200000,2025-08-01 05:30:00,0.005503,0.005538,0.005481,0.005504,6657053.0,1754027099999,36665.852573,589,2948285.0,16249.338894,0
1754027100000,2025-08-01 05:45:00,0.005503,0.005508,0.005461,0.005479,6679082.0,1754027999999,36622.025394,569,3727032.0,20433.832688,0
1754028000000,2025-08-01 06:00:00,0.005479,0.0055,0.005437,0.005457,10184963.0,1754028899999,55656.649986,605,6409882.0,35038.464761,0
1754028900000,2025-08-01 06:15:00,0.005457,0.005471,0.005409,0.005421,9803470.0,1754029799999,53295.88047,708,3252390.0,17688.978671,0
1754029800000,2025-08-01 06:30:00,0.005421,0.005504,0.005421,0.005492,10340077.0,1754030699999,56682.763578,690,8988422.0,49283.390264,0
1754030700000,2025-08-01 06:45:00,0.005492,0.005555,0.005461,0.005548,22048506.0,1754031599999,121498.299662,1452,11395792.0,62865.33213,0
1754031600000,2025-08-01 07:00:00,0.005546,0.005606,0.005529,0.00556,17044526.0,1754032499999,94926.427499,1275,6434516.0,35814.949419,0
1754032500000,2025-08-01 07:15:00,0.005558,0.005582,0.005519,0.005521,11436373.0,1754033399999,63575.733954,482,6594112.0,36647.95616,0
1754033400000,2025-08-01 07:30:00,0.005522,0.005582,0.005509,0.005569,18748378.0,1754034299999,103911.063573,660,7539599.0,41805.641999,0
1754034300000,2025-08-01 07:45:00,0.00557,0.005582,0.005536,0.005563,5649146.0,1754035199999,31415.338184,375,2869177.0,15963.634609,0
1754035200000,2025-08-01 08:00:00,0.005563,0.005563,0.00547,0.005528,11272166.0,1754036099999,62118.770368,954,6624615.0,36528.794185,0
1754036100000,2025-08-01 08:15:00,0.00553,0.005543,0.005457,0.005462,7474930.0,1754036999999,41098.131509,659,2007051.0,11047.948205,0
1754037000000,2025-08-01 08:30:00,0.005464,0.005557,0.005459,0.005522,10795005.0,1754037899999,59432.332875,736,5588629.0,30753.078932,0
1754037900000,2025-08-01 08:45:00,0.005521,0.00554,0.005494,0.0055,9309228.0,1754038799999,51360.630273,578,3268981.0,18044.721172,0
1754038800000,2025-08-01 09:00:00,0.005497,0.005553,0.00548,0.005499,9111927.0,1754039699999,50292.328516,639,5763538.0,31807.208235,0
1754039700000,2025-08-01 09:15:00,0.0055,0.005575,0.005495,0.005574,7307733.0,1754040599999,40507.622833,466,5338899.0,29590.557003,0
1754040600000,2025-08-01 09:30:00,0.005575,0.005668,0.005566,0.005632,34020504.0,1754041499999,191369.392836,1156,18918593.0,106643.363655,0
1754041500000,2025-08-01 09:45:00,0.005629,0.00563,0.005562,0.005573,7295232.0,1754042399999,40754.661976,519,3417981.0,19108.583655,0
1754042400000,2025-08-01 10:00:00,0.005574,0.005578,0.005527,0.005552,5487292.0,1754043299999,30471.950385,442,2340161.0,12993.844208,0
1754043300000,2025-08-01 10:15:00,0.005551,0.005592,0.005529,0.005538,2850019.0,1754044199999,15834.032451,320,919407.0,5111.617933,0
1754044200000,2025-08-01 10:30:00,0.00554,0.005576,0.005527,0.00557,14685511.0,1754045099999,81346.623458,429,10404787.0,57602.683513,0
1754045100000,2025-08-01 10:45:00,0.005568,0.005578,0.005514,0.005539,21600922.0,1754045999999,119588.234738,514,2495865.0,13863.393981,0
1754046000000,2025-08-01 11:00:00,0.005541,0.005543,0.005485,0.005508,14174932.0,1754046899999,77978.703609,553,5101412.0,28069.028423,0
1754046900000,2025-08-01 11:15:00,0.005509,0.005512,0.005474,0.005494,3011499.0,1754047799999,16546.894077,296,2297468.0,12623.860882,0
1754047800000,2025-08-01 11:30:00,0.00549,0.005535,0.005483,0.005518,4861834.0,1754048699999,26828.387156,347,3633006.0,20048.03868,0
