openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.0666,0.067,0.0665,0.0669,43731.0,1753975799999,2919.1234,36,31093.0,2076.1688,0
1753975800000,2025-07-31 15:30:00,0.0669,0.0677,0.0668,0.0674,474087.0,1753976699999,31988.9152,386,191233.0,12905.3479,0
1753976700000,2025-07-31 15:45:00,0.0673,0.0674,0.0669,0.0672,89879.0,1753977599999,6032.8772,84,45777.0,3074.127,0
1753977600000,2025-07-31 16:00:00,0.0672,0.0672,0.0668,0.0672,145449.0,1753978499999,9761.4603,87,111445.0,7481.7105,0
1753978500000,2025-07-31 16:15:00,0.0672,0.0679,0.0672,0.0679,451752.0,1753979399999,30528.5016,423,305219.0,20623.0238,0
1753979400000,2025-07-31 16:30:00,0.0678,0.0687,0.0678,0.0682,239644.0,1753980299999,16376.3659,257,206536.0,14118.1027,0
1753980300000,2025-07-31 16:45:00,0.0683,0.0684,0.0678,0.0682,116993.0,1753981199999,7975.9503,120,78107.0,5327.65,0
1753981200000,2025-07-31 17:00:00,0.0681,0.0681,0.0676,0.0677,119906.0,1753982099999,8131.1395,172,91526.0,6205.9191,0
1753982100000,2025-07-31 17:15:00,0.0678,0.0681,0.0674,0.0675,76517.0,1753982999999,5188.6479,177,41096.0,2790.6207,0
1753983000000,2025-07-31 17:30:00,0.0676,0.0678,0.0674,0.0674,29326.0,1753983899999,1982.66,29,10746.0,727.9428,0
1753983900000,2025-07-31 17:45:00,0.0675,0.0675,0.0668,0.067,39736.0,1753984799999,2665.8458,41,14628.0,981.7981,0
1753984800000,2025-07-31 18:00:00,0.0671,0.0671,0.0662,0.0665,480760.0,1753985699999,32043.3335,229,235260.0,15669.5593,0
1753985700000,2025-07-31 18:15:00,0.0665,0.067,0.0662,0.067,50734.0,1753986599999,3377.5918,104,32227.0,2148.8546,0
1753986600000,2025-07-31 18:30:00,0.067,0.0673,0.067,0.067,30513.0,1753987499999,2047.6966,43,7454.0,500.7336,0
1753987500000,2025-07-31 18:45:00,0.067,0.0672,0.0665,0.0667,69797.0,1753988399999,4664.8658,131,48330.0,3228.2188,0
1753988400000,2025-07-31 19:00:00,0.0667,0.0669,0.0662,0.0662,117171.0,1753989299999,7812.0108,134,64973.0,4342.1229,0
1753989300000,2025-07-31 19:15:00,0.0662,0.0665,0.0661,0.0664,66807.0,1753990199999,4436.2394,73,54974.0,3651.3375,0
1753990200000,2025-07-31 19:30:00,0.0664,0.0664,0.0659,0.0662,48265.0,1753991099999,3195.0112,70,34006.0,2250.7004,0
1753991100000,2025-07-31 19:45:00,0.0663,0.0663,0.0659,0.066,70600.0,1753991999999,4661.5965,135,3221.0,212.9177,0
1753992000000,2025-07-31 20:00:00,0.0661,0.0662,0.0656,0.066,76565.0,1753992899999,5046.4843,78,38139.0,2515.0731,0
1753992900000,2025-07-31 20:15:00,0.0659,0.0662,0.0657,0.0659,68118.0,1753993799999,4500.0754,105,56059.0,3704.4315,0
1753993800000,2025-07-31 20:30:00,0.0662,0.0662,0.0658,0.0659,55338.0,1753994699999,3647.1892,108,13779.0,910.4437,0
1753994700000,2025-07-31 20:45:00,0.0659,0.0661,0.0656,0.0659,35321.0,1753995599999,2324.1462,62,10372.0,683.5202,0
1753995600000,2025-07-31 21:00:00,0.0659,0.066,0.0656,0.0657,21754.0,1753996499999,1431.8263,46,10867.0,715.125,0
1753996500000,2025-07-31 21:15:00,0.0657,0.0658,0.0655,0.0657,39630.0,1753997399999,2600.2919,111,17294.0,1134.6632,0
1753997400000,2025-07-31 21:30:00,0.0658,0.066,0.0657,0.066,6573.0,1753998299999,433.0977,22,4786.0,315.4321,0
1753998300000,2025-07-31 21:45:00,0.0658,0.0659,0.0647,0.0653,158179.0,1753999199999,10302.8978,192,69657.0,4540.4779,0
1753999200000,2025-07-31 22:00:00,0.0653,0.0653,0.0647,0.0651,91118.0,1754000099999,5913.0585,172,40354.0,2618.8535,0
1754000100000,2025-07-31 22:15:00,0.0651,0.0653,0.0648,0.065,71653.0,1754000999999,4660.7913,146,42919.0,2791.8853,0
1754001000000,2025-07-31 22:30:00,0.065,0.065,0.0646,0.0648,23408.0,1754001899999,1515.9596,69,2772.0,179.6787,0
1754001900000,2025-07-31 22:45:00,0.0649,0.0649,0.0646,0.0646,14895.0,1754002799999,964.0791,51,10298.0,666.7047,0
1754002800000,2025-07-31 23:00:00,0.0646,0.0649,0.0644,0.0648,101299.0,1754003699999,6559.2385,163,49903.0,3233.2929,0
1754003700000,2025-07-31 23:15:00,0.0648,0.0648,0.0644,0.0644,128976.0,1754004599999,8329.5447,156,48828.0,3154.2214,0
1754004600000,2025-07-31 23:30:00,0.0644,0.0644,0.0637,0.064,324835.0,1754005499999,20795.5289,492,162227.0,10389.3138,0
1754005500000,2025-07-31 23:45:00,0.064,0.0643,0.0638,0.064,99806.0,1754006399999,6390.7689,249,79687.0,5103.1972,0
1754006400000,2025-08-01 00:00:00,0.0641,0.0642,0.0633,0.0636,306055.0,1754007299999,19522.2868,334,140199.0,8952.4967,0
1754007300000,2025-08-01 00:15:00,0.0636,0.0643,0.0635,0.0638,564062.0,1754008199999,36032.1336,423,470975.0,30084.2172,0
1754008200000,2025-08-01 00:30:00,0.0637,0.0639,0.0634,0.0634,97355.0,1754009099999,6201.6683,242,69130.0,4403.7558,0
1754009100000,2025-08-01 00:45:00,0.0635,0.0641,0.0628,0.064,618311.0,1754009999999,39015.8325,522,462916.0,29218.0358,0
1754010000000,2025-08-01 01:00:00,0.064,0.0642,0.0631,0.0632,236631.0,1754010899999,15045.0709,236,81929.0,5206.0293,0
1754010900000,2025-08-01 01:15:00,0.0633,0.0637,0.063,0.0634,157442.0,1754011799999,9970.4728,248,91941.0,5821.8204,0
1754011800000,2025-08-01 01:30:00,0.0634,0.0639,0.0632,0.0639,78129.0,1754012699999,4965.2852,134,49795.0,3165.864,0
1754012700000,2025-08-01 01:45:00,0.0638,0.0638,0.0632,0.0635,102462.0,1754013599999,6499.7359,176,70480.0,4469.0061,0
1754013600000,2025-08-01 02:00:00,0.0635,0.0643,0.0635,0.0642,120848.0,1754014499999,7727.2748,188,77753.0,4970.8421,0
1754014500000,2025-08-01 02:15:00,0.0641,0.0645,0.064,0.064,45133.0,1754015399999,2897.3227,63,23257.0,1495.6652,0
1754015400000,2025-08-01 02:30:00,0.064,0.0647,0.064,0.0643,203958.0,1754016299999,13129.5149,180,125927.0,8108.6623,0
1754016300000,2025-08-01 02:45:00,0.0643,0.0646,0.0642,0.0645,57859.0,1754017199999,3725.5316,179,48905.0,3148.9638,0
1754017200000,2025-08-01 03:00:00,0.0644,0.0645,0.0641,0.0641,40099.0,1754018099999,2580.5758,95,19122.0,1230.5987,0
1754018100000,2025-08-01 03:15:00,0.0642,0.0646,0.0641,0.0645,133486.0,1754018999999,8590.7293,268,103363.0,6653.4359,0
1754019000000,2025-08-01 03:30:00,0.0645,0.0646,0.0644,0.0644,62581.0,1754019899999,4037.4655,82,42847.0,2764.8432,0
1754019900000,2025-08-01 03:45:00,0.0644,0.0646,0.064,0.0641,186077.0,1754020799999,11932.8635,130,49253.0,3158.9026,0
1754020800000,2025-08-01 04:00:00,0.064,0.0644,0.0639,0.0643,115095.0,1754021699999,7371.6509,53,99617.0,6381.0471,0
1754021700000,2025-08-01 04:15:00,0.0643,0.0643,0.064,0.064,21785.0,1754022599999,1396.2474,53,2931.0,187.9365,0
1754022600000,2025-08-01 04:30:00,0.064,0.0641,0.0639,0.064,13554.0,1754023499999,867.205,43,4216.0,269.8537,0
1754023500000,2025-08-01 04:45:00,0.064,0.064,0.0637,0.0637,86919.0,1754024399999,5547.3437,145,17321.0,1105.2879,0
1754024400000,2025-08-01 05:00:00,0.0637,0.0639,0.0636,0.0637,62877.0,1754025299999,4007.4896,123,39506.0,2518.6521,0
1754025300000,2025-08-01 05:15:00,0.0636,0.0637,0.0632,0.0635,67692.0,1754026199999,4292.8776,75,14451.0,915.7586,0
1754026200000,2025-08-01 05:30:00,0.0634,0.0637,0.0633,0.0634,51747.0,1754027099999,3286.6365,84,9625.0,610.6908,0
1754027100000,2025-08-01 05:45:00,0.0633,0.0635,0.0631,0.0633,78115.0,1754027999999,4939.1934,175,50507.0,3194.1906,0
1754028000000,2025-08-01 06:00:00,0.0633,0.0635,0.0629,0.063,61517.0,1754028899999,3886.1793,75,20580.0,1303.5454,0
1754028900000,2025-08-01 06:15:00,0.0632,0.0633,0.0626,0.0626,258052.0,1754029799999,16224.244,155,100098.0,6301.5336,0
1754029800000,2025-08-01 06:30:00,0.0626,0.0628,0.0626,0.0627,118436.0,1754030699999,7424.9956,147,27566.0,1728.6304,0
1754030700000,2025-08-01 06:45:00,0.0627,0.0631,0.0626,0.0628,339680.0,1754031599999,21362.4241,222,247873.0,15596.8011,0
1754031600000,2025-08-01 07:00:00,0.0629,0.0632,0.0628,0.0629,50310.0,1754032499999,3169.32,60,27715.0,1745.8351,0
1754032500000,2025-08-01 07:15:00,0.063,0.0633,0.0629,0.063,15031.0,1754033399999,949.5345,47,2455.0,155.1233,0
1754033400000,2025-08-01 07:30:00,0.0629,0.0631,0.0628,0.063,24764.0,1754034299999,1558.9169,46,7191.0,453.05,0
1754034300000,2025-08-01 07:45:00,0.063,0.0631,0.0628,0.0629,45141.0,1754035199999,2838.3174,58,15255.0,959.8937,0
1754035200000,2025-08-01 08:00:00,0.063,0.063,0.0617,0.0622,175090.0,1754036099999,10889.0756,147,25448.0,1585.879,0
1754036100000,2025-08-01 08:15:00,0.0623,0.0625,0.0621,0.0622,114697.0,1754036999999,7143.4097,72,30273.0,1889.7124,0
1754037000000,2025-08-01 08:30:00,0.0623,0.0629,0.062,0.0628,83660.0,1754037899999,5227.8255,65,47631.0,2979.5607,0
