openTime,open,high,low,close,volumn,closeTime,quote_volumn,count,taker_buy_volumn,taker_buy_quote_volumn,ignore
2025-08-24 11:30:00,7.02,7.02,6.98,6.984,1007.55,1756035899999,7046.65828,64,152.54,1066.0898,0
2025-08-24 11:45:00,6.98,6.996,6.976,6.996,369.48,1756036799999,2582.07117,64,271.84,1899.75345,0
2025-08-24 12:00:00,6.993,6.999,6.984,6.987,2902.5,1756037699999,20292.13718,143,1199.85,8390.61457,0
2025-08-24 12:15:00,6.989,6.989,6.97,6.978,620.2,1756038599999,4328.15863,102,352.15,2458.40972,0
2025-08-24 12:30:00,6.979,6.982,6.967,6.971,338.07,1756039499999,2357.29578,108,163.19,1138.02197,0
2025-08-24 12:45:00,6.971,6.971,6.96,6.966,510.11,1756040399999,3552.34849,93,122.38,852.39759,0
2025-08-24 13:00:00,6.964,6.973,6.875,6.947,16574.67,1756041299999,114801.90895,1254,6781.78,46993.32447,0
2025-08-24 13:15:00,6.945,6.999,6.94,6.991,2131.97,1756042199999,14881.55312,180,1183.54,8254.31787,0
2025-08-24 13:30:00,6.992,7.0,6.953,6.965,1576.17,1756043099999,11006.83429,118,968.34,6765.85352,0
2025-08-24 13:45:00,6.966,6.97,6.953,6.958,270.46,1756043999999,1883.45511,46,124.52,867.46369,0
2025-08-24 14:00:00,6.953,6.956,6.935,6.942,1237.2,1756044899999,8588.17165,101,791.71,5494.96206,0
2025-08-24 14:15:00,6.941,6.95,6.935,6.94,877.19,1756045799999,6086.21646,101,325.51,2259.55704,0
2025-08-24 14:30:00,6.938,6.938,6.91,6.911,719.82,1756046699999,4985.50058,86,208.47,1442.48157,0
2025-08-24 14:45:00,6.911,6.931,6.905,6.907,885.79,1756047599999,6124.66361,95,337.61,2334.57032,0
2025-08-24 15:00:00,6.904,6.924,6.9,6.916,4109.75,1756048499999,28398.182,287,1811.25,12519.44482,0
2025-08-24 15:15:00,6.915,6.928,6.906,6.926,1944.88,1756049399999,13451.35197,118,1505.47,10412.74827,0
2025-08-24 15:30:00,6.923,6.94,6.919,6.939,840.79,1756050299999,5827.00187,68,313.32,2172.68045,0
2025-08-24 15:45:00,6.939,6.943,6.931,6.936,129.26,1756051199999,896.57781,34,81.4,564.74621,0
2025-08-24 16:00:00,6.935,6.955,6.934,6.941,210.64,1756052099999,1462.97275,36,28.24,196.22535,0
2025-08-24 16:15:00,6.951,6.954,6.94,6.943,105.24,1756052999999,731.07265,27,38.39,266.81103,0
2025-08-24 16:30:00,6.943,6.973,6.937,6.969,739.3,1756053899999,5135.5631,65,306.18,2128.02615,0
2025-08-24 16:45:00,6.963,6.963,6.955,6.958,57.46,1756054799999,399.81023,15,2.34,16.28549,0
2025-08-24 17:00:00,6.955,6.968,6.95,6.962,419.75,1756055699999,2919.97872,37,161.21,1121.39844,0
2025-08-24 17:15:00,6.969,6.969,6.954,6.957,263.28,1756056599999,1831.6307,18,14.1,98.15938,0
2025-08-24 17:30:00,6.958,6.985,6.942,6.983,1167.61,1756057499999,8134.4381,102,701.53,4890.41994,0
2025-08-24 17:45:00,6.984,7.002,6.976,6.979,689.26,1756058399999,4820.99298,84,579.72,4055.49161,0
2025-08-24 18:00:00,6.979,6.994,6.969,6.994,7498.75,1756059299999,52315.39308,235,6461.7,45079.55507,0
2025-08-24 18:15:00,6.995,7.042,6.995,7.034,1910.79,1756060199999,13407.80365,320,1393.45,9780.78241,0
2025-08-24 18:30:00,7.034,7.041,7.012,7.031,1394.9,1756061099999,9805.09169,194,653.87,4595.1734,0
2025-08-24 18:45:00,7.032,7.042,7.025,7.027,727.92,1756061999999,5118.8326,64,59.72,420.3131,0
2025-08-24 19:00:00,7.025,7.054,7.023,7.042,622.45,1756062899999,4382.3352,124,318.55,2243.19175,0
2025-08-24 19:15:00,7.05,7.06,7.044,7.054,581.79,1756063799999,4101.8882,81,162.43,1145.98261,0
2025-08-24 19:30:00,7.055,7.057,6.926,6.989,12011.16,1756064699999,83726.88448,2228,5923.76,41271.37942,0
2025-08-24 19:45:00,6.989,6.989,6.933,6.98,2920.8,1756065599999,20329.77924,694,1339.53,9322.67777,0
2025-08-24 20:00:00,6.978,6.979,6.915,6.942,2501.08,1756066499999,17367.40601,492,982.55,6819.45096,0
2025-08-24 20:15:00,6.947,7.008,6.947,6.999,1775.95,1756067399999,12412.81643,151,1012.8,7084.65395,0
2025-08-24 20:30:00,6.993,6.999,6.979,6.994,408.48,1756068299999,2854.68401,35,138.31,966.68985,0
2025-08-24 20:45:00,6.984,6.984,6.969,6.976,192.76,1756069199999,1344.29029,28,17.57,122.52564,0
2025-08-24 21:00:00,6.97,6.973,6.95,6.962,1411.14,1756070099999,9822.20443,175,1022.12,7113.02123,0
2025-08-24 21:15:00,6.959,6.968,6.953,6.955,183.98,1756070999999,1280.3825,42,107.77,750.02181,0
2025-08-24 21:30:00,6.962,6.983,6.96,6.962,220.94,1756071899999,1541.61274,27,154.85,1080.8532,0
2025-08-24 21:45:00,6.956,6.956,6.93,6.93,340.97,1756072799999,2367.09595,67,15.34,106.55164,0
2025-08-24 22:00:00,6.934,6.948,6.925,6.934,2168.97,1756073699999,15054.86028,229,1017.21,7061.27914,0
2025-08-24 22:15:00,6.934,6.939,6.912,6.921,526.36,1756074599999,3645.43606,161,321.8,2229.98194,0
2025-08-24 22:30:00,6.92,6.937,6.919,6.937,330.01,1756075499999,2286.84262,55,292.42,2026.3011,0
2025-08-24 22:45:00,6.935,6.942,6.929,6.938,149.82,1756076399999,1039.34191,57,88.84,616.52821,0
2025-08-24 23:00:00,6.938,6.939,6.914,6.92,572.76,1756077299999,3965.61993,106,96.58,668.69788,0
2025-08-24 23:15:00,6.921,6.924,6.916,6.916,129.6,1756078199999,896.6349,33,61.6,426.2551,0
2025-08-24 23:30:00,6.915,6.915,6.907,6.915,389.13,1756079099999,2688.664,57,179.18,1238.01584,0
2025-08-24 23:45:00,6.912,6.912,6.904,6.912,287.61,1756079999999,1986.95313,47,153.82,1062.98177,0
2025-08-25 00:00:00,6.91,6.921,6.9,6.912,2180.83,1756080899999,15054.60256,191,610.8,4219.26669,0
2025-08-25 00:15:00,6.912,6.915,6.9,6.91,369.54,1756081799999,2552.00307,102,283.57,1958.30633,0
2025-08-25 00:30:00,6.909,6.91,6.9,6.905,6510.11,1756082699999,44924.12985,317,643.32,4441.13298,0
2025-08-25 00:45:00,6.906,6.916,6.902,6.916,960.14,1756083599999,6634.61732,147,677.71,4683.96887,0
2025-08-25 01:00:00,6.916,6.94,6.916,6.94,773.27,1756084499999,5358.31154,68,755.93,5238.17901,0
2025-08-25 01:15:00,6.937,6.958,6.93,6.947,825.82,1756085399999,5737.86879,154,417.84,2903.36234,0
2025-08-25 01:30:00,6.947,6.953,6.943,6.944,482.89,1756086299999,3355.08069,109,38.81,269.75521,0
2025-08-25 01:45:00,6.944,6.972,6.943,6.956,2151.67,1756087199999,14973.61558,170,1636.64,11391.13876,0
2025-08-25 02:00:00,6.956,6.965,6.949,6.952,169.65,1756088099999,1180.43069,65,90.25,628.18361,0
2025-08-25 02:15:00,6.952,6.974,6.952,6.966,479.16,1756088999999,3335.95162,124,387.45,2696.80074,0
2025-08-25 02:30:00,6.965,6.976,6.964,6.976,63.54,1756089899999,442.87459,46,36.9,257.22784,0
2025-08-25 02:45:00,6.977,6.99,6.977,6.99,155.14,1756090799999,1083.61094,56,113.9,795.53603,0
2025-08-25 03:00:00,6.99,6.991,6.978,6.978,128.72,1756091699999,899.1447,53,15.83,110.6056,0
2025-08-25 03:15:00,6.979,6.99,6.979,6.98,205.59,1756092599999,1435.3116,42,37.63,262.76682,0
2025-08-25 03:30:00,6.979,6.981,6.97,6.979,819.25,1756093499999,5714.91204,72,238.55,1664.88663,0
2025-08-25 03:45:00,6.979,6.985,6.974,6.982,616.77,1756094399999,4305.23362,77,143.06,998.23361,0
2025-08-25 04:00:00,6.982,6.988,6.973,6.977,464.38,1756095299999,3241.95185,60,12.27,85.71575,0
2025-08-25 04:15:00,6.977,6.979,6.973,6.974,131.73,1756096199999,918.9252,37,23.51,164.01353,0
2025-08-25 04:30:00,6.974,6.976,6.972,6.976,418.75,1756097099999,2920.29075,46,387.73,2703.98533,0
2025-08-25 04:45:00,6.976,6.978,6.971,6.971,77.22,1756097999999,538.42366,37,52.58,366.56735,0
2025-08-25 05:00:00,6.971,6.991,6.971,6.988,805.21,1756098899999,5624.56943,65,462.14,3226.77464,0
2025-08-25 05:15:00,6.988,6.993,6.984,6.992,277.54,1756099799999,1939.91367,54,231.47,1618.05589,0
2025-08-25 05:30:00,6.99,7.007,6.986,7.006,793.42,1756100699999,5552.65099,143,547.56,3832.8521,0
2025-08-25 05:45:00,7.007,7.024,7.002,7.016,680.35,1756101599999,4773.3136,164,229.86,1612.4634,0
2025-08-25 06:00:00,7.015,7.015,6.979,6.985,2011.15,1756102499999,14066.77534,181,1083.27,7576.40177,0
