openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.5771,0.5798,0.5767,0.5789,47112.58,1753975799999,27264.778065,970,24773.79,14338.405643,0
1753975800000,2025-07-31 15:30:00,0.5788,0.5847,0.5787,0.5833,56278.36,1753976699999,32766.280275,1061,35626.49,20745.51516,0
1753976700000,2025-07-31 15:45:00,0.5833,0.5845,0.5799,0.581,26171.86,1753977599999,15224.232416,677,12613.3,7337.889965,0
1753977600000,2025-07-31 16:00:00,0.5811,0.5827,0.579,0.5827,63721.23,1753978499999,37020.615566,754,29708.8,17265.512828,0
1753978500000,2025-07-31 16:15:00,0.5824,0.5874,0.5824,0.5867,52922.29,1753979399999,30920.977291,877,27424.13,16025.227755,0
1753979400000,2025-07-31 16:30:00,0.5865,0.5937,0.5864,0.5915,95356.32,1753980299999,56402.958163,1136,48021.44,28391.345689,0
1753980300000,2025-07-31 16:45:00,0.5916,0.5921,0.587,0.5895,34186.32,1753981199999,20148.172613,645,11441.45,6746.547566,0
1753981200000,2025-07-31 17:00:00,0.5895,0.5895,0.584,0.5863,94129.36,1753982099999,55211.436289,806,69128.08,40555.764273,0
1753982100000,2025-07-31 17:15:00,0.5863,0.5889,0.5812,0.5833,60187.22,1753982999999,35188.132103,1214,27975.06,16344.879896,0
1753983000000,2025-07-31 17:30:00,0.5834,0.5868,0.5815,0.5832,33419.13,1753983899999,19526.487932,868,16932.43,9896.998535,0
1753983900000,2025-07-31 17:45:00,0.5833,0.5844,0.5785,0.5799,45580.93,1753984799999,26451.926943,949,19524.45,11338.916842,0
1753984800000,2025-07-31 18:00:00,0.5799,0.5805,0.5736,0.5757,82751.19,1753985699999,47657.502523,1050,43026.08,24796.586362,0
1753985700000,2025-07-31 18:15:00,0.5756,0.5807,0.5741,0.5803,72147.84,1753986599999,41716.949569,995,33396.6,19298.279327,0
1753986600000,2025-07-31 18:30:00,0.5803,0.5827,0.5801,0.5813,46655.88,1753987499999,27133.082774,590,13085.73,7608.552053,0
1753987500000,2025-07-31 18:45:00,0.5813,0.5828,0.5774,0.5784,18920.25,1753988399999,10975.500426,543,8209.18,4763.30627,0
1753988400000,2025-07-31 19:00:00,0.5784,0.5794,0.5739,0.5739,40582.88,1753989299999,23407.339256,633,19112.47,11026.460353,0
1753989300000,2025-07-31 19:15:00,0.5739,0.5771,0.5738,0.5758,28050.47,1753990199999,16155.378965,609,13157.0,7573.933032,0
1753990200000,2025-07-31 19:30:00,0.5759,0.5766,0.5744,0.5758,32669.64,1753991099999,18807.983837,524,14793.64,8517.593212,0
1753991100000,2025-07-31 19:45:00,0.576,0.5772,0.573,0.5751,55108.1,1753991999999,31673.750836,741,27419.94,15762.421916,0
1753992000000,2025-07-31 20:00:00,0.575,0.5752,0.569,0.5723,212900.17,1753992899999,121717.975138,1602,97531.27,55755.787866,0
1753992900000,2025-07-31 20:15:00,0.5724,0.5759,0.5717,0.5737,95293.75,1753993799999,54630.317985,987,40411.75,23177.907878,0
1753993800000,2025-07-31 20:30:00,0.5738,0.5753,0.571,0.5743,76510.43,1753994699999,43883.753983,898,37677.51,21616.104639,0
1753994700000,2025-07-31 20:45:00,0.5743,0.5754,0.5716,0.5737,36089.55,1753995599999,20702.857242,547,16160.27,9268.670467,0
1753995600000,2025-07-31 21:00:00,0.5736,0.5754,0.5718,0.5719,43977.56,1753996499999,25204.590481,648,21158.52,12126.885394,0
1753996500000,2025-07-31 21:15:00,0.5718,0.5738,0.5697,0.5735,57137.44,1753997399999,32676.566207,624,30105.46,17223.842948,0
1753997400000,2025-07-31 21:30:00,0.5737,0.5766,0.5732,0.5744,56122.62,1753998299999,32265.487125,529,32373.49,18614.98589,0
1753998300000,2025-07-31 21:45:00,0.5744,0.5748,0.5652,0.5721,109620.68,1753999199999,62437.902876,1248,40966.52,23354.463471,0
1753999200000,2025-07-31 22:00:00,0.5721,0.5721,0.5665,0.5684,76316.81,1754000099999,43430.983865,1283,28954.45,16479.849846,0
1754000100000,2025-07-31 22:15:00,0.5684,0.5716,0.5673,0.5691,72807.8,1754000999999,41453.126587,999,39692.1,22604.709361,0
1754001000000,2025-07-31 22:30:00,0.5692,0.5693,0.5631,0.5648,95529.91,1754001899999,53988.264256,1046,33257.84,18788.673787,0
1754001900000,2025-07-31 22:45:00,0.5649,0.565,0.562,0.5638,85426.23,1754002799999,48107.86708,860,33025.17,18593.638838,0
1754002800000,2025-07-31 23:00:00,0.5638,0.569,0.5634,0.5678,71979.25,1754003699999,40812.010896,928,32211.68,18269.817675,0
1754003700000,2025-07-31 23:15:00,0.5678,0.5678,0.5642,0.5645,61267.48,1754004599999,34687.940914,810,15220.83,8621.898453,0
1754004600000,2025-07-31 23:30:00,0.5645,0.5645,0.5597,0.5626,193367.32,1754005499999,108635.60805,2023,83551.64,46943.099112,0
1754005500000,2025-07-31 23:45:00,0.5627,0.5651,0.5615,0.5635,67837.63,1754006399999,38225.672926,1015,20635.82,11624.242354,0
1754006400000,2025-08-01 00:00:00,0.5634,0.5647,0.5574,0.5577,162046.43,1754007299999,91055.424322,1556,48620.29,27308.341006,0
1754007300000,2025-08-01 00:15:00,0.5582,0.5665,0.5582,0.5614,131490.28,1754008199999,73888.068381,1747,75635.56,42507.444313,0
1754008200000,2025-08-01 00:30:00,0.5613,0.5624,0.557,0.5581,90323.81,1754009099999,50556.735357,1281,36819.09,20603.394064,0
1754009100000,2025-08-01 00:45:00,0.5581,0.5629,0.5493,0.5614,653965.16,1754009999999,361549.63005,4766,273125.11,151119.700895,0
1754010000000,2025-08-01 01:00:00,0.5614,0.5648,0.555,0.5558,121687.24,1754010899999,68147.022414,1626,55168.13,30900.39975,0
1754010900000,2025-08-01 01:15:00,0.556,0.5586,0.5529,0.5563,473832.58,1754011799999,263797.893018,2035,316172.17,176068.295314,0
1754011800000,2025-08-01 01:30:00,0.5563,0.561,0.5535,0.5583,135536.36,1754012699999,75612.453615,1417,73481.47,41047.715262,0
1754012700000,2025-08-01 01:45:00,0.5584,0.5592,0.5542,0.5573,96578.36,1754013599999,53743.153981,1113,49431.8,27511.453081,0
1754013600000,2025-08-01 02:00:00,0.5572,0.5627,0.5558,0.5619,101437.79,1754014499999,56665.257059,1225,55326.58,30932.961858,0
1754014500000,2025-08-01 02:15:00,0.5619,0.5645,0.5606,0.5611,87872.03,1754015399999,49434.709935,937,40578.82,22830.348665,0
