openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.1272,0.128,0.1271,0.1279,141833.0,1753975799999,18105.5912,162,86016.0,10986.9056,0
1753975800000,2025-07-31 15:30:00,0.1278,0.1305,0.1278,0.1299,588494.0,1753976699999,76095.2861,324,436374.0,56373.4578,0
1753976700000,2025-07-31 15:45:00,0.1298,0.1303,0.129,0.1294,98697.0,1753977599999,12795.4414,119,14844.0,1926.7256,0
1753977600000,2025-07-31 16:00:00,0.1292,0.1298,0.1289,0.1295,176746.0,1753978499999,22856.961,220,61675.0,7984.3959,0
1753978500000,2025-07-31 16:15:00,0.1298,0.1305,0.1295,0.1304,76905.0,1753979399999,9996.6795,144,34132.0,4441.2562,0
1753979400000,2025-07-31 16:30:00,0.1303,0.1315,0.1302,0.1311,154679.0,1753980299999,20248.9789,117,130910.0,17133.6863,0
1753980300000,2025-07-31 16:45:00,0.1312,0.1312,0.1302,0.1307,47012.0,1753981199999,6138.9009,105,17250.0,2253.4312,0
1753981200000,2025-07-31 17:00:00,0.1304,0.1305,0.1299,0.1303,72912.0,1753982099999,9497.004,61,42007.0,5475.7493,0
1753982100000,2025-07-31 17:15:00,0.1304,0.1309,0.1291,0.1297,76984.0,1753982999999,9997.2811,82,32119.0,4170.3271,0
1753983000000,2025-07-31 17:30:00,0.1297,0.1298,0.1289,0.1289,331528.0,1753983899999,42848.6677,208,125485.0,16223.8565,0
1753983900000,2025-07-31 17:45:00,0.1291,0.1292,0.1282,0.1286,67406.0,1753984799999,8666.9528,91,17417.0,2242.4917,0
1753984800000,2025-07-31 18:00:00,0.1286,0.1286,0.1268,0.1271,357847.0,1753985699999,45584.3307,204,36812.0,4691.2016,0
1753985700000,2025-07-31 18:15:00,0.1271,0.1286,0.127,0.1286,29962.0,1753986599999,3831.8834,50,22970.0,2939.6273,0
1753986600000,2025-07-31 18:30:00,0.1288,0.1291,0.1286,0.1286,28315.0,1753987499999,3647.2034,53,8772.0,1130.3146,0
1753987500000,2025-07-31 18:45:00,0.1287,0.1289,0.1279,0.1282,33610.0,1753988399999,4318.0137,44,9527.0,1226.2915,0
1753988400000,2025-07-31 19:00:00,0.1283,0.1284,0.1274,0.1274,47020.0,1753989299999,6008.5054,57,3603.0,461.0853,0
1753989300000,2025-07-31 19:15:00,0.1276,0.128,0.1274,0.1279,46552.0,1753990199999,5948.7628,59,23016.0,2943.3245,0
1753990200000,2025-07-31 19:30:00,0.1278,0.1281,0.1276,0.1279,50162.0,1753991099999,6412.6444,68,13825.0,1767.6973,0
1753991100000,2025-07-31 19:45:00,0.128,0.1282,0.1274,0.1277,68635.0,1753991999999,8776.2278,108,37315.0,4773.8112,0
1753992000000,2025-07-31 20:00:00,0.1277,0.1277,0.1261,0.1266,331720.0,1753992899999,42148.9208,216,53208.0,6747.9171,0
1753992900000,2025-07-31 20:15:00,0.1266,0.1275,0.1263,0.1266,57699.0,1753993799999,7321.5124,98,20671.0,2630.6867,0
1753993800000,2025-07-31 20:30:00,0.1268,0.1268,0.1256,0.1264,132520.0,1753994699999,16740.3508,133,26194.0,3299.4838,0
1753994700000,2025-07-31 20:45:00,0.1263,0.1268,0.126,0.1265,44909.0,1753995599999,5671.6715,70,10595.0,1338.3574,0
1753995600000,2025-07-31 21:00:00,0.1262,0.1266,0.1257,0.1258,73172.0,1753996499999,9228.4678,80,24855.0,3137.437,0
1753996500000,2025-07-31 21:15:00,0.1259,0.1261,0.1255,0.1261,64981.0,1753997399999,8173.0309,64,14882.0,1875.8423,0
1753997400000,2025-07-31 21:30:00,0.1262,0.1267,0.1261,0.1263,61431.0,1753998299999,7758.3402,76,26524.0,3349.4951,0
1753998300000,2025-07-31 21:45:00,0.126,0.1263,0.1234,0.125,272869.0,1753999199999,34015.6332,295,89865.0,11197.5171,0
1753999200000,2025-07-31 22:00:00,0.1252,0.1252,0.124,0.1247,88708.0,1754000099999,11046.8622,75,11031.0,1374.7744,0
1754000100000,2025-07-31 22:15:00,0.1248,0.1252,0.1245,0.1245,39337.0,1754000999999,4909.1117,42,5731.0,716.7527,0
1754001000000,2025-07-31 22:30:00,0.1245,0.1245,0.1231,0.1235,153090.0,1754001899999,18925.6345,123,39345.0,4858.9063,0
1754001900000,2025-07-31 22:45:00,0.1237,0.1243,0.1233,0.1242,181324.0,1754002799999,22443.6355,96,150052.0,18577.7611,0
1754002800000,2025-07-31 23:00:00,0.1243,0.1257,0.1243,0.1254,234135.0,1754003699999,29236.6495,118,194898.0,24329.816,0
1754003700000,2025-07-31 23:15:00,0.125,0.125,0.1244,0.1244,58866.0,1754004599999,7347.6676,72,11458.0,1431.3267,0
1754004600000,2025-07-31 23:30:00,0.124,0.1241,0.1234,0.1237,115580.0,1754005499999,14301.762,110,23289.0,2883.662,0
1754005500000,2025-07-31 23:45:00,0.1239,0.1243,0.1235,0.1237,96348.0,1754006399999,11934.3087,95,42729.0,5296.5916,0
1754006400000,2025-08-01 00:00:00,0.1239,0.124,0.1217,0.1221,373313.0,1754007299999,45740.6612,162,171095.0,20930.9134,0
1754007300000,2025-08-01 00:15:00,0.1221,0.1234,0.1217,0.1221,133796.0,1754008199999,16369.7287,127,31173.0,3817.6927,0
1754008200000,2025-08-01 00:30:00,0.1221,0.1222,0.121,0.1214,155234.0,1754009099999,18879.2211,160,30385.0,3696.1638,0
1754009100000,2025-08-01 00:45:00,0.1216,0.1232,0.1204,0.1229,271528.0,1754009999999,32889.7058,277,165526.0,20075.0276,0
1754010000000,2025-08-01 01:00:00,0.1229,0.1236,0.1225,0.1225,140065.0,1754010899999,17242.1306,149,51262.0,6314.9828,0
1754010900000,2025-08-01 01:15:00,0.1227,0.1235,0.1224,0.1232,81204.0,1754011799999,9992.9599,104,21149.0,2600.759,0
1754011800000,2025-08-01 01:30:00,0.1232,0.1243,0.123,0.1237,70885.0,1754012699999,8773.4985,105,28126.0,3484.5542,0
1754012700000,2025-08-01 01:45:00,0.1237,0.1239,0.1229,0.1237,50941.0,1754013599999,6288.0216,91,21273.0,2628.7232,0
1754013600000,2025-08-01 02:00:00,0.1237,0.1247,0.1234,0.1244,77760.0,1754014499999,9644.7539,91,40379.0,5013.137,0
1754014500000,2025-08-01 02:15:00,0.1243,0.1247,0.1239,0.1239,24737.0,1754015399999,3079.1258,59,9383.0,1169.4423,0
1754015400000,2025-08-01 02:30:00,0.1239,0.1246,0.1239,0.1241,17618.0,1754016299999,2190.7859,55,3891.0,484.3931,0
1754016300000,2025-08-01 02:45:00,0.1241,0.1245,0.1241,0.1244,26640.0,1754017199999,3311.3263,54,13765.0,1711.2265,0
1754017200000,2025-08-01 03:00:00,0.1246,0.1247,0.1242,0.1244,37955.0,1754018099999,4724.0764,69,8952.0,1115.4996,0
1754018100000,2025-08-01 03:15:00,0.1243,0.1247,0.124,0.1245,38276.0,1754018999999,4763.1792,53,22373.0,2784.759,0
1754019000000,2025-08-01 03:30:00,0.1245,0.1248,0.1244,0.1244,34114.0,1754019899999,4250.5494,50,6508.0,811.5483,0
1754019900000,2025-08-01 03:45:00,0.1244,0.1245,0.124,0.1242,26060.0,1754020799999,3239.5275,63,5305.0,660.0083,0
1754020800000,2025-08-01 04:00:00,0.1244,0.1244,0.1238,0.1242,85939.0,1754021699999,10660.6471,61,7121.0,883.7641,0
1754021700000,2025-08-01 04:15:00,0.1242,0.1246,0.1239,0.1246,40961.0,1754022599999,5087.4365,82,27414.0,3406.1586,0
1754022600000,2025-08-01 04:30:00,0.1246,0.125,0.1242,0.1248,54460.0,1754023499999,6789.5847,81,49910.0,6222.8791,0
1754023500000,2025-08-01 04:45:00,0.1248,0.1249,0.1244,0.1244,26136.0,1754024399999,3260.7859,66,21748.0,2713.594,0
1754024400000,2025-08-01 05:00:00,0.1242,0.1249,0.1241,0.1249,18903.0,1754025299999,2351.335,49,9583.0,1192.167,0
1754025300000,2025-08-01 05:15:00,0.1246,0.1247,0.1238,0.1244,38349.0,1754026199999,4763.2928,78,23737.0,2947.7314,0
1754026200000,2025-08-01 05:30:00,0.1243,0.1249,0.124,0.1243,15910.0,1754027099999,1978.1236,38,4815.0,599.3227,0
1754027100000,2025-08-01 05:45:00,0.1242,0.1242,0.1235,0.124,52980.0,1754027999999,6561.8429,46,22105.0,2738.5989,0
1754028000000,2025-08-01 06:00:00,0.124,0.1246,0.1236,0.1238,69813.0,1754028899999,8661.7903,78,34338.0,4258.7462,0
1754028900000,2025-08-01 06:15:00,0.1241,0.1242,0.1235,0.124,75531.0,1754029799999,9362.3058,61,43408.0,5384.6472,0
1754029800000,2025-08-01 06:30:00,0.1237,0.1245,0.1237,0.1238,38766.0,1754030699999,4811.293,51,9650.0,1198.4317,0
1754030700000,2025-08-01 06:45:00,0.1236,0.1251,0.1236,0.1251,138518.0,1754031599999,17264.2842,99,118521.0,14773.1575,0
1754031600000,2025-08-01 07:00:00,0.1252,0.1255,0.1243,0.1244,70868.0,1754032499999,8862.9861,65,37104.0,4643.4102,0
1754032500000,2025-08-01 07:15:00,0.1245,0.1249,0.1243,0.1243,32469.0,1754033399999,4047.6834,43,21163.0,2638.7635,0
1754033400000,2025-08-01 07:30:00,0.1243,0.1243,0.1238,0.1242,129256.0,1754034299999,16031.7082,89,31477.0,3904.0735,0
1754034300000,2025-08-01 07:45:00,0.1241,0.1241,0.1235,0.1239,58494.0,1754035199999,7240.3233,70,20203.0,2501.4506,0
1754035200000,2025-08-01 08:00:00,0.1237,0.1237,0.1214,0.1221,209324.0,1754036099999,25653.9481,210,38687.0,4737.4616,0
1754036100000,2025-08-01 08:15:00,0.1224,0.1231,0.1221,0.1226,101356.0,1754036999999,12437.8852,92,26619.0,3268.1562,0
1754037000000,2025-08-01 08:30:00,0.1229,0.124,0.1225,0.1237,88380.0,1754037899999,10896.9553,81,54731.0,6757.8416,0
1754037900000,2025-08-01 08:45:00,0.1237,0.1239,0.123,0.123,40637.0,1754038799999,5016.6851,68,11808.0,1460.0834,0
1754038800000,2025-08-01 09:00:00,0.1229,0.1242,0.1229,0.1232,184307.0,1754039699999,22789.6777,173,73122.0,9046.3577,0
1754039700000,2025-08-01 09:15:00,0.123,0.1241,0.123,0.1237,177745.0,1754040599999,22005.9742,119,137717.0,17049.1004,0
1754040600000,2025-08-01 09:30:00,0.1237,0.1241,0.1235,0.1241,71092.0,1754041499999,8807.7466,46,68163.0,8445.3837,0
1754041500000,2025-08-01 09:45:00,0.1242,0.1242,0.1232,0.1232,16314.0,1754042399999,2018.6169,26,1208.0,149.389,0
1754042400000,2025-08-01 10:00:00,0.1235,0.1235,0.1232,0.1235,12802.0,1754043299999,1578.563,20,4476.0,552.761,0
1754043300000,2025-08-01 10:15:00,0.1235,0.1236,0.1231,0.1234,26417.0,1754044199999,3259.0566,54,6477.0,799.8561,0
1754044200000,2025-08-01 10:30:00,0.1232,0.1237,0.1232,0.1237,50399.0,1754045099999,6221.5404,29,17809.0,2199.5151,0
1754045100000,2025-08-01 10:45:00,0.1235,0.1235,0.1227,0.1233,182401.0,1754045999999,22455.982,87,32268.0,3981.0817,0
1754046000000,2025-08-01 11:00:00,0.1235,0.1235,0.1229,0.1232,27919.0,1754046899999,3439.5711,27,14464.0,1784.2037,0
1754046900000,2025-08-01 11:15:00,0.1232,0.1233,0.1231,0.1233,15765.0,1754047799999,1941.3474,13,6396.0,788.0235,0
1754047800000,2025-08-01 11:30:00,0.1231,0.124,0.1231,0.1239,26141.0,1754048699999,3229.3934,23,20705.0,2558.0658,0
1754048700000,2025-08-01 11:45:00,0.1239,0.1247,0.1239,0.1247,104398.0,1754049599999,12990.5468,77,93301.0,11610.3437,0
1754049600000,2025-08-01 12:00:00,0.1246,0.1252,0.1246,0.125,36805.0,1754050499999,4597.8802,37,30686.0,3833.5756,0
1754050500000,2025-08-01 12:15:00,0.125,0.125,0.1246,0.1249,31884.0,1754051399999,3979.2914,30,20914.0,2611.2953,0
