openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,14.7,14.77,14.69,14.76,703.15,1753975799999,10369.0113,258,476.94,7033.801,0
1753975800000,2025-07-31 15:30:00,14.75,14.85,14.74,14.82,716.83,1753976699999,10619.5647,163,278.83,4129.1651,0
1753976700000,2025-07-31 15:45:00,14.83,14.85,14.75,14.81,803.6,1753977599999,11892.1356,118,378.1,5600.1199,0
1753977600000,2025-07-31 16:00:00,14.8,14.85,14.78,14.83,471.34,1753978499999,6984.856,119,179.32,2658.1926,0
1753978500000,2025-07-31 16:15:00,14.84,14.93,14.84,14.92,359.35,1753979399999,5349.5819,94,165.14,2458.0818,0
1753979400000,2025-07-31 16:30:00,14.93,15.1,14.93,15.06,1296.01,1753980299999,19508.9911,240,537.16,8092.631,0
1753980300000,2025-07-31 16:45:00,15.06,15.06,14.94,15.0,463.25,1753981199999,6938.1779,101,50.12,751.37,0
1753981200000,2025-07-31 17:00:00,14.99,14.99,14.88,14.92,675.41,1753982099999,10079.8025,154,204.02,3046.4888,0
1753982100000,2025-07-31 17:15:00,14.93,14.97,14.8,14.84,996.36,1753982999999,14812.0996,227,288.27,4286.4373,0
1753983000000,2025-07-31 17:30:00,14.85,14.91,14.81,14.84,1516.8,1753983899999,22563.3592,116,1141.79,16989.9898,0
1753983900000,2025-07-31 17:45:00,14.85,14.86,14.75,14.77,953.96,1753984799999,14130.0307,123,210.15,3112.104,0
1753984800000,2025-07-31 18:00:00,14.77,14.78,14.63,14.69,557.3,1753985699999,8183.3642,109,126.91,1865.2485,0
1753985700000,2025-07-31 18:15:00,14.68,14.81,14.65,14.8,533.76,1753986599999,7867.6245,115,373.62,5507.9743,0
1753986600000,2025-07-31 18:30:00,14.81,14.85,14.8,14.81,391.5,1753987499999,5808.5796,73,244.08,3623.2816,0
1753987500000,2025-07-31 18:45:00,14.81,14.85,14.73,14.76,519.3,1753988399999,7664.5289,95,429.58,6339.9007,0
1753988400000,2025-07-31 19:00:00,14.77,14.79,14.65,14.65,456.23,1753989299999,6714.9716,122,60.25,887.1658,0
1753989300000,2025-07-31 19:15:00,14.66,14.72,14.65,14.71,90.54,1753990199999,1328.2384,44,29.99,440.3284,0
1753990200000,2025-07-31 19:30:00,14.7,14.72,14.65,14.71,360.81,1753991099999,5296.8773,72,165.39,2428.7183,0
