openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1754874900000,2025-08-11 01:15:00,0.833,0.8512,0.8326,0.847,12287688.34,1754875799999,10341477.704649,35843,6117236.61,5150244.048396,0
1754875800000,2025-08-11 01:30:00,0.8469,0.8526,0.8439,0.8487,5936192.34,1754876699999,5034928.953022,27075,3098699.52,2628999.709407,0
1754876700000,2025-08-11 01:45:00,0.8487,0.849,0.8289,0.8327,18868213.32,1754877599999,15818521.730369,35019,10284377.15,8611994.53102,0
1754877600000,2025-08-11 02:00:00,0.8328,0.8421,0.8314,0.8386,7908726.8,1754878499999,6624219.487325,30700,3883211.8,3252198.365058,0
1754878500000,2025-08-11 02:15:00,0.8387,0.8425,0.8217,0.8281,9521664.26,1754879399999,7919184.835714,28804,4317660.06,3592766.010946,0
1754879400000,2025-08-11 02:30:00,0.8281,0.8334,0.8251,0.8307,3200172.8,1754880299999,2654101.865759,14395,1615237.72,1339754.591776,0
1754880300000,2025-08-11 02:45:00,0.8308,0.8335,0.8251,0.8254,2904435.86,1754881199999,2407631.302112,11382,1330767.51,1103554.235357,0
1754881200000,2025-08-11 03:00:00,0.8253,0.8307,0.8192,0.829,4184399.7,1754882099999,3452451.316917,15268,1898720.52,1567515.454811,0
1754882100000,2025-08-11 03:15:00,0.829,0.8308,0.825,0.8253,4005056.44,1754882999999,3315037.565625,15082,1711101.3,1416606.516809,0
1754883000000,2025-08-11 03:30:00,0.8254,0.836,0.8241,0.8313,2867984.3,1754883899999,2385078.883005,13285,1580825.69,1314977.593065,0
1754883900000,2025-08-11 03:45:00,0.8313,0.8378,0.8302,0.8337,2809817.58,1754884799999,2344672.18913,12670,1692292.38,1411882.102195,0
1754884800000,2025-08-11 04:00:00,0.8338,0.8431,0.8337,0.8399,2763798.59,1754885699999,2318407.307292,13684,1572817.41,1319100.075001,0
1754885700000,2025-08-11 04:15:00,0.84,0.8494,0.8398,0.8449,9041194.96,1754886599999,7648990.410278,27610,6127886.71,5185879.222517,0
1754886600000,2025-08-11 04:30:00,0.8449,0.85,0.8415,0.8469,4802075.65,1754887499999,4065031.487749,15017,2723026.91,2306774.66562,0
1754887500000,2025-08-11 04:45:00,0.8468,0.8468,0.8385,0.839,3011264.81,1754888399999,2536408.000215,12102,1308195.55,1102270.050217,0
1754888400000,2025-08-11 05:00:00,0.839,0.8461,0.8382,0.8409,1955620.78,1754889299999,1647841.912656,12315,1139126.07,959841.446633,0
1754889300000,2025-08-11 05:15:00,0.8409,0.8438,0.8382,0.8403,1479740.01,1754890199999,1243662.807345,7972,579333.04,486921.627936,0
1754890200000,2025-08-11 05:30:00,0.8404,0.8475,0.8384,0.8395,2700553.1,1754891099999,2276804.29389,14177,1304405.65,1099877.880093,0
1754891100000,2025-08-11 05:45:00,0.8395,0.8398,0.8323,0.8358,2550785.78,1754891999999,2132259.388512,13182,1045442.78,873976.968354,0
1754892000000,2025-08-11 06:00:00,0.8359,0.8407,0.834,0.8359,1744771.96,1754892899999,1460106.707317,11933,807567.19,675848.560072,0
1754892900000,2025-08-11 06:15:00,0.8359,0.8464,0.8351,0.8431,2874819.76,1754893799999,2422020.245318,14977,1432588.53,1207353.05472,0
1754893800000,2025-08-11 06:30:00,0.8431,0.8444,0.8357,0.8387,1950380.67,1754894699999,1636731.989851,11591,892113.65,748415.11275,0
1754894700000,2025-08-11 06:45:00,0.8388,0.8436,0.8369,0.8434,1590997.45,1754895599999,1336553.96954,9284,864805.63,726543.153661,0
1754895600000,2025-08-11 07:00:00,0.8433,0.8555,0.8421,0.8507,6560220.05,1754896499999,5578927.118827,19593,3665478.03,3117238.697211,0
1754896500000,2025-08-11 07:15:00,0.8506,0.8525,0.8345,0.8369,5419704.36,1754897399999,4561915.357992,22229,2917460.75,2454037.718522,0
1754897400000,2025-08-11 07:30:00,0.837,0.8376,0.827,0.8303,8023795.14,1754898299999,6658901.433872,24073,3026207.73,2511284.320045,0
1754898300000,2025-08-11 07:45:00,0.8302,0.8319,0.822,0.8259,8427438.69,1754899199999,6964700.160385,21580,2607430.88,2157089.577019,0
1754899200000,2025-08-11 08:00:00,0.8259,0.8306,0.8232,0.8289,4501140.97,1754900099999,3722488.728403,17903,2148175.66,1776405.547908,0
1754900100000,2025-08-11 08:15:00,0.829,0.8336,0.822,0.8274,4033784.03,1754900999999,3341362.846324,17075,1876445.22,1555281.843132,0
1754901000000,2025-08-11 08:30:00,0.8274,0.8274,0.8148,0.8205,4565795.81,1754901899999,3745706.649345,19942,1694626.27,1390598.898988,0
1754901900000,2025-08-11 08:45:00,0.8205,0.8252,0.8199,0.8232,2065013.7,1754902799999,1697645.054559,9482,917636.43,754302.086142,0
1754902800000,2025-08-11 09:00:00,0.8232,0.8247,0.8159,0.822,1883016.85,1754903699999,1542832.043085,9597,796990.77,652764.438661,0
1754903700000,2025-08-11 09:15:00,0.8219,0.8277,0.8205,0.827,2588768.28,1754904599999,2131744.988239,8613,1442902.57,1188268.849338,0
1754904600000,2025-08-11 09:30:00,0.827,0.8288,0.8227,0.8241,2015484.19,1754905499999,1663397.468442,10729,996011.9,822075.854351,0
1754905500000,2025-08-11 09:45:00,0.824,0.8246,0.8184,0.8218,2027232.21,1754906399999,1663353.459423,9999,859955.92,705793.082209,0
1754906400000,2025-08-11 10:00:00,0.8218,0.8224,0.8188,0.8202,2341255.34,1754907299999,1920358.092368,8974,1193126.73,978633.75517,0
1754907300000,2025-08-11 10:15:00,0.8201,0.827,0.8186,0.8258,2856588.42,1754908199999,2351768.169551,14840,1507088.94,1241003.825678,0
1754908200000,2025-08-11 10:30:00,0.8258,0.829,0.82,0.8201,3643781.81,1754909099999,3006762.537607,15704,1909122.52,1576248.352446,0
1754909100000,2025-08-11 10:45:00,0.8201,0.8252,0.8166,0.8187,3415142.87,1754909999999,2800207.652644,14307,1546805.89,1268285.855072,0
1754910000000,2025-08-11 11:00:00,0.8187,0.8203,0.8059,0.8073,9200344.11,1754910899999,7457892.121188,25117,3398533.26,2754180.603897,0
1754910900000,2025-08-11 11:15:00,0.8073,0.8078,0.7995,0.7996,7828203.92,1754911799999,6293539.149418,23085,3089857.23,2485347.546549,0
1754911800000,2025-08-11 11:30:00,0.7997,0.8062,0.7965,0.7991,5999839.09,1754912699999,4812878.185142,19046,2828064.57,2270257.953815,0
1754912700000,2025-08-11 11:45:00,0.7992,0.7995,0.7844,0.7906,12282139.27,1754913599999,9704795.555802,32973,6075608.13,4797316.063296,0
1754913600000,2025-08-11 12:00:00,0.7906,0.7966,0.7866,0.7924,5919380.1,1754914499999,4689624.949882,21678,2992650.11,2371938.67731,0
1754914500000,2025-08-11 12:15:00,0.7923,0.7977,0.7902,0.7944,4258321.14,1754915399999,3386731.35459,16966,2649806.5,2107378.578041,0
1754915400000,2025-08-11 12:30:00,0.7945,0.7968,0.787,0.7881,6101317.5,1754916299999,4824489.040886,22644,2414579.46,1908383.700099,0
