openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.0715,0.0718,0.0714,0.0717,240045.4,1753975799999,17186.33916,225,134661.8,9645.2072,0
1753975800000,2025-07-31 15:30:00,0.0716,0.0722,0.0716,0.0721,389401.7,1753976699999,28014.45331,400,280045.7,20151.15498,0
1753976700000,2025-07-31 15:45:00,0.0721,0.0722,0.0716,0.0719,206965.9,1753977599999,14877.56959,227,112449.6,8081.75441,0
1753977600000,2025-07-31 16:00:00,0.0719,0.072,0.0716,0.0719,396541.4,1753978499999,28505.32637,341,157864.2,11347.91623,0
1753978500000,2025-07-31 16:15:00,0.072,0.0726,0.0719,0.0725,296899.5,1753979399999,21455.6057,256,154799.3,11187.84274,0
1753979400000,2025-07-31 16:30:00,0.0725,0.0734,0.0725,0.0732,1117883.5,1753980299999,81590.8708,572,877696.1,64032.52686,0
1753980300000,2025-07-31 16:45:00,0.0732,0.0732,0.0728,0.0731,221806.0,1753981199999,16179.00614,221,85828.4,6258.97933,0
1753981200000,2025-07-31 17:00:00,0.0731,0.0731,0.0725,0.0727,451148.6,1753982099999,32820.03949,445,212819.6,15496.48499,0
1753982100000,2025-07-31 17:15:00,0.0727,0.0728,0.0719,0.0722,444983.4,1753982999999,32242.70262,280,150345.9,10888.10782,0
1753983000000,2025-07-31 17:30:00,0.0723,0.0727,0.0721,0.0723,252805.7,1753983899999,18305.34101,220,160532.2,11623.98333,0
1753983900000,2025-07-31 17:45:00,0.0723,0.0725,0.0716,0.0718,477055.3,1753984799999,34280.7072,385,164417.1,11819.58153,0
1753984800000,2025-07-31 18:00:00,0.0717,0.0718,0.071,0.0713,483414.0,1753985699999,34502.60323,237,163779.3,11691.17798,0
1753985700000,2025-07-31 18:15:00,0.0712,0.0718,0.071,0.0717,390842.1,1753986599999,27895.33895,320,175317.6,12520.21367,0
1753986600000,2025-07-31 18:30:00,0.0718,0.0721,0.0717,0.0719,159242.4,1753987499999,11460.30112,152,85874.7,6180.17807,0
1753987500000,2025-07-31 18:45:00,0.072,0.0721,0.0715,0.0717,124705.6,1753988399999,8949.75262,113,52611.7,3781.34783,0
1753988400000,2025-07-31 19:00:00,0.0716,0.0718,0.071,0.071,95330.6,1753989299999,6814.6714,85,56562.7,4047.46799,0
1753989300000,2025-07-31 19:15:00,0.071,0.0714,0.071,0.0713,138114.2,1753990199999,9828.88512,134,73610.0,5239.57094,0
1753990200000,2025-07-31 19:30:00,0.0712,0.0716,0.0712,0.0714,157282.9,1753991099999,11236.38954,110,78749.1,5630.08666,0
1753991100000,2025-07-31 19:45:00,0.0714,0.0716,0.0711,0.0713,139510.7,1753991999999,9950.41275,129,83744.0,5971.65332,0
1753992000000,2025-07-31 20:00:00,0.0713,0.0714,0.0706,0.071,287044.7,1753992899999,20342.63428,299,134286.9,9518.75254,0
1753992900000,2025-07-31 20:15:00,0.0709,0.0714,0.0709,0.0711,144934.3,1753993799999,10307.61036,203,94667.7,6733.73556,0
1753993800000,2025-07-31 20:30:00,0.0712,0.0713,0.0707,0.0711,393955.4,1753994699999,27953.64685,411,228154.8,16202.33542,0
1753994700000,2025-07-31 20:45:00,0.071,0.0712,0.0707,0.0711,277336.3,1753995599999,19697.82728,287,190890.5,13564.71113,0
1753995600000,2025-07-31 21:00:00,0.0711,0.0712,0.0708,0.0709,296846.5,1753996499999,21063.01031,331,176330.1,12513.05251,0
1753996500000,2025-07-31 21:15:00,0.0709,0.071,0.0704,0.0709,379585.3,1753997399999,26831.01845,512,180543.0,12778.11581,0
1753997400000,2025-07-31 21:30:00,0.071,0.0713,0.0708,0.0708,118544.3,1753998299999,8416.7027,134,56995.8,4047.28608,0
1753998300000,2025-07-31 21:45:00,0.0709,0.0709,0.0698,0.0704,355431.7,1753999199999,24959.63093,478,153523.7,10789.66307,0
1753999200000,2025-07-31 22:00:00,0.0703,0.0703,0.0696,0.0699,516547.0,1754000099999,36051.80111,383,148888.1,10404.59922,0
1754000100000,2025-07-31 22:15:00,0.07,0.0702,0.0697,0.0699,241890.8,1754000999999,16935.92171,212,174786.6,12238.25542,0
1754001000000,2025-07-31 22:30:00,0.07,0.07,0.0693,0.0696,370375.6,1754001899999,25747.17463,301,156618.8,10885.93078,0
1754001900000,2025-07-31 22:45:00,0.0696,0.0699,0.0693,0.0697,315892.6,1754002799999,21983.93759,232,197216.2,13724.75668,0
1754002800000,2025-07-31 23:00:00,0.0697,0.0703,0.0696,0.0701,242194.0,1754003699999,16952.69407,245,166037.6,11627.42965,0
1754003700000,2025-07-31 23:15:00,0.07,0.0701,0.0697,0.0697,270996.6,1754004599999,18942.65598,240,101080.7,7074.77062,0
1754004600000,2025-07-31 23:30:00,0.0696,0.0696,0.0685,0.0689,1455134.2,1754005499999,100252.14497,977,589278.5,40626.65785,0
1754005500000,2025-07-31 23:45:00,0.0688,0.0691,0.0687,0.0689,185959.5,1754006399999,12814.32853,147,99405.0,6851.29183,0
1754006400000,2025-08-01 00:00:00,0.069,0.0691,0.068,0.0682,999221.5,1754007299999,68261.41507,751,395796.8,27088.47759,0
1754007300000,2025-08-01 00:15:00,0.0682,0.069,0.0681,0.0684,361015.1,1754008199999,24731.99378,481,234793.1,16089.80185,0
1754008200000,2025-08-01 00:30:00,0.0683,0.0685,0.0677,0.068,732709.4,1754009099999,49845.91019,365,130651.8,8901.18379,0
