openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,27.6,27.71,27.57,27.68,1995.64,1753975799999,55196.5664,419,1268.26,35085.993,0
1753975800000,2025-07-31 15:30:00,27.67,27.79,27.66,27.7,5998.16,1753976699999,166277.5087,528,1548.21,42951.5124,0
1753976700000,2025-07-31 15:45:00,27.7,27.74,27.54,27.65,2482.0,1753977599999,68613.9073,488,1220.41,33737.8712,0
1753977600000,2025-07-31 16:00:00,27.64,27.74,27.59,27.7,3012.54,1753978499999,83266.0804,440,1575.24,43554.4346,0
1753978500000,2025-07-31 16:15:00,27.71,27.82,27.64,27.78,3629.06,1753979399999,100756.5057,564,2079.5,57733.6179,0
1753979400000,2025-07-31 16:30:00,27.8,28.09,27.8,27.99,16626.41,1753980299999,465653.72,1181,8263.99,231492.9923,0
1753980300000,2025-07-31 16:45:00,27.99,28.0,27.76,27.85,2683.76,1753981199999,74759.6166,551,886.88,24709.2259,0
1753981200000,2025-07-31 17:00:00,27.86,27.87,27.62,27.71,12802.81,1753982099999,354254.1878,700,7053.86,195123.3539,0
1753982100000,2025-07-31 17:15:00,27.72,27.82,27.54,27.63,3778.74,1753982999999,104425.3656,715,1254.15,34647.7229,0
1753983000000,2025-07-31 17:30:00,27.64,27.77,27.61,27.69,1872.19,1753983899999,51789.7983,311,832.65,23042.8333,0
1753983900000,2025-07-31 17:45:00,27.7,27.72,27.47,27.57,6357.45,1753984799999,175009.5673,637,4328.48,119150.487,0
1753984800000,2025-07-31 18:00:00,27.57,27.59,27.32,27.39,4918.48,1753985699999,134871.5908,618,2078.03,56982.5191,0
1753985700000,2025-07-31 18:15:00,27.38,27.65,27.33,27.64,4199.79,1753986599999,115600.7027,747,2750.49,75752.3862,0
1753986600000,2025-07-31 18:30:00,27.63,27.74,27.62,27.69,4683.57,1753987499999,129774.4766,428,3647.23,101096.4653,0
1753987500000,2025-07-31 18:45:00,27.69,27.75,27.55,27.61,1133.57,1753988399999,31360.0587,344,421.3,11662.4962,0
1753988400000,2025-07-31 19:00:00,27.63,27.7,27.5,27.5,6170.08,1753989299999,170552.1628,550,3888.03,107532.282,0
1753989300000,2025-07-31 19:15:00,27.5,27.6,27.49,27.55,2736.06,1753990199999,75390.6241,308,908.09,25029.8882,0
