openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,1.917,1.933,1.917,1.928,8634.4,1753975799999,16636.6106,236,4634.9,8930.4874,0
1753975800000,2025-07-31 15:30:00,1.927,1.939,1.924,1.926,12399.3,1753976699999,23943.8898,366,5503.0,10628.1281,0
1753976700000,2025-07-31 15:45:00,1.925,1.925,1.908,1.915,11608.0,1753977599999,22234.9604,279,4036.7,7727.5561,0
1753977600000,2025-07-31 16:00:00,1.916,1.918,1.863,1.873,50804.8,1753978499999,96055.1466,1039,12237.4,23051.3709,0
1753978500000,2025-07-31 16:15:00,1.873,1.92,1.864,1.907,43759.0,1753979399999,83137.1127,1088,24225.6,46068.5128,0
1753979400000,2025-07-31 16:30:00,1.906,1.961,1.902,1.949,121992.7,1753980299999,236293.4237,1451,55267.7,106987.8598,0
1753980300000,2025-07-31 16:45:00,1.949,1.95,1.929,1.931,15468.5,1753981199999,29943.8185,585,8389.7,16253.8744,0
1753981200000,2025-07-31 17:00:00,1.93,1.933,1.921,1.926,6797.1,1753982099999,13107.9696,418,5847.1,11277.6562,0
1753982100000,2025-07-31 17:15:00,1.928,1.928,1.902,1.911,11729.8,1753982999999,22448.5943,310,5464.7,10442.7261,0
1753983000000,2025-07-31 17:30:00,1.911,1.92,1.89,1.897,21141.7,1753983899999,40271.096,545,6662.3,12736.8091,0
1753983900000,2025-07-31 17:45:00,1.898,1.899,1.879,1.887,27832.8,1753984799999,52538.2923,518,10887.6,20558.1078,0
1753984800000,2025-07-31 18:00:00,1.888,1.903,1.875,1.9,23548.5,1753985699999,44433.6981,540,16114.2,30435.5456,0
1753985700000,2025-07-31 18:15:00,1.9,1.91,1.896,1.907,9828.1,1753986599999,18699.0054,253,6143.2,11690.9261,0
1753986600000,2025-07-31 18:30:00,1.906,1.908,1.882,1.885,27591.5,1753987499999,52252.8296,950,4749.5,9015.0953,0
1753987500000,2025-07-31 18:45:00,1.887,1.889,1.878,1.884,11469.3,1753988399999,21608.1769,347,3943.4,7429.5503,0
1753988400000,2025-07-31 19:00:00,1.882,1.884,1.865,1.867,11350.7,1753989299999,21262.6027,307,3382.1,6334.1132,0
1753989300000,2025-07-31 19:15:00,1.868,1.87,1.863,1.868,3022.4,1753990199999,5644.5231,165,1056.3,1973.5581,0
1753990200000,2025-07-31 19:30:00,1.867,1.868,1.857,1.864,9867.7,1753991099999,18377.1326,338,6083.2,11332.8812,0
1753991100000,2025-07-31 19:45:00,1.865,1.87,1.863,1.866,5960.6,1753991999999,11132.36,221,2210.4,4130.6625,0
1753992000000,2025-07-31 20:00:00,1.866,1.867,1.834,1.838,62440.8,1753992899999,115243.2181,1330,16023.6,29557.4216,0
1753992900000,2025-07-31 20:15:00,1.839,1.859,1.831,1.85,23897.3,1753993799999,44127.1666,539,13225.3,24461.7111,0
1753993800000,2025-07-31 20:30:00,1.849,1.852,1.839,1.848,9836.0,1753994699999,18159.7905,340,2516.5,4645.4643,0
1753994700000,2025-07-31 20:45:00,1.846,1.854,1.846,1.851,2863.8,1753995599999,5298.6413,137,1339.5,2477.2022,0
1753995600000,2025-07-31 21:00:00,1.85,1.861,1.843,1.849,14436.9,1753996499999,26730.5175,546,5291.5,9795.5892,0
1753996500000,2025-07-31 21:15:00,1.849,1.869,1.849,1.858,23726.2,1753997399999,44042.417,453,16819.8,31209.611,0
1753997400000,2025-07-31 21:30:00,1.855,1.866,1.852,1.855,5122.7,1753998299999,9514.7401,164,3860.8,7170.6923,0
1753998300000,2025-07-31 21:45:00,1.853,1.858,1.827,1.858,31225.4,1753999199999,57630.3829,574,15220.9,28078.3823,0
1753999200000,2025-07-31 22:00:00,1.856,1.857,1.84,1.852,7000.7,1754000099999,12918.6249,315,1851.6,3417.4308,0
1754000100000,2025-07-31 22:15:00,1.853,1.861,1.847,1.858,4344.4,1754000999999,8064.6207,170,2900.7,5385.6051,0
1754001000000,2025-07-31 22:30:00,1.858,1.858,1.851,1.857,4519.8,1754001899999,8384.8718,140,1857.1,3445.3935,0
1754001900000,2025-07-31 22:45:00,1.858,1.863,1.855,1.859,6079.1,1754002799999,11298.5452,172,3766.3,7001.5636,0
1754002800000,2025-07-31 23:00:00,1.859,1.864,1.847,1.848,9021.5,1754003699999,16749.3638,342,4235.2,7867.5962,0
1754003700000,2025-07-31 23:15:00,1.847,1.849,1.831,1.831,5639.4,1754004599999,10365.582,219,1434.0,2641.8018,0
1754004600000,2025-07-31 23:30:00,1.833,1.836,1.811,1.825,31374.9,1754005499999,57173.7228,987,14096.0,25690.3179,0
1754005500000,2025-07-31 23:45:00,1.826,1.831,1.82,1.822,8998.7,1754006399999,16440.3262,383,4091.3,7474.8746,0
1754006400000,2025-08-01 00:00:00,1.822,1.831,1.804,1.814,14677.8,1754007299999,26686.5552,574,7378.7,13406.8694,0
1754007300000,2025-08-01 00:15:00,1.815,1.84,1.812,1.827,15902.9,1754008199999,29098.4121,512,6245.1,11412.0464,0
1754008200000,2025-08-01 00:30:00,1.827,1.839,1.819,1.831,9439.4,1754009099999,17273.7265,258,5034.5,9221.1727,0
1754009100000,2025-08-01 00:45:00,1.829,1.854,1.815,1.852,15086.9,1754009999999,27643.3915,746,7231.9,13227.1212,0
1754010000000,2025-08-01 01:00:00,1.853,1.859,1.828,1.829,7269.5,1754010899999,13396.9822,320,3182.3,5869.282,0
1754010900000,2025-08-01 01:15:00,1.831,1.842,1.822,1.833,10065.5,1754011799999,18450.752,347,6342.1,11631.9667,0
1754011800000,2025-08-01 01:30:00,1.835,1.844,1.823,1.834,9841.9,1754012699999,18043.973,348,2775.3,5088.1477,0
1754012700000,2025-08-01 01:45:00,1.835,1.854,1.835,1.847,20860.9,1754013599999,38528.9989,624,13359.4,24662.9051,0
1754013600000,2025-08-01 02:00:00,1.846,1.857,1.836,1.857,11124.1,1754014499999,20524.9775,313,5372.0,9915.9916,0
1754014500000,2025-08-01 02:15:00,1.857,1.868,1.84,1.844,18037.6,1754015399999,33509.3684,477,5043.5,9376.5867,0
1754015400000,2025-08-01 02:30:00,1.844,1.859,1.843,1.857,6415.7,1754016299999,11882.0242,462,4516.2,8363.7528,0
1754016300000,2025-08-01 02:45:00,1.858,1.87,1.855,1.868,10213.3,1754017199999,19023.5509,417,5308.9,9884.1695,0
