openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.9981,0.9981,0.998,0.998,6979356.0,1753975799999,6965602.788,2486,2055000.0,2051095.5,0
1753975800000,2025-07-31 15:30:00,0.998,0.9981,0.998,0.998,4315428.0,1753976699999,4307040.9512,2419,2438072.0,2433439.6632,0
1753976700000,2025-07-31 15:45:00,0.9981,0.9981,0.998,0.998,6164166.0,1753977599999,6152154.6561,2727,3169881.0,3163858.2261,0
1753977600000,2025-07-31 16:00:00,0.998,0.9981,0.998,0.9981,2547984.0,1753978499999,2542978.6805,2374,906485.0,904762.6785,0
1753978500000,2025-07-31 16:15:00,0.9981,0.9981,0.998,0.998,3683641.0,1753979399999,3676593.7768,2914,3200588.0,3194506.8828,0
1753979400000,2025-07-31 16:30:00,0.998,0.9982,0.998,0.9982,8458192.0,1753980299999,8441966.6052,6116,6175330.0,6163607.5645,0
1753980300000,2025-07-31 16:45:00,0.9981,0.9982,0.998,0.9981,11898054.0,1753981199999,11875157.3333,5327,6271585.0,6259743.1118,0
1753981200000,2025-07-31 17:00:00,0.9981,0.9982,0.998,0.9981,4082484.0,1753982099999,4074703.7376,2340,1867644.0,1864149.3895,0
1753982100000,2025-07-31 17:15:00,0.9981,0.9982,0.998,0.9981,5062339.0,1753982999999,5052374.5054,3025,833737.0,832168.2558,0
1753983000000,2025-07-31 17:30:00,0.9981,0.9981,0.998,0.998,4413577.0,1753983899999,4404778.1951,3042,283491.0,282952.3671,0
1753983900000,2025-07-31 17:45:00,0.998,0.9981,0.998,0.998,5256185.0,1753984799999,5245847.2179,3007,1745879.0,1742561.8299,0
1753984800000,2025-07-31 18:00:00,0.998,0.9981,0.9979,0.998,6484483.0,1753985699999,6471405.2595,4103,1423922.0,1421158.7254,0
1753985700000,2025-07-31 18:15:00,0.9979,0.9981,0.9979,0.9981,3473021.0,1753986599999,3466003.5391,3255,2384124.0,2379375.6589,0
1753986600000,2025-07-31 18:30:00,0.9981,0.9981,0.9979,0.9981,3396237.0,1753987499999,3389520.1727,2272,1362991.0,1360340.7301,0
1753987500000,2025-07-31 18:45:00,0.9981,0.9981,0.998,0.9981,1615996.0,1753988399999,1612898.9448,1671,1349368.0,1346804.2008,0
1753988400000,2025-07-31 19:00:00,0.998,0.9981,0.9979,0.9979,2791406.0,1753989299999,2785836.284,2346,767346.0,765864.9257,0
1753989300000,2025-07-31 19:15:00,0.9979,0.998,0.9979,0.9979,5328193.0,1753990199999,5317120.881,2735,1170863.0,1168521.274,0
1753990200000,2025-07-31 19:30:00,0.9979,0.998,0.9978,0.9979,4223250.0,1753991099999,4214245.2391,2286,1925498.0,1921460.6684,0
1753991100000,2025-07-31 19:45:00,0.9979,0.998,0.9978,0.9979,3685560.0,1753991999999,3677760.8581,2347,2108800.0,2104395.9535,0
1753992000000,2025-07-31 20:00:00,0.9979,0.998,0.9978,0.998,5480639.0,1753992899999,5469387.3297,3671,3139719.0,3133404.9268,0
1753992900000,2025-07-31 20:15:00,0.9979,0.9981,0.9979,0.9979,4060460.0,1753993799999,4052242.6061,2275,2164720.0,2160391.9693,0
1753993800000,2025-07-31 20:30:00,0.9979,0.9981,0.9979,0.998,5622981.0,1753994699999,5611846.2845,1799,3938721.0,3931062.6452,0
1753994700000,2025-07-31 20:45:00,0.998,0.9981,0.9979,0.998,3761690.0,1753995599999,3753942.5171,1288,1336300.0,1333627.6045,0
1753995600000,2025-07-31 21:00:00,0.998,0.9981,0.9979,0.998,6236339.0,1753996499999,6223812.6628,2115,4288008.0,4279445.7518,0
1753996500000,2025-07-31 21:15:00,0.998,0.9981,0.9979,0.9981,6141993.0,1753997399999,6129657.5959,1968,4034487.0,4026470.4174,0
1753997400000,2025-07-31 21:30:00,0.9981,0.9981,0.998,0.9981,3939308.0,1753998299999,3931643.5996,1603,2142156.0,2138085.9036,0
1753998300000,2025-07-31 21:45:00,0.9981,0.9981,0.998,0.9981,6196587.0,1753999199999,6184441.7504,3106,2479244.0,2474533.4364,0
1753999200000,2025-07-31 22:00:00,0.9981,0.9981,0.998,0.9981,2851236.0,1754000099999,2845646.2134,1823,1126854.0,1124712.9774,0
1754000100000,2025-07-31 22:15:00,0.9981,0.9981,0.998,0.998,2677292.0,1754000999999,2672094.4332,2101,1570172.0,1567188.6732,0
1754001000000,2025-07-31 22:30:00,0.998,0.9981,0.998,0.998,3488968.0,1754001899999,3482066.774,1594,767100.0,765642.51,0
1754001900000,2025-07-31 22:45:00,0.9981,0.9981,0.998,0.998,3561336.0,1754002799999,3554253.0677,1565,397397.0,396641.9457,0
1754002800000,2025-07-31 23:00:00,0.9981,0.9981,0.998,0.998,4873203.0,1754003699999,4863698.5045,1907,2419105.0,2414508.7005,0
1754003700000,2025-07-31 23:15:00,0.9981,0.9981,0.998,0.998,11508295.0,1754004599999,11485612.8373,1861,3344273.0,3337918.8813,0
1754004600000,2025-07-31 23:30:00,0.9981,0.9981,0.9979,0.9981,10999833.0,1754005499999,10977511.4173,6174,4462444.0,4453552.1626,0
1754005500000,2025-07-31 23:45:00,0.9981,0.9981,0.9979,0.9979,4364750.0,1754006399999,4355808.5259,1889,1584187.0,1581020.1989,0
1754006400000,2025-08-01 00:00:00,0.9979,0.998,0.9978,0.9979,12318196.0,1754007299999,12292647.8789,6346,3303455.0,3296846.5724,0
1754007300000,2025-08-01 00:15:00,0.9979,0.9979,0.9977,0.9978,5418208.0,1754008199999,5406419.2452,4136,1690386.0,1686809.6145,0
1754008200000,2025-08-01 00:30:00,0.9979,0.9979,0.9976,0.9978,11669696.0,1754009099999,11643408.7364,4402,4531618.0,4521527.6059,0
1754009100000,2025-08-01 00:45:00,0.9978,0.9978,0.9974,0.9978,20403624.0,1754009999999,20356003.8709,10100,11356333.0,11330156.698,0
1754010000000,2025-08-01 01:00:00,0.9978,0.9979,0.9977,0.9977,17351040.0,1754010899999,17312223.2104,3634,9254650.0,9234305.7853,0
1754010900000,2025-08-01 01:15:00,0.9977,0.9978,0.9977,0.9977,6299822.0,1754011799999,6285658.043,4610,3256336.0,3249172.0608,0
1754011800000,2025-08-01 01:30:00,0.9978,0.9978,0.9977,0.9978,2498315.0,1754012699999,2492664.1304,2597,952549.0,950453.3922,0
1754012700000,2025-08-01 01:45:00,0.9977,0.9978,0.9977,0.9978,5374613.0,1754013599999,5362614.579,1848,3631889.0,3623898.8442,0
1754013600000,2025-08-01 02:00:00,0.9978,0.9978,0.9977,0.9978,6314656.0,1754014499999,6300666.3155,3252,5340243.0,5328494.4654,0
1754014500000,2025-08-01 02:15:00,0.9978,0.9979,0.9977,0.9979,10126652.0,1754015399999,10104249.044,3931,8065831.0,8048102.2287,0
1754015400000,2025-08-01 02:30:00,0.9978,0.9979,0.9977,0.9977,10089795.0,1754016299999,10067481.3141,2790,6076441.0,6063094.0439,0
1754016300000,2025-08-01 02:45:00,0.9978,0.9978,0.9977,0.9977,1663083.0,1754017199999,1659303.521,1402,456119.0,455115.5382,0
1754017200000,2025-08-01 03:00:00,0.9977,0.9978,0.9977,0.9978,6875496.0,1754018099999,6860229.2888,2479,5469296.0,5457263.5488,0
1754018100000,2025-08-01 03:15:00,0.9978,0.9979,0.9977,0.9979,11073389.0,1754018999999,11049059.2329,2611,8900170.0,8880683.235,0
1754019000000,2025-08-01 03:30:00,0.9979,0.9979,0.9978,0.9978,1999811.0,1754019899999,1995479.5114,2128,680956.0,679525.9924,0
1754019900000,2025-08-01 03:45:00,0.9979,0.9979,0.9978,0.9979,9839849.0,1754020799999,9818600.4163,2813,3990841.0,3982460.2339,0
1754020800000,2025-08-01 04:00:00,0.9979,0.9979,0.9977,0.9978,12693194.0,1754021699999,12665262.2444,4067,1777153.0,1773331.5037,0
1754021700000,2025-08-01 04:15:00,0.9978,0.9978,0.9977,0.9978,2653623.0,1754022599999,2647729.6562,2590,2099891.0,2095271.2398,0
1754022600000,2025-08-01 04:30:00,0.9978,0.9978,0.9977,0.9978,1462686.0,1754023499999,1459428.9428,1053,1071206.0,1068849.3468,0
1754023500000,2025-08-01 04:45:00,0.9977,0.9978,0.9977,0.9978,6365921.0,1754024399999,6351380.8947,1304,1015130.0,1012896.714,0
1754024400000,2025-08-01 05:00:00,0.9977,0.9978,0.9976,0.9976,8603497.0,1754025299999,8583413.8142,2550,3701239.0,3692732.5939,0
1754025300000,2025-08-01 05:15:00,0.9977,0.9977,0.9976,0.9976,2428363.0,1754026199999,2422701.359,2870,1664302.0,1660474.1054,0
1754026200000,2025-08-01 05:30:00,0.9976,0.9978,0.9976,0.9978,4267611.0,1754027099999,4257905.9779,1294,3708985.0,3700567.0779,0
1754027100000,2025-08-01 05:45:00,0.9978,0.9978,0.9977,0.9978,2266877.0,1754027999999,2261790.6734,2301,1274905.0,1272100.209,0
1754028000000,2025-08-01 06:00:00,0.9978,0.9978,0.9977,0.9978,2913270.0,1754028899999,2906675.9231,1921,1064441.0,1062099.2298,0
1754028900000,2025-08-01 06:15:00,0.9978,0.9978,0.9976,0.9976,6673067.0,1754029799999,6657587.2015,1524,502043.0,500909.428,0
1754029800000,2025-08-01 06:30:00,0.9977,0.9977,0.9976,0.9977,1913204.0,1754030699999,1908691.0386,3184,787282.0,785471.2514,0
1754030700000,2025-08-01 06:45:00,0.9977,0.9977,0.9976,0.9976,6901754.0,1754031599999,6885624.3367,3329,4345463.0,4335468.4351,0
1754031600000,2025-08-01 07:00:00,0.9977,0.9977,0.9976,0.9977,3476728.0,1754032499999,3468518.8963,3201,1350435.0,1347328.9995,0
1754032500000,2025-08-01 07:15:00,0.9977,0.9978,0.9976,0.9976,13370494.0,1754033399999,13339717.3513,2548,8400051.0,8380748.0644,0
1754033400000,2025-08-01 07:30:00,0.9976,0.9977,0.9976,0.9977,2174119.0,1754034299999,2168957.7253,2075,566109.0,564806.9493,0
1754034300000,2025-08-01 07:45:00,0.9976,0.9977,0.9976,0.9977,4604593.0,1754035199999,4593588.7348,1716,467580.0,466504.566,0
1754035200000,2025-08-01 08:00:00,0.9977,0.9977,0.9975,0.9976,8013772.0,1754036099999,7994279.8138,5519,3674763.0,3665991.3602,0
1754036100000,2025-08-01 08:15:00,0.9976,0.9978,0.9975,0.9977,10275939.0,1754036999999,10251627.0386,3874,8329525.0,8309912.2547,0
1754037000000,2025-08-01 08:30:00,0.9977,0.9978,0.9976,0.9978,8082494.0,1754037899999,8063862.3276,5729,4649553.0,4638903.3941,0
1754037900000,2025-08-01 08:45:00,0.9978,0.9978,0.9977,0.9978,4362985.0,1754038799999,4353359.1978,3605,4090633.0,4081633.6074,0
1754038800000,2025-08-01 09:00:00,0.9978,0.9978,0.9977,0.9978,5325999.0,1754039699999,5314204.8275,4349,4556252.0,4546228.2456,0
1754039700000,2025-08-01 09:15:00,0.9977,0.9978,0.9977,0.9978,2230242.0,1754040599999,2225289.1568,1696,1767134.0,1763246.3052,0
1754040600000,2025-08-01 09:30:00,0.9977,0.9978,0.9977,0.9978,3608850.0,1754041499999,3600624.2821,1215,746371.0,744728.9838,0
1754041500000,2025-08-01 09:45:00,0.9978,0.9978,0.9977,0.9978,2018312.0,1754042399999,2013752.891,1522,830086.0,828259.8108,0
1754042400000,2025-08-01 10:00:00,0.9978,0.9979,0.9977,0.9979,7782418.0,1754043299999,7765250.8039,2802,5655563.0,5643134.3296,0
1754043300000,2025-08-01 10:15:00,0.9979,0.9979,0.9978,0.9978,4063728.0,1754044199999,4055003.8073,2002,2160089.0,2155552.8131,0
1754044200000,2025-08-01 10:30:00,0.9978,0.9979,0.9978,0.9979,4107525.0,1754045099999,4098670.2657,2039,1818207.0,1814388.7653,0
1754045100000,2025-08-01 10:45:00,0.9979,0.9979,0.9978,0.9978,3436602.0,1754045999999,3429190.8429,1796,1493673.0,1490536.2867,0
1754046000000,2025-08-01 11:00:00,0.9978,0.998,0.9978,0.9978,3451883.0,1754046899999,3444581.0046,1325,2201696.0,2197072.4414,0
1754046900000,2025-08-01 11:15:00,0.9978,0.9979,0.9978,0.9978,1268925.0,1754047799999,1266212.9368,1216,795718.0,794046.9922,0
1754047800000,2025-08-01 11:30:00,0.9979,0.9979,0.9978,0.9978,2329445.0,1754048699999,2324488.7204,2249,1684994.0,1681455.5126,0
1754048700000,2025-08-01 11:45:00,0.9979,0.998,0.9978,0.9979,4758887.0,1754049599999,4748869.6636,2295,3083550.0,3077074.7719,0
1754049600000,2025-08-01 12:00:00,0.9979,0.998,0.9978,0.998,5621537.0,1754050499999,5609699.9645,3536,4125152.0,4116555.146,0
1754050500000,2025-08-01 12:15:00,0.998,0.998,0.9979,0.9979,2481995.0,1754051399999,2476969.9399,1581,1871294.0,1867551.412,0
1754051400000,2025-08-01 12:30:00,0.9979,0.9981,0.9979,0.998,5976786.0,1754052299999,5964740.1713,4426,4562456.0,4553359.7484,0
1754052300000,2025-08-01 12:45:00,0.998,0.998,0.9979,0.9979,1757049.0,1754053199999,1753442.2967,1590,830996.0,829334.008,0
1754053200000,2025-08-01 13:00:00,0.9979,0.998,0.9979,0.9979,2966182.0,1754054099999,2960127.3849,1969,1743671.0,1740183.658,0
1754054100000,2025-08-01 13:15:00,0.998,0.998,0.9979,0.9979,2458786.0,1754054999999,2453735.5138,1798,1129644.0,1127384.712,0
1754055000000,2025-08-01 13:30:00,0.998,0.998,0.9979,0.9979,4457667.0,1754055899999,4448532.3736,3281,2264743.0,2260213.514,0
1754055900000,2025-08-01 13:45:00,0.998,0.998,0.9979,0.998,7443240.0,1754056799999,7427969.7483,6857,3605523.0,3598311.954,0
1754056800000,2025-08-01 14:00:00,0.9979,0.998,0.9979,0.998,7087592.0,1754057699999,7073086.8084,6099,3787516.0,3779940.968,0
1754057700000,2025-08-01 14:15:00,0.998,0.998,0.9979,0.998,3617565.0,1754058599999,3610169.6638,3446,2015503.0,2011471.994,0
1754058600000,2025-08-01 14:30:00,0.998,0.9981,0.9979,0.998,11620043.0,1754059499999,11596791.5818,3579,10936426.0,10914591.2241,0
1754059500000,2025-08-01 14:45:00,0.998,0.9981,0.998,0.998,2305416.0,1754060399999,2300939.1996,2420,1340316.0,1337769.3996,0
1754060400000,2025-08-01 15:00:00,0.998,0.9981,0.9979,0.9979,5530177.0,1754061299999,5519133.2946,3510,721613.0,720223.7836,0
1754061300000,2025-08-01 15:15:00,0.998,0.9981,0.9979,0.998,9243464.0,1754062199999,9224991.4348,4875,7453613.0,7438776.3808,0
1754062200000,2025-08-01 15:30:00,0.998,0.9981,0.9979,0.998,4158258.0,1754063099999,4149725.7468,3111,1257779.0,1255270.9756,0
1754063100000,2025-08-01 15:45:00,0.998,0.998,0.9979,0.9979,4891968.0,1754063999999,4882168.6962,3379,4738290.0,4728813.42,0
1754064000000,2025-08-01 16:00:00,0.998,0.998,0.9979,0.9979,2787878.0,1754064899999,2782170.0234,1878,1465672.0,1462740.656,0
1754064900000,2025-08-01 16:15:00,0.9979,0.998,0.9979,0.998,658786.0,1754065799999,657439.1524,1148,366030.0,365297.94,0
1754065800000,2025-08-01 16:30:00,0.998,0.998,0.9979,0.998,4172266.0,1754066699999,4163674.5341,3144,1702927.0,1699521.146,0
1754066700000,2025-08-01 16:45:00,0.998,0.9981,0.9979,0.998,6434437.0,1754067599999,6421251.781,2932,1654635.0,1651364.6712,0
1754067600000,2025-08-01 17:00:00,0.9979,0.998,0.9979,0.998,5527749.0,1754068499999,5516237.1335,3679,964064.0,962135.872,0
1754068500000,2025-08-01 17:15:00,0.998,0.998,0.9979,0.9979,3201632.0,1754069399999,3194943.7812,1014,352084.0,351379.832,0
1754069400000,2025-08-01 17:30:00,0.9979,0.998,0.9979,0.998,2649920.0,1754070299999,2644485.3202,2122,1301522.0,1298918.956,0
1754070300000,2025-08-01 17:45:00,0.998,0.998,0.9979,0.998,3166582.0,1754071199999,3159967.7082,1310,355304.0,354593.392,0
1754071200000,2025-08-01 18:00:00,0.9979,0.998,0.9978,0.9978,5566474.0,1754072099999,5554714.5611,4563,4213533.0,4204688.15,0
1754072100000,2025-08-01 18:15:00,0.9979,0.9979,0.9978,0.9978,7164763.0,1754072999999,7149384.7364,3859,3842150.0,3834081.485,0
1754073000000,2025-08-01 18:30:00,0.9978,0.9979,0.9978,0.9978,3223215.0,1754073899999,3216217.8753,901,939483.0,937510.0857,0
1754073900000,2025-08-01 18:45:00,0.9978,0.9979,0.9978,0.9978,4174939.0,1754074799999,4165782.7666,2587,286324.0,285722.7196,0
1754074800000,2025-08-01 19:00:00,0.9979,0.9979,0.9978,0.9979,6943267.0,1754075699999,6928067.5287,1514,757161.0,755570.9619,0
1754075700000,2025-08-01 19:15:00,0.9979,0.9979,0.9977,0.9978,4239386.0,1754076599999,4230046.5611,2421,2106248.0,2101656.6764,0
1754076600000,2025-08-01 19:30:00,0.9978,0.9979,0.9978,0.9978,5407341.0,1754077499999,5395767.1243,2727,3222745.0,3215977.2355,0
1754077500000,2025-08-01 19:45:00,0.9979,0.9979,0.9978,0.9979,4195430.0,1754078399999,4186269.2676,2110,692136.0,690682.5144,0
1754078400000,2025-08-01 20:00:00,0.9979,0.9979,0.9978,0.9978,8397925.0,1754079299999,8379525.6695,3439,761045.0,759446.8055,0
1754079300000,2025-08-01 20:15:00,0.9979,0.9979,0.9977,0.9977,3335754.0,1754080199999,3328434.8068,2477,1599680.0,1596241.4292,0
1754080200000,2025-08-01 20:30:00,0.9978,0.9979,0.9977,0.9977,2261871.0,1754081099999,2256826.724,1712,1383014.0,1379971.6948,0
1754081100000,2025-08-01 20:45:00,0.9978,0.9978,0.9977,0.9977,2873730.0,1754081999999,2867370.582,1805,2501610.0,2496106.458,0
1754082000000,2025-08-01 21:00:00,0.9978,0.9979,0.9977,0.9979,1783490.0,1754082899999,1779706.3415,1542,1517643.0,1514444.3269,0
1754082900000,2025-08-01 21:15:00,0.9978,0.9979,0.9978,0.9978,1789146.0,1754083799999,1785279.6389,686,697601.0,696136.0379,0
1754083800000,2025-08-01 21:30:00,0.9978,0.9979,0.9978,0.9978,3277976.0,1754084699999,3270838.4004,1131,739476.0,737923.1004,0
1754084700000,2025-08-01 21:45:00,0.9979,0.9979,0.9978,0.9978,2300617.0,1754085599999,2295564.5568,1022,89142.0,88954.8018,0
1754085600000,2025-08-01 22:00:00,0.9978,0.9979,0.9978,0.9978,4839185.0,1754086499999,4828609.6231,3604,708301.0,706813.5679,0
1754086500000,2025-08-01 22:15:00,0.9979,0.9979,0.9977,0.9977,12239628.0,1754087399999,12212349.549,4638,3243405.0,3236269.5386,0
1754087400000,2025-08-01 22:30:00,0.9977,0.9978,0.9977,0.9977,9969525.0,1754088299999,9946994.5653,5511,3994728.0,3985939.5984,0
1754088300000,2025-08-01 22:45:00,0.9978,0.9978,0.9977,0.9978,2086337.0,1754089199999,2081623.2429,1895,848180.0,846314.004,0
1754089200000,2025-08-01 23:00:00,0.9978,0.9978,0.9977,0.9977,3079833.0,1754090099999,3072984.9392,2486,2355551.0,2350368.7878,0
1754090100000,2025-08-01 23:15:00,0.9978,0.9978,0.9977,0.9978,2035641.0,1754090999999,2031118.6729,1747,1596472.0,1592959.7616,0
1754091000000,2025-08-01 23:30:00,0.9977,0.9978,0.9977,0.9977,1913454.0,1754091899999,1909117.2127,1090,641569.0,640157.5482,0
1754091900000,2025-08-01 23:45:00,0.9978,0.9978,0.9977,0.9978,2335312.0,1754092799999,2330082.1486,1673,1413662.0,1410551.9436,0
1754092800000,2025-08-02 00:00:00,0.9977,0.9978,0.9977,0.9977,1697828.0,1754093699999,1694025.1409,2132,1021453.0,1019205.8034,0
1754093700000,2025-08-02 00:15:00,0.9977,0.9978,0.9977,0.9977,6121059.0,1754094599999,6107332.5951,3210,3520308.0,3512563.3224,0
1754094600000,2025-08-02 00:30:00,0.9977,0.9978,0.9977,0.9978,4686195.0,1754095499999,4675575.9458,2512,1591943.0,1588440.7254,0
1754095500000,2025-08-02 00:45:00,0.9978,0.9978,0.9977,0.9978,8063941.0,1754096399999,8045868.0185,3747,4740828.0,4730398.1784,0
1754096400000,2025-08-02 01:00:00,0.9977,0.9978,0.9977,0.9978,8649438.0,1754097299999,8629970.6494,2570,4263568.0,4254188.1504,0
1754097300000,2025-08-02 01:15:00,0.9978,0.9978,0.9977,0.9977,10343096.0,1754098199999,10319996.8434,2095,6899642.0,6884462.7876,0
1754098200000,2025-08-02 01:30:00,0.9978,0.9978,0.9977,0.9978,3002256.0,1754099099999,2995553.0435,1763,2022323.0,2017873.8894,0
