openTime,open,high,low,close,volumn,closeTime,quote_volumn,count,taker_buy_volumn,taker_buy_quote_volumn,ignore
2025-08-24 11:30:00,0.395,0.396,0.394,0.394,5975.32,1756035899999,2361.07272,12,5288.37,2089.79511,0
2025-08-24 11:45:00,0.394,0.395,0.394,0.395,4103.18,1756036799999,1620.17118,11,233.62,92.2799,0
2025-08-24 12:00:00,0.394,0.395,0.393,0.395,5761.12,1756037699999,2270.68302,14,4270.01,1683.23949,0
2025-08-24 12:15:00,0.395,0.396,0.395,0.395,11179.1,1756038599999,4420.39174,29,2684.29,1062.97884,0
2025-08-24 12:30:00,0.395,0.395,0.394,0.395,4035.32,1756039499999,1593.91979,8,2727.0,1077.165,0
2025-08-24 12:45:00,0.396,0.397,0.395,0.396,20058.98,1756040399999,7935.55783,23,14706.58,5821.33448,0
2025-08-24 13:00:00,0.396,0.397,0.396,0.396,8704.98,1756041299999,3454.36079,18,4621.13,1834.58861,0
2025-08-24 13:15:00,0.398,0.399,0.397,0.399,1868.23,1756042199999,743.55163,9,1786.57,711.10498,0
2025-08-24 13:30:00,0.398,0.399,0.397,0.397,9558.38,1756043099999,3803.96093,19,1011.76,402.69374,0
2025-08-24 13:45:00,0.398,0.398,0.396,0.396,1215.89,1756043999999,482.14309,15,43.63,17.35171,0
2025-08-24 14:00:00,0.396,0.396,0.394,0.395,7375.34,1756044899999,2913.28668,67,3580.62,1414.39553,0
2025-08-24 14:15:00,0.395,0.398,0.395,0.396,11539.66,1756045799999,4577.3509,107,10595.82,4203.05492,0
2025-08-24 14:30:00,0.396,0.396,0.395,0.396,11512.21,1756046699999,4558.72597,41,10983.26,4349.37096,0
2025-08-24 14:45:00,0.397,0.399,0.397,0.398,22375.52,1756047599999,8895.52666,56,19396.86,7710.3171,0
2025-08-24 15:00:00,0.397,0.401,0.397,0.4,55771.25,1756048499999,22302.97951,111,44746.5,17894.62741,0
2025-08-24 15:15:00,0.4,0.402,0.4,0.401,3898.32,1756049399999,1561.67094,23,1517.58,608.66424,0
2025-08-24 15:30:00,0.401,0.401,0.399,0.399,10594.62,1756050299999,4240.65911,21,4468.88,1790.75795,0
2025-08-24 15:45:00,0.4,0.4,0.397,0.397,7715.02,1756051199999,3070.60033,15,26.27,10.482,0
2025-08-24 16:00:00,0.398,0.399,0.398,0.398,12531.53,1756052099999,4991.59148,52,9405.23,3746.99576,0
2025-08-24 16:15:00,0.398,0.398,0.397,0.397,14308.89,1756052999999,5684.18871,20,857.43,341.17149,0
2025-08-24 16:30:00,0.396,0.4,0.396,0.399,26155.56,1756053899999,10396.71077,61,12553.55,4998.74901,0
2025-08-24 16:45:00,0.398,0.399,0.397,0.399,6510.35,1756054799999,2592.82066,13,6128.12,2440.72111,0
2025-08-24 17:00:00,0.398,0.401,0.398,0.401,23677.08,1756055699999,9487.47602,85,11575.57,4636.91004,0
2025-08-24 17:15:00,0.402,0.402,0.401,0.401,29168.52,1756056599999,11716.22422,69,10871.86,4370.43682,0
2025-08-24 17:30:00,0.401,0.406,0.401,0.406,118758.47,1756057499999,47981.22332,210,105750.74,42737.33363,0
2025-08-24 17:45:00,0.406,0.408,0.405,0.406,77837.03,1756058399999,31644.09447,156,34405.55,13988.73368,0
2025-08-24 18:00:00,0.406,0.41,0.405,0.409,94115.43,1756059299999,38368.9482,104,63013.64,25700.97374,0
2025-08-24 18:15:00,0.409,0.414,0.408,0.414,193430.45,1756060199999,79623.86363,355,145185.55,59777.14336,0
2025-08-24 18:30:00,0.413,0.417,0.413,0.416,146702.46,1756061099999,60974.45963,307,97094.58,40382.70941,0
2025-08-24 18:45:00,0.417,0.419,0.416,0.417,95786.48,1756061999999,39963.55428,173,56844.26,23723.60557,0
2025-08-24 19:00:00,0.416,0.42,0.416,0.419,88689.29,1756062899999,37086.26586,161,53017.49,22204.25677,0
2025-08-24 19:15:00,0.418,0.42,0.417,0.418,90715.04,1756063799999,38038.63814,178,56392.04,23674.54439,0
2025-08-24 19:30:00,0.417,0.417,0.4,0.411,640267.26,1756064699999,261468.19359,1207,253514.36,103355.97692,0
2025-08-24 19:45:00,0.412,0.412,0.405,0.408,93116.59,1756065599999,37894.59371,241,29971.64,12195.77214,0
2025-08-24 20:00:00,0.408,0.408,0.399,0.403,173554.07,1756066499999,69887.24358,308,49376.63,19886.9262,0
2025-08-24 20:15:00,0.403,0.408,0.403,0.407,34722.54,1756067399999,14088.95349,63,23998.23,9738.71947,0
2025-08-24 20:30:00,0.406,0.408,0.406,0.408,34662.62,1756068299999,14128.37978,52,26872.49,10960.7352,0
2025-08-24 20:45:00,0.408,0.408,0.405,0.406,41032.81,1756069199999,16662.42608,36,6128.16,2493.77066,0
2025-08-24 21:00:00,0.406,0.407,0.404,0.407,33650.36,1756070099999,13652.36504,70,24553.03,9969.13778,0
2025-08-24 21:15:00,0.407,0.408,0.405,0.405,17620.0,1756070999999,7150.92274,32,3995.28,1625.44181,0
2025-08-24 21:30:00,0.405,0.41,0.405,0.408,51613.3,1756071899999,21046.33013,81,24374.4,9954.53407,0
2025-08-24 21:45:00,0.409,0.409,0.407,0.407,9493.18,1756072799999,3875.65677,10,3068.19,1254.88971,0
2025-08-24 22:00:00,0.407,0.407,0.405,0.405,12168.26,1756073699999,4940.81041,25,6862.17,2786.69035,0
2025-08-24 22:15:00,0.405,0.405,0.402,0.402,34121.21,1756074599999,13763.80107,38,10157.15,4107.47258,0
2025-08-24 22:30:00,0.402,0.404,0.402,0.404,18180.74,1756075499999,7317.88958,28,14859.01,5982.32357,0
2025-08-24 22:45:00,0.404,0.405,0.404,0.405,11290.59,1756076399999,4565.74288,10,11080.09,4480.49038,0
2025-08-24 23:00:00,0.406,0.407,0.406,0.406,34489.23,1756077299999,14014.30283,56,24968.38,10148.28557,0
2025-08-24 23:15:00,0.407,0.408,0.406,0.407,5062.11,1756078199999,2059.55416,16,3707.61,1509.47511,0
2025-08-24 23:30:00,0.406,0.407,0.406,0.407,16674.89,1756079099999,6770.03521,13,2413.5,979.91087,0
2025-08-24 23:45:00,0.407,0.408,0.405,0.406,19450.13,1756079999999,7900.77536,40,11091.55,4510.22188,0
2025-08-25 00:00:00,0.406,0.408,0.405,0.407,103126.55,1756080899999,41907.75644,95,93554.0,38027.21871,0
2025-08-25 00:15:00,0.407,0.407,0.406,0.406,29443.95,1756081799999,11961.48086,31,11260.27,4577.61286,0
2025-08-25 00:30:00,0.405,0.405,0.398,0.399,139940.62,1756082699999,56011.75654,182,27632.16,11085.77964,0
2025-08-25 00:45:00,0.4,0.403,0.4,0.403,50579.94,1756083599999,20269.87253,30,49686.35,19911.54294,0
2025-08-25 01:00:00,0.401,0.403,0.401,0.402,23765.35,1756084499999,9545.42711,40,7450.66,2995.19019,0
2025-08-25 01:15:00,0.402,0.406,0.401,0.404,64635.94,1756085399999,26096.56269,55,54678.8,22080.4636,0
2025-08-25 01:30:00,0.404,0.405,0.403,0.405,16641.1,1756086299999,6727.54344,18,6287.31,2544.71218,0
