openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,2.611,2.622,2.608,2.617,669.84,1753975799999,1753.30929,90,593.62,1554.02115,0
1753975800000,2025-07-31 15:30:00,2.619,2.631,2.618,2.63,141.77,1753976699999,372.05274,37,91.2,239.31023,0
1753976700000,2025-07-31 15:45:00,2.628,2.631,2.615,2.628,528.28,1753977599999,1384.78763,75,320.43,840.4972,0
1753977600000,2025-07-31 16:00:00,2.628,2.628,2.62,2.625,1948.08,1753978499999,5115.86848,79,664.16,1743.40185,0
1753978500000,2025-07-31 16:15:00,2.63,2.64,2.63,2.638,653.66,1753979399999,1722.14162,73,565.55,1490.03779,0
1753979400000,2025-07-31 16:30:00,2.639,2.662,2.638,2.658,2059.92,1753980299999,5472.21952,132,1242.49,3300.37103,0
1753980300000,2025-07-31 16:45:00,2.658,2.658,2.64,2.65,977.38,1753981199999,2585.65263,100,307.83,815.01712,0
1753981200000,2025-07-31 17:00:00,2.647,2.647,2.63,2.632,2006.17,1753982099999,5284.29032,130,168.08,442.82379,0
1753982100000,2025-07-31 17:15:00,2.633,2.64,2.616,2.622,1122.25,1753982999999,2953.72809,89,231.02,606.13917,0
1753983000000,2025-07-31 17:30:00,2.623,2.634,2.62,2.62,126.13,1753983899999,331.50072,31,86.06,226.29578,0
1753983900000,2025-07-31 17:45:00,2.624,2.625,2.609,2.615,4457.98,1753984799999,11663.79302,88,1161.3,3041.75838,0
1753984800000,2025-07-31 18:00:00,2.616,2.618,2.595,2.599,2210.94,1753985699999,5748.50297,110,397.27,1035.63013,0
1753985700000,2025-07-31 18:15:00,2.597,2.618,2.593,2.618,624.14,1753986599999,1626.56975,41,545.87,1422.73283,0
1753986600000,2025-07-31 18:30:00,2.616,2.624,2.616,2.618,1581.22,1753987499999,4145.02602,60,1367.5,3585.68705,0
1753987500000,2025-07-31 18:45:00,2.622,2.622,2.608,2.61,371.22,1753988399999,969.32451,39,265.28,692.25433,0
1753988400000,2025-07-31 19:00:00,2.61,2.612,2.6,2.6,320.75,1753989299999,837.34376,29,223.02,582.48032,0
1753989300000,2025-07-31 19:15:00,2.604,2.604,2.599,2.599,183.95,1753990199999,478.48114,17,73.57,191.56673,0
1753990200000,2025-07-31 19:30:00,2.601,2.602,2.599,2.602,97.14,1753991099999,252.67677,15,30.93,80.45043,0
1753991100000,2025-07-31 19:45:00,2.605,2.607,2.595,2.598,3558.21,1753991999999,9257.37118,97,3059.18,7961.20332,0
1753992000000,2025-07-31 20:00:00,2.596,2.601,2.587,2.597,3130.76,1753992899999,8122.20071,99,1146.92,2973.58282,0
1753992900000,2025-07-31 20:15:00,2.59,2.603,2.59,2.595,576.97,1753993799999,1498.92855,63,520.96,1353.48131,0
1753993800000,2025-07-31 20:30:00,2.598,2.601,2.589,2.593,359.5,1753994699999,932.92282,41,322.91,838.01963,0
1753994700000,2025-07-31 20:45:00,2.6,2.6,2.595,2.595,817.01,1753995599999,2120.36262,19,811.51,2106.08462,0
1753995600000,2025-07-31 21:00:00,2.59,2.595,2.586,2.59,913.55,1753996499999,2365.40969,31,82.12,212.80003,0
1753996500000,2025-07-31 21:15:00,2.588,2.588,2.581,2.586,164.06,1753997399999,423.59038,20,145.21,374.85195,0
1753997400000,2025-07-31 21:30:00,2.589,2.596,2.589,2.589,155.77,1753998299999,403.60051,23,69.21,179.30545,0
1753998300000,2025-07-31 21:45:00,2.584,2.585,2.565,2.578,1945.63,1753999199999,5007.73429,85,296.32,762.24791,0
1753999200000,2025-07-31 22:00:00,2.574,2.574,2.565,2.568,220.59,1754000099999,566.25174,26,110.58,283.84221,0
1754000100000,2025-07-31 22:15:00,2.568,2.573,2.564,2.569,753.43,1754000999999,1935.78679,39,499.65,1284.53065,0
1754001000000,2025-07-31 22:30:00,2.567,2.572,2.562,2.568,3958.5,1754001899999,10158.3516,157,2902.67,7450.25915,0
1754001900000,2025-07-31 22:45:00,2.568,2.572,2.565,2.566,920.13,1754002799999,2365.23104,32,844.7,2171.60118,0
1754002800000,2025-07-31 23:00:00,2.569,2.581,2.567,2.577,2947.63,1754003699999,7595.90797,109,562.35,1448.37248,0
1754003700000,2025-07-31 23:15:00,2.574,2.575,2.561,2.562,511.78,1754004599999,1313.90374,58,86.61,222.46277,0
1754004600000,2025-07-31 23:30:00,2.564,2.564,2.547,2.55,1074.35,1754005499999,2743.03153,107,657.9,1680.35821,0
1754005500000,2025-07-31 23:45:00,2.552,2.558,2.547,2.552,337.4,1754006399999,861.79775,51,290.61,742.35549,0
1754006400000,2025-08-01 00:00:00,2.552,2.568,2.545,2.548,2946.8,1754007299999,7526.38778,137,1400.1,3580.52141,0
1754007300000,2025-08-01 00:15:00,2.549,2.568,2.549,2.557,2828.16,1754008199999,7245.1349,104,1849.56,4738.83934,0
1754008200000,2025-08-01 00:30:00,2.556,2.56,2.544,2.547,843.38,1754009099999,2150.229,59,254.31,648.93132,0
1754009100000,2025-08-01 00:45:00,2.549,2.579,2.533,2.569,6807.7,1754009999999,17354.54319,351,3482.54,8895.1262,0
1754010000000,2025-08-01 01:00:00,2.568,2.581,2.558,2.558,1439.03,1754010899999,3697.58943,129,756.17,1939.87285,0
1754010900000,2025-08-01 01:15:00,2.56,2.579,2.558,2.577,1433.09,1754011799999,3680.95121,94,657.28,1689.92529,0
1754011800000,2025-08-01 01:30:00,2.573,2.583,2.571,2.581,350.03,1754012699999,901.88919,31,255.0,656.72088,0
1754012700000,2025-08-01 01:45:00,2.581,2.583,2.571,2.579,638.36,1754013599999,1646.1919,53,110.2,284.09234,0
1754013600000,2025-08-01 02:00:00,2.578,2.587,2.571,2.587,1268.93,1754014499999,3270.62002,51,124.64,321.36461,0
1754014500000,2025-08-01 02:15:00,2.585,2.593,2.585,2.588,338.58,1754015399999,876.872,33,258.31,669.12443,0
1754015400000,2025-08-01 02:30:00,2.589,2.595,2.587,2.588,4039.49,1754016299999,10463.07242,61,253.71,657.43155,0
1754016300000,2025-08-01 02:45:00,2.587,2.593,2.584,2.593,1385.16,1754017199999,3582.2899,31,289.35,748.61634,0
1754017200000,2025-08-01 03:00:00,2.59,2.592,2.578,2.582,467.01,1754018099999,1207.0056,30,347.74,898.99701,0
1754018100000,2025-08-01 03:15:00,2.583,2.593,2.583,2.593,395.55,1754018999999,1024.43517,24,312.04,808.20071,0
1754019000000,2025-08-01 03:30:00,2.59,2.592,2.584,2.584,1001.75,1754019899999,2593.7636,29,512.52,1327.40983,0
1754019900000,2025-08-01 03:45:00,2.588,2.59,2.583,2.585,485.13,1754020799999,1254.39012,23,232.26,601.11913,0
1754020800000,2025-08-01 04:00:00,2.585,2.586,2.568,2.575,634.95,1754021699999,1637.38709,38,305.86,788.12392,0
1754021700000,2025-08-01 04:15:00,2.572,2.573,2.568,2.572,137.66,1754022599999,354.00812,22,100.49,258.47096,0
1754022600000,2025-08-01 04:30:00,2.572,2.578,2.569,2.575,51.88,1754023499999,133.5518,13,20.55,52.96075,0
1754023500000,2025-08-01 04:45:00,2.575,2.575,2.569,2.569,93.68,1754024399999,240.99107,18,12.01,30.90513,0
1754024400000,2025-08-01 05:00:00,2.569,2.575,2.567,2.567,280.9,1754025299999,722.38354,36,187.31,481.71929,0
1754025300000,2025-08-01 05:15:00,2.567,2.567,2.552,2.558,2834.66,1754026199999,7265.53537,76,499.58,1277.77159,0
1754026200000,2025-08-01 05:30:00,2.558,2.568,2.549,2.559,209.16,1754027099999,535.62109,44,87.33,223.78822,0
1754027100000,2025-08-01 05:45:00,2.554,2.557,2.547,2.556,146.39,1754027999999,373.57998,33,51.42,131.26206,0
1754028000000,2025-08-01 06:00:00,2.554,2.56,2.539,2.546,644.57,1754028899999,1642.67056,72,481.04,1226.20634,0
1754028900000,2025-08-01 06:15:00,2.548,2.555,2.538,2.54,3109.86,1754029799999,7927.86853,119,2484.11,6335.63844,0
1754029800000,2025-08-01 06:30:00,2.546,2.55,2.531,2.532,4482.16,1754030699999,11385.65117,118,785.25,1996.43947,0
1754030700000,2025-08-01 06:45:00,2.533,2.559,2.533,2.556,492.52,1754031599999,1254.36637,41,482.2,1228.02441,0
1754031600000,2025-08-01 07:00:00,2.557,2.562,2.55,2.552,516.67,1754032499999,1320.16015,32,338.27,864.26281,0
1754032500000,2025-08-01 07:15:00,2.557,2.562,2.552,2.552,175.54,1754033399999,449.25822,29,120.61,308.8871,0
1754033400000,2025-08-01 07:30:00,2.55,2.556,2.544,2.553,2209.49,1754034299999,5638.0055,96,1215.34,3100.95273,0
1754034300000,2025-08-01 07:45:00,2.551,2.552,2.544,2.547,218.13,1754035199999,555.58461,37,133.05,338.94467,0
1754035200000,2025-08-01 08:00:00,2.545,2.545,2.505,2.511,4185.2,1754036099999,10568.79118,180,1693.35,4265.44062,0
1754036100000,2025-08-01 08:15:00,2.511,2.516,2.505,2.512,7190.3,1754036999999,18061.06025,246,416.71,1046.35806,0
1754037000000,2025-08-01 08:30:00,2.512,2.531,2.505,2.531,2813.68,1754037899999,7079.3326,128,1784.98,4494.17999,0
1754037900000,2025-08-01 08:45:00,2.529,2.535,2.523,2.523,957.8,1754038799999,2422.19554,70,427.85,1082.59295,0
