openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,3.139,3.151,3.138,3.147,1608.7,1753975799999,5064.3447,73,656.0,2064.909,0
1753975800000,2025-07-31 15:30:00,3.15,3.161,3.15,3.154,1766.4,1753976699999,5577.0261,97,339.8,1072.7326,0
1753976700000,2025-07-31 15:45:00,3.156,3.159,3.146,3.154,1224.0,1753977599999,3856.8351,94,314.8,992.7659,0
1753977600000,2025-07-31 16:00:00,3.152,3.163,3.148,3.16,2493.3,1753978499999,7870.1274,116,545.9,1723.0601,0
1753978500000,2025-07-31 16:15:00,3.162,3.172,3.16,3.169,3974.8,1753979399999,12586.1929,139,642.3,2031.5357,0
1753979400000,2025-07-31 16:30:00,3.169,3.194,3.169,3.187,4220.7,1753980299999,13454.2598,173,585.3,1865.8316,0
1753980300000,2025-07-31 16:45:00,3.188,3.188,3.174,3.18,1280.8,1753981199999,4072.1333,60,208.3,662.5067,0
1753981200000,2025-07-31 17:00:00,3.18,3.18,3.161,3.165,218.3,1753982099999,691.2102,37,31.4,99.4076,0
1753982100000,2025-07-31 17:15:00,3.166,3.172,3.148,3.154,2121.8,1753982999999,6703.8698,80,932.8,2946.7658,0
1753983000000,2025-07-31 17:30:00,3.154,3.165,3.149,3.153,887.0,1753983899999,2802.2456,53,606.8,1917.2784,0
1753983900000,2025-07-31 17:45:00,3.155,3.159,3.138,3.146,1021.0,1753984799999,3209.6961,67,799.8,2514.2074,0
1753984800000,2025-07-31 18:00:00,3.148,3.148,3.122,3.132,1959.6,1753985699999,6144.5005,86,757.2,2376.3086,0
1753985700000,2025-07-31 18:15:00,3.128,3.143,3.123,3.143,353.2,1753986599999,1106.4043,49,90.7,284.0685,0
1753986600000,2025-07-31 18:30:00,3.142,3.155,3.142,3.148,1102.2,1753987499999,3468.8715,52,159.0,500.8995,0
1753987500000,2025-07-31 18:45:00,3.149,3.153,3.131,3.137,1748.3,1753988399999,5485.1594,74,151.3,474.778,0
1753988400000,2025-07-31 19:00:00,3.138,3.141,3.119,3.119,11461.0,1753989299999,35878.285,193,1135.1,3551.098,0
1753989300000,2025-07-31 19:15:00,3.121,3.127,3.116,3.124,3751.2,1753990199999,11713.7454,112,1374.1,4291.7346,0
1753990200000,2025-07-31 19:30:00,3.124,3.126,3.113,3.121,2347.9,1753991099999,7322.8262,80,1358.4,4238.632,0
1753991100000,2025-07-31 19:45:00,3.123,3.126,3.111,3.114,3325.7,1753991999999,10373.1103,82,2010.0,6272.2586,0
1753992000000,2025-07-31 20:00:00,3.116,3.12,3.099,3.11,4493.8,1753992899999,13970.6044,122,3178.1,9881.0714,0
1753992900000,2025-07-31 20:15:00,3.11,3.121,3.102,3.11,1772.4,1753993799999,5512.2169,72,1346.3,4186.3258,0
1753993800000,2025-07-31 20:30:00,3.111,3.115,3.099,3.107,1437.7,1753994699999,4465.0781,64,534.8,1663.3051,0
1753994700000,2025-07-31 20:45:00,3.106,3.11,3.094,3.1,974.4,1753995599999,3022.1001,57,564.2,1750.0188,0
1753995600000,2025-07-31 21:00:00,3.099,3.105,3.09,3.096,2200.1,1753996499999,6813.9509,76,699.7,2167.4183,0
1753996500000,2025-07-31 21:15:00,3.093,3.099,3.088,3.097,560.7,1753997399999,1733.2553,50,137.6,425.333,0
1753997400000,2025-07-31 21:30:00,3.098,3.108,3.093,3.093,2389.6,1753998299999,7410.2546,91,1510.0,4683.7953,0
1753998300000,2025-07-31 21:45:00,3.093,3.094,3.057,3.081,5996.9,1753999199999,18447.1812,227,2529.6,7779.8327,0
1753999200000,2025-07-31 22:00:00,3.081,3.081,3.059,3.066,5383.8,1754000099999,16520.2245,175,2433.8,7474.7164,0
1754000100000,2025-07-31 22:15:00,3.067,3.076,3.06,3.066,1067.4,1754000999999,3272.1851,77,704.4,2159.4117,0
1754001000000,2025-07-31 22:30:00,3.062,3.062,3.049,3.054,3354.1,1754001899999,10244.1856,134,2296.0,7012.5057,0
1754001900000,2025-07-31 22:45:00,3.056,3.061,3.048,3.055,2938.4,1754002799999,8970.3699,125,1594.0,4866.2015,0
1754002800000,2025-07-31 23:00:00,3.055,3.072,3.055,3.067,2769.0,1754003699999,8490.0907,94,1794.6,5502.8293,0
1754003700000,2025-07-31 23:15:00,3.065,3.067,3.053,3.053,935.8,1754004599999,2864.1167,55,373.2,1142.3513,0
1754004600000,2025-07-31 23:30:00,3.052,3.052,3.03,3.041,7305.4,1754005499999,22217.9727,235,5273.2,16039.5217,0
1754005500000,2025-07-31 23:45:00,3.043,3.047,3.034,3.042,2069.4,1754006399999,6297.3653,85,1494.9,4549.6206,0
1754006400000,2025-08-01 00:00:00,3.043,3.046,3.013,3.019,7746.1,1754007299999,23439.2703,258,3940.4,11926.7216,0
1754007300000,2025-08-01 00:15:00,3.019,3.043,3.016,3.027,3738.5,1754008199999,11316.5403,183,2051.4,6210.468,0
1754008200000,2025-08-01 00:30:00,3.024,3.026,3.004,3.006,4442.0,1754009099999,13378.7878,129,949.0,2860.1554,0
1754009100000,2025-08-01 00:45:00,3.007,3.025,2.96,3.018,22965.0,1754009999999,68558.6847,630,10365.0,30906.9959,0
1754010000000,2025-08-01 01:00:00,3.014,3.031,2.984,2.984,9637.2,1754010899999,28997.3607,250,1417.5,4271.004,0
1754010900000,2025-08-01 01:15:00,2.992,3.007,2.984,3.001,1154.4,1754011799999,3461.863,72,358.8,1074.8958,0
1754011800000,2025-08-01 01:30:00,3.002,3.016,2.988,3.007,4786.7,1754012699999,14386.349,148,2776.3,8353.1924,0
1754012700000,2025-08-01 01:45:00,3.007,3.011,2.992,3.005,2050.1,1754013599999,6154.0298,80,1120.1,3364.2893,0
1754013600000,2025-08-01 02:00:00,3.002,3.025,2.994,3.023,1459.3,1754014499999,4388.088,101,759.5,2286.4302,0
1754014500000,2025-08-01 02:15:00,3.022,3.032,3.015,3.016,1648.4,1754015399999,4991.4344,87,411.2,1244.4071,0
1754015400000,2025-08-01 02:30:00,3.018,3.024,3.014,3.018,1214.9,1754016299999,3666.7771,71,874.2,2638.4593,0
1754016300000,2025-08-01 02:45:00,3.018,3.027,3.016,3.021,638.9,1754017199999,1930.37,45,48.8,147.3664,0
1754017200000,2025-08-01 03:00:00,3.023,3.027,3.018,3.02,1443.3,1754018099999,4362.1612,83,705.9,2133.1597,0
1754018100000,2025-08-01 03:15:00,3.019,3.034,3.019,3.031,1318.9,1754018999999,3997.8589,70,635.2,1925.7096,0
1754019000000,2025-08-01 03:30:00,3.03,3.033,3.022,3.025,882.6,1754019899999,2671.6921,48,450.2,1362.8589,0
1754019900000,2025-08-01 03:45:00,3.027,3.03,3.018,3.023,3266.0,1754020799999,9874.4739,115,2479.4,7494.942,0
1754020800000,2025-08-01 04:00:00,3.023,3.023,3.007,3.015,4243.4,1754021699999,12803.3476,163,3002.0,9058.5258,0
1754021700000,2025-08-01 04:15:00,3.015,3.016,3.005,3.008,1190.1,1754022599999,3581.8465,75,327.4,985.2244,0
1754022600000,2025-08-01 04:30:00,3.007,3.015,3.005,3.007,417.7,1754023499999,1257.1862,39,72.0,216.432,0
1754023500000,2025-08-01 04:45:00,3.005,3.007,2.994,2.995,1017.8,1754024399999,3052.3987,51,337.1,1010.4051,0
1754024400000,2025-08-01 05:00:00,2.993,3.002,2.993,2.998,582.5,1754025299999,1746.835,29,216.3,648.3381,0
1754025300000,2025-08-01 05:15:00,2.999,2.999,2.979,2.99,3325.1,1754026199999,9925.0468,65,1065.9,3182.0226,0
1754026200000,2025-08-01 05:30:00,2.988,2.992,2.97,2.975,4890.0,1754027099999,14556.6473,105,1576.0,4692.7851,0
1754027100000,2025-08-01 05:45:00,2.972,2.98,2.964,2.977,2938.1,1754027999999,8731.7559,70,1639.9,4872.831,0
1754028000000,2025-08-01 06:00:00,2.976,2.976,2.956,2.965,3361.7,1754028899999,9974.1893,91,806.8,2394.5813,0
