openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,13.05,13.05,12.95,12.97,1153.742,1753975799999,15008.27551,199,283.062,3682.61047,0
1753975800000,2025-07-31 15:30:00,12.94,13.05,12.94,13.02,681.445,1753976699999,8851.61058,110,236.079,3067.16205,0
1753976700000,2025-07-31 15:45:00,13.01,13.03,12.93,12.97,201.977,1753977599999,2617.77487,47,141.761,1837.59276,0
1753977600000,2025-07-31 16:00:00,12.97,13.21,12.97,13.19,7404.224,1753978499999,97206.95169,667,3935.003,51632.96468,0
1753978500000,2025-07-31 16:15:00,13.21,13.24,13.14,13.23,1326.923,1753979399999,17508.20422,199,188.789,2493.73869,0
1753979400000,2025-07-31 16:30:00,13.23,13.32,13.23,13.29,2094.279,1753980299999,27812.47596,314,438.172,5817.63287,0
1753980300000,2025-07-31 16:45:00,13.3,13.34,13.21,13.3,1676.958,1753981199999,22273.6362,261,929.083,12343.47823,0
1753981200000,2025-07-31 17:00:00,13.3,13.3,13.21,13.22,583.454,1753982099999,7733.16946,135,113.986,1513.12307,0
1753982100000,2025-07-31 17:15:00,13.22,13.26,13.12,13.14,825.562,1753982999999,10874.03757,124,390.096,5135.23111,0
1753983000000,2025-07-31 17:30:00,13.15,13.2,13.11,13.15,408.904,1753983899999,5381.1156,65,271.037,3568.52076,0
1753983900000,2025-07-31 17:45:00,13.15,13.16,13.07,13.08,445.568,1753984799999,5836.58089,77,228.217,2989.02769,0
1753984800000,2025-07-31 18:00:00,13.08,13.11,12.99,13.02,1163.424,1753985699999,15159.03691,173,715.354,9323.34693,0
1753985700000,2025-07-31 18:15:00,13.0,13.12,12.99,13.12,559.14,1753986599999,7293.03732,130,478.157,6235.61717,0
1753986600000,2025-07-31 18:30:00,13.13,13.15,13.09,13.09,255.465,1753987499999,3354.89977,52,119.274,1566.42225,0
1753987500000,2025-07-31 18:45:00,13.09,13.13,13.03,13.05,218.115,1753988399999,2853.14187,35,120.657,1579.13525,0
1753988400000,2025-07-31 19:00:00,13.06,13.06,12.96,12.96,296.875,1753989299999,3862.95074,46,227.809,2964.06752,0
1753989300000,2025-07-31 19:15:00,12.97,13.02,12.97,12.99,265.303,1753990199999,3450.11769,70,150.899,1962.73241,0
1753990200000,2025-07-31 19:30:00,12.99,13.01,12.96,12.98,226.993,1753991099999,2948.65428,64,116.871,1518.66832,0
1753991100000,2025-07-31 19:45:00,12.99,13.02,12.92,12.95,417.21,1753991999999,5407.69102,100,264.113,3424.79694,0
1753992000000,2025-07-31 20:00:00,12.95,12.95,12.82,12.85,776.282,1753992899999,10009.05617,204,478.486,6173.46791,0
1753992900000,2025-07-31 20:15:00,12.86,12.89,12.79,12.81,698.713,1753993799999,8978.69089,154,271.055,3483.44142,0
1753993800000,2025-07-31 20:30:00,12.83,12.85,12.76,12.81,510.416,1753994699999,6534.69529,110,284.139,3638.43305,0
1753994700000,2025-07-31 20:45:00,12.81,12.82,12.76,12.8,252.067,1753995599999,3228.62362,62,127.323,1630.63627,0
1753995600000,2025-07-31 21:00:00,12.8,12.81,12.74,12.77,4635.072,1753996499999,59189.52036,687,1128.43,14418.19885,0
1753996500000,2025-07-31 21:15:00,12.76,12.78,12.68,12.74,11098.08,1753997399999,141284.90654,2653,2090.129,26619.68691,0
1753997400000,2025-07-31 21:30:00,12.75,12.82,12.71,12.78,7683.533,1753998299999,98172.58937,1702,438.914,5614.29242,0
1753998300000,2025-07-31 21:45:00,12.78,12.78,12.6,12.68,11788.367,1753999199999,149452.92189,2998,1854.252,23500.53551,0
1753999200000,2025-07-31 22:00:00,12.68,12.68,12.55,12.59,6146.689,1754000099999,77445.51172,1467,1278.065,16108.75435,0
1754000100000,2025-07-31 22:15:00,12.58,12.62,12.52,12.55,2064.549,1754000999999,25945.14196,355,1118.274,14050.94844,0
1754001000000,2025-07-31 22:30:00,12.55,12.55,12.47,12.49,1850.427,1754001899999,23144.16231,261,1112.84,13924.20953,0
1754001900000,2025-07-31 22:45:00,12.49,12.55,12.48,12.53,3366.414,1754002799999,42116.8035,307,1321.597,16535.7657,0
1754002800000,2025-07-31 23:00:00,12.53,12.62,12.53,12.58,1917.321,1754003699999,24068.97137,284,712.717,8955.11206,0
1754003700000,2025-07-31 23:15:00,12.56,12.58,12.52,12.55,1480.634,1754004599999,18580.43742,210,450.065,5648.08744,0
1754004600000,2025-07-31 23:30:00,12.55,12.58,12.53,12.55,5345.12,1754005499999,67116.22216,913,2707.854,34016.60466,0
1754005500000,2025-07-31 23:45:00,12.55,12.59,12.53,12.58,811.895,1754006399999,10198.57553,228,318.225,3999.65446,0
1754006400000,2025-08-01 00:00:00,12.57,12.57,12.41,12.44,2695.366,1754007299999,33649.15798,681,1451.971,18107.54789,0
1754007300000,2025-08-01 00:15:00,12.45,12.55,12.45,12.54,3409.105,1754008199999,42689.73401,670,1542.995,19318.90868,0
1754008200000,2025-08-01 00:30:00,12.54,12.54,12.35,12.41,3459.77,1754009099999,42975.04886,638,2002.02,24875.53387,0
1754009100000,2025-08-01 00:45:00,12.4,12.5,12.22,12.47,10036.143,1754009999999,123577.90361,2323,5955.693,73287.14313,0
1754010000000,2025-08-01 01:00:00,12.47,12.52,12.38,12.38,3772.422,1754010899999,47084.57757,596,1705.554,21281.76331,0
1754010900000,2025-08-01 01:15:00,12.39,12.45,12.32,12.45,5987.767,1754011799999,74188.96781,1143,2852.712,35333.76516,0
1754011800000,2025-08-01 01:30:00,12.46,12.48,12.37,12.41,4006.407,1754012699999,49815.94514,747,1652.072,20527.02763,0
1754012700000,2025-08-01 01:45:00,12.4,12.41,12.33,12.39,1425.814,1754013599999,17655.57796,298,805.519,9972.66117,0
1754013600000,2025-08-01 02:00:00,12.38,12.44,12.34,12.44,1121.955,1754014499999,13908.07645,345,589.71,7313.66171,0
1754014500000,2025-08-01 02:15:00,12.44,12.5,12.43,12.44,543.696,1754015399999,6775.77787,164,217.079,2703.81225,0
1754015400000,2025-08-01 02:30:00,12.45,12.49,12.42,12.45,376.973,1754016299999,4693.06765,118,164.475,2046.79635,0
1754016300000,2025-08-01 02:45:00,12.45,12.47,12.36,12.4,8866.853,1754017199999,110016.12595,764,1811.682,22472.21243,0
1754017200000,2025-08-01 03:00:00,12.41,12.45,12.39,12.4,860.886,1754018099999,10689.62331,171,473.377,5880.04654,0
1754018100000,2025-08-01 03:15:00,12.41,12.52,12.4,12.52,1675.199,1754018999999,20909.24432,198,1417.256,17697.51537,0
1754019000000,2025-08-01 03:30:00,12.52,12.52,12.46,12.48,449.935,1754019899999,5624.59851,94,146.473,1830.3975,0
1754019900000,2025-08-01 03:45:00,12.47,12.49,12.42,12.44,465.8,1754020799999,5797.61355,126,147.266,1831.54833,0
1754020800000,2025-08-01 04:00:00,12.44,12.44,12.38,12.4,669.493,1754021699999,8307.51596,158,272.14,3376.05949,0
1754021700000,2025-08-01 04:15:00,12.4,12.4,12.37,12.38,311.851,1754022599999,3860.45081,68,205.3,2541.44091,0
1754022600000,2025-08-01 04:30:00,12.37,12.42,12.36,12.39,260.49,1754023499999,3228.59612,79,88.023,1091.59923,0
1754023500000,2025-08-01 04:45:00,12.39,12.42,12.37,12.39,877.709,1754024399999,10879.6395,101,255.456,3167.71953,0
1754024400000,2025-08-01 05:00:00,12.38,12.46,12.38,12.45,675.964,1754025299999,8405.15997,141,512.993,6380.22185,0
1754025300000,2025-08-01 05:15:00,12.45,12.46,12.41,12.43,1632.068,1754026199999,20292.04528,206,831.418,10337.73128,0
1754026200000,2025-08-01 05:30:00,12.43,12.44,12.37,12.38,640.475,1754027099999,7942.51999,186,304.797,3780.95544,0
1754027100000,2025-08-01 05:45:00,12.36,12.37,12.33,12.36,316.541,1754027999999,3909.77296,103,156.435,1932.91118,0
1754028000000,2025-08-01 06:00:00,12.36,12.37,12.27,12.29,760.257,1754028899999,9364.51864,239,504.059,6212.75811,0
1754028900000,2025-08-01 06:15:00,12.29,12.32,12.26,12.27,378.732,1754029799999,4652.04764,101,249.551,3066.43218,0
1754029800000,2025-08-01 06:30:00,12.29,12.31,12.26,12.27,793.14,1754030699999,9734.51044,213,369.054,4526.75953,0
1754030700000,2025-08-01 06:45:00,12.27,12.38,12.27,12.38,578.43,1754031599999,7127.54696,132,257.393,3174.59407,0
1754031600000,2025-08-01 07:00:00,12.38,12.48,12.38,12.45,876.174,1754032499999,10897.08313,208,581.473,7235.01975,0
1754032500000,2025-08-01 07:15:00,12.46,12.49,12.42,12.42,3269.585,1754033399999,40733.20086,288,1193.081,14860.40635,0
1754033400000,2025-08-01 07:30:00,12.43,12.45,12.39,12.43,466.664,1754034299999,5795.91185,117,171.616,2132.63995,0
1754034300000,2025-08-01 07:45:00,12.43,12.44,12.4,12.44,735.895,1754035199999,9145.88841,168,405.598,5041.23491,0
1754035200000,2025-08-01 08:00:00,12.44,12.44,12.24,12.33,2294.337,1754036099999,28286.04092,607,1631.484,20112.81807,0
1754036100000,2025-08-01 08:15:00,12.32,12.38,12.29,12.32,614.652,1754036999999,7587.80927,155,323.625,3999.75253,0
1754037000000,2025-08-01 08:30:00,12.32,12.42,12.29,12.39,1719.013,1754037899999,21264.59129,295,1280.924,15858.20003,0
1754037900000,2025-08-01 08:45:00,12.38,12.41,12.33,12.33,355.648,1754038799999,4402.68942,111,47.604,589.93361,0
1754038800000,2025-08-01 09:00:00,12.32,12.43,12.32,12.35,2276.106,1754039699999,28227.89291,318,1612.385,20010.16979,0
1754039700000,2025-08-01 09:15:00,12.34,12.39,12.34,12.34,740.872,1754040599999,9162.36705,171,438.723,5429.22554,0
1754040600000,2025-08-01 09:30:00,12.35,12.36,12.31,12.33,297.001,1754041499999,3660.67461,113,137.681,1697.0321,0
1754041500000,2025-08-01 09:45:00,12.32,12.33,12.26,12.26,470.669,1754042399999,5785.11098,143,98.34,1209.39066,0
1754042400000,2025-08-01 10:00:00,12.27,12.31,12.24,12.31,438.284,1754043299999,5371.68204,111,274.27,3361.92322,0
1754043300000,2025-08-01 10:15:00,12.31,12.32,12.26,12.27,554.851,1754044199999,6814.85591,164,190.292,2335.94682,0
1754044200000,2025-08-01 10:30:00,12.26,12.3,12.26,12.29,171.856,1754045099999,2109.76948,109,72.436,889.6709,0
1754045100000,2025-08-01 10:45:00,12.29,12.3,12.26,12.28,196.309,1754045999999,2409.46523,122,64.174,787.59494,0
1754046000000,2025-08-01 11:00:00,12.28,12.29,12.25,12.29,363.027,1754046899999,4452.01712,134,135.125,1657.89174,0
