openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.28,0.282,0.279,0.28,19995.8,1753975799999,5611.5617,92,13602.9,3821.5562,0
1753975800000,2025-07-31 15:30:00,0.28,0.282,0.28,0.282,23826.2,1753976699999,6681.8505,80,7634.1,2147.9267,0
1753976700000,2025-07-31 15:45:00,0.281,0.282,0.28,0.282,27710.7,1753977599999,7776.9705,85,11175.9,3140.8092,0
1753977600000,2025-07-31 16:00:00,0.281,0.282,0.28,0.281,25054.1,1753978499999,7044.8446,107,13315.9,3746.433,0
1753978500000,2025-07-31 16:15:00,0.282,0.284,0.282,0.284,16930.0,1753979399999,4797.024,101,10942.0,3101.6245,0
1753979400000,2025-07-31 16:30:00,0.284,0.289,0.284,0.288,46308.7,1753980299999,13321.8105,141,35132.5,10129.6907,0
1753980300000,2025-07-31 16:45:00,0.288,0.288,0.285,0.287,7483.8,1753981199999,2142.4937,64,3523.4,1007.8579,0
1753981200000,2025-07-31 17:00:00,0.287,0.287,0.284,0.285,11508.5,1753982099999,3279.316,83,6718.6,1915.06,0
1753982100000,2025-07-31 17:15:00,0.284,0.286,0.283,0.283,10700.6,1753982999999,3042.5329,63,3794.4,1081.0191,0
1753983000000,2025-07-31 17:30:00,0.284,0.287,0.283,0.284,99142.1,1753983899999,28301.3636,212,73902.4,21087.9126,0
1753983900000,2025-07-31 17:45:00,0.285,0.285,0.281,0.281,33680.0,1753984799999,9516.6414,101,8605.4,2427.1254,0
1753984800000,2025-07-31 18:00:00,0.281,0.282,0.279,0.279,19352.7,1753985699999,5414.1497,111,6341.8,1777.787,0
1753985700000,2025-07-31 18:15:00,0.28,0.281,0.278,0.281,22850.3,1753986599999,6388.9863,139,11673.7,3267.8716,0
1753986600000,2025-07-31 18:30:00,0.28,0.282,0.28,0.282,8233.3,1753987499999,2317.8823,77,7469.3,2103.3519,0
1753987500000,2025-07-31 18:45:00,0.282,0.283,0.28,0.282,20698.8,1753988399999,5825.4264,95,11973.3,3375.099,0
1753988400000,2025-07-31 19:00:00,0.281,0.282,0.279,0.279,4056.2,1753989299999,1136.693,61,1204.8,338.8281,0
1753989300000,2025-07-31 19:15:00,0.279,0.281,0.279,0.28,1793.2,1753990199999,502.0943,66,1070.2,299.8371,0
1753990200000,2025-07-31 19:30:00,0.281,0.281,0.279,0.28,27106.8,1753991099999,7599.0678,63,14960.6,4201.0902,0
1753991100000,2025-07-31 19:45:00,0.28,0.281,0.279,0.28,2618.2,1753991999999,732.8556,42,1193.2,335.0597,0
1753992000000,2025-07-31 20:00:00,0.279,0.28,0.276,0.278,96902.5,1753992899999,26926.0695,136,42872.8,11913.3528,0
