openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.3676,0.3687,0.3665,0.3675,64014.2,1753975799999,23550.40897,318,29496.0,10861.10984,0
1753975800000,2025-07-31 15:30:00,0.3674,0.3731,0.3674,0.3719,118224.8,1753976699999,43843.82252,607,74687.4,27684.34456,0
1753976700000,2025-07-31 15:45:00,0.3718,0.3742,0.3689,0.37,86311.1,1753977599999,32000.51303,471,34520.4,12786.70981,0
1753977600000,2025-07-31 16:00:00,0.3699,0.3699,0.3678,0.3699,30484.2,1753978499999,11242.43124,198,11973.6,4414.90226,0
1753978500000,2025-07-31 16:15:00,0.3697,0.3722,0.3696,0.371,13998.1,1753979399999,5194.46342,165,9370.3,3476.46567,0
1753979400000,2025-07-31 16:30:00,0.371,0.376,0.3706,0.3748,59088.6,1753980299999,22109.83097,563,27174.5,10152.93215,0
1753980300000,2025-07-31 16:45:00,0.3748,0.3756,0.3707,0.3721,97961.5,1753981199999,36585.37363,533,54166.7,20237.53182,0
1753981200000,2025-07-31 17:00:00,0.3719,0.3722,0.3703,0.3711,45616.1,1753982099999,16922.39007,344,14538.8,5396.14146,0
1753982100000,2025-07-31 17:15:00,0.3712,0.3823,0.3686,0.3794,593655.3,1753982999999,223707.15314,2228,343334.9,129622.9662,0
1753983000000,2025-07-31 17:30:00,0.3796,0.3932,0.3796,0.3834,1015245.0,1753983899999,391904.27405,5133,578387.4,223286.29653,0
1753983900000,2025-07-31 17:45:00,0.3837,0.3855,0.3774,0.3828,381617.5,1753984799999,145490.35871,2256,199583.8,76100.26616,0
1753984800000,2025-07-31 18:00:00,0.3829,0.3879,0.3801,0.3847,123265.5,1753985699999,47400.2668,1235,81249.1,31265.59986,0
1753985700000,2025-07-31 18:15:00,0.3843,0.3903,0.3815,0.3851,318721.1,1753986599999,122979.15092,1598,151826.1,58629.48914,0
1753986600000,2025-07-31 18:30:00,0.3854,0.3863,0.3803,0.3809,124663.0,1753987499999,47842.71065,624,43988.3,16893.52932,0
1753987500000,2025-07-31 18:45:00,0.3808,0.3813,0.3767,0.3777,68488.6,1753988399999,25958.77618,522,26271.8,9967.12633,0
1753988400000,2025-07-31 19:00:00,0.3778,0.3804,0.3773,0.3775,61885.2,1753989299999,23448.26153,745,42140.8,15970.09117,0
1753989300000,2025-07-31 19:15:00,0.3776,0.381,0.3776,0.3784,36764.0,1753990199999,13954.38908,378,19831.7,7529.85918,0
1753990200000,2025-07-31 19:30:00,0.378,0.3833,0.3759,0.3833,65925.1,1753991099999,25031.04968,611,41195.4,15648.56612,0
1753991100000,2025-07-31 19:45:00,0.3829,0.3856,0.3806,0.3806,104191.7,1753991999999,39953.18138,792,47305.4,18141.34691,0
1753992000000,2025-07-31 20:00:00,0.3809,0.3851,0.3786,0.3851,76095.2,1753992899999,29063.14002,814,53075.0,20281.9002,0
1753992900000,2025-07-31 20:15:00,0.3845,0.3878,0.3799,0.3832,208858.9,1753993799999,80249.28843,1159,95226.4,36547.34024,0
1753993800000,2025-07-31 20:30:00,0.3835,0.3844,0.3793,0.3796,47577.9,1753994699999,18127.00633,293,15336.6,5854.08705,0
1753994700000,2025-07-31 20:45:00,0.3798,0.3853,0.3776,0.3841,187537.9,1753995599999,71762.99924,804,124988.6,47805.52446,0
1753995600000,2025-07-31 21:00:00,0.3837,0.3867,0.3827,0.3867,154192.8,1753996499999,59362.3765,762,107081.6,41246.52483,0
1753996500000,2025-07-31 21:15:00,0.3862,0.3877,0.3833,0.3851,64561.9,1753997399999,24905.52736,518,37377.4,14413.1938,0
1753997400000,2025-07-31 21:30:00,0.3851,0.3919,0.384,0.3868,266135.0,1753998299999,103320.48637,1267,163388.9,63395.27788,0
1753998300000,2025-07-31 21:45:00,0.3868,0.3945,0.3833,0.3883,330440.4,1753999199999,128535.98478,1693,173550.4,67651.54013,0
1753999200000,2025-07-31 22:00:00,0.3876,0.3885,0.379,0.3831,414073.0,1754000099999,158518.95877,1207,170105.1,65055.56202,0
1754000100000,2025-07-31 22:15:00,0.3827,0.3845,0.3807,0.3827,57139.9,1754000999999,21848.36525,385,24613.5,9400.26838,0
1754001000000,2025-07-31 22:30:00,0.3827,0.3858,0.3801,0.3852,43278.2,1754001899999,16527.08692,238,25651.1,9808.43894,0
1754001900000,2025-07-31 22:45:00,0.3855,0.3912,0.3845,0.3857,153221.3,1754002799999,59388.17915,920,75638.6,29341.96238,0
1754002800000,2025-07-31 23:00:00,0.3862,0.3862,0.383,0.3847,138403.4,1754003699999,53204.3573,733,68846.9,26458.16353,0
1754003700000,2025-07-31 23:15:00,0.3846,0.3857,0.3793,0.3796,169973.1,1754004599999,64850.59721,658,87520.5,33342.41446,0
1754004600000,2025-07-31 23:30:00,0.3795,0.38,0.3749,0.3781,193746.6,1754005499999,73074.7509,1144,75516.3,28499.63937,0
