openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.0728,0.073,0.0725,0.0729,404009.5,1753975799999,29390.95575,624,299451.5,21789.80397,0
1753975800000,2025-07-31 15:30:00,0.0728,0.0735,0.0727,0.0731,329222.5,1753976699999,24082.065,360,137893.1,10085.27287,0
1753976700000,2025-07-31 15:45:00,0.0731,0.0734,0.0727,0.0729,440982.0,1753977599999,32129.79566,383,212748.2,15504.00267,0
1753977600000,2025-07-31 16:00:00,0.0729,0.0731,0.0726,0.0729,365629.4,1753978499999,26623.14688,263,151135.5,11022.55857,0
1753978500000,2025-07-31 16:15:00,0.0729,0.0735,0.0728,0.0734,174628.2,1753979399999,12777.11208,233,61458.6,4496.39416,0
1753979400000,2025-07-31 16:30:00,0.0734,0.0744,0.0734,0.0741,500660.2,1753980299999,37077.78481,495,238955.8,17680.85504,0
1753980300000,2025-07-31 16:45:00,0.0741,0.0742,0.0734,0.0736,257932.1,1753981199999,19020.4872,296,97918.9,7217.02304,0
1753981200000,2025-07-31 17:00:00,0.0736,0.0736,0.0728,0.0731,170876.1,1753982099999,12490.01636,308,120777.3,8828.19754,0
1753982100000,2025-07-31 17:15:00,0.0731,0.0734,0.0724,0.0728,367589.2,1753982999999,26795.18347,454,226131.6,16492.94274,0
1753983000000,2025-07-31 17:30:00,0.0729,0.073,0.0724,0.0726,405691.3,1753983899999,29515.54121,428,217809.9,15866.08484,0
1753983900000,2025-07-31 17:45:00,0.0727,0.0729,0.072,0.0726,513997.2,1753984799999,37219.1152,669,380285.8,27539.76084,0
1753984800000,2025-07-31 18:00:00,0.0726,0.0726,0.0718,0.072,599703.3,1753985699999,43212.6207,525,346420.4,24968.45329,0
1753985700000,2025-07-31 18:15:00,0.0719,0.0728,0.0718,0.0728,411597.1,1753986599999,29683.12256,517,233895.6,16894.71575,0
1753986600000,2025-07-31 18:30:00,0.0727,0.0729,0.0726,0.0727,161971.6,1753987499999,11785.08856,194,68885.4,5014.15122,0
1753987500000,2025-07-31 18:45:00,0.0727,0.0729,0.0722,0.0724,157964.5,1753988399999,11445.81888,191,66898.0,4849.41137,0
1753988400000,2025-07-31 19:00:00,0.0724,0.0724,0.0718,0.0718,103722.3,1753989299999,7466.51261,155,60575.5,4359.53445,0
1753989300000,2025-07-31 19:15:00,0.0718,0.0722,0.0717,0.0721,126040.2,1753990199999,9076.18747,186,94437.1,6801.19552,0
1753990200000,2025-07-31 19:30:00,0.0721,0.0722,0.0717,0.0717,74854.5,1753991099999,5382.6232,135,27948.2,2010.9604,0
1753991100000,2025-07-31 19:45:00,0.0718,0.0719,0.0713,0.0716,240860.1,1753991999999,17241.68504,363,121863.8,8726.77701,0
1753992000000,2025-07-31 20:00:00,0.0716,0.0717,0.071,0.0714,1136411.4,1753992899999,81098.26979,695,325881.4,23274.49656,0
1753992900000,2025-07-31 20:15:00,0.0713,0.0717,0.071,0.0713,289862.2,1753993799999,20701.7595,184,188386.2,13450.21609,0
1753993800000,2025-07-31 20:30:00,0.0714,0.0715,0.0708,0.0711,492970.6,1753994699999,35076.21693,321,269715.4,19203.18777,0
1753994700000,2025-07-31 20:45:00,0.0712,0.0712,0.0708,0.0711,165148.7,1753995599999,11728.86821,184,75194.5,5341.6154,0
1753995600000,2025-07-31 21:00:00,0.071,0.0713,0.0708,0.0709,312751.6,1753996499999,22219.94807,255,135690.0,9641.24576,0
1753996500000,2025-07-31 21:15:00,0.0709,0.0711,0.0704,0.071,374355.2,1753997399999,26472.03233,367,298404.3,21113.06124,0
1753997400000,2025-07-31 21:30:00,0.0709,0.0713,0.0708,0.0709,114864.1,1753998299999,8164.70151,217,68398.9,4864.09288,0
1753998300000,2025-07-31 21:45:00,0.0709,0.0709,0.0693,0.0705,1279101.5,1753999199999,89408.80016,1250,514054.2,35924.09919,0
1753999200000,2025-07-31 22:00:00,0.0704,0.0705,0.0696,0.0699,211324.3,1754000099999,14787.16208,335,94572.9,6620.62329,0
1754000100000,2025-07-31 22:15:00,0.0698,0.0702,0.0696,0.0699,360663.9,1754000999999,25191.10254,496,253830.9,17731.09021,0
1754001000000,2025-07-31 22:30:00,0.0699,0.0699,0.0692,0.0695,336389.9,1754001899999,23357.02578,488,156493.0,10858.23977,0
1754001900000,2025-07-31 22:45:00,0.0696,0.0696,0.0693,0.0694,425808.0,1754002799999,29582.44593,299,213271.1,14819.05565,0
1754002800000,2025-07-31 23:00:00,0.0695,0.0698,0.0694,0.0696,408249.8,1754003699999,28406.10826,332,227846.3,15851.98131,0
1754003700000,2025-07-31 23:15:00,0.0695,0.0695,0.0692,0.0692,165365.2,1754004599999,11469.07557,227,82395.7,5718.81138,0
1754004600000,2025-07-31 23:30:00,0.0692,0.0692,0.0684,0.0688,985530.2,1754005499999,67849.9566,1074,527794.0,36331.20434,0
1754005500000,2025-07-31 23:45:00,0.0688,0.069,0.0686,0.0688,166634.2,1754006399999,11470.39929,216,53508.4,3682.88833,0
1754006400000,2025-08-01 00:00:00,0.0688,0.0689,0.0676,0.0678,922999.5,1754007299999,62952.7334,639,427876.6,29233.02938,0
1754007300000,2025-08-01 00:15:00,0.0679,0.0688,0.0674,0.0679,861994.4,1754008199999,58721.00161,566,338609.9,23046.3662,0
1754008200000,2025-08-01 00:30:00,0.0679,0.0681,0.0674,0.0676,582102.7,1754009099999,39442.23547,359,279028.0,18927.53038,0
1754009100000,2025-08-01 00:45:00,0.0676,0.0685,0.0666,0.0684,2534809.8,1754009999999,170279.72324,1450,1063232.0,71454.92111,0
1754010000000,2025-08-01 01:00:00,0.0684,0.0687,0.0677,0.0677,1358890.4,1754010899999,92965.4171,981,884998.9,60573.05297,0
1754010900000,2025-08-01 01:15:00,0.0678,0.068,0.0675,0.0678,351875.2,1754011799999,23877.10415,523,202502.5,13744.10978,0
1754011800000,2025-08-01 01:30:00,0.0678,0.0686,0.0676,0.0682,353208.0,1754012699999,24049.6988,355,229693.4,15624.01031,0
1754012700000,2025-08-01 01:45:00,0.0683,0.0684,0.0678,0.068,316974.5,1754013599999,21571.03991,323,237633.4,16170.65874,0
1754013600000,2025-08-01 02:00:00,0.0681,0.0686,0.0677,0.0684,407375.3,1754014499999,27742.2856,394,204496.0,13935.10813,0
1754014500000,2025-08-01 02:15:00,0.0684,0.069,0.0684,0.0687,629433.2,1754015399999,43183.64895,351,338433.3,23226.84699,0
1754015400000,2025-08-01 02:30:00,0.0685,0.069,0.0685,0.0688,174973.2,1754016299999,12029.79263,186,133631.4,9187.81843,0
1754016300000,2025-08-01 02:45:00,0.0688,0.069,0.0686,0.0689,149409.2,1754017199999,10288.73593,151,113805.7,7839.38216,0
1754017200000,2025-08-01 03:00:00,0.069,0.0691,0.0687,0.0687,211579.0,1754018099999,14581.59332,193,120478.2,8306.76004,0
1754018100000,2025-08-01 03:15:00,0.0687,0.0695,0.0686,0.0693,295345.8,1754018999999,20433.86528,225,255003.6,17645.59923,0
1754019000000,2025-08-01 03:30:00,0.0693,0.0695,0.0691,0.0694,267056.6,1754019899999,18513.04306,168,206345.8,14308.12977,0
1754019900000,2025-08-01 03:45:00,0.0695,0.0697,0.0693,0.0695,311270.2,1754020799999,21638.90099,190,196591.7,13667.43297,0
1754020800000,2025-08-01 04:00:00,0.0694,0.0694,0.0687,0.069,469110.1,1754021699999,32376.33275,272,165423.3,11413.33501,0
1754021700000,2025-08-01 04:15:00,0.0691,0.0691,0.0686,0.0689,409686.1,1754022599999,28202.69896,221,221677.3,15263.57056,0
1754022600000,2025-08-01 04:30:00,0.0688,0.0691,0.0686,0.0688,437402.4,1754023499999,30070.57347,199,205755.7,14160.61796,0
1754023500000,2025-08-01 04:45:00,0.0688,0.0688,0.0684,0.0685,251548.0,1754024399999,17234.77467,165,119824.7,8212.66037,0
1754024400000,2025-08-01 05:00:00,0.0685,0.0689,0.0684,0.0688,155430.8,1754025299999,10674.57699,133,110384.0,7579.80368,0
1754025300000,2025-08-01 05:15:00,0.0687,0.0687,0.0681,0.0685,256556.4,1754026199999,17540.04675,157,108773.9,7447.55419,0
1754026200000,2025-08-01 05:30:00,0.0684,0.0686,0.068,0.0681,314269.1,1754027099999,21455.09686,201,128025.1,8737.63958,0
1754027100000,2025-08-01 05:45:00,0.068,0.0682,0.0676,0.0681,349053.9,1754027999999,23704.7049,212,207489.3,14097.8636,0
1754028000000,2025-08-01 06:00:00,0.0681,0.0684,0.0677,0.068,321884.6,1754028899999,21924.77625,215,173654.5,11819.539,0
1754028900000,2025-08-01 06:15:00,0.068,0.0682,0.0677,0.0678,461724.8,1754029799999,31390.04145,204,185571.3,12618.73776,0
1754029800000,2025-08-01 06:30:00,0.0678,0.068,0.0674,0.0676,343375.5,1754030699999,23262.29227,173,151126.3,10243.06793,0
1754030700000,2025-08-01 06:45:00,0.0676,0.0684,0.0676,0.0684,480731.4,1754031599999,32801.50275,223,290383.7,19815.39897,0
1754031600000,2025-08-01 07:00:00,0.0683,0.0687,0.0681,0.0683,361643.9,1754032499999,24749.12653,234,211364.6,14479.72223,0
1754032500000,2025-08-01 07:15:00,0.0684,0.0688,0.0683,0.0684,199218.9,1754033399999,13664.38971,172,124215.9,8519.52102,0
1754033400000,2025-08-01 07:30:00,0.0684,0.0684,0.0675,0.0681,1020687.4,1754034299999,69226.58738,396,280898.7,19059.69413,0
1754034300000,2025-08-01 07:45:00,0.0682,0.0683,0.0676,0.0682,817732.4,1754035199999,55639.86644,299,389150.2,26474.83646,0
1754035200000,2025-08-01 08:00:00,0.0681,0.0681,0.0666,0.0671,946500.3,1754036099999,63534.29748,509,373989.6,25129.07387,0
1754036100000,2025-08-01 08:15:00,0.0672,0.0676,0.067,0.0673,298007.3,1754036999999,20073.41957,306,161338.5,10863.62795,0
1754037000000,2025-08-01 08:30:00,0.0673,0.0683,0.0671,0.0681,496754.1,1754037899999,33569.71596,353,230624.3,15540.42643,0
1754037900000,2025-08-01 08:45:00,0.0681,0.0688,0.068,0.0681,2077660.9,1754038799999,142224.60947,702,1366324.1,93526.04221,0
1754038800000,2025-08-01 09:00:00,0.0681,0.069,0.0679,0.068,1252579.1,1754039699999,85906.39591,573,754011.5,51754.58887,0
1754039700000,2025-08-01 09:15:00,0.0679,0.0684,0.0678,0.0681,535637.4,1754040599999,36440.30313,278,229968.3,15657.6588,0
1754040600000,2025-08-01 09:30:00,0.0681,0.0683,0.0678,0.0683,282209.2,1754041499999,19215.60021,164,164432.5,11198.0703,0
1754041500000,2025-08-01 09:45:00,0.0683,0.0683,0.0676,0.0677,305828.0,1754042399999,20737.11536,167,102609.5,6962.57645,0
1754042400000,2025-08-01 10:00:00,0.0677,0.0682,0.0676,0.0681,325532.9,1754043299999,22132.74466,153,208521.9,14185.8501,0
1754043300000,2025-08-01 10:15:00,0.0681,0.0682,0.0679,0.0681,181453.2,1754044199999,12345.35363,118,134301.3,9138.09659,0
1754044200000,2025-08-01 10:30:00,0.068,0.0683,0.0679,0.0682,493163.9,1754045099999,33561.31223,187,162988.4,11092.31161,0
1754045100000,2025-08-01 10:45:00,0.0682,0.0682,0.0676,0.0677,187267.7,1754045999999,12700.41777,148,75594.9,5129.54692,0
1754046000000,2025-08-01 11:00:00,0.0677,0.0678,0.0674,0.0677,240550.3,1754046899999,16255.71639,163,143287.2,9688.20035,0
1754046900000,2025-08-01 11:15:00,0.0677,0.0677,0.0673,0.0675,343802.7,1754047799999,23225.61286,153,217732.6,14710.44764,0
1754047800000,2025-08-01 11:30:00,0.0675,0.068,0.0674,0.0678,372780.1,1754048699999,25272.06363,169,90059.9,6103.07331,0
1754048700000,2025-08-01 11:45:00,0.0678,0.0683,0.0678,0.0679,308443.4,1754049599999,20994.41826,148,158019.3,10751.51094,0
1754049600000,2025-08-01 12:00:00,0.068,0.0687,0.0679,0.0683,232443.0,1754050499999,15877.37066,155,125465.1,8566.61926,0
1754050500000,2025-08-01 12:15:00,0.0682,0.0682,0.0679,0.0681,112259.7,1754051399999,7640.65514,91,57638.1,3920.97869,0
1754051400000,2025-08-01 12:30:00,0.0682,0.069,0.0678,0.0687,1117696.5,1754052299999,76407.81797,487,548749.6,37587.01445,0
1754052300000,2025-08-01 12:45:00,0.0687,0.0688,0.0682,0.0686,295121.5,1754053199999,20233.09711,214,156508.6,10729.66839,0
1754053200000,2025-08-01 13:00:00,0.0686,0.069,0.0685,0.0688,254116.8,1754054099999,17489.69998,150,189055.3,13012.67066,0
1754054100000,2025-08-01 13:15:00,0.0687,0.0691,0.0683,0.0685,267726.7,1754054999999,18357.81864,189,204637.4,14024.61005,0
1754055000000,2025-08-01 13:30:00,0.0684,0.0687,0.0676,0.0676,518097.1,1754055899999,35242.85306,237,114880.8,7863.29386,0
1754055900000,2025-08-01 13:45:00,0.0677,0.0677,0.0664,0.0669,1206625.0,1754056799999,80842.45999,569,404747.8,27162.78255,0
1754056800000,2025-08-01 14:00:00,0.0669,0.0679,0.0665,0.0678,469758.9,1754057699999,31573.41763,358,253697.2,17045.31185,0
1754057700000,2025-08-01 14:15:00,0.0678,0.0689,0.0678,0.0689,454868.6,1754058599999,31144.01806,296,203096.7,13903.84946,0
1754058600000,2025-08-01 14:30:00,0.0689,0.0692,0.0686,0.0686,511754.9,1754059499999,35251.91359,268,252239.3,17379.79932,0
1754059500000,2025-08-01 14:45:00,0.0686,0.069,0.0686,0.0688,221418.8,1754060399999,15247.73664,202,106120.4,7308.19836,0
1754060400000,2025-08-01 15:00:00,0.0688,0.0688,0.0683,0.0684,338148.6,1754061299999,23174.26526,243,180697.9,12387.09914,0
1754061300000,2025-08-01 15:15:00,0.0684,0.0685,0.0678,0.0681,251120.9,1754062199999,17106.97208,234,113713.6,7743.86065,0
