openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.1057,0.1063,0.1056,0.1063,37149.2,1753975799999,3938.4836,113,15877.8,1683.64498,0
1753975800000,2025-07-31 15:30:00,0.1061,0.1079,0.106,0.1071,499039.9,1753976699999,53500.48331,443,316074.6,33900.0093,0
1753976700000,2025-07-31 15:45:00,0.1071,0.1077,0.1065,0.107,111596.7,1753977599999,11953.19754,146,87345.4,9357.33149,0
1753977600000,2025-07-31 16:00:00,0.107,0.1076,0.1066,0.1072,264297.8,1753978499999,28307.42582,250,200903.2,21530.17717,0
1753978500000,2025-07-31 16:15:00,0.1072,0.1084,0.1072,0.1082,297778.7,1753979399999,32132.21978,217,145188.6,15687.82745,0
1753979400000,2025-07-31 16:30:00,0.108,0.1096,0.108,0.1089,356411.9,1753980299999,38853.10133,265,178780.3,19495.95086,0
1753980300000,2025-07-31 16:45:00,0.1088,0.1089,0.1079,0.1083,121512.7,1753981199999,13187.81135,127,46507.1,5045.28515,0
1753981200000,2025-07-31 17:00:00,0.1084,0.1084,0.1073,0.1077,162495.2,1753982099999,17491.89238,183,75606.1,8140.84017,0
1753982100000,2025-07-31 17:15:00,0.1078,0.1085,0.1069,0.1072,179071.0,1753982999999,19283.92247,201,101340.6,10918.02919,0
1753983000000,2025-07-31 17:30:00,0.1073,0.1078,0.1068,0.1072,67315.9,1753983899999,7220.36526,109,22925.9,2463.86069,0
1753983900000,2025-07-31 17:45:00,0.1073,0.1075,0.1064,0.1069,244690.9,1753984799999,26151.46254,223,164987.9,17639.90383,0
1753984800000,2025-07-31 18:00:00,0.1068,0.1069,0.1054,0.1061,276518.5,1753985699999,29311.22029,236,96324.1,10212.34735,0
1753985700000,2025-07-31 18:15:00,0.1061,0.1066,0.1055,0.1066,303525.5,1753986599999,32258.57808,177,81021.1,8593.12103,0
1753986600000,2025-07-31 18:30:00,0.1066,0.1071,0.1065,0.1066,48565.3,1753987499999,5186.18158,98,15645.8,1670.06768,0
1753987500000,2025-07-31 18:45:00,0.1066,0.107,0.1058,0.1063,128460.6,1753988399999,13670.53907,210,105774.0,11258.73143,0
1753988400000,2025-07-31 19:00:00,0.1063,0.1065,0.1055,0.1055,71233.2,1753989299999,7530.08165,95,35247.3,3727.60902,0
1753989300000,2025-07-31 19:15:00,0.1055,0.1064,0.1055,0.106,54383.9,1753990199999,5766.16645,95,34029.3,3610.01415,0
1753990200000,2025-07-31 19:30:00,0.1061,0.1067,0.1057,0.1061,241264.4,1753991099999,25634.21941,177,200855.4,21350.70892,0
1753991100000,2025-07-31 19:45:00,0.1063,0.1064,0.1057,0.1057,69280.1,1753991999999,7340.43594,110,42423.6,4496.57565,0
1753992000000,2025-07-31 20:00:00,0.1058,0.1059,0.1045,0.1049,519960.6,1753992899999,54530.42776,263,204560.0,21432.99327,0
1753992900000,2025-07-31 20:15:00,0.1049,0.1058,0.1046,0.105,160000.1,1753993799999,16823.40942,143,52888.4,5568.39635,0
1753993800000,2025-07-31 20:30:00,0.105,0.1053,0.1046,0.1049,120787.4,1753994699999,12664.21604,120,70526.9,7397.12283,0
1753994700000,2025-07-31 20:45:00,0.105,0.1052,0.1045,0.105,47367.9,1753995599999,4971.04198,80,16966.1,1781.06716,0
1753995600000,2025-07-31 21:00:00,0.1049,0.1053,0.1044,0.1047,125684.0,1753996499999,13164.38675,133,38691.9,4055.14592,0
