openTime,open,high,low,close,volumn,closeTime,quote_volumn,count,taker_buy_volumn,taker_buy_quote_volumn,ignore
2025-08-24 11:30:00,14.91,14.93,14.87,14.88,699.387,1756035899999,10425.60156,210,252.355,3761.26359,0
2025-08-24 11:45:00,14.89,14.92,14.86,14.9,1197.632,1756036799999,17837.49252,113,533.999,7959.94163,0
2025-08-24 12:00:00,14.88,14.94,14.87,14.91,456.401,1756037699999,6798.78522,164,171.736,2558.11849,0
2025-08-24 12:15:00,14.91,14.95,14.91,14.94,1315.912,1756038599999,19640.51931,170,979.78,14626.99503,0
2025-08-24 12:30:00,14.95,14.99,14.93,14.99,1124.165,1756039499999,16822.99457,147,564.707,8457.43203,0
2025-08-24 12:45:00,14.98,14.98,14.93,14.97,649.133,1756040399999,9708.85157,97,236.953,3542.89971,0
2025-08-24 13:00:00,14.96,15.07,14.95,15.07,1982.871,1756041299999,29793.71194,297,1493.86,22453.07784,0
2025-08-24 13:15:00,15.08,15.15,15.07,15.14,1219.167,1756042199999,18425.98884,240,516.702,7815.03912,0
2025-08-24 13:30:00,15.14,15.15,15.01,15.01,1891.855,1756043099999,28507.4462,341,798.407,12028.68299,0
2025-08-24 13:45:00,15.02,15.07,15.02,15.04,1230.026,1756043999999,18500.17432,234,798.242,12006.76649,0
2025-08-24 14:00:00,15.04,15.04,14.98,15.02,770.91,1756044899999,11574.53012,158,372.65,5596.11298,0
2025-08-24 14:15:00,15.02,15.08,15.02,15.02,578.343,1756045799999,8703.98397,131,298.234,4489.49005,0
2025-08-24 14:30:00,15.01,15.04,14.99,15.01,1544.712,1756046699999,23180.7304,294,729.027,10944.32271,0
2025-08-24 14:45:00,15.02,15.11,15.02,15.08,1379.509,1756047599999,20764.8277,284,888.073,13358.3004,0
2025-08-24 15:00:00,15.08,15.19,15.05,15.17,1201.475,1756048499999,18179.98372,254,622.296,9412.71781,0
2025-08-24 15:15:00,15.17,15.2,15.15,15.16,1246.537,1756049399999,18909.00611,445,296.458,4497.72477,0
2025-08-24 15:30:00,15.17,15.18,15.1,15.11,1335.657,1756050299999,20223.22493,282,431.873,6539.17207,0
2025-08-24 15:45:00,15.12,15.12,15.05,15.06,820.611,1756051199999,12369.22063,174,157.804,2381.57546,0
2025-08-24 16:00:00,15.05,15.16,15.05,15.12,2608.868,1756052099999,39462.83225,463,1597.805,24166.68701,0
2025-08-24 16:15:00,15.13,15.13,15.06,15.06,751.26,1756052999999,11339.50489,110,146.078,2206.53507,0
2025-08-24 16:30:00,15.07,15.13,15.01,15.07,799.75,1756053899999,12054.94589,182,287.212,4329.92503,0
2025-08-24 16:45:00,15.06,15.1,15.05,15.08,464.909,1756054799999,7013.64889,137,146.018,2202.76969,0
2025-08-24 17:00:00,15.09,15.18,15.08,15.17,1066.096,1756055699999,16113.61471,252,573.935,8673.90285,0
2025-08-24 17:15:00,15.18,15.19,15.11,15.14,1086.861,1756056599999,16459.2646,217,320.256,4853.84947,0
2025-08-24 17:30:00,15.14,15.37,15.11,15.34,2591.337,1756057499999,39491.95539,529,937.372,14287.75982,0
2025-08-24 17:45:00,15.34,15.42,15.3,15.4,3556.419,1756058399999,54661.09328,722,1965.781,30221.27453,0
2025-08-24 18:00:00,15.4,15.92,15.38,15.91,12649.128,1756059299999,198091.60315,2270,6930.382,108655.19916,0
2025-08-24 18:15:00,15.91,16.36,15.87,16.29,17653.745,1756060199999,284592.85072,2572,9745.758,157185.75295,0
2025-08-24 18:30:00,16.28,16.39,16.06,16.27,17992.146,1756061099999,291869.47404,1936,9294.113,150758.38242,0
2025-08-24 18:45:00,16.29,16.42,16.14,16.18,6299.381,1756061999999,102467.26398,1102,2510.032,40857.72676,0
2025-08-24 19:00:00,16.18,16.26,16.02,16.1,6721.695,1756062899999,108510.05313,936,3226.686,52110.27736,0
2025-08-24 19:15:00,16.09,16.13,16.01,16.03,2259.29,1756063799999,36330.88619,323,964.297,15521.54943,0
2025-08-24 19:30:00,16.03,16.03,15.29,15.71,28249.146,1756064699999,441066.90323,6782,13305.708,207470.50273,0
2025-08-24 19:45:00,15.71,15.72,15.42,15.66,11053.459,1756065599999,172099.23793,3395,4761.028,74134.50898,0
2025-08-24 20:00:00,15.68,15.69,15.21,15.41,20019.824,1756066499999,309006.16018,3965,10047.788,155107.85131,0
2025-08-24 20:15:00,15.42,15.59,15.41,15.49,5526.049,1756067399999,85656.73833,882,3321.941,51495.15025,0
2025-08-24 20:30:00,15.5,15.62,15.46,15.6,3844.026,1756068299999,59664.96491,521,1810.08,28108.88947,0
2025-08-24 20:45:00,15.61,15.61,15.43,15.43,1524.889,1756069199999,23663.91143,415,569.855,8839.55542,0
2025-08-24 21:00:00,15.44,15.47,15.28,15.37,4908.028,1756070099999,75328.42443,1007,2558.913,39270.49889,0
2025-08-24 21:15:00,15.38,15.39,15.32,15.37,2666.476,1756070999999,40958.36571,312,2205.645,33886.46779,0
2025-08-24 21:30:00,15.36,15.58,15.36,15.42,2504.998,1756071899999,38798.4565,431,1289.585,19972.99284,0
2025-08-24 21:45:00,15.42,15.45,15.28,15.29,1984.712,1756072799999,30500.40301,377,798.624,12269.83322,0
2025-08-24 22:00:00,15.3,15.33,15.21,15.28,1154.688,1756073699999,17628.06681,355,553.12,8444.38658,0
2025-08-24 22:15:00,15.26,15.27,15.07,15.08,3004.453,1756074599999,45542.08622,552,745.281,11297.04694,0
2025-08-24 22:30:00,15.09,15.16,15.07,15.15,2807.98,1756075499999,42435.74177,445,909.42,13751.259,0
2025-08-24 22:45:00,15.15,15.23,15.09,15.2,1478.678,1756076399999,22413.92937,272,669.369,10154.77854,0
2025-08-24 23:00:00,15.21,15.27,15.18,15.21,1513.708,1756077299999,23019.69138,254,515.344,7839.20656,0
2025-08-24 23:15:00,15.22,15.26,15.2,15.24,1022.23,1756078199999,15567.8645,185,430.539,6559.25942,0
2025-08-24 23:30:00,15.23,15.24,15.17,15.21,1581.126,1756079099999,24032.85231,198,697.692,10607.32146,0
2025-08-24 23:45:00,15.21,15.24,15.1,15.12,1414.169,1756079999999,21442.2273,153,928.006,14079.86153,0
2025-08-25 00:00:00,15.12,15.23,15.11,15.2,1785.868,1756080899999,27120.58882,403,626.56,9515.4232,0
2025-08-25 00:15:00,15.21,15.23,15.11,15.13,1155.248,1756081799999,17511.14858,163,515.727,7820.47604,0
2025-08-25 00:30:00,15.11,15.11,14.85,14.93,3253.773,1756082699999,48723.7947,630,1312.048,19636.68983,0
2025-08-25 00:45:00,14.94,15.04,14.91,15.02,1149.844,1756083599999,17223.8337,272,708.401,10613.70104,0
2025-08-25 01:00:00,15.0,15.08,15.0,15.07,743.063,1756084499999,11179.22973,128,320.501,4822.66152,0
2025-08-25 01:15:00,15.07,15.24,15.02,15.19,2379.637,1756085399999,36051.65714,449,1547.761,23444.70434,0
2025-08-25 01:30:00,15.2,15.25,15.11,15.11,2131.65,1756086299999,32383.69241,278,1153.418,17532.68971,0
2025-08-25 01:45:00,15.13,15.2,15.13,15.16,983.094,1756087199999,14913.50867,177,461.788,7006.4886,0
2025-08-25 02:00:00,15.16,15.26,15.15,15.23,1459.852,1756088099999,22223.94168,244,579.125,8817.61462,0
2025-08-25 02:15:00,15.24,15.32,15.21,15.22,2792.021,1756088999999,42606.58487,308,1102.481,16828.29785,0
2025-08-25 02:30:00,15.22,15.26,15.21,15.22,1078.353,1756089899999,16427.39085,228,494.606,7538.89139,0
2025-08-25 02:45:00,15.22,15.28,15.22,15.24,514.668,1756090799999,7845.43143,157,186.949,2850.4187,0
2025-08-25 03:00:00,15.24,15.36,15.24,15.28,2861.066,1756091699999,43794.98421,337,1609.383,24641.63702,0
2025-08-25 03:15:00,15.3,15.31,15.21,15.21,735.031,1756092599999,11210.5121,146,273.667,4173.00879,0
2025-08-25 03:30:00,15.22,15.3,15.19,15.25,1298.201,1756093499999,19795.62746,243,643.721,9820.0673,0
2025-08-25 03:45:00,15.26,15.26,15.14,15.15,947.758,1756094399999,14396.84935,168,281.687,4275.55502,0
2025-08-25 04:00:00,15.16,15.21,15.13,15.13,918.743,1756095299999,13931.11003,172,407.869,6183.54028,0
2025-08-25 04:15:00,15.13,15.19,15.04,15.09,3780.311,1756096199999,57063.00459,353,813.151,12287.68293,0
