openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.5055,0.508,0.5043,0.5058,160231.1,1753975799999,81076.85489,909,77396.4,39174.14489,0
1753975800000,2025-07-31 15:30:00,0.5057,0.5109,0.5057,0.5096,216251.5,1753976699999,109966.4162,843,155648.3,79129.72609,0
1753976700000,2025-07-31 15:45:00,0.5096,0.5108,0.506,0.5084,327229.7,1753977599999,166510.86802,1208,214663.3,109208.54882,0
1753977600000,2025-07-31 16:00:00,0.5084,0.5105,0.507,0.51,125173.3,1753978499999,63667.75869,697,71283.3,36238.45675,0
1753978500000,2025-07-31 16:15:00,0.5101,0.5153,0.5101,0.5146,299540.6,1753979399999,153817.47434,865,195196.2,100245.03395,0
1753979400000,2025-07-31 16:30:00,0.5146,0.5221,0.5146,0.5197,248443.2,1753980299999,129006.26995,1226,121511.3,63066.80761,0
1753980300000,2025-07-31 16:45:00,0.5197,0.5201,0.5146,0.5172,61430.9,1753981199999,31761.34746,673,26286.1,13592.88109,0
1753981200000,2025-07-31 17:00:00,0.5173,0.5174,0.5127,0.5146,628251.5,1753982099999,323347.92141,1052,215662.2,110944.08971,0
1753982100000,2025-07-31 17:15:00,0.5147,0.5174,0.5096,0.512,344190.7,1753982999999,176496.17013,1514,180597.7,92658.24161,0
1753983000000,2025-07-31 17:30:00,0.5121,0.5153,0.5109,0.5128,131885.5,1753983899999,67681.74046,855,80635.4,41404.87204,0
1753983900000,2025-07-31 17:45:00,0.5129,0.5139,0.5082,0.5096,166286.6,1753984799999,84779.07527,928,63551.7,32424.58072,0
1753984800000,2025-07-31 18:00:00,0.5097,0.5104,0.5023,0.5038,229503.5,1753985699999,115879.5663,1234,73208.0,36989.44761,0
1753985700000,2025-07-31 18:15:00,0.5036,0.5095,0.502,0.5087,232962.7,1753986599999,118114.24947,1065,166476.1,84439.78861,0
1753986600000,2025-07-31 18:30:00,0.5086,0.5104,0.508,0.5086,90288.8,1753987499999,45963.27795,572,44251.0,22530.44012,0
1753987500000,2025-07-31 18:45:00,0.5087,0.5101,0.5065,0.5083,162478.8,1753988399999,82665.38988,695,33282.8,16933.06695,0
1753988400000,2025-07-31 19:00:00,0.5084,0.5094,0.5035,0.5039,94926.5,1753989299999,48082.49199,660,30942.6,15670.8011,0
1753989300000,2025-07-31 19:15:00,0.504,0.506,0.5035,0.5043,64814.3,1753990199999,32705.2559,510,33628.2,16963.66206,0
