openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.407,0.409,0.4063,0.4085,40364.51,1753975799999,16463.02956,402,16386.91,6687.489006,0
1753975800000,2025-07-31 15:30:00,0.4084,0.4124,0.4084,0.4104,35288.98,1753976699999,14480.700918,429,19283.76,7913.322513,0
1753976700000,2025-07-31 15:45:00,0.4106,0.4115,0.4083,0.4098,32597.76,1753977599999,13370.666457,351,11325.65,4644.863784,0
1753977600000,2025-07-31 16:00:00,0.4096,0.4113,0.4085,0.4105,44011.22,1753978499999,18032.466746,590,22959.47,9408.387784,0
1753978500000,2025-07-31 16:15:00,0.4107,0.4134,0.4102,0.4128,31266.17,1753979399999,12868.768421,371,13626.13,5608.694895,0
1753979400000,2025-07-31 16:30:00,0.413,0.419,0.413,0.4167,68611.19,1753980299999,28544.455209,544,44629.99,18551.347343,0
1753980300000,2025-07-31 16:45:00,0.4167,0.4172,0.4131,0.4143,40604.59,1753981199999,16847.852112,385,25439.49,10554.715855,0
1753981200000,2025-07-31 17:00:00,0.4143,0.4143,0.4109,0.4124,35967.01,1753982099999,14834.576419,337,19177.7,7906.709561,0
1753982100000,2025-07-31 17:15:00,0.4126,0.414,0.4077,0.409,44080.24,1753982999999,18082.951612,624,21352.8,8759.709526,0
1753983000000,2025-07-31 17:30:00,0.4091,0.4105,0.4075,0.409,57293.96,1753983899999,23441.629648,535,23820.96,9743.86474,0
1753983900000,2025-07-31 17:45:00,0.409,0.4096,0.405,0.4061,56682.05,1753984799999,23057.120635,463,30236.96,12305.15329,0
1753984800000,2025-07-31 18:00:00,0.4062,0.4064,0.401,0.4023,107154.6,1753985699999,43204.920815,702,62160.62,25046.747407,0
1753985700000,2025-07-31 18:15:00,0.4022,0.4061,0.4007,0.4056,113428.29,1753986599999,45754.964214,775,73947.5,29839.33271,0
1753986600000,2025-07-31 18:30:00,0.4055,0.4073,0.405,0.4055,28810.64,1753987499999,11700.509672,301,15269.04,6202.169746,0
1753987500000,2025-07-31 18:45:00,0.4054,0.407,0.4033,0.4046,23495.03,1753988399999,9519.128109,260,10818.16,4388.513867,0
1753988400000,2025-07-31 19:00:00,0.4048,0.4054,0.4017,0.4017,43926.06,1753989299999,17731.346063,427,28990.74,11707.206384,0
1753989300000,2025-07-31 19:15:00,0.4019,0.404,0.4017,0.4029,19016.19,1753990199999,7656.474378,243,10049.09,4046.131975,0
1753990200000,2025-07-31 19:30:00,0.4029,0.4036,0.4013,0.4031,112705.93,1753991099999,45383.256491,465,46315.52,18657.830205,0
1753991100000,2025-07-31 19:45:00,0.4035,0.4041,0.401,0.402,57154.65,1753991999999,22972.398636,403,25859.51,10398.360259,0
1753992000000,2025-07-31 20:00:00,0.4018,0.4028,0.3986,0.4001,98182.75,1753992899999,39276.166972,781,40828.38,16342.254421,0
1753992900000,2025-07-31 20:15:00,0.4002,0.4034,0.3999,0.4009,35372.83,1753993799999,14182.761349,364,23161.21,9281.6915,0
1753993800000,2025-07-31 20:30:00,0.4013,0.4025,0.3992,0.4004,37185.87,1753994699999,14889.442419,380,19067.35,7637.807475,0
1753994700000,2025-07-31 20:45:00,0.4003,0.401,0.399,0.4005,40471.76,1753995599999,16196.328286,244,22439.3,8982.542882,0
1753995600000,2025-07-31 21:00:00,0.4004,0.4019,0.3992,0.3992,22239.24,1753996499999,8895.98865,252,7953.79,3181.715886,0
1753996500000,2025-07-31 21:15:00,0.3989,0.4,0.3982,0.3997,28561.2,1753997399999,11406.803142,154,23488.82,9382.690526,0
1753997400000,2025-07-31 21:30:00,0.4,0.4029,0.3995,0.4011,178456.78,1753998299999,71538.00344,338,158825.89,63653.858174,0
1753998300000,2025-07-31 21:45:00,0.4008,0.4012,0.3943,0.3981,129279.92,1753999199999,51322.790806,640,50491.5,20039.791577,0
1753999200000,2025-07-31 22:00:00,0.3981,0.3981,0.3925,0.3944,167153.62,1754000099999,65888.682622,719,66994.2,26437.331833,0
1754000100000,2025-07-31 22:15:00,0.3946,0.3967,0.3935,0.3946,147767.3,1754000999999,58307.138641,690,83533.1,32960.699073,0
1754001000000,2025-07-31 22:30:00,0.3947,0.3947,0.3882,0.3907,240246.27,1754001899999,93884.928415,1030,79768.19,31186.92855,0
1754001900000,2025-07-31 22:45:00,0.3908,0.3916,0.3877,0.3901,130631.11,1754002799999,50872.200112,478,33495.24,13038.513967,0
1754002800000,2025-07-31 23:00:00,0.3898,0.3947,0.3896,0.3931,165470.57,1754003699999,65018.468417,711,112747.15,44307.593025,0
1754003700000,2025-07-31 23:15:00,0.3932,0.3932,0.3902,0.3907,63314.01,1754004599999,24776.793278,504,15482.03,6065.998831,0
1754004600000,2025-07-31 23:30:00,0.3908,0.3908,0.3847,0.3876,466906.23,1754005499999,180793.8353,1953,164340.86,63615.208626,0
1754005500000,2025-07-31 23:45:00,0.3883,0.3895,0.3862,0.3879,219476.16,1754006399999,85158.063591,727,159428.09,61855.730877,0
1754006400000,2025-08-01 00:00:00,0.3879,0.3889,0.3819,0.3828,211668.38,1754007299999,81477.152225,1135,92505.9,35649.708466,0
1754007300000,2025-08-01 00:15:00,0.3828,0.3903,0.382,0.3868,130114.37,1754008199999,50246.154437,877,78587.06,30351.655522,0
1754008200000,2025-08-01 00:30:00,0.3862,0.3875,0.3838,0.3847,82417.25,1754009099999,31784.688227,551,49529.05,19112.025852,0
1754009100000,2025-08-01 00:45:00,0.3844,0.3896,0.3777,0.3889,398327.62,1754009999999,152110.666495,2800,212135.94,81107.895148,0
1754010000000,2025-08-01 01:00:00,0.3884,0.3911,0.3846,0.3848,66830.09,1754010899999,25916.616759,793,33312.4,12918.365756,0
1754010900000,2025-08-01 01:15:00,0.3853,0.3883,0.3844,0.3872,63207.91,1754011799999,24447.397042,745,32574.16,12595.400997,0
1754011800000,2025-08-01 01:30:00,0.3873,0.3908,0.3856,0.3885,73787.14,1754012699999,28703.239834,640,40886.01,15915.837153,0
1754012700000,2025-08-01 01:45:00,0.3886,0.3893,0.3859,0.3882,50145.42,1754013599999,19438.293141,492,30050.88,11657.936417,0
1754013600000,2025-08-01 02:00:00,0.3881,0.3919,0.3867,0.3914,60595.1,1754014499999,23604.546806,485,45097.47,17570.684178,0
1754014500000,2025-08-01 02:15:00,0.3915,0.3924,0.3897,0.3902,43805.83,1754015399999,17155.459085,389,26360.66,10325.973975,0
1754015400000,2025-08-01 02:30:00,0.3903,0.3924,0.3899,0.3905,48635.22,1754016299999,19019.133926,413,19034.11,7446.199817,0
1754016300000,2025-08-01 02:45:00,0.3903,0.3918,0.39,0.3914,28595.44,1754017199999,11173.314299,303,16455.09,6431.245701,0
1754017200000,2025-08-01 03:00:00,0.3913,0.3924,0.3891,0.3899,110781.86,1754018099999,43269.767089,388,54946.43,21483.391135,0
1754018100000,2025-08-01 03:15:00,0.3898,0.3934,0.3892,0.3927,42069.81,1754018999999,16494.122092,429,30661.61,12019.478236,0
1754019000000,2025-08-01 03:30:00,0.3927,0.3928,0.3912,0.3915,12767.03,1754019899999,5005.026557,230,6547.85,2566.515785,0
1754019900000,2025-08-01 03:45:00,0.3919,0.3924,0.3897,0.3909,23431.5,1754020799999,9155.268332,268,12871.78,5027.429186,0
1754020800000,2025-08-01 04:00:00,0.3908,0.3908,0.3872,0.3888,87764.94,1754021699999,34126.54833,479,37257.52,14505.710158,0
1754021700000,2025-08-01 04:15:00,0.389,0.3892,0.3871,0.3886,17859.48,1754022599999,6932.208503,250,9599.36,3726.849426,0
1754022600000,2025-08-01 04:30:00,0.3885,0.3906,0.3879,0.3894,27996.77,1754023499999,10900.091641,274,21370.4,8321.301632,0
1754023500000,2025-08-01 04:45:00,0.3893,0.3895,0.3874,0.3881,48681.71,1754024399999,18906.166099,256,27931.27,10847.685063,0
1754024400000,2025-08-01 05:00:00,0.3877,0.3894,0.3875,0.389,21850.95,1754025299999,8491.23703,214,11530.89,4480.127141,0
1754025300000,2025-08-01 05:15:00,0.3891,0.3891,0.3844,0.3861,73940.08,1754026199999,28529.522774,370,19779.78,7629.563485,0
1754026200000,2025-08-01 05:30:00,0.3863,0.3892,0.3842,0.3855,55737.93,1754027099999,21523.037913,399,33947.24,13111.581059,0
1754027100000,2025-08-01 05:45:00,0.3854,0.3868,0.3835,0.3862,48043.03,1754027999999,18521.354555,363,29684.9,11452.837338,0
1754028000000,2025-08-01 06:00:00,0.3859,0.3871,0.3823,0.3849,45611.24,1754028899999,17577.407544,535,21775.22,8386.291967,0
1754028900000,2025-08-01 06:15:00,0.3849,0.3858,0.3827,0.3831,30330.09,1754029799999,11650.246296,307,13491.26,5182.672381,0
1754029800000,2025-08-01 06:30:00,0.3832,0.385,0.3822,0.3826,43580.13,1754030699999,16733.769849,419,21878.46,8402.354517,0
1754030700000,2025-08-01 06:45:00,0.3825,0.3873,0.3822,0.3869,47642.33,1754031599999,18372.825947,352,32966.49,12708.577156,0
1754031600000,2025-08-01 07:00:00,0.3872,0.3894,0.3862,0.3872,79891.83,1754032499999,30973.097985,560,46283.52,17953.739293,0
1754032500000,2025-08-01 07:15:00,0.3873,0.3895,0.3867,0.3868,28812.06,1754033399999,11179.871577,317,13924.07,5406.873886,0
1754033400000,2025-08-01 07:30:00,0.3867,0.3886,0.3862,0.3878,46451.42,1754034299999,17991.816725,505,26076.26,10100.24847,0
1754034300000,2025-08-01 07:45:00,0.388,0.3881,0.3858,0.387,24132.98,1754035199999,9338.763114,260,8855.24,3426.774697,0
1754035200000,2025-08-01 08:00:00,0.3869,0.387,0.3772,0.381,151305.74,1754036099999,57564.677995,724,52538.73,20032.787399,0
1754036100000,2025-08-01 08:15:00,0.381,0.3834,0.3798,0.3807,70839.43,1754036999999,27018.572018,459,22918.87,8732.548132,0
1754037000000,2025-08-01 08:30:00,0.3808,0.385,0.3797,0.3844,94860.94,1754037899999,36254.741034,580,54881.49,20987.615306,0
1754037900000,2025-08-01 08:45:00,0.3843,0.3856,0.3808,0.3816,105967.71,1754038799999,40569.136715,530,24666.25,9437.277791,0
1754038800000,2025-08-01 09:00:00,0.3813,0.3866,0.3813,0.3827,79208.01,1754039699999,30462.115454,407,46659.02,17947.997954,0
1754039700000,2025-08-01 09:15:00,0.3828,0.3851,0.3823,0.3849,77617.73,1754040599999,29808.447488,334,34733.24,13335.418448,0
1754040600000,2025-08-01 09:30:00,0.385,0.3863,0.3835,0.3861,96826.01,1754041499999,37289.757,348,48683.98,18752.720017,0
1754041500000,2025-08-01 09:45:00,0.386,0.386,0.3829,0.3829,18666.29,1754042399999,7168.959512,189,8280.65,3180.552955,0
1754042400000,2025-08-01 10:00:00,0.3828,0.3847,0.3827,0.3846,35591.48,1754043299999,13655.865918,262,12861.66,4934.87731,0
1754043300000,2025-08-01 10:15:00,0.3847,0.3854,0.3836,0.3849,25189.95,1754044199999,9686.61332,177,11351.69,4365.101606,0
1754044200000,2025-08-01 10:30:00,0.3847,0.3866,0.3842,0.3865,30868.04,1754045099999,11895.031278,236,13456.69,5188.495294,0
