openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.3554,0.3574,0.3551,0.3557,73189.3,1753975799999,26073.00692,405,56363.7,20083.77661,0
1753975800000,2025-07-31 15:30:00,0.3559,0.3597,0.3556,0.3587,179893.7,1753976699999,64489.74131,688,56095.0,20090.23886,0
1753976700000,2025-07-31 15:45:00,0.3586,0.3588,0.357,0.3578,135678.3,1753977599999,48560.9505,383,35917.7,12862.83863,0
1753977600000,2025-07-31 16:00:00,0.358,0.3625,0.358,0.3605,186448.9,1753978499999,67199.68331,913,96605.7,34807.44591,0
1753978500000,2025-07-31 16:15:00,0.3608,0.3621,0.3607,0.3616,88764.1,1753979399999,32099.37875,410,54438.4,19686.54948,0
1753979400000,2025-07-31 16:30:00,0.3616,0.3631,0.3616,0.3624,70458.0,1753980299999,25533.61009,306,24178.5,8762.32502,0
1753980300000,2025-07-31 16:45:00,0.3624,0.3625,0.3599,0.3607,121556.1,1753981199999,43873.06469,471,30075.6,10866.9644,0
1753981200000,2025-07-31 17:00:00,0.3609,0.3609,0.3589,0.3592,92165.9,1753982099999,33147.70742,409,39664.1,14274.46998,0
1753982100000,2025-07-31 17:15:00,0.3593,0.3593,0.356,0.358,66277.2,1753982999999,23692.07213,403,25008.4,8939.31653,0
1753983000000,2025-07-31 17:30:00,0.3581,0.3593,0.356,0.3565,71004.0,1753983899999,25428.10898,357,31172.7,11170.8971,0
1753983900000,2025-07-31 17:45:00,0.3567,0.3574,0.3545,0.3561,80285.7,1753984799999,28567.05493,399,50798.9,18075.17339,0
1753984800000,2025-07-31 18:00:00,0.3561,0.3561,0.3532,0.3536,85778.1,1753985699999,30375.68044,418,37555.7,13301.72016,0
1753985700000,2025-07-31 18:15:00,0.3532,0.3557,0.3531,0.3556,105654.2,1753986599999,37396.16211,400,74328.2,26314.67397,0
1753986600000,2025-07-31 18:30:00,0.3555,0.3566,0.3531,0.3539,263494.2,1753987499999,93434.62452,581,43845.1,15547.74254,0
1753987500000,2025-07-31 18:45:00,0.354,0.3545,0.3521,0.3527,34115.6,1753988399999,12046.40543,197,13446.9,4749.81119,0
1753988400000,2025-07-31 19:00:00,0.3529,0.3533,0.35,0.3503,100275.5,1753989299999,35206.33174,461,53606.3,18809.02217,0
1753989300000,2025-07-31 19:15:00,0.3503,0.3519,0.3501,0.3515,105804.0,1753990199999,37127.44299,350,87378.2,30662.81978,0
1753990200000,2025-07-31 19:30:00,0.3511,0.3518,0.3509,0.351,34876.8,1753991099999,12251.05468,183,20550.7,7219.4531,0
1753991100000,2025-07-31 19:45:00,0.3514,0.3518,0.35,0.3502,57268.0,1753991999999,20105.94124,315,25086.1,8812.53407,0
1753992000000,2025-07-31 20:00:00,0.3503,0.3503,0.3442,0.3457,463355.2,1753992899999,160864.56929,1811,141914.1,49180.71394,0
1753992900000,2025-07-31 20:15:00,0.3457,0.3473,0.3445,0.3451,46687.8,1753993799999,16128.92934,267,20033.6,6926.7447,0
1753993800000,2025-07-31 20:30:00,0.3453,0.3456,0.3446,0.3448,68334.2,1753994699999,23584.06126,304,33429.8,11541.14298,0
1753994700000,2025-07-31 20:45:00,0.3449,0.345,0.3424,0.3436,96450.8,1753995599999,33144.55335,269,24708.0,8486.31966,0
1753995600000,2025-07-31 21:00:00,0.3435,0.3435,0.3416,0.3417,64614.3,1753996499999,22120.1191,361,37116.8,12706.91318,0
1753996500000,2025-07-31 21:15:00,0.3418,0.3425,0.3373,0.3402,288616.9,1753997399999,98092.49157,597,95568.2,32489.89096,0
1753997400000,2025-07-31 21:30:00,0.3402,0.3411,0.3394,0.3398,38273.7,1753998299999,13027.21556,166,18069.7,6153.60656,0
1753998300000,2025-07-31 21:45:00,0.3394,0.342,0.3357,0.3413,189598.6,1753999199999,64340.05102,659,102381.9,34758.7738,0
1753999200000,2025-07-31 22:00:00,0.3412,0.3412,0.3382,0.3403,74902.0,1754000099999,25432.56783,260,29914.1,10159.88086,0
1754000100000,2025-07-31 22:15:00,0.3404,0.3416,0.3397,0.3403,40496.0,1754000999999,13794.48092,193,23445.3,7989.35124,0
1754001000000,2025-07-31 22:30:00,0.3402,0.3405,0.337,0.34,85242.1,1754001899999,28870.38783,409,43454.1,14713.936,0
1754001900000,2025-07-31 22:45:00,0.3401,0.3408,0.3393,0.3406,40885.0,1754002799999,13910.21762,251,13712.0,4664.9709,0
1754002800000,2025-07-31 23:00:00,0.3404,0.3432,0.3404,0.3423,48609.0,1754003699999,16631.79352,359,28492.2,9744.10169,0
1754003700000,2025-07-31 23:15:00,0.3424,0.3425,0.3389,0.3389,41541.7,1754004599999,14149.54674,297,13778.0,4691.56615,0
1754004600000,2025-07-31 23:30:00,0.3388,0.3404,0.3376,0.3396,67855.9,1754005499999,23011.78914,531,39823.1,13502.04681,0
1754005500000,2025-07-31 23:45:00,0.3397,0.3407,0.339,0.339,65535.1,1754006399999,22258.55562,338,24005.9,8160.38445,0
1754006400000,2025-08-01 00:00:00,0.3391,0.3392,0.3366,0.3376,116781.5,1754007299999,39480.39347,693,48514.8,16404.9662,0
1754007300000,2025-08-01 00:15:00,0.3376,0.3402,0.3372,0.3387,149347.7,1754008199999,50577.54031,730,61186.2,20730.12959,0
1754008200000,2025-08-01 00:30:00,0.3386,0.3389,0.3359,0.3361,211965.0,1754009099999,71617.9392,701,134526.1,45471.00946,0
1754009100000,2025-08-01 00:45:00,0.3363,0.3394,0.3318,0.3387,221444.4,1754009999999,74048.76842,1011,61187.7,20489.12181,0
1754010000000,2025-08-01 01:00:00,0.3386,0.3411,0.3362,0.3365,150471.3,1754010899999,51017.20042,853,46802.1,15889.19383,0
1754010900000,2025-08-01 01:15:00,0.3366,0.3395,0.3363,0.3381,120176.7,1754011799999,40593.27047,709,55852.3,18860.14019,0
1754011800000,2025-08-01 01:30:00,0.3382,0.3415,0.337,0.3406,68287.2,1754012699999,23202.00345,508,44425.1,15087.42063,0
