openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.6332,0.6351,0.6328,0.6349,51455.98,1753975799999,32629.575795,489,18712.12,11866.839133,0
1753975800000,2025-07-31 15:30:00,0.6347,0.6379,0.6343,0.6366,21152.06,1753976699999,13459.944686,324,15062.4,9584.58873,0
1753976700000,2025-07-31 15:45:00,0.6366,0.6375,0.6345,0.6362,18312.4,1753977599999,11648.061693,240,13303.96,8462.998741,0
1753977600000,2025-07-31 16:00:00,0.6363,0.6379,0.6356,0.6376,15946.23,1753978499999,10160.309434,229,10949.98,6977.945955,0
1753978500000,2025-07-31 16:15:00,0.6381,0.6396,0.6368,0.6391,11763.83,1753979399999,7510.715421,187,3094.39,1974.483292,0
1753979400000,2025-07-31 16:30:00,0.6392,0.6456,0.6391,0.6434,16663.29,1753980299999,10728.152222,320,8566.21,5518.179771,0
1753980300000,2025-07-31 16:45:00,0.6435,0.6435,0.6408,0.6415,14867.89,1753981199999,9547.27417,196,11044.42,7091.452889,0
1753981200000,2025-07-31 17:00:00,0.6414,0.6414,0.6375,0.639,57494.14,1753982099999,36743.460446,336,11984.96,7657.994066,0
1753982100000,2025-07-31 17:15:00,0.639,0.6401,0.6352,0.6363,31190.87,1753982999999,19862.309195,375,20374.72,12969.995926,0
1753983000000,2025-07-31 17:30:00,0.6365,0.6387,0.6352,0.6366,13043.74,1753983899999,8301.603822,200,10023.45,6377.586008,0
1753983900000,2025-07-31 17:45:00,0.6366,0.6372,0.6312,0.6323,33159.49,1753984799999,20982.292567,300,16000.45,10116.709725,0
1753984800000,2025-07-31 18:00:00,0.6326,0.6331,0.6276,0.629,92778.63,1753985699999,58470.868464,681,50732.75,31984.296211,0
1753985700000,2025-07-31 18:15:00,0.6289,0.6335,0.628,0.6333,45385.58,1753986599999,28657.157525,341,34610.67,21864.791514,0
1753986600000,2025-07-31 18:30:00,0.6332,0.6344,0.6328,0.6331,3959.65,1753987499999,2508.317615,116,2127.22,1347.534402,0
1753987500000,2025-07-31 18:45:00,0.6331,0.6343,0.6314,0.6324,19744.16,1753988399999,12492.563732,201,13392.29,8474.578963,0
1753988400000,2025-07-31 19:00:00,0.6324,0.6329,0.6278,0.6278,23512.94,1753989299999,14822.593598,235,16791.29,10587.310753,0
1753989300000,2025-07-31 19:15:00,0.628,0.6305,0.628,0.63,26881.59,1753990199999,16924.772043,275,19822.52,12485.317605,0
1753990200000,2025-07-31 19:30:00,0.6301,0.6319,0.6292,0.6304,41001.64,1753991099999,25872.311754,267,33428.06,21100.310111,0
1753991100000,2025-07-31 19:45:00,0.6306,0.6316,0.628,0.6291,75240.37,1753991999999,47440.732783,329,28611.27,18056.019074,0
1753992000000,2025-07-31 20:00:00,0.6289,0.6295,0.6236,0.6257,48717.93,1753992899999,30494.863863,569,20579.73,12899.92494,0
1753992900000,2025-07-31 20:15:00,0.6258,0.6298,0.6248,0.6266,49559.14,1753993799999,31130.338515,393,35864.64,22529.926632,0
1753993800000,2025-07-31 20:30:00,0.6268,0.628,0.6249,0.6272,23101.84,1753994699999,14469.368239,320,14883.29,9320.846628,0
1753994700000,2025-07-31 20:45:00,0.6273,0.6279,0.6251,0.6265,9014.08,1753995599999,5649.450681,189,3072.07,1925.60751,0
1753995600000,2025-07-31 21:00:00,0.6264,0.6278,0.6246,0.6246,27190.71,1753996499999,17012.999516,277,15627.06,9774.972327,0
1753996500000,2025-07-31 21:15:00,0.6246,0.6269,0.6242,0.6269,63826.81,1753997399999,39934.207723,373,51208.66,32045.463409,0
1753997400000,2025-07-31 21:30:00,0.6265,0.6289,0.6265,0.6283,28983.81,1753998299999,18204.23315,188,23642.68,14849.544866,0
1753998300000,2025-07-31 21:45:00,0.6279,0.6294,0.6211,0.6252,132600.13,1753999199999,83107.282698,815,95591.03,59927.195491,0
1753999200000,2025-07-31 22:00:00,0.6251,0.6251,0.6197,0.6213,35702.91,1754000099999,22219.138201,459,23913.21,14879.958912,0
1754000100000,2025-07-31 22:15:00,0.6213,0.6239,0.6207,0.6226,17262.81,1754000999999,10742.150959,320,10264.33,6386.341258,0
1754001000000,2025-07-31 22:30:00,0.6227,0.6228,0.6202,0.6224,32992.35,1754001899999,20487.105843,381,25996.73,16141.746907,0
1754001900000,2025-07-31 22:45:00,0.6225,0.6233,0.6207,0.6229,64356.96,1754002799999,40010.976353,455,32863.3,20434.078262,0
1754002800000,2025-07-31 23:00:00,0.6225,0.6257,0.6223,0.6242,23863.61,1754003699999,14889.350524,275,12088.9,7539.89625,0
