openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.882,0.884,0.877,0.879,29191.31,1753975799999,25674.49702,225,11522.38,10145.5289,0
1753975800000,2025-07-31 15:30:00,0.881,0.883,0.872,0.875,34895.38,1753976699999,30588.97182,228,8224.67,7201.57492,0
1753976700000,2025-07-31 15:45:00,0.873,0.876,0.873,0.875,13673.44,1753977599999,11950.24526,160,3797.94,3322.98146,0
1753977600000,2025-07-31 16:00:00,0.877,0.88,0.874,0.879,5094.2,1753978499999,4470.09863,99,2303.99,2022.98012,0
1753978500000,2025-07-31 16:15:00,0.88,0.881,0.874,0.874,10192.92,1753979399999,8942.28738,141,5173.71,4541.03585,0
1753979400000,2025-07-31 16:30:00,0.874,0.879,0.873,0.876,14387.3,1753980299999,12599.97541,149,5065.01,4436.34526,0
1753980300000,2025-07-31 16:45:00,0.875,0.877,0.872,0.877,2397.33,1753981199999,2097.09663,80,1272.74,1114.2572,0
1753981200000,2025-07-31 17:00:00,0.877,0.877,0.871,0.875,9670.37,1753982099999,8453.47073,112,5211.03,4555.75807,0
1753982100000,2025-07-31 17:15:00,0.875,0.876,0.869,0.871,17944.99,1753982999999,15655.89642,152,14106.15,12310.72626,0
1753983000000,2025-07-31 17:30:00,0.871,0.874,0.869,0.869,6275.42,1753983899999,5469.70002,68,3036.19,2648.74513,0
1753983900000,2025-07-31 17:45:00,0.871,0.873,0.866,0.866,16538.95,1753984799999,14366.28495,89,2497.91,2174.70394,0
1753984800000,2025-07-31 18:00:00,0.866,0.867,0.86,0.861,8075.75,1753985699999,6963.55223,113,3207.64,2769.67585,0
1753985700000,2025-07-31 18:15:00,0.86,0.865,0.86,0.863,5257.09,1753986599999,4532.64928,122,3347.05,2886.60718,0
1753986600000,2025-07-31 18:30:00,0.865,0.866,0.862,0.864,8555.61,1753987499999,7395.24715,79,6507.4,5628.34061,0
1753987500000,2025-07-31 18:45:00,0.864,0.866,0.861,0.862,6747.53,1753988399999,5819.46862,79,4633.73,3998.17955,0
1753988400000,2025-07-31 19:00:00,0.862,0.863,0.86,0.862,10237.14,1753989299999,8821.60041,88,7968.61,6867.78198,0
1753989300000,2025-07-31 19:15:00,0.861,0.863,0.86,0.861,10265.52,1753990199999,8841.05505,97,9034.37,7781.07068,0
1753990200000,2025-07-31 19:30:00,0.861,0.868,0.86,0.866,9591.31,1753991099999,8295.94295,62,7899.35,6832.02605,0
1753991100000,2025-07-31 19:45:00,0.865,0.866,0.861,0.864,2560.01,1753991999999,2213.04682,47,1971.14,1704.98233,0
1753992000000,2025-07-31 20:00:00,0.866,0.867,0.859,0.861,7768.02,1753992899999,6710.10328,85,4869.63,4209.35978,0
1753992900000,2025-07-31 20:15:00,0.86,0.866,0.859,0.864,2875.22,1753993799999,2480.95335,62,1850.14,1597.4116,0
1753993800000,2025-07-31 20:30:00,0.864,0.865,0.858,0.86,4840.04,1753994699999,4162.69276,74,2909.14,2502.70947,0
