openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.29,0.2919,0.2897,0.2911,40132.8,1753975799999,11672.11947,141,27171.1,7905.44149,0
1753975800000,2025-07-31 15:30:00,0.2913,0.2944,0.2913,0.294,87733.6,1753976699999,25699.86372,263,53064.2,15557.31151,0
1753976700000,2025-07-31 15:45:00,0.2937,0.2965,0.2933,0.2949,166982.7,1753977599999,49261.64635,703,146342.6,43179.55068,0
1753977600000,2025-07-31 16:00:00,0.2952,0.2957,0.2936,0.2955,63592.7,1753978499999,18760.18279,152,13953.7,4119.41359,0
1753978500000,2025-07-31 16:15:00,0.2959,0.2977,0.295,0.2973,75144.3,1753979399999,22266.69806,205,23653.0,7016.34773,0
1753979400000,2025-07-31 16:30:00,0.2972,0.3006,0.2972,0.2994,164559.1,1753980299999,49263.83587,292,69501.0,20792.17932,0
1753980300000,2025-07-31 16:45:00,0.2994,0.2994,0.2952,0.2968,384167.4,1753981199999,114077.44968,370,187460.8,55603.10738,0
1753981200000,2025-07-31 17:00:00,0.2964,0.2964,0.2936,0.2945,59244.4,1753982099999,17484.77685,190,24938.6,7366.95278,0
1753982100000,2025-07-31 17:15:00,0.2946,0.296,0.2925,0.2932,27025.2,1753982999999,7940.92249,126,9931.7,2915.81608,0
1753983000000,2025-07-31 17:30:00,0.2936,0.2947,0.2916,0.2927,54545.7,1753983899999,15997.64857,159,28474.0,8352.79104,0
1753983900000,2025-07-31 17:45:00,0.2928,0.2928,0.2889,0.2891,138737.1,1753984799999,40243.06453,386,65178.3,18901.29913,0
1753984800000,2025-07-31 18:00:00,0.2892,0.2894,0.2841,0.2863,516130.0,1753985699999,147670.9962,635,158636.7,45409.67572,0
1753985700000,2025-07-31 18:15:00,0.2862,0.2888,0.2854,0.2888,89230.6,1753986599999,25589.50293,172,62391.4,17905.0003,0
1753986600000,2025-07-31 18:30:00,0.2887,0.2909,0.2887,0.2898,34926.3,1753987499999,10139.1121,143,30467.9,8845.53104,0
1753987500000,2025-07-31 18:45:00,0.2898,0.2902,0.2878,0.2878,24519.7,1753988399999,7091.43992,92,5187.5,1500.02321,0
1753988400000,2025-07-31 19:00:00,0.2887,0.2892,0.2861,0.2861,36456.6,1753989299999,10480.9868,71,6964.8,2008.72015,0
1753989300000,2025-07-31 19:15:00,0.2857,0.2876,0.2855,0.287,26095.4,1753990199999,7491.26292,62,21489.3,6174.44895,0
1753990200000,2025-07-31 19:30:00,0.2863,0.2872,0.2861,0.2865,20093.7,1753991099999,5757.04753,40,14281.0,4092.08428,0
1753991100000,2025-07-31 19:45:00,0.2864,0.2864,0.2841,0.2846,51890.3,1753991999999,14775.24468,116,23582.7,6719.24497,0
1753992000000,2025-07-31 20:00:00,0.2847,0.2847,0.2805,0.2818,373551.5,1753992899999,105379.97739,715,138547.0,39104.93413,0
1753992900000,2025-07-31 20:15:00,0.2816,0.2823,0.2787,0.2813,706915.2,1753993799999,198122.55408,1537,275959.0,77397.87825,0
1753993800000,2025-07-31 20:30:00,0.2815,0.2829,0.281,0.2818,116242.9,1753994699999,32818.33688,186,45139.3,12732.24674,0
1753994700000,2025-07-31 20:45:00,0.282,0.2828,0.2814,0.2823,15976.5,1753995599999,4508.31326,45,8341.4,2354.7167,0
1753995600000,2025-07-31 21:00:00,0.282,0.2832,0.2806,0.2811,14665.7,1753996499999,4138.87047,59,10356.5,2925.25894,0
1753996500000,2025-07-31 21:15:00,0.2811,0.2813,0.2793,0.2809,9580.4,1753997399999,2686.02207,57,5878.5,1648.72137,0
1753997400000,2025-07-31 21:30:00,0.2814,0.2831,0.2802,0.2803,51229.5,1753998299999,14407.678,133,38923.2,10940.67172,0
1753998300000,2025-07-31 21:45:00,0.2804,0.2807,0.2757,0.2791,448987.5,1753999199999,124149.08334,359,365862.4,101017.24937,0
1753999200000,2025-07-31 22:00:00,0.2789,0.2792,0.277,0.278,67084.2,1754000099999,18652.70049,369,22573.4,6282.29356,0
1754000100000,2025-07-31 22:15:00,0.2781,0.2798,0.2764,0.2772,120061.4,1754000999999,33333.7778,307,36538.7,10167.76225,0
1754001000000,2025-07-31 22:30:00,0.2769,0.277,0.2721,0.2743,573002.4,1754001899999,157038.09107,925,273361.9,74945.09061,0
1754001900000,2025-07-31 22:45:00,0.2745,0.2748,0.2731,0.2745,175682.9,1754002799999,48123.90616,641,53649.1,14702.91651,0
1754002800000,2025-07-31 23:00:00,0.2742,0.2763,0.2738,0.2755,220243.2,1754003699999,60647.0165,695,124001.1,34141.95571,0
1754003700000,2025-07-31 23:15:00,0.2757,0.2757,0.274,0.2741,28808.0,1754004599999,7913.72915,110,18130.4,4980.55836,0
1754004600000,2025-07-31 23:30:00,0.2739,0.2739,0.2706,0.2719,303642.6,1754005499999,82626.08312,641,153194.2,41680.38769,0
1754005500000,2025-07-31 23:45:00,0.2722,0.2728,0.271,0.272,144434.1,1754006399999,39292.49064,205,26726.5,7279.18163,0
1754006400000,2025-08-01 00:00:00,0.2725,0.2749,0.271,0.2719,183150.1,1754007299999,50061.53078,385,126961.8,34744.1992,0
1754007300000,2025-08-01 00:15:00,0.2718,0.2739,0.2699,0.2728,184253.5,1754008199999,50062.38463,276,117897.3,32093.07095,0
1754008200000,2025-08-01 00:30:00,0.2727,0.2738,0.2711,0.2715,73230.9,1754009099999,19957.05794,101,55020.3,15000.4922,0
1754009100000,2025-08-01 00:45:00,0.2712,0.2765,0.2671,0.275,595324.6,1754009999999,160745.92839,1022,345997.4,93613.98451,0
1754010000000,2025-08-01 01:00:00,0.2751,0.2764,0.2672,0.2691,387310.1,1754010899999,104976.08774,545,56500.6,15318.94693,0
1754010900000,2025-08-01 01:15:00,0.2689,0.2721,0.2689,0.2704,243844.2,1754011799999,65988.66058,622,144272.6,39051.21006,0
1754011800000,2025-08-01 01:30:00,0.2712,0.274,0.2698,0.2729,215954.4,1754012699999,58767.46981,286,134698.5,36679.44982,0
1754012700000,2025-08-01 01:45:00,0.2727,0.2736,0.2713,0.2727,103289.3,1754013599999,28174.71167,153,61276.9,16737.19356,0
1754013600000,2025-08-01 02:00:00,0.2724,0.2748,0.2717,0.2738,131722.5,1754014499999,35985.56803,245,41946.4,11453.60213,0
1754014500000,2025-08-01 02:15:00,0.2734,0.2784,0.2733,0.2768,658468.0,1754015399999,182176.42245,478,333171.6,92114.92263,0
1754015400000,2025-08-01 02:30:00,0.2769,0.2817,0.2762,0.2805,444112.0,1754016299999,123928.97215,465,250551.7,69932.5857,0
1754016300000,2025-08-01 02:45:00,0.2803,0.2833,0.2803,0.2824,262101.9,1754017199999,73846.84819,309,201986.4,56905.63965,0
1754017200000,2025-08-01 03:00:00,0.2829,0.2833,0.2793,0.2802,346671.7,1754018099999,97465.35463,423,78526.2,22087.33388,0
1754018100000,2025-08-01 03:15:00,0.2802,0.283,0.2792,0.2823,273988.1,1754018999999,77131.84265,1422,241663.0,68026.5323,0
1754019000000,2025-08-01 03:30:00,0.2818,0.2824,0.2799,0.2807,98370.6,1754019899999,27674.01154,421,37960.3,10674.02881,0
1754019900000,2025-08-01 03:45:00,0.2808,0.2815,0.2779,0.2787,166522.6,1754020799999,46449.52536,291,22473.1,6271.87891,0
1754020800000,2025-08-01 04:00:00,0.2787,0.2787,0.2757,0.2767,78787.2,1754021699999,21867.02384,262,20869.3,5799.33476,0
1754021700000,2025-08-01 04:15:00,0.2767,0.2772,0.2751,0.2764,91135.1,1754022599999,25170.83902,179,60646.4,16763.66654,0
1754022600000,2025-08-01 04:30:00,0.2764,0.2776,0.2758,0.2762,62456.2,1754023499999,17284.73588,264,32292.7,8935.88401,0
1754023500000,2025-08-01 04:45:00,0.2759,0.2764,0.2749,0.2749,35109.1,1754024399999,9669.793,65,4961.3,1368.07603,0
1754024400000,2025-08-01 05:00:00,0.2748,0.2762,0.2747,0.2758,37759.3,1754025299999,10406.14191,71,22123.6,6098.41227,0
1754025300000,2025-08-01 05:15:00,0.2758,0.2758,0.274,0.2746,111634.4,1754026199999,30669.29456,120,53047.8,14591.25516,0
1754026200000,2025-08-01 05:30:00,0.2751,0.276,0.2732,0.2741,31709.4,1754027099999,8694.49335,108,20021.4,5485.98453,0
1754027100000,2025-08-01 05:45:00,0.2739,0.275,0.2725,0.2749,28526.5,1754027999999,7801.67863,85,15646.9,4281.77052,0
1754028000000,2025-08-01 06:00:00,0.2746,0.275,0.2726,0.2741,62294.4,1754028899999,17052.16168,125,33973.3,9296.59134,0
1754028900000,2025-08-01 06:15:00,0.2738,0.2745,0.2721,0.2721,38214.5,1754029799999,10448.11499,69,8480.0,2321.05182,0
1754029800000,2025-08-01 06:30:00,0.2724,0.2728,0.2702,0.2704,225041.0,1754030699999,61031.17536,326,90537.1,24513.34979,0
1754030700000,2025-08-01 06:45:00,0.27,0.2734,0.2698,0.2733,206200.2,1754031599999,55819.82304,416,105943.5,28669.08416,0
1754031600000,2025-08-01 07:00:00,0.2732,0.2739,0.2718,0.272,36683.6,1754032499999,10015.79241,125,13184.2,3600.46359,0
1754032500000,2025-08-01 07:15:00,0.2723,0.2739,0.2717,0.2717,29211.6,1754033399999,7967.25311,90,23521.8,6415.4838,0
1754033400000,2025-08-01 07:30:00,0.2721,0.2721,0.2706,0.2711,53843.2,1754034299999,14607.18681,167,34657.5,9404.77388,0
1754034300000,2025-08-01 07:45:00,0.2711,0.2714,0.2696,0.2707,130950.0,1754035199999,35424.37871,205,91970.2,24873.57653,0
1754035200000,2025-08-01 08:00:00,0.2704,0.2706,0.2633,0.2666,685008.8,1754036099999,182193.34691,1136,209598.7,55711.73007,0
