openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,1.024,1.033,1.024,1.033,9409.6,1753975799999,9693.7533,79,7270.8,7490.4304,0
1753975800000,2025-07-31 15:30:00,1.032,1.041,1.032,1.039,9214.0,1753976699999,9562.8289,95,6810.2,7069.4527,0
1753976700000,2025-07-31 15:45:00,1.039,1.043,1.034,1.037,11158.3,1753977599999,11588.2645,88,7209.0,7491.7704,0
1753977600000,2025-07-31 16:00:00,1.037,1.041,1.032,1.038,59153.8,1753978499999,61302.9321,197,6245.9,6477.702,0
1753978500000,2025-07-31 16:15:00,1.039,1.046,1.037,1.045,34771.6,1753979399999,36294.5582,121,29245.3,30548.5131,0
1753979400000,2025-07-31 16:30:00,1.045,1.054,1.045,1.049,13823.6,1753980299999,14507.7864,139,5200.2,5460.8217,0
1753980300000,2025-07-31 16:45:00,1.05,1.05,1.04,1.044,14924.4,1753981199999,15587.229,107,5955.6,6221.4827,0
1753981200000,2025-07-31 17:00:00,1.043,1.044,1.034,1.035,7837.7,1753982099999,8134.1763,89,4333.5,4501.4893,0
1753982100000,2025-07-31 17:15:00,1.035,1.04,1.025,1.029,11096.4,1753982999999,11447.6707,145,5200.6,5367.9828,0
1753983000000,2025-07-31 17:30:00,1.03,1.036,1.025,1.028,7954.6,1753983899999,8202.2261,89,5052.6,5208.8813,0
1753983900000,2025-07-31 17:45:00,1.029,1.03,1.019,1.021,14714.1,1753984799999,15057.0448,153,9282.4,9500.068,0
1753984800000,2025-07-31 18:00:00,1.022,1.023,1.003,1.006,54523.3,1753985699999,54895.3284,241,18164.2,18282.6109,0
1753985700000,2025-07-31 18:15:00,1.005,1.021,1.003,1.021,13671.3,1753986599999,13854.6092,136,11017.4,11166.2309,0
1753986600000,2025-07-31 18:30:00,1.02,1.024,1.018,1.019,9822.9,1753987499999,10021.5648,89,2852.4,2913.7814,0
1753987500000,2025-07-31 18:45:00,1.019,1.021,1.013,1.016,3136.4,1753988399999,3196.5669,41,1293.0,1318.0561,0
1753988400000,2025-07-31 19:00:00,1.017,1.018,1.006,1.007,4498.2,1753989299999,4548.6203,59,2193.4,2214.8886,0
1753989300000,2025-07-31 19:15:00,1.006,1.013,1.003,1.006,101645.7,1753990199999,102371.2537,284,15981.3,16111.633,0
1753990200000,2025-07-31 19:30:00,1.007,1.013,1.004,1.012,15131.8,1753991099999,15266.6592,106,9844.4,9934.2682,0
1753991100000,2025-07-31 19:45:00,1.012,1.013,1.006,1.01,4550.6,1753991999999,4589.7956,76,1658.3,1673.5634,0
1753992000000,2025-07-31 20:00:00,1.008,1.011,0.993,1.0,29363.9,1753992899999,29335.6803,248,8917.8,8926.8927,0
1753992900000,2025-07-31 20:15:00,1.001,1.007,0.995,0.997,74027.6,1753993799999,73906.9463,220,37662.4,37630.5241,0
1753993800000,2025-07-31 20:30:00,1.0,1.003,0.994,0.998,8872.3,1753994699999,8870.3405,96,4869.7,4867.0221,0
1753994700000,2025-07-31 20:45:00,0.999,1.003,0.996,1.0,17972.2,1753995599999,17944.5245,99,4296.7,4297.0614,0
1753995600000,2025-07-31 21:00:00,0.999,1.003,0.991,0.991,36949.8,1753996499999,36740.0153,158,5101.5,5076.747,0
1753996500000,2025-07-31 21:15:00,0.992,0.993,0.985,0.99,81660.7,1753997399999,80721.0595,223,10740.5,10633.0089,0
