openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.324,0.326,0.323,0.325,66289.5,1753975799999,21529.91955,132,57848.3,18788.98588,0
1753975800000,2025-07-31 15:30:00,0.325,0.328,0.325,0.328,29884.19,1753976699999,9757.52295,99,9771.42,3190.82115,0
1753976700000,2025-07-31 15:45:00,0.328,0.329,0.325,0.325,26419.94,1753977599999,8632.58593,82,8043.18,2626.59859,0
1753977600000,2025-07-31 16:00:00,0.327,0.327,0.325,0.327,61059.55,1753978499999,19922.67865,52,52431.69,17108.8519,0
1753978500000,2025-07-31 16:15:00,0.327,0.332,0.327,0.332,64833.09,1753979399999,21401.73226,154,53610.45,17697.56259,0
1753979400000,2025-07-31 16:30:00,0.332,0.338,0.332,0.337,116690.98,1753980299999,39310.54434,221,90062.15,30338.44084,0
1753980300000,2025-07-31 16:45:00,0.337,0.337,0.333,0.334,81747.17,1753981199999,27430.67446,163,23670.9,7925.33588,0
1753981200000,2025-07-31 17:00:00,0.334,0.334,0.331,0.333,25508.89,1753982099999,8465.61398,108,15219.09,5049.86786,0
1753982100000,2025-07-31 17:15:00,0.332,0.335,0.329,0.33,56819.36,1753982999999,18886.28911,149,28380.51,9434.81185,0
1753983000000,2025-07-31 17:30:00,0.33,0.333,0.329,0.331,27949.51,1753983899999,9240.71893,96,12546.79,4148.61421,0
1753983900000,2025-07-31 17:45:00,0.33,0.331,0.327,0.328,52159.8,1753984799999,17144.8146,155,22731.18,7468.92235,0
1753984800000,2025-07-31 18:00:00,0.328,0.328,0.323,0.325,151127.44,1753985699999,49108.51212,257,47599.98,15466.01509,0
1753985700000,2025-07-31 18:15:00,0.325,0.328,0.324,0.327,42551.5,1753986599999,13886.48316,122,26623.33,8695.55611,0
1753986600000,2025-07-31 18:30:00,0.327,0.329,0.327,0.328,39707.84,1753987499999,13021.7893,152,12411.78,4071.12946,0
1753987500000,2025-07-31 18:45:00,0.328,0.328,0.325,0.326,28780.78,1753988399999,9388.28097,84,7966.54,2599.78896,0
1753988400000,2025-07-31 19:00:00,0.326,0.327,0.322,0.323,31881.57,1753989299999,10342.90198,119,11937.68,3872.33968,0
1753989300000,2025-07-31 19:15:00,0.323,0.324,0.322,0.322,54600.33,1753990199999,17605.94066,171,7448.38,2410.6776,0
1753990200000,2025-07-31 19:30:00,0.322,0.324,0.321,0.322,33360.03,1753991099999,10763.08727,155,26924.19,8687.52656,0
1753991100000,2025-07-31 19:45:00,0.323,0.324,0.321,0.322,27579.07,1753991999999,8892.01647,106,14096.28,4551.91672,0
1753992000000,2025-07-31 20:00:00,0.322,0.323,0.319,0.322,75263.35,1753992899999,24120.17573,169,29596.59,9503.63501,0
1753992900000,2025-07-31 20:15:00,0.322,0.324,0.32,0.321,38886.82,1753993799999,12504.54409,83,15413.67,4966.4387,0
1753993800000,2025-07-31 20:30:00,0.322,0.323,0.32,0.322,43319.0,1753994699999,13952.02047,123,37855.61,12199.22527,0
1753994700000,2025-07-31 20:45:00,0.322,0.323,0.319,0.32,33834.14,1753995599999,10818.6685,87,5196.52,1663.75348,0
1753995600000,2025-07-31 21:00:00,0.32,0.321,0.318,0.32,23594.15,1753996499999,7538.68749,102,8461.89,2705.43232,0
1753996500000,2025-07-31 21:15:00,0.32,0.32,0.316,0.319,45203.14,1753997399999,14331.52991,148,6689.12,2129.04831,0
1753997400000,2025-07-31 21:30:00,0.32,0.322,0.319,0.32,21703.62,1753998299999,6944.7422,66,17625.0,5642.68498,0
1753998300000,2025-07-31 21:45:00,0.319,0.32,0.311,0.316,157019.48,1753999199999,49308.7731,300,56204.88,17641.85576,0
1753999200000,2025-07-31 22:00:00,0.317,0.317,0.313,0.315,60154.05,1754000099999,18899.31201,209,23779.37,7479.89385,0
1754000100000,2025-07-31 22:15:00,0.315,0.318,0.315,0.316,45355.6,1754000999999,14329.42345,103,16991.58,5384.5165,0
1754001000000,2025-07-31 22:30:00,0.316,0.316,0.313,0.314,6426.85,1754001899999,2021.75614,61,3276.81,1032.42916,0
1754001900000,2025-07-31 22:45:00,0.314,0.316,0.313,0.315,22645.18,1754002799999,7122.34221,107,15611.96,4913.71337,0
1754002800000,2025-07-31 23:00:00,0.314,0.317,0.314,0.316,44406.01,1754003699999,14036.72932,180,22803.49,7215.68727,0
1754003700000,2025-07-31 23:15:00,0.315,0.316,0.313,0.314,13752.56,1754004599999,4330.22616,93,5904.88,1859.67613,0
1754004600000,2025-07-31 23:30:00,0.314,0.314,0.306,0.31,303180.69,1754005499999,93312.04735,656,48750.93,15059.87729,0
1754005500000,2025-07-31 23:45:00,0.31,0.312,0.309,0.31,44664.99,1754006399999,13881.28716,233,29610.11,9203.73396,0
1754006400000,2025-08-01 00:00:00,0.31,0.312,0.305,0.307,138488.85,1754007299999,42870.0793,460,66237.84,20519.3922,0
1754007300000,2025-08-01 00:15:00,0.307,0.312,0.307,0.31,101069.64,1754008199999,31283.41421,410,66914.83,20709.6771,0
1754008200000,2025-08-01 00:30:00,0.309,0.31,0.306,0.306,93737.44,1754009099999,28795.68023,151,19145.03,5893.99276,0
1754009100000,2025-08-01 00:45:00,0.306,0.313,0.301,0.311,163298.65,1754009999999,50084.70582,488,100515.94,30921.3698,0
1754010000000,2025-08-01 01:00:00,0.311,0.313,0.307,0.307,42926.08,1754010899999,13271.70603,145,13711.44,4237.88049,0
1754010900000,2025-08-01 01:15:00,0.308,0.311,0.307,0.309,75005.79,1754011799999,23167.0189,153,14088.08,4342.79135,0
1754011800000,2025-08-01 01:30:00,0.309,0.313,0.308,0.311,16787.99,1754012699999,5209.89459,123,3559.67,1105.88259,0
1754012700000,2025-08-01 01:45:00,0.311,0.311,0.307,0.311,21370.46,1754013599999,6611.23037,119,15163.96,4694.71091,0
1754013600000,2025-08-01 02:00:00,0.31,0.315,0.309,0.314,19143.53,1754014499999,5988.10536,103,15801.65,4945.44989,0
1754014500000,2025-08-01 02:15:00,0.313,0.317,0.313,0.314,199330.48,1754015399999,62932.74706,265,56763.51,17908.38245,0
1754015400000,2025-08-01 02:30:00,0.314,0.317,0.313,0.315,7219.47,1754016299999,2275.22875,59,6603.7,2081.35325,0
1754016300000,2025-08-01 02:45:00,0.314,0.315,0.313,0.315,35826.18,1754017199999,11224.91594,90,19144.84,6002.28524,0
1754017200000,2025-08-01 03:00:00,0.315,0.316,0.313,0.313,51980.13,1754018099999,16329.6814,148,30066.62,9454.89336,0
1754018100000,2025-08-01 03:15:00,0.314,0.316,0.313,0.313,75384.83,1754018999999,23660.58021,1308,12593.57,3960.93255,0
1754019000000,2025-08-01 03:30:00,0.314,0.316,0.312,0.312,97792.01,1754019899999,30635.08829,1771,20518.67,6448.46728,0
1754019900000,2025-08-01 03:45:00,0.313,0.314,0.31,0.311,191335.2,1754020799999,59583.98372,2506,50395.07,15723.97695,0
1754020800000,2025-08-01 04:00:00,0.311,0.312,0.307,0.309,138211.69,1754021699999,42702.77855,565,30764.5,9539.48896,0
1754021700000,2025-08-01 04:15:00,0.309,0.309,0.307,0.308,20969.53,1754022599999,6454.65106,170,8888.34,2738.01847,0
1754022600000,2025-08-01 04:30:00,0.308,0.31,0.307,0.308,17258.39,1754023499999,5317.84514,129,5558.5,1715.40212,0
1754023500000,2025-08-01 04:45:00,0.309,0.309,0.307,0.307,26296.26,1754024399999,8092.9374,152,5547.15,1710.02311,0
1754024400000,2025-08-01 05:00:00,0.308,0.308,0.306,0.306,6354.19,1754025299999,1951.34511,122,1570.11,483.2009,0
1754025300000,2025-08-01 05:15:00,0.306,0.307,0.303,0.305,64919.72,1754026199999,19797.63269,299,19629.87,5990.89271,0
1754026200000,2025-08-01 05:30:00,0.306,0.308,0.303,0.306,50066.43,1754027099999,15296.40945,218,21352.74,6515.30328,0
1754027100000,2025-08-01 05:45:00,0.305,0.305,0.302,0.304,176325.85,1754027999999,53486.40517,744,64320.04,19559.51624,0
1754028000000,2025-08-01 06:00:00,0.304,0.307,0.302,0.303,40068.48,1754028899999,12183.59418,278,18845.01,5725.06048,0
1754028900000,2025-08-01 06:15:00,0.304,0.305,0.303,0.303,56314.59,1754029799999,17140.79443,273,33722.4,10271.73461,0
1754029800000,2025-08-01 06:30:00,0.304,0.305,0.302,0.303,58321.56,1754030699999,17703.35885,242,15870.36,4817.63913,0
1754030700000,2025-08-01 06:45:00,0.303,0.308,0.303,0.306,50819.05,1754031599999,15560.18912,251,32457.01,9945.86245,0
1754031600000,2025-08-01 07:00:00,0.306,0.309,0.305,0.307,149233.67,1754032499999,45996.36302,390,102751.86,31696.45852,0
1754032500000,2025-08-01 07:15:00,0.306,0.308,0.305,0.306,82418.08,1754033399999,25325.16608,160,57417.28,17667.42654,0
1754033400000,2025-08-01 07:30:00,0.306,0.307,0.304,0.305,107276.47,1754034299999,32766.71819,270,72757.74,22213.84511,0
1754034300000,2025-08-01 07:45:00,0.306,0.306,0.304,0.304,27374.89,1754035199999,8331.07585,135,12930.21,3935.9059,0
1754035200000,2025-08-01 08:00:00,0.304,0.305,0.295,0.298,325232.78,1754036099999,97259.04303,880,64928.76,19427.13377,0
1754036100000,2025-08-01 08:15:00,0.298,0.301,0.297,0.299,102665.62,1754036999999,30683.08529,307,59808.68,17867.47044,0
1754037000000,2025-08-01 08:30:00,0.298,0.302,0.296,0.302,185210.67,1754037899999,55221.61256,376,100185.9,29874.46996,0
1754037900000,2025-08-01 08:45:00,0.302,0.303,0.299,0.299,57885.71,1754038799999,17447.77623,215,18985.12,5725.62974,0
1754038800000,2025-08-01 09:00:00,0.298,0.302,0.298,0.299,147440.16,1754039699999,44318.16209,236,80245.32,24127.58168,0
1754039700000,2025-08-01 09:15:00,0.298,0.301,0.298,0.299,26041.68,1754040599999,7793.57908,91,13770.73,4124.73735,0
1754040600000,2025-08-01 09:30:00,0.298,0.301,0.297,0.3,28857.37,1754041499999,8620.21563,121,16535.94,4938.2214,0
1754041500000,2025-08-01 09:45:00,0.299,0.299,0.295,0.295,76778.23,1754042399999,22731.33666,268,25951.38,7700.43229,0
1754042400000,2025-08-01 10:00:00,0.295,0.298,0.295,0.298,30067.24,1754043299999,8905.31484,213,15770.86,4678.54589,0
1754043300000,2025-08-01 10:15:00,0.297,0.299,0.297,0.299,48057.2,1754044199999,14312.08389,160,20654.69,6157.49864,0
1754044200000,2025-08-01 10:30:00,0.297,0.299,0.297,0.298,4297.42,1754045099999,1281.77561,41,1999.48,597.01086,0
1754045100000,2025-08-01 10:45:00,0.299,0.299,0.295,0.297,147344.16,1754045999999,43611.91392,211,7729.37,2297.54925,0
1754046000000,2025-08-01 11:00:00,0.298,0.298,0.296,0.298,22701.69,1754046899999,6753.40606,78,15815.65,4709.44321,0
1754046900000,2025-08-01 11:15:00,0.297,0.298,0.294,0.295,43641.58,1754047799999,12888.79439,90,11420.51,3387.61905,0
1754047800000,2025-08-01 11:30:00,0.294,0.299,0.294,0.297,36109.53,1754048699999,10736.78916,95,31576.91,9392.67323,0
1754048700000,2025-08-01 11:45:00,0.298,0.301,0.298,0.3,45348.01,1754049599999,13602.41417,231,21041.56,6316.39523,0
1754049600000,2025-08-01 12:00:00,0.3,0.303,0.299,0.301,101525.67,1754050499999,30581.90161,309,65601.39,19783.41955,0
1754050500000,2025-08-01 12:15:00,0.301,0.301,0.297,0.299,26815.88,1754051399999,8017.50721,95,3525.48,1052.25102,0
1754051400000,2025-08-01 12:30:00,0.298,0.304,0.298,0.301,63309.46,1754052299999,19071.29416,250,37403.11,11276.82784,0
1754052300000,2025-08-01 12:45:00,0.301,0.303,0.299,0.302,83429.14,1754053199999,25124.86724,521,57472.33,17318.12504,0
1754053200000,2025-08-01 13:00:00,0.301,0.303,0.3,0.302,82550.09,1754054099999,24969.78731,230,71394.41,21613.38376,0
