openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,5.982e-05,6.015e-05,5.981e-05,6.01e-05,822315556.46,1753975799999,49324.38913239,577,369035793.25,22137.36849602,0
1753975800000,2025-07-31 15:30:00,6.01e-05,6.049e-05,6.008e-05,6.038e-05,266991685.22,1753976699999,16114.09609135,344,83810334.98,5053.6376299,0
1753976700000,2025-07-31 15:45:00,6.037e-05,6.046e-05,6.025e-05,6.035e-05,145149821.06,1753977599999,8762.37057964,175,58654168.98,3541.17983739,0
1753977600000,2025-07-31 16:00:00,6.03e-05,6.052e-05,6.026e-05,6.05e-05,136965370.52,1753978499999,8266.89926997,195,60042644.82,3625.80399067,0
1753978500000,2025-07-31 16:15:00,6.052e-05,6.095e-05,6.052e-05,6.081e-05,271082767.88,1753979399999,16476.77552406,357,172922563.65,10517.62501908,0
1753979400000,2025-07-31 16:30:00,6.081e-05,6.129e-05,6.081e-05,6.117e-05,460733788.45,1753980299999,28172.05579398,438,256301872.07,15665.57286499,0
1753980300000,2025-07-31 16:45:00,6.117e-05,6.119e-05,6.085e-05,6.092e-05,123784397.98,1753981199999,7546.79068769,207,39304720.94,2395.86257308,0
1753981200000,2025-07-31 17:00:00,6.093e-05,6.093e-05,6.061e-05,6.079e-05,200690776.49,1753982099999,12188.53156172,312,75860831.68,4609.47727358,0
1753982100000,2025-07-31 17:15:00,6.079e-05,6.095e-05,6.033e-05,6.047e-05,292643676.85,1753982999999,17731.0151347,324,75296460.3,4563.72054945,0
1753983000000,2025-07-31 17:30:00,6.05e-05,6.091e-05,6.047e-05,6.063e-05,641734179.81,1753983899999,38998.1434678,334,567448498.84,34494.10576467,0
1753983900000,2025-07-31 17:45:00,6.064e-05,6.08e-05,6.034e-05,6.052e-05,387971732.25,1753984799999,23494.14939667,426,236690747.72,14340.83870831,0
1753984800000,2025-07-31 18:00:00,6.053e-05,6.06e-05,5.994e-05,6.019e-05,577562967.57,1753985699999,34800.82979551,455,254425350.48,15360.92571102,0
1753985700000,2025-07-31 18:15:00,6.013e-05,6.052e-05,6.001e-05,6.049e-05,201144458.02,1753986599999,12108.05648998,219,103272785.26,6217.78515143,0
1753986600000,2025-07-31 18:30:00,6.052e-05,6.071e-05,6.052e-05,6.055e-05,239226748.84,1753987499999,14489.36657274,224,142606847.62,8637.45809902,0
1753987500000,2025-07-31 18:45:00,6.055e-05,6.073e-05,6.041e-05,6.049e-05,102292234.79,1753988399999,6200.3016523,180,62444287.27,3785.26825593,0
1753988400000,2025-07-31 19:00:00,6.052e-05,6.055e-05,6.013e-05,6.013e-05,135528290.63,1753989299999,8178.74171083,205,41538951.01,2505.7356517,0
