openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.215,0.217,0.214,0.217,102755.7,1753975799999,22149.9763,130,70159.9,15136.1937,0
1753975800000,2025-07-31 15:30:00,0.217,0.22,0.216,0.219,175374.5,1753976699999,38287.9744,317,144732.6,31604.1775,0
1753976700000,2025-07-31 15:45:00,0.219,0.22,0.217,0.218,47529.5,1753977599999,10359.902,96,13544.7,2955.2148,0
1753977600000,2025-07-31 16:00:00,0.217,0.218,0.216,0.218,136200.8,1753978499999,29525.8061,143,51880.6,11288.2251,0
1753978500000,2025-07-31 16:15:00,0.217,0.222,0.217,0.222,339968.3,1753979399999,74868.7993,362,303419.0,66840.1897,0
1753979400000,2025-07-31 16:30:00,0.222,0.225,0.221,0.224,300569.8,1753980299999,66971.8176,672,209593.2,46679.4693,0
1753980300000,2025-07-31 16:45:00,0.223,0.224,0.221,0.221,59967.1,1753981199999,13321.8573,163,29638.3,6591.4074,0
1753981200000,2025-07-31 17:00:00,0.222,0.222,0.219,0.221,115232.9,1753982099999,25374.1917,147,44640.0,9828.3953,0
1753982100000,2025-07-31 17:15:00,0.221,0.223,0.219,0.22,388597.8,1753982999999,85823.2621,284,180748.7,39983.2804,0
1753983000000,2025-07-31 17:30:00,0.219,0.221,0.218,0.219,108765.8,1753983899999,23889.3415,176,58242.4,12802.6449,0
1753983900000,2025-07-31 17:45:00,0.22,0.22,0.218,0.219,68236.4,1753984799999,14951.6168,147,54752.7,12000.1471,0
1753984800000,2025-07-31 18:00:00,0.219,0.219,0.215,0.216,341855.5,1753985699999,74287.8331,151,16030.0,3487.8753,0
1753985700000,2025-07-31 18:15:00,0.216,0.218,0.215,0.218,203347.1,1753986599999,43990.0156,247,99469.6,21587.3637,0
1753986600000,2025-07-31 18:30:00,0.219,0.22,0.218,0.218,150981.7,1753987499999,33095.4503,311,99840.0,21901.9798,0
1753987500000,2025-07-31 18:45:00,0.219,0.22,0.216,0.217,47871.4,1753988399999,10421.0579,73,20427.3,4455.1568,0
1753988400000,2025-07-31 19:00:00,0.218,0.218,0.215,0.215,47952.8,1753989299999,10405.9305,124,24972.1,5420.3004,0
1753989300000,2025-07-31 19:15:00,0.216,0.217,0.215,0.217,40565.9,1753990199999,8790.0274,66,28172.4,6107.8324,0
1753990200000,2025-07-31 19:30:00,0.216,0.217,0.216,0.217,38478.4,1753991099999,8319.9112,86,17745.3,3841.5616,0
1753991100000,2025-07-31 19:45:00,0.216,0.217,0.216,0.217,83456.3,1753991999999,18072.0491,129,50678.5,10984.1434,0
1753992000000,2025-07-31 20:00:00,0.217,0.217,0.214,0.216,176110.2,1753992899999,37857.9516,351,105946.4,22802.77,0
1753992900000,2025-07-31 20:15:00,0.216,0.218,0.214,0.215,229304.2,1753993799999,49693.5617,295,181205.0,39328.6381,0
1753993800000,2025-07-31 20:30:00,0.216,0.217,0.214,0.216,75272.4,1753994699999,16234.5778,217,41200.0,8885.595,0
1753994700000,2025-07-31 20:45:00,0.215,0.216,0.214,0.216,13141.6,1753995599999,2828.0881,49,8482.0,1826.5305,0
1753995600000,2025-07-31 21:00:00,0.215,0.216,0.214,0.214,131273.5,1753996499999,28213.1613,250,55586.1,11960.3353,0
1753996500000,2025-07-31 21:15:00,0.214,0.215,0.213,0.215,56938.0,1753997399999,12157.3418,122,15516.9,3321.1529,0
1753997400000,2025-07-31 21:30:00,0.215,0.217,0.214,0.214,187264.0,1753998299999,40398.8564,299,105548.2,22868.5519,0
1753998300000,2025-07-31 21:45:00,0.214,0.215,0.209,0.213,277708.1,1753999199999,58862.904,367,54700.8,11565.5603,0
1753999200000,2025-07-31 22:00:00,0.213,0.213,0.21,0.211,121334.5,1754000099999,25651.8649,193,53107.2,11228.9847,0
1754000100000,2025-07-31 22:15:00,0.211,0.213,0.21,0.211,167779.9,1754000999999,35518.7647,263,86380.2,18286.5098,0
1754001000000,2025-07-31 22:30:00,0.211,0.211,0.209,0.211,109770.5,1754001899999,23061.8001,150,59096.3,12417.2814,0
1754001900000,2025-07-31 22:45:00,0.21,0.211,0.209,0.21,98173.0,1754002799999,20613.9624,99,59320.1,12462.0948,0
1754002800000,2025-07-31 23:00:00,0.21,0.212,0.209,0.212,67530.9,1754003699999,14237.0262,136,24737.1,5223.1603,0
1754003700000,2025-07-31 23:15:00,0.211,0.211,0.209,0.21,73036.6,1754004599999,15356.3413,128,22655.4,4773.4138,0
1754004600000,2025-07-31 23:30:00,0.21,0.21,0.206,0.207,281237.6,1754005499999,58448.7884,418,122758.3,25528.0448,0
1754005500000,2025-07-31 23:45:00,0.208,0.209,0.207,0.208,102257.5,1754006399999,21227.2658,170,38081.4,7915.7216,0
1754006400000,2025-08-01 00:00:00,0.208,0.208,0.204,0.204,245327.8,1754007299999,50487.6381,329,127658.2,26301.5724,0
1754007300000,2025-08-01 00:15:00,0.204,0.208,0.204,0.206,268876.6,1754008199999,55274.5201,417,147598.0,30336.9405,0
1754008200000,2025-08-01 00:30:00,0.206,0.206,0.203,0.204,140924.5,1754009099999,28848.6012,242,52433.0,10728.8077,0
1754009100000,2025-08-01 00:45:00,0.203,0.208,0.2,0.207,487293.9,1754009999999,98733.1117,671,183577.9,37354.8491,0
1754010000000,2025-08-01 01:00:00,0.206,0.208,0.204,0.204,244702.4,1754010899999,50345.9588,287,101582.2,20898.6271,0
1754010900000,2025-08-01 01:15:00,0.205,0.207,0.204,0.206,303622.6,1754011799999,62388.3839,462,187372.9,38513.1217,0
1754011800000,2025-08-01 01:30:00,0.206,0.208,0.204,0.206,192642.6,1754012699999,39721.4618,322,127530.0,26316.5638,0
1754012700000,2025-08-01 01:45:00,0.207,0.208,0.205,0.206,200272.5,1754013599999,41320.9856,349,144703.0,29861.767,0
1754013600000,2025-08-01 02:00:00,0.206,0.209,0.205,0.209,153543.3,1754014499999,31775.3054,311,88985.7,18428.7263,0
1754014500000,2025-08-01 02:15:00,0.208,0.209,0.208,0.208,129800.3,1754015399999,27072.2455,246,80275.3,16766.9779,0
1754015400000,2025-08-01 02:30:00,0.208,0.21,0.207,0.209,77243.5,1754016299999,16112.733,164,52855.7,11023.2061,0
1754016300000,2025-08-01 02:45:00,0.209,0.209,0.208,0.209,38162.6,1754017199999,7963.5086,70,24443.6,5108.7124,0
1754017200000,2025-08-01 03:00:00,0.208,0.21,0.208,0.209,85697.0,1754018099999,17899.8063,123,42787.5,8942.6446,0
1754018100000,2025-08-01 03:15:00,0.209,0.21,0.207,0.21,105761.6,1754018999999,22119.2118,136,65315.0,13664.8613,0
1754019000000,2025-08-01 03:30:00,0.21,0.21,0.208,0.209,88276.5,1754019899999,18454.3392,136,31606.5,6610.3702,0
1754019900000,2025-08-01 03:45:00,0.209,0.21,0.208,0.208,35401.2,1754020799999,7397.856,84,26797.9,5601.0619,0
