openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,1.281,1.286,1.28,1.286,4806.8,1753975799999,6166.869,74,3368.4,4321.1691,0
1753975800000,2025-07-31 15:30:00,1.287,1.296,1.287,1.294,7231.8,1753976699999,9341.4813,104,4986.1,6437.5215,0
1753976700000,2025-07-31 15:45:00,1.293,1.295,1.287,1.291,4494.0,1753977599999,5804.5914,39,2360.5,3051.0275,0
1753977600000,2025-07-31 16:00:00,1.291,1.293,1.286,1.291,14387.6,1753978499999,18562.3424,120,5455.9,7039.0952,0
1753978500000,2025-07-31 16:15:00,1.292,1.301,1.292,1.3,23627.1,1753979399999,30614.6263,225,15650.3,20286.5446,0
1753979400000,2025-07-31 16:30:00,1.301,1.313,1.301,1.31,14989.4,1753980299999,19614.3749,189,10759.5,14070.6459,0
1753980300000,2025-07-31 16:45:00,1.31,1.31,1.303,1.305,13003.2,1753981199999,16991.8861,104,3790.1,4957.1883,0
1753981200000,2025-07-31 17:00:00,1.304,1.304,1.3,1.303,11697.6,1753982099999,15241.1245,156,4959.7,6458.4145,0
1753982100000,2025-07-31 17:15:00,1.303,1.306,1.294,1.297,65882.9,1753982999999,85637.0896,315,8814.6,11445.3713,0
1753983000000,2025-07-31 17:30:00,1.298,1.302,1.294,1.295,10504.1,1753983899999,13640.1072,102,5556.1,7215.4327,0
1753983900000,2025-07-31 17:45:00,1.298,1.298,1.287,1.288,10413.5,1753984799999,13434.9971,100,2613.6,3370.8863,0
1753984800000,2025-07-31 18:00:00,1.289,1.29,1.281,1.283,29380.6,1753985699999,37718.2865,174,11794.9,15160.7632,0
1753985700000,2025-07-31 18:15:00,1.283,1.292,1.28,1.292,22472.9,1753986599999,28854.8236,119,15361.2,19739.891,0
1753986600000,2025-07-31 18:30:00,1.291,1.298,1.291,1.294,24526.6,1753987499999,31772.602,220,17939.4,23244.6279,0
1753987500000,2025-07-31 18:45:00,1.294,1.297,1.287,1.29,9613.5,1753988399999,12412.6776,101,3557.5,4588.3165,0
1753988400000,2025-07-31 19:00:00,1.29,1.291,1.282,1.282,26366.0,1753989299999,33928.1292,211,12465.3,16051.9648,0
1753989300000,2025-07-31 19:15:00,1.282,1.286,1.282,1.283,22114.4,1753990199999,28399.5665,170,10638.2,13659.4541,0
1753990200000,2025-07-31 19:30:00,1.284,1.289,1.284,1.288,6422.0,1753991099999,8265.1159,48,2692.8,3467.181,0
1753991100000,2025-07-31 19:45:00,1.288,1.288,1.281,1.285,12567.4,1753991999999,16138.9604,105,3179.9,4083.0241,0
1753992000000,2025-07-31 20:00:00,1.285,1.285,1.274,1.278,16897.6,1753992899999,21609.2427,205,6539.9,8362.2554,0
1753992900000,2025-07-31 20:15:00,1.278,1.284,1.277,1.28,4195.4,1753993799999,5369.9982,72,1965.7,2515.5862,0
1753993800000,2025-07-31 20:30:00,1.281,1.282,1.278,1.28,5961.1,1753994699999,7632.0529,83,3957.3,5067.0762,0
1753994700000,2025-07-31 20:45:00,1.28,1.281,1.275,1.278,6584.5,1753995599999,8409.1943,51,4724.2,6032.6449,0
1753995600000,2025-07-31 21:00:00,1.277,1.278,1.271,1.271,15576.6,1753996499999,19850.9993,146,4176.2,5316.3421,0
1753996500000,2025-07-31 21:15:00,1.272,1.273,1.268,1.273,28170.7,1753997399999,35748.3578,236,9353.3,11874.8872,0
1753997400000,2025-07-31 21:30:00,1.273,1.28,1.272,1.277,24041.2,1753998299999,30721.6102,250,18100.3,23135.0109,0
1753998300000,2025-07-31 21:45:00,1.276,1.276,1.26,1.268,44802.4,1753999199999,56770.7624,335,6693.3,8462.132,0
1753999200000,2025-07-31 22:00:00,1.267,1.267,1.256,1.26,10995.3,1754000099999,13861.7901,169,5844.2,7371.7283,0
1754000100000,2025-07-31 22:15:00,1.26,1.265,1.258,1.261,12610.4,1754000999999,15905.7762,113,6870.5,8666.9372,0
1754001000000,2025-07-31 22:30:00,1.261,1.261,1.252,1.257,29076.2,1754001899999,36505.0663,120,12153.3,15267.9527,0
1754001900000,2025-07-31 22:45:00,1.256,1.259,1.253,1.257,9854.9,1754002799999,12378.7854,80,3634.5,4563.616,0
1754002800000,2025-07-31 23:00:00,1.257,1.265,1.257,1.264,13554.7,1754003699999,17125.7629,190,11262.0,14231.8353,0
1754003700000,2025-07-31 23:15:00,1.262,1.262,1.257,1.257,12152.2,1754004599999,15301.2157,100,2054.1,2585.5356,0
1754004600000,2025-07-31 23:30:00,1.256,1.256,1.244,1.25,32249.0,1754005499999,40289.6728,398,11408.8,14257.1513,0
1754005500000,2025-07-31 23:45:00,1.25,1.252,1.247,1.25,8399.4,1754006399999,10497.7944,104,6178.1,7721.2362,0
1754006400000,2025-08-01 00:00:00,1.251,1.251,1.226,1.229,54219.6,1754007299999,67064.1167,466,25558.7,31646.2935,0
1754007300000,2025-08-01 00:15:00,1.229,1.245,1.227,1.239,22094.9,1754008199999,27366.3182,306,13290.0,16454.0974,0
1754008200000,2025-08-01 00:30:00,1.236,1.237,1.225,1.229,18746.1,1754009099999,23068.7586,266,12317.9,15161.2649,0
1754009100000,2025-08-01 00:45:00,1.228,1.236,1.203,1.234,108580.7,1754009999999,132212.2561,1014,41132.4,50059.8488,0
1754010000000,2025-08-01 01:00:00,1.233,1.238,1.22,1.22,34989.6,1754010899999,43015.8233,383,12863.3,15808.431,0
1754010900000,2025-08-01 01:15:00,1.222,1.231,1.218,1.226,40855.0,1754011799999,50054.4119,468,20974.0,25724.5306,0
1754011800000,2025-08-01 01:30:00,1.227,1.237,1.222,1.232,40442.5,1754012699999,49858.1493,308,19259.6,23755.2255,0
1754012700000,2025-08-01 01:45:00,1.232,1.233,1.222,1.229,26100.5,1754013599999,32044.062,223,9576.5,11765.911,0
1754013600000,2025-08-01 02:00:00,1.228,1.239,1.225,1.238,13808.1,1754014499999,17027.0808,147,6702.2,8272.4979,0
1754014500000,2025-08-01 02:15:00,1.237,1.243,1.235,1.238,28986.5,1754015399999,35935.8334,162,12054.6,14945.6969,0
1754015400000,2025-08-01 02:30:00,1.237,1.243,1.236,1.24,9435.1,1754016299999,11700.1672,78,6363.4,7894.6372,0
1754016300000,2025-08-01 02:45:00,1.239,1.243,1.238,1.241,18262.9,1754017199999,22656.6192,176,12314.7,15278.5374,0
1754017200000,2025-08-01 03:00:00,1.242,1.246,1.24,1.242,23229.3,1754018099999,28897.2285,144,18883.3,23491.1439,0
1754018100000,2025-08-01 03:15:00,1.242,1.251,1.24,1.251,17920.9,1754018999999,22339.2015,158,14519.0,18098.1472,0
1754019000000,2025-08-01 03:30:00,1.25,1.25,1.246,1.248,17643.0,1754019899999,22031.0183,126,7039.8,8793.3106,0
1754019900000,2025-08-01 03:45:00,1.248,1.249,1.242,1.244,10541.5,1754020799999,13121.0114,73,5735.7,7143.2095,0
1754020800000,2025-08-01 04:00:00,1.245,1.245,1.237,1.24,15563.2,1754021699999,19324.7018,126,4285.0,5327.2242,0
1754021700000,2025-08-01 04:15:00,1.24,1.24,1.234,1.236,35178.1,1754022599999,43480.1162,99,7033.5,8694.4025,0
1754022600000,2025-08-01 04:30:00,1.237,1.242,1.235,1.238,6613.8,1754023499999,8191.3468,63,3285.5,4068.4052,0
1754023500000,2025-08-01 04:45:00,1.239,1.241,1.235,1.236,11282.5,1754024399999,13966.7085,154,7956.0,9848.3279,0
1754024400000,2025-08-01 05:00:00,1.235,1.239,1.234,1.237,4888.3,1754025299999,6045.9244,80,3644.8,4507.6609,0
1754025300000,2025-08-01 05:15:00,1.237,1.237,1.225,1.229,19220.8,1754026199999,23609.6074,212,9556.0,11741.0225,0
1754026200000,2025-08-01 05:30:00,1.229,1.234,1.222,1.226,26693.4,1754027099999,32721.5228,300,17109.6,20954.0691,0
1754027100000,2025-08-01 05:45:00,1.225,1.227,1.22,1.225,43283.5,1754027999999,52923.9043,327,16729.4,20458.6686,0
1754028000000,2025-08-01 06:00:00,1.224,1.23,1.217,1.224,27054.2,1754028899999,33139.2035,223,16261.6,19932.9389,0
1754028900000,2025-08-01 06:15:00,1.225,1.227,1.218,1.219,19058.6,1754029799999,23301.621,248,13975.9,17091.2178,0
1754029800000,2025-08-01 06:30:00,1.22,1.224,1.217,1.217,15397.3,1754030699999,18801.0105,166,5584.6,6819.085,0
1754030700000,2025-08-01 06:45:00,1.217,1.229,1.216,1.228,22996.5,1754031599999,28187.5844,135,14019.9,17193.4147,0
1754031600000,2025-08-01 07:00:00,1.229,1.234,1.227,1.23,12910.2,1754032499999,15886.7397,128,5256.6,6474.2376,0
1754032500000,2025-08-01 07:15:00,1.231,1.234,1.227,1.227,13879.3,1754033399999,17081.4646,201,8139.8,10018.1241,0
1754033400000,2025-08-01 07:30:00,1.228,1.231,1.224,1.231,25480.9,1754034299999,31234.1106,91,6624.7,8132.9758,0
1754034300000,2025-08-01 07:45:00,1.23,1.23,1.223,1.227,10903.4,1754035199999,13370.3073,74,3553.6,4359.6326,0
1754035200000,2025-08-01 08:00:00,1.227,1.227,1.201,1.21,41702.1,1754036099999,50470.772,391,18378.7,22247.0242,0
1754036100000,2025-08-01 08:15:00,1.21,1.217,1.205,1.212,21620.3,1754036999999,26232.3735,220,14348.1,17418.4432,0
1754037000000,2025-08-01 08:30:00,1.213,1.226,1.209,1.225,28833.0,1754037899999,35115.0608,259,11148.3,13572.2655,0
1754037900000,2025-08-01 08:45:00,1.224,1.228,1.217,1.217,16783.6,1754038799999,20533.4132,107,8455.2,10349.8278,0
1754038800000,2025-08-01 09:00:00,1.217,1.233,1.217,1.223,54438.2,1754039699999,66810.7702,364,31563.3,38742.8918,0
1754039700000,2025-08-01 09:15:00,1.223,1.228,1.222,1.224,9581.2,1754040599999,11731.8617,128,5440.4,6663.3913,0
1754040600000,2025-08-01 09:30:00,1.225,1.227,1.222,1.225,8880.1,1754041499999,10877.4918,102,5076.7,6221.3936,0
1754041500000,2025-08-01 09:45:00,1.224,1.224,1.215,1.215,10868.9,1754042399999,13246.9986,116,4500.6,5485.6728,0
1754042400000,2025-08-01 10:00:00,1.215,1.222,1.214,1.221,9194.8,1754043299999,11201.7497,65,4636.8,5644.2164,0
1754043300000,2025-08-01 10:15:00,1.222,1.224,1.22,1.222,10028.1,1754044199999,12253.9365,117,6452.8,7886.4984,0
1754044200000,2025-08-01 10:30:00,1.222,1.226,1.221,1.222,8594.4,1754045099999,10511.6865,54,4172.2,5104.7191,0
1754045100000,2025-08-01 10:45:00,1.222,1.222,1.217,1.221,5817.1,1754045999999,7096.9545,46,2958.1,3607.8014,0
1754046000000,2025-08-01 11:00:00,1.221,1.221,1.215,1.218,19721.8,1754046899999,24032.3362,182,14111.5,17196.6814,0
1754046900000,2025-08-01 11:15:00,1.217,1.217,1.21,1.212,12484.7,1754047799999,15139.4108,131,8180.0,9917.6689,0
1754047800000,2025-08-01 11:30:00,1.212,1.216,1.209,1.216,26596.9,1754048699999,32234.4373,405,17936.2,21732.9379,0
1754048700000,2025-08-01 11:45:00,1.216,1.224,1.216,1.222,11408.4,1754049599999,13928.7724,73,1878.6,2292.5036,0
