openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,15.62,15.7,15.59,15.69,1158.583,1753975799999,18144.75826,350,856.298,13411.04525,0
1753975800000,2025-07-31 15:30:00,15.68,15.89,15.66,15.84,2848.98,1753976699999,45018.81399,667,2037.591,32216.73703,0
1753976700000,2025-07-31 15:45:00,15.84,15.9,15.78,15.84,553.22,1753977599999,8752.1725,196,275.552,4361.24116,0
1753977600000,2025-07-31 16:00:00,15.82,15.86,15.79,15.84,843.779,1753978499999,13359.60823,291,383.239,6066.10673,0
1753978500000,2025-07-31 16:15:00,15.84,16.02,15.84,16.0,1114.692,1753979399999,17759.31272,381,821.628,13090.906,0
1753979400000,2025-07-31 16:30:00,16.0,16.22,16.0,16.16,2028.542,1753980299999,32742.07738,482,1061.625,17100.72375,0
1753980300000,2025-07-31 16:45:00,16.14,16.15,16.02,16.07,733.467,1753981199999,11791.8768,233,373.085,5993.3683,0
1753981200000,2025-07-31 17:00:00,16.07,16.07,15.95,16.01,594.35,1753982099999,9517.79572,153,280.531,4491.24259,0
1753982100000,2025-07-31 17:15:00,16.01,16.09,15.89,15.95,1054.357,1753982999999,16846.46241,285,512.421,8201.34914,0
1753983000000,2025-07-31 17:30:00,15.95,16.01,15.9,15.94,692.353,1753983899999,11050.71023,202,411.724,6573.59959,0
1753983900000,2025-07-31 17:45:00,15.95,15.97,15.82,15.86,611.113,1753984799999,9698.67925,247,294.997,4682.42016,0
1753984800000,2025-07-31 18:00:00,15.86,15.87,15.68,15.76,1196.41,1753985699999,18865.26038,332,528.768,8336.57933,0
1753985700000,2025-07-31 18:15:00,15.73,15.89,15.7,15.89,617.017,1753986599999,9743.36439,185,387.408,6120.34264,0
1753986600000,2025-07-31 18:30:00,15.88,15.95,15.87,15.9,526.084,1753987499999,8372.56772,186,305.873,4868.50473,0
1753987500000,2025-07-31 18:45:00,15.9,15.95,15.8,15.84,553.218,1753988399999,8785.96015,218,266.729,4238.57504,0
1753988400000,2025-07-31 19:00:00,15.85,15.87,15.68,15.68,836.536,1753989299999,13193.42562,259,273.354,4314.90534,0
1753989300000,2025-07-31 19:15:00,15.69,15.81,15.69,15.77,1659.685,1753990199999,26147.71529,291,1407.812,22179.53978,0
1753990200000,2025-07-31 19:30:00,15.76,15.79,15.72,15.77,467.133,1753991099999,7364.27976,185,259.992,4099.51838,0
1753991100000,2025-07-31 19:45:00,15.78,15.8,15.68,15.74,385.832,1753991999999,6073.76272,154,182.364,2871.58566,0
1753992000000,2025-07-31 20:00:00,15.74,15.76,15.58,15.66,1792.624,1753992899999,28104.45039,602,1066.104,16721.66573,0
1753992900000,2025-07-31 20:15:00,15.67,15.78,15.64,15.69,660.641,1753993799999,10382.47712,223,302.573,4759.55519,0
1753993800000,2025-07-31 20:30:00,15.71,15.75,15.64,15.68,497.919,1753994699999,7816.17391,194,224.003,3517.12277,0
1753994700000,2025-07-31 20:45:00,15.68,15.71,15.62,15.65,523.603,1753995599999,8202.84284,185,321.606,5037.86231,0
1753995600000,2025-07-31 21:00:00,15.65,15.72,15.6,15.62,533.446,1753996499999,8351.86012,189,282.266,4419.62828,0
1753996500000,2025-07-31 21:15:00,15.62,15.63,15.55,15.63,596.659,1753997399999,9307.72757,235,338.981,5287.60578,0
1753997400000,2025-07-31 21:30:00,15.64,15.75,15.64,15.67,1751.193,1753998299999,27536.03331,330,648.177,10178.2492,0
1753998300000,2025-07-31 21:45:00,15.68,15.68,15.39,15.52,4272.871,1753999199999,66439.63296,438,1124.639,17361.22606,0
1753999200000,2025-07-31 22:00:00,15.52,15.52,15.4,15.47,2831.507,1754000099999,43830.3179,549,747.275,11561.1146,0
1754000100000,2025-07-31 22:15:00,15.46,15.54,15.38,15.42,1388.979,1754000999999,21419.39629,338,555.638,8570.82302,0
1754001000000,2025-07-31 22:30:00,15.43,15.43,15.27,15.29,1732.011,1754001899999,26510.35182,505,872.969,13366.90277,0
1754001900000,2025-07-31 22:45:00,15.3,15.33,15.24,15.31,638.612,1754002799999,9758.52162,210,322.437,4926.90932,0
1754002800000,2025-07-31 23:00:00,15.32,15.46,15.3,15.42,787.951,1754003699999,12143.40266,349,424.005,6535.10788,0
1754003700000,2025-07-31 23:15:00,15.43,15.43,15.33,15.33,619.843,1754004599999,9535.9934,301,237.627,3654.80659,0
1754004600000,2025-07-31 23:30:00,15.34,15.34,15.15,15.23,3183.921,1754005499999,48512.87126,1076,1641.248,25022.25376,0
1754005500000,2025-07-31 23:45:00,15.25,15.27,15.19,15.21,658.192,1754006399999,10025.47518,236,242.266,3691.75944,0
1754006400000,2025-08-01 00:00:00,15.22,15.34,15.06,15.11,4178.792,1754007299999,63619.46028,1108,2518.582,38410.87461,0
1754007300000,2025-08-01 00:15:00,15.12,15.33,15.09,15.21,1270.231,1754008199999,19296.61029,423,663.454,10079.00712,0
1754008200000,2025-08-01 00:30:00,15.22,15.23,15.05,15.09,1151.623,1754009099999,17421.52015,338,381.602,5775.17957,0
1754009100000,2025-08-01 00:45:00,15.1,15.34,14.88,15.3,6542.988,1754009999999,98251.22958,1695,3146.134,47281.02331,0
1754010000000,2025-08-01 01:00:00,15.29,15.4,15.12,15.13,1409.682,1754010899999,21501.38455,497,738.158,11261.33322,0
