openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,8.78,8.81,8.78,8.8,1258.01,1753975799999,11059.242,125,415.94,3656.8569,0
1753975800000,2025-07-31 15:30:00,8.8,8.9,8.8,8.88,1036.09,1753976699999,9184.3994,102,764.93,6781.4679,0
1753976700000,2025-07-31 15:45:00,8.89,8.9,8.84,8.87,579.07,1753977599999,5133.7004,42,134.89,1195.0337,0
1753977600000,2025-07-31 16:00:00,8.87,8.88,8.83,8.88,1964.81,1753978499999,17413.6459,274,1487.94,13188.0911,0
1753978500000,2025-07-31 16:15:00,8.88,8.93,8.87,8.92,1690.27,1753979399999,15043.905,161,650.39,5789.4765,0
1753979400000,2025-07-31 16:30:00,8.94,9.0,8.93,8.98,2769.36,1753980299999,24820.5594,128,1249.67,11197.8991,0
1753980300000,2025-07-31 16:45:00,8.98,8.98,8.93,8.97,597.57,1753981199999,5350.1114,64,410.58,3675.4349,0
1753981200000,2025-07-31 17:00:00,8.96,8.96,8.9,8.92,1442.34,1753982099999,12855.8994,56,138.54,1235.5704,0
1753982100000,2025-07-31 17:15:00,8.92,8.94,8.87,8.88,483.0,1753982999999,4297.5848,30,92.79,824.8608,0
1753983000000,2025-07-31 17:30:00,8.91,8.93,8.88,8.88,287.5,1753983899999,2559.9601,25,75.54,672.7535,0
1753983900000,2025-07-31 17:45:00,8.9,8.9,8.81,8.84,3331.53,1753984799999,29393.7882,80,1920.29,16930.4066,0
1753984800000,2025-07-31 18:00:00,8.85,8.85,8.78,8.8,423.52,1753985699999,3729.5055,40,155.37,1368.5902,0
1753985700000,2025-07-31 18:15:00,8.8,8.87,8.8,8.87,381.63,1753986599999,3374.9178,41,5.01,44.2396,0
1753986600000,2025-07-31 18:30:00,8.88,8.9,8.87,8.88,316.96,1753987499999,2816.1403,30,149.72,1330.133,0
1753987500000,2025-07-31 18:45:00,8.88,8.89,8.82,8.85,529.13,1753988399999,4680.1664,56,207.76,1836.8424,0
1753988400000,2025-07-31 19:00:00,8.85,8.86,8.78,8.78,414.69,1753989299999,3656.7442,35,188.87,1666.8382,0
1753989300000,2025-07-31 19:15:00,8.78,8.86,8.78,8.8,1513.13,1753990199999,13354.6431,96,1251.2,11047.2805,0
1753990200000,2025-07-31 19:30:00,8.81,8.83,8.78,8.82,1172.56,1753991099999,10336.8136,75,632.12,5576.4978,0
1753991100000,2025-07-31 19:45:00,8.82,8.82,8.77,8.79,1282.99,1753991999999,11284.7147,52,1006.32,8851.8506,0
1753992000000,2025-07-31 20:00:00,8.77,8.8,8.72,8.76,955.96,1753992899999,8367.3368,53,425.92,3734.353,0
1753992900000,2025-07-31 20:15:00,8.75,8.78,8.74,8.76,421.4,1753993799999,3690.3152,28,153.98,1350.8196,0
1753993800000,2025-07-31 20:30:00,8.77,8.78,8.74,8.75,405.32,1753994699999,3544.1917,26,23.31,204.1449,0
1753994700000,2025-07-31 20:45:00,8.77,8.8,8.76,8.79,440.61,1753995599999,3865.278,39,315.86,2772.33,0
1753995600000,2025-07-31 21:00:00,8.79,8.81,8.76,8.78,1496.43,1753996499999,13151.8964,72,1185.49,10420.8009,0
1753996500000,2025-07-31 21:15:00,8.77,8.8,8.76,8.8,418.29,1753997399999,3668.1742,37,41.39,363.6671,0
1753997400000,2025-07-31 21:30:00,8.79,8.83,8.78,8.78,840.1,1753998299999,7388.6946,47,14.13,124.4135,0
1753998300000,2025-07-31 21:45:00,8.79,8.79,8.67,8.74,1263.52,1753999199999,11033.7063,138,519.26,4526.7418,0
1753999200000,2025-07-31 22:00:00,8.74,8.74,8.66,8.68,1273.72,1754000099999,11074.8346,77,121.65,1061.7877,0
1754000100000,2025-07-31 22:15:00,8.71,8.71,8.66,8.69,600.79,1754000999999,5215.59,38,300.53,2609.9673,0
1754001000000,2025-07-31 22:30:00,8.67,8.67,8.64,8.66,1116.1,1754001899999,9661.6458,52,475.0,4112.6432,0
1754001900000,2025-07-31 22:45:00,8.67,8.68,8.64,8.68,381.27,1754002799999,3306.1632,36,278.16,2412.6551,0
1754002800000,2025-07-31 23:00:00,8.68,8.72,8.68,8.71,738.77,1754003699999,6436.6308,36,251.51,2191.2641,0
1754003700000,2025-07-31 23:15:00,8.68,8.69,8.66,8.66,392.11,1754004599999,3403.8812,18,32.4,281.232,0
1754004600000,2025-07-31 23:30:00,8.66,8.66,8.57,8.61,4263.35,1754005499999,36690.6967,212,1798.92,15494.5623,0
1754005500000,2025-07-31 23:45:00,8.61,8.63,8.59,8.62,647.94,1754006399999,5579.9992,46,269.55,2321.8423,0
1754006400000,2025-08-01 00:00:00,8.61,8.63,8.52,8.54,965.74,1754007299999,8274.0559,79,201.61,1731.8428,0
1754007300000,2025-08-01 00:15:00,8.55,8.64,8.54,8.56,1397.26,1754008199999,12002.8652,72,542.21,4654.7962,0
1754008200000,2025-08-01 00:30:00,8.55,8.55,8.48,8.49,988.45,1754009099999,8408.1127,76,106.72,911.5285,0
1754009100000,2025-08-01 00:45:00,8.49,8.58,8.38,8.57,1845.49,1754009999999,15612.95,168,1159.53,9820.9282,0
1754010000000,2025-08-01 01:00:00,8.57,8.58,8.44,8.45,2474.01,1754010899999,21037.5744,146,547.17,4659.7873,0
1754010900000,2025-08-01 01:15:00,8.46,8.51,8.44,8.5,1142.9,1754011799999,9701.1086,66,554.77,4711.1966,0
1754011800000,2025-08-01 01:30:00,8.48,8.55,8.47,8.52,921.77,1754012699999,7858.4704,49,470.82,4011.7046,0
1754012700000,2025-08-01 01:45:00,8.53,8.53,8.48,8.52,386.02,1754013599999,3286.8441,25,83.25,708.4088,0
1754013600000,2025-08-01 02:00:00,8.51,8.61,8.5,8.6,1766.32,1754014499999,15137.1242,99,1313.13,11265.1403,0
1754014500000,2025-08-01 02:15:00,8.59,8.64,8.59,8.6,1311.71,1754015399999,11306.4757,68,866.67,7475.3394,0
1754015400000,2025-08-01 02:30:00,8.6,8.63,8.59,8.62,300.47,1754016299999,2587.3494,19,29.2,251.4046,0
1754016300000,2025-08-01 02:45:00,8.6,8.63,8.6,8.63,320.73,1754017199999,2762.8441,24,173.03,1491.7435,0
1754017200000,2025-08-01 03:00:00,8.61,8.62,8.57,8.58,475.38,1754018099999,4089.4202,35,143.4,1234.9866,0
1754018100000,2025-08-01 03:15:00,8.57,8.63,8.56,8.63,382.45,1754018999999,3288.1159,24,186.63,1604.615,0
1754019000000,2025-08-01 03:30:00,8.63,8.63,8.61,8.62,264.75,1754019899999,2281.6896,17,135.06,1164.4489,0
1754019900000,2025-08-01 03:45:00,8.62,8.63,8.58,8.61,499.96,1754020799999,4300.9517,31,202.89,1746.6999,0
1754020800000,2025-08-01 04:00:00,8.6,8.6,8.53,8.56,850.9,1754021699999,7286.4934,49,328.1,2806.1018,0
1754021700000,2025-08-01 04:15:00,8.55,8.56,8.52,8.55,415.17,1754022599999,3545.4777,48,315.12,2691.8582,0
1754022600000,2025-08-01 04:30:00,8.55,8.59,8.53,8.57,940.54,1754023499999,8045.6691,78,145.16,1242.1548,0
1754023500000,2025-08-01 04:45:00,8.56,8.57,8.54,8.55,303.87,1754024399999,2598.7273,20,177.31,1516.8795,0
1754024400000,2025-08-01 05:00:00,8.55,8.56,8.52,8.54,420.71,1754025299999,3592.0334,30,97.36,832.4657,0
1754025300000,2025-08-01 05:15:00,8.53,8.53,8.5,8.51,267.58,1754026199999,2277.595,22,63.33,538.7638,0
