openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.9251,0.93,0.9251,0.9277,19704.5,1753975799999,18281.00356,636,9200.4,8541.31266,0
1753975800000,2025-07-31 15:30:00,0.9276,0.9336,0.9274,0.9312,17079.8,1753976699999,15908.08472,648,9260.9,8625.58575,0
1753976700000,2025-07-31 15:45:00,0.9313,0.9336,0.9281,0.9302,12624.7,1753977599999,11745.80356,472,6098.3,5672.54627,0
1753977600000,2025-07-31 16:00:00,0.9304,0.9324,0.9286,0.9324,15178.3,1753978499999,14136.06191,497,5948.2,5538.76113,0
1753978500000,2025-07-31 16:15:00,0.9326,0.9358,0.9318,0.9347,8973.9,1753979399999,8382.50982,389,5053.6,4720.47898,0
1753979400000,2025-07-31 16:30:00,0.9347,0.9439,0.9347,0.9417,22622.8,1753980299999,21295.53569,694,11869.9,11170.38875,0
1753980300000,2025-07-31 16:45:00,0.9418,0.9428,0.9377,0.9397,19054.6,1753981199999,17906.75575,484,10323.0,9704.61746,0
1753981200000,2025-07-31 17:00:00,0.9396,0.9396,0.9346,0.9367,9529.1,1753982099999,8927.77673,399,4221.7,3955.40882,0
1753982100000,2025-07-31 17:15:00,0.9368,0.9391,0.9302,0.9322,27542.1,1753982999999,25693.85963,755,6613.9,6177.74515,0
1753983000000,2025-07-31 17:30:00,0.9323,0.9362,0.9309,0.9322,13734.6,1753983899999,12820.90561,547,8165.0,7623.9508,0
1753983900000,2025-07-31 17:45:00,0.9323,0.9338,0.9277,0.9297,10526.4,1753984799999,9783.1577,485,3779.8,3513.71253,0
1753984800000,2025-07-31 18:00:00,0.9298,0.9303,0.9243,0.9259,13486.6,1753985699999,12494.56375,474,4856.7,4500.27896,0
1753985700000,2025-07-31 18:15:00,0.9258,0.9312,0.9238,0.9312,10939.9,1753986599999,10147.20398,466,6987.5,6482.24006,0
1753986600000,2025-07-31 18:30:00,0.9309,0.9339,0.9307,0.9334,9484.7,1753987499999,8845.0062,387,4497.3,4194.05343,0
1753987500000,2025-07-31 18:45:00,0.9335,0.9344,0.9293,0.9304,5723.2,1753988399999,5334.68318,282,2718.9,2535.24767,0
1753988400000,2025-07-31 19:00:00,0.9306,0.9313,0.924,0.9244,7812.4,1753989299999,7248.78354,357,2774.6,2574.94925,0
1753989300000,2025-07-31 19:15:00,0.9243,0.9287,0.9243,0.9271,7067.0,1753990199999,6549.86923,359,3610.2,3346.19237,0
1753990200000,2025-07-31 19:30:00,0.9271,0.9288,0.9261,0.9267,8261.9,1753991099999,7658.58276,345,3776.9,3501.27403,0
1753991100000,2025-07-31 19:45:00,0.927,0.9276,0.9228,0.9252,7562.9,1753991999999,6996.23461,359,3040.2,2812.35633,0
1753992000000,2025-07-31 20:00:00,0.9253,0.9261,0.9184,0.9226,40287.2,1753992899999,37077.23014,588,23605.9,21723.05589,0
1753992900000,2025-07-31 20:15:00,0.9229,0.9269,0.9214,0.9234,11727.4,1753993799999,10837.79724,516,7968.2,7363.18667,0
1753993800000,2025-07-31 20:30:00,0.9235,0.9251,0.9209,0.9239,24683.8,1753994699999,22783.49509,489,19783.3,18258.79116,0
1753994700000,2025-07-31 20:45:00,0.9238,0.926,0.9213,0.9217,86509.7,1753995599999,79890.19774,581,20814.8,19208.191,0
1753995600000,2025-07-31 21:00:00,0.9215,0.9229,0.9184,0.9202,16856.7,1753996499999,15513.23832,436,6400.2,5892.37157,0
1753996500000,2025-07-31 21:15:00,0.9201,0.921,0.9166,0.9192,11473.9,1753997399999,10541.65081,465,4653.0,4274.2336,0
1753997400000,2025-07-31 21:30:00,0.9193,0.9229,0.919,0.9192,12934.5,1753998299999,11906.572,363,8525.4,7848.63768,0
1753998300000,2025-07-31 21:45:00,0.9192,0.9206,0.9098,0.9168,39118.9,1753999199999,35744.03259,1123,14046.5,12846.13178,0
1753999200000,2025-07-31 22:00:00,0.9166,0.9166,0.909,0.9113,20128.9,1754000099999,18342.43173,731,10079.8,9189.47092,0
