openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.2492,0.2512,0.2491,0.2504,349497.5,1753975799999,87469.82015,699,182512.9,45684.43138,0
1753975800000,2025-07-31 15:30:00,0.2503,0.2518,0.2503,0.2504,605338.2,1753976699999,151860.40946,1045,243768.1,61175.66629,0
1753976700000,2025-07-31 15:45:00,0.2505,0.2507,0.2486,0.2499,315835.4,1753977599999,78925.30762,802,173571.9,43376.53607,0
1753977600000,2025-07-31 16:00:00,0.2499,0.2509,0.2494,0.2508,109387.8,1753978499999,27353.70772,518,49338.1,12340.06944,0
1753978500000,2025-07-31 16:15:00,0.2507,0.2523,0.2507,0.2522,294853.8,1753979399999,74177.07287,771,216645.9,54501.23057,0
1753979400000,2025-07-31 16:30:00,0.2522,0.2554,0.2522,0.2544,478251.8,1753980299999,121439.34029,964,276063.0,70092.27493,0
1753980300000,2025-07-31 16:45:00,0.2544,0.2547,0.2527,0.2536,244379.2,1753981199999,61937.51011,553,125114.1,31734.97811,0
1753981200000,2025-07-31 17:00:00,0.2537,0.2537,0.2515,0.2521,334721.9,1753982099999,84432.48446,688,125307.6,31596.77472,0
1753982100000,2025-07-31 17:15:00,0.252,0.2529,0.2498,0.2507,230090.3,1753982999999,57740.39783,873,103883.8,26067.4393,0
1753983000000,2025-07-31 17:30:00,0.2508,0.2515,0.2493,0.2502,298504.8,1753983899999,74625.68499,634,64347.1,16120.56464,0
1753983900000,2025-07-31 17:45:00,0.2503,0.2506,0.2481,0.2488,314839.5,1753984799999,78322.16285,746,121699.8,30278.63221,0
1753984800000,2025-07-31 18:00:00,0.2489,0.2492,0.2458,0.2473,763697.1,1753985699999,188600.36234,1327,266063.3,65691.98947,0
1753985700000,2025-07-31 18:15:00,0.2472,0.249,0.2466,0.2489,242709.1,1753986599999,60115.00815,694,149487.2,37024.65225,0
1753986600000,2025-07-31 18:30:00,0.2488,0.2499,0.2488,0.2491,97637.1,1753987499999,24357.8575,404,49448.7,12340.10731,0
1753987500000,2025-07-31 18:45:00,0.2493,0.2497,0.2478,0.2484,142883.5,1753988399999,35551.31777,446,75674.1,18826.81739,0
1753988400000,2025-07-31 19:00:00,0.2485,0.249,0.2465,0.2466,120390.9,1753989299999,29782.13957,518,56157.4,13893.3348,0
1753989300000,2025-07-31 19:15:00,0.2467,0.2483,0.2467,0.2475,381486.2,1753990199999,94477.07909,594,131601.9,32591.96122,0
1753990200000,2025-07-31 19:30:00,0.2475,0.2481,0.2469,0.2478,136155.1,1753991099999,33675.01699,411,101083.0,24995.47445,0
1753991100000,2025-07-31 19:45:00,0.2479,0.2484,0.2459,0.2466,352404.3,1753991999999,86891.07786,636,82929.4,20456.98507,0
1753992000000,2025-07-31 20:00:00,0.2465,0.2468,0.2443,0.2458,523666.6,1753992899999,128491.70608,1085,134997.9,33113.2161,0
1753992900000,2025-07-31 20:15:00,0.2459,0.2476,0.2455,0.2467,274609.1,1753993799999,67803.50897,644,104908.2,25885.29627,0
1753993800000,2025-07-31 20:30:00,0.2468,0.2473,0.2453,0.2463,209784.2,1753994699999,51657.9172,607,124306.3,30608.45135,0
1753994700000,2025-07-31 20:45:00,0.2463,0.247,0.2453,0.246,133704.3,1753995599999,32939.12507,457,50639.8,12480.90192,0
1753995600000,2025-07-31 21:00:00,0.2459,0.246,0.2436,0.2441,618627.7,1753996499999,151430.47224,869,143825.8,35163.32443,0
1753996500000,2025-07-31 21:15:00,0.244,0.2449,0.2425,0.2449,535072.8,1753997399999,130110.11829,705,174522.8,42479.10617,0
1753997400000,2025-07-31 21:30:00,0.245,0.2467,0.2447,0.2454,119876.5,1753998299999,29466.18295,372,56105.6,13796.70074,0
1753998300000,2025-07-31 21:45:00,0.2456,0.2456,0.2396,0.2436,765474.0,1753999199999,184869.05368,1297,375562.4,90685.09458,0
1753999200000,2025-07-31 22:00:00,0.2436,0.2436,0.241,0.2421,274831.7,1754000099999,66555.36362,945,153129.7,37112.92573,0
1754000100000,2025-07-31 22:15:00,0.2421,0.2434,0.24,0.2423,783681.2,1754000999999,189149.40042,871,281782.9,68122.88727,0
