openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.0106,0.01066,0.01059,0.01065,582677.9,1753975799999,6201.226999,106,459728.0,4894.452304,0
1753975800000,2025-07-31 15:30:00,0.01065,0.01073,0.01064,0.01071,1620260.9,1753976699999,17335.447828,322,1100394.9,11773.730764,0
1753976700000,2025-07-31 15:45:00,0.0107,0.01072,0.01064,0.01069,452413.2,1753977599999,4829.797933,100,122192.9,1305.409189,0
1753977600000,2025-07-31 16:00:00,0.01067,0.01071,0.01065,0.01069,820438.3,1753978499999,8764.234533,140,509999.5,5449.952332,0
1753978500000,2025-07-31 16:15:00,0.0107,0.0108,0.0107,0.01077,2067258.2,1753979399999,22169.697554,288,520344.3,5586.358967,0
1753979400000,2025-07-31 16:30:00,0.01077,0.01093,0.01077,0.01091,1072671.2,1753980299999,11659.458542,182,888095.5,9651.994688,0
1753980300000,2025-07-31 16:45:00,0.01091,0.01092,0.0108,0.01086,1036400.7,1753981199999,11253.379327,197,634083.1,6883.848655,0
1753981200000,2025-07-31 17:00:00,0.01085,0.01086,0.01079,0.0108,3345591.9,1753982099999,36224.709759,230,3068313.2,33225.113334,0
1753982100000,2025-07-31 17:15:00,0.01083,0.01086,0.01073,0.01077,623631.5,1753982999999,6743.466006,167,293184.9,3168.889706,0
1753983000000,2025-07-31 17:30:00,0.01078,0.01085,0.01074,0.01078,785962.5,1753983899999,8482.283284,102,643294.0,6942.907212,0
1753983900000,2025-07-31 17:45:00,0.01078,0.0108,0.01069,0.01071,594633.6,1753984799999,6377.421479,122,271684.9,2915.373134,0
1753984800000,2025-07-31 18:00:00,0.01072,0.01073,0.0106,0.01063,2310295.2,1753985699999,24634.107134,185,440866.3,4688.417272,0
1753985700000,2025-07-31 18:15:00,0.01062,0.01073,0.01059,0.01073,1429600.9,1753986599999,15204.673993,154,521388.1,5553.476634,0
1753986600000,2025-07-31 18:30:00,0.01072,0.01077,0.01072,0.01073,299757.8,1753987499999,3219.163357,90,108417.9,1164.671696,0
