openTime,datetime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
1753974900000,2025-07-31 15:15:00,0.1386,0.1392,0.1384,0.1389,77154.0,1753975799999,10720.3243,76,50633.0,7036.7956,0
1753975800000,2025-07-31 15:30:00,0.1389,0.1397,0.1389,0.1393,124467.0,1753976699999,17349.4103,117,68233.0,9513.5409,0
1753976700000,2025-07-31 15:45:00,0.1392,0.1395,0.1387,0.1393,88459.0,1753977599999,12311.2575,77,65845.0,9164.2574,0
1753977600000,2025-07-31 16:00:00,0.1391,0.1397,0.1389,0.1393,95086.0,1753978499999,13244.0434,88,46718.0,6511.1192,0
1753978500000,2025-07-31 16:15:00,0.1396,0.1403,0.1396,0.1402,97433.0,1753979399999,13641.7156,119,66956.0,9376.9514,0
1753979400000,2025-07-31 16:30:00,0.1402,0.1415,0.1402,0.1412,175996.0,1753980299999,24792.5412,223,136753.0,19254.9957,0
1753980300000,2025-07-31 16:45:00,0.1412,0.1412,0.1404,0.1408,62525.0,1753981199999,8810.3737,89,30174.0,4251.0648,0
1753981200000,2025-07-31 17:00:00,0.1409,0.1409,0.14,0.1405,28691.0,1753982099999,4025.5307,93,17232.0,2415.5048,0
1753982100000,2025-07-31 17:15:00,0.1403,0.1405,0.1394,0.1397,35571.0,1753982999999,4978.1227,49,10380.0,1452.9431,0
1753983000000,2025-07-31 17:30:00,0.1397,0.1401,0.1393,0.1393,34999.0,1753983899999,4893.3017,53,24940.0,3485.6739,0
1753983900000,2025-07-31 17:45:00,0.1398,0.1398,0.1387,0.1389,28223.0,1753984799999,3925.6959,76,16695.0,2321.7648,0
1753984800000,2025-07-31 18:00:00,0.1389,0.1389,0.1375,0.1381,61919.0,1753985699999,8545.1877,200,26591.0,3673.2195,0
1753985700000,2025-07-31 18:15:00,0.1381,0.1385,0.1376,0.1385,36047.0,1753986599999,4973.939,146,26644.0,3676.973,0
1753986600000,2025-07-31 18:30:00,0.1388,0.1392,0.1387,0.1388,26665.0,1753987499999,3706.4489,85,16466.0,2290.305,0
